Timestamp,['1cac27e6-8238e2f0 0077-CHRISTENSEN CNTR Power Meter (300172) KW Total']
2017-01-01T00:00:00-07:00,103.87437438964761 kW
2017-01-02T00:00:00-07:00,103.87437438964761 kW
2017-01-03T00:00:00-07:00,103.87437438964761 kW
2017-01-04T00:00:00-07:00,103.87437438964761 kW
2017-01-05T00:00:00-07:00,103.87437438964761 kW
2017-01-06T00:00:00-07:00,103.87437438964761 kW
2017-01-07T00:00:00-07:00,103.87437438964761 kW
2017-01-08T00:00:00-07:00,103.87437438964761 kW
2017-01-09T00:00:00-07:00,103.87437438964761 kW
2017-01-10T00:00:00-07:00,103.87437438964761 kW
2017-01-11T00:00:00-07:00,103.87437438964761 kW
2017-01-12T00:00:00-07:00,103.87437438964761 kW
2017-01-13T00:00:00-07:00,103.87437438964761 kW
2017-01-14T00:00:00-07:00,103.87437438964761 kW
2017-01-15T00:00:00-07:00,103.87437438964761 kW
2017-01-16T00:00:00-07:00,103.87437438964761 kW
2017-01-17T00:00:00-07:00,103.87437438964761 kW
2017-01-18T00:00:00-07:00,96.83580677147206 kW
2017-01-19T00:00:00-07:00,82.08582041285668 kW
2017-01-20T00:00:00-07:00,76.31807131802599 kW
2017-01-21T00:00:00-07:00,69.90693247115175 kW
2017-01-22T00:00:00-07:00,64.50989235087674 kW
2017-01-23T00:00:00-07:00,82.86893780959967 kW
2017-01-24T00:00:00-07:00,83.77024985984518 kW
2017-01-25T00:00:00-07:00,83.94493189997152 kW
2017-01-26T00:00:00-07:00,84.65630930547361 kW
2017-01-27T00:00:00-07:00,81.56348819105722 kW
2017-01-28T00:00:00-07:00,63.46077865044269 kW
2017-01-29T00:00:00-07:00,54.00259525524244 kW
2017-01-30T00:00:00-07:00,80.39574389007358 kW
2017-01-31T00:00:00-07:00,87.65318486447688 kW
2017-02-01T00:00:00-07:00,83.62965608508497 kW
2017-02-02T00:00:00-07:00,84.38505125063425 kW
2017-02-03T00:00:00-07:00,74.57558065710258 kW
2017-02-04T00:00:00-07:00,68.87968930946447 kW
2017-02-05T00:00:00-07:00,59.90061924819608 kW
2017-02-06T00:00:00-07:00,78.19218289993428 kW
