Timestamp,['1cac2918-39ce48d3 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT C-N']
2017-01-01T00:00:00-07:00,272.3280334472656 V
2017-01-02T00:00:00-07:00,272.3280334472656 V
2017-01-03T00:00:00-07:00,272.3280334472656 V
2017-01-04T00:00:00-07:00,272.3280334472656 V
2017-01-05T00:00:00-07:00,272.3280334472656 V
2017-01-06T00:00:00-07:00,272.3280334472656 V
2017-01-07T00:00:00-07:00,272.3280334472656 V
2017-01-08T00:00:00-07:00,272.3280334472656 V
2017-01-09T00:00:00-07:00,272.3280334472656 V
2017-01-10T00:00:00-07:00,272.3280334472656 V
2017-01-11T00:00:00-07:00,272.3280334472656 V
2017-01-12T00:00:00-07:00,272.3280334472656 V
2017-01-13T00:00:00-07:00,272.3280334472656 V
2017-01-14T00:00:00-07:00,272.3280334472656 V
2017-01-15T00:00:00-07:00,272.3280334472656 V
2017-01-16T00:00:00-07:00,272.3280334472656 V
2017-01-17T00:00:00-07:00,272.3280334472656 V
2017-01-18T00:00:00-07:00,273.312703018914 V
2017-01-19T00:00:00-07:00,274.8748785018921 V
2017-01-20T00:00:00-07:00,274.74649597295746 V
2017-01-21T00:00:00-07:00,274.495500670539 V
2017-01-22T00:00:00-07:00,274.5026912265354 V
2017-01-23T00:00:00-07:00,274.7363893085056 V
2017-01-24T00:00:00-07:00,274.6391237470839 V
2017-01-25T00:00:00-07:00,274.29978199005126 V
2017-01-26T00:00:00-07:00,274.82790891859264 V
2017-01-27T00:00:00-07:00,274.3181385464138 V
2017-01-28T00:00:00-07:00,274.6434739430745 V
2017-01-29T00:00:00-07:00,274.81719890170626 V
2017-01-30T00:00:00-07:00,274.39862492879234 V
2017-01-31T00:00:00-07:00,274.3170947816637 V
2017-02-01T00:00:00-07:00,274.6524749120077 V
2017-02-02T00:00:00-07:00,274.5782854715983 V
2017-02-03T00:00:00-07:00,274.7511171257438 V
2017-02-04T00:00:00-07:00,274.8311387591892 V
2017-02-05T00:00:00-07:00,274.63487448304625 V
2017-02-06T00:00:00-07:00,274.92191433376735 V
2017-02-07T00:00:00-07:00,274.57918915608155 V
2017-02-08T00:00:00-07:00,274.7776970488226 V
2017-02-09T00:00:00-07:00,274.34640944352236 V
2017-02-10T00:00:00-07:00,274.5516845703125 V
2017-02-11T00:00:00-07:00,274.7608640458849 V
2017-02-12T00:00:00-07:00,275.0789831797282 V
2017-02-13T00:00:00-07:00,274.76491644117567 V
2017-02-14T00:00:00-07:00,274.61002449413655 V
2017-02-15T00:00:00-07:00,274.3965022193061 V
2017-02-16T00:00:00-07:00,274.57985844082305 V
2017-02-17T00:00:00-07:00,274.67601824866404 V
2017-02-18T00:00:00-07:00,274.69739451938204 V
2017-02-19T00:00:00-07:00,274.7412076526218 V
2017-02-20T00:00:00-07:00,274.8037194993761 V
2017-02-21T00:00:00-07:00,274.75906976064044 V
2017-02-22T00:00:00-07:00,274.53270331488716 V
2017-02-23T00:00:00-07:00,274.34345643785264 V
2017-02-24T00:00:00-07:00,274.61141821350714 V
2017-02-25T00:00:00-07:00,274.8120396508111 V
2017-02-26T00:00:00-07:00,274.5706491470337 V
2017-02-27T00:00:00-07:00,274.66054140726726 V
2017-02-28T00:00:00-07:00,274.8072672737969 V
2017-03-01T00:00:00-07:00,275.06161325242783 V
2017-03-02T00:00:00-07:00,274.630919626024 V
2017-03-03T00:00:00-07:00,274.8909685558743 V
2017-03-04T00:00:00-07:00,274.22771258884006 V
2017-03-05T00:00:00-07:00,274.9183754603068 V
2017-03-06T00:00:00-07:00,274.63018995920817 V
2017-03-07T00:00:00-07:00,274.49929082658554 V
2017-03-08T00:00:00-07:00,274.6922678629557 V
2017-03-09T00:00:00-07:00,274.34880339304607 V
2017-03-10T00:00:00-07:00,274.86204753451875 V
2017-03-11T00:00:00-07:00,274.8694449742635 V
2017-03-12T00:00:00-07:00,274.7614317963089 V
2017-03-13T00:00:00-06:00,274.89527450137666 V
2017-03-14T00:00:00-06:00,274.81110513475204 V
2017-03-15T00:00:00-06:00,274.3929137971519 V
2017-03-16T00:00:00-06:00,274.6519045511881 V
2017-03-17T00:00:00-06:00,274.6911650360086 V
2017-03-18T00:00:00-06:00,274.47336783938937 V
2017-03-19T00:00:00-06:00,274.42264433966744 V
2017-03-20T00:00:00-06:00,274.50105948421543 V
2017-03-21T00:00:00-06:00,274.22939463721383 V
2017-03-22T00:00:00-06:00,274.41243523491755 V
2017-03-23T00:00:00-06:00,274.4121829986572 V
2017-03-24T00:00:00-06:00,274.5019951502482 V
2017-03-25T00:00:00-06:00,274.35443159739174 V
2017-03-26T00:00:00-06:00,274.82031453591907 V
2017-03-27T00:00:00-06:00,274.4678543302748 V
2017-03-28T00:00:00-06:00,274.4854459165698 V
2017-03-29T00:00:00-06:00,274.5114850864107 V
2017-03-30T00:00:00-06:00,274.3502731662326 V
2017-03-31T00:00:00-06:00,274.62423952061573 V
2017-04-01T00:00:00-06:00,274.4664500130547 V
2017-04-02T00:00:00-06:00,274.73933147854274 V
2017-04-03T00:00:00-06:00,274.3695933200818 V
2017-04-04T00:00:00-06:00,274.38327600691053 V
2017-04-05T00:00:00-06:00,274.25992241197366 V
2017-04-06T00:00:00-06:00,274.59171569272826 V
2017-04-07T00:00:00-06:00,274.739192069281 V
2017-04-08T00:00:00-06:00,274.51421205732555 V
2017-04-09T00:00:00-06:00,274.8389108657837 V
2017-04-10T00:00:00-06:00,274.5963156806098 V
2017-04-11T00:00:00-06:00,274.6579441706339 V
2017-04-12T00:00:00-06:00,274.6339822769165 V
2017-04-13T00:00:00-06:00,274.51587070888945 V
2017-04-14T00:00:00-06:00,274.6315897199843 V
2017-04-15T00:00:00-06:00,273.9231156879001 V
2017-04-16T00:00:00-06:00,274.50649467044406 V
2017-04-17T00:00:00-06:00,274.51932964324953 V
2017-04-18T00:00:00-06:00,274.09417205386694 V
2017-04-19T00:00:00-06:00,274.0749311659071 V
2017-04-20T00:00:00-06:00,273.93153076171876 V
2017-04-21T00:00:00-06:00,274.67992358737524 V
2017-04-22T00:00:00-06:00,274.1937297185262 V
2017-04-23T00:00:00-06:00,274.33236111534967 V
2017-04-24T00:00:00-06:00,274.4403124703301 V
2017-04-25T00:00:00-06:00,274.5740039613512 V
2017-04-26T00:00:00-06:00,274.2713567945692 V
2017-04-27T00:00:00-06:00,274.37551424238416 V
2017-04-28T00:00:00-06:00,274.28201711442733 V
2017-04-29T00:00:00-06:00,274.60615912543403 V
2017-04-30T00:00:00-06:00,274.3595471700033 V
2017-05-01T00:00:00-06:00,274.3610279083252 V
2017-05-02T00:00:00-06:00,274.06400004492866 V
2017-05-03T00:00:00-06:00,274.26090251074896 V
2017-05-04T00:00:00-06:00,274.09720253414577 V
2017-05-05T00:00:00-06:00,274.00183539920386 V
2017-05-06T00:00:00-06:00,274.08418394724526 V
2017-05-07T00:00:00-06:00,274.1248192257351 V
2017-05-08T00:00:00-06:00,274.27381708645385 V
2017-05-09T00:00:00-06:00,274.40256519317626 V
2017-05-10T00:00:00-06:00,274.5572346581353 V
2017-05-11T00:00:00-06:00,274.31981699201793 V
2017-05-12T00:00:00-06:00,274.260924466451 V
2017-05-13T00:00:00-06:00,274.3992443601649 V
2017-05-14T00:00:00-06:00,273.9468965742323 V
2017-05-15T00:00:00-06:00,274.5098740376889 V
2017-05-16T00:00:00-06:00,274.40934260343823 V
2017-05-17T00:00:00-06:00,274.5014887915717 V
2017-05-18T00:00:00-06:00,274.4431059943305 V
2017-05-19T00:00:00-06:00,274.8530345967116 V
2017-05-20T00:00:00-06:00,274.2580062654283 V
2017-05-21T00:00:00-06:00,274.2577164120144 V
2017-05-22T00:00:00-06:00,274.37883035871715 V
2017-05-23T00:00:00-06:00,274.4800958633423 V
2017-05-24T00:00:00-06:00,274.2355939865112 V
2017-05-25T00:00:00-06:00,274.11431340111625 V
2017-05-26T00:00:00-06:00,274.50409009721545 V
2017-05-27T00:00:00-06:00,274.65981141621245 V
2017-05-28T00:00:00-06:00,274.64802833133274 V
2017-05-29T00:00:00-06:00,274.3723320007324 V
2017-05-30T00:00:00-06:00,274.2829061989324 V
2017-05-31T00:00:00-06:00,274.2114056765495 V
2017-06-01T00:00:00-06:00,274.2124558290398 V
2017-06-02T00:00:00-06:00,273.99292108747693 V
2017-06-03T00:00:00-06:00,274.27477175394694 V
2017-06-04T00:00:00-06:00,274.30405095418297 V
2017-06-05T00:00:00-06:00,274.0954308191935 V
2017-06-06T00:00:00-06:00,274.43446403079565 V
2017-06-07T00:00:00-06:00,274.2179523468018 V
2017-06-08T00:00:00-06:00,274.23758623335095 V
2017-06-09T00:00:00-06:00,274.3076812977423 V
2017-06-10T00:00:00-06:00,274.2143247180515 V
2017-06-11T00:00:00-06:00,274.3412830811395 V
2017-06-12T00:00:00-06:00,274.4280154546102 V
2017-06-13T00:00:00-06:00,274.3511616388957 V
2017-06-14T00:00:00-06:00,274.64370115068226 V
2017-06-15T00:00:00-06:00,274.4337029774984 V
2017-06-16T00:00:00-06:00,274.4037878036499 V
2017-06-17T00:00:00-06:00,274.37319988674585 V
2017-06-18T00:00:00-06:00,274.5152472813924 V
2017-06-19T00:00:00-06:00,274.3823598861694 V
2017-06-20T00:00:00-06:00,274.34439993964304 V
2017-06-21T00:00:00-06:00,274.34165327908516 V
2017-06-22T00:00:00-06:00,274.2757924221057 V
2017-06-23T00:00:00-06:00,274.6002826478746 V
2017-06-24T00:00:00-06:00,274.63884476555717 V
2017-06-25T00:00:00-06:00,274.51949566735163 V
2017-06-26T00:00:00-06:00,274.2839862823486 V
2017-06-27T00:00:00-06:00,274.38200799386647 V
2017-06-28T00:00:00-06:00,274.1627507743279 V
2017-06-29T00:00:00-06:00,274.4905824025472 V
2017-06-30T00:00:00-06:00,274.78195764753553 V
2017-07-01T00:00:00-06:00,274.50593026479083 V
2017-07-02T00:00:00-06:00,274.5259338590834 V
2017-07-03T00:00:00-06:00,274.35755013359915 V
2017-07-04T00:00:00-06:00,274.492698457506 V
2017-07-05T00:00:00-06:00,274.4813210381402 V
2017-07-06T00:00:00-06:00,274.2859064737956 V
2017-07-07T00:00:00-06:00,274.5830892139011 V
2017-07-08T00:00:00-06:00,274.5958919101291 V
2017-07-09T00:00:00-06:00,274.3693168640137 V
2017-07-10T00:00:00-06:00,274.34271710713705 V
2017-07-11T00:00:00-06:00,274.43804139031306 V
2017-07-12T00:00:00-06:00,274.47482024298773 V
2017-07-13T00:00:00-06:00,274.37693299187555 V
2017-07-14T00:00:00-06:00,274.36464411417643 V
2017-07-15T00:00:00-06:00,274.41113219790986 V
2017-07-16T00:00:00-06:00,274.45532133314344 V
2017-07-17T00:00:00-06:00,274.231862534417 V
2017-07-18T00:00:00-06:00,274.47618187798395 V
2017-07-19T00:00:00-06:00,274.2329325146145 V
2017-07-20T00:00:00-06:00,274.27503428988985 V
2017-07-21T00:00:00-06:00,274.38779362572564 V
2017-07-22T00:00:00-06:00,274.35727443695066 V
2017-07-23T00:00:00-06:00,274.49692793952096 V
2017-07-24T00:00:00-06:00,274.3616840150621 V
2017-07-25T00:00:00-06:00,274.3666242599487 V
2017-07-26T00:00:00-06:00,274.22971121470135 V
2017-07-27T00:00:00-06:00,274.39118790096705 V
2017-07-28T00:00:00-06:00,274.40993133121066 V
2017-07-29T00:00:00-06:00,274.38069364759656 V
2017-07-30T00:00:00-06:00,274.58957188924154 V
2017-07-31T00:00:00-06:00,274.3182615660561 V
2017-08-01T00:00:00-06:00,274.29355693393285 V
2017-08-02T00:00:00-06:00,274.1721819135878 V
2017-08-03T00:00:00-06:00,274.42810594770646 V
2017-08-04T00:00:00-06:00,274.1445670584823 V
2017-08-05T00:00:00-06:00,274.3912240134345 V
2017-08-06T00:00:00-06:00,274.61777809990775 V
2017-08-07T00:00:00-06:00,274.2608748541938 V
2017-08-08T00:00:00-06:00,274.13966954549153 V
2017-08-09T00:00:00-06:00,274.32178779178196 V
2017-08-10T00:00:00-06:00,274.4009485339442 V
2017-08-11T00:00:00-06:00,274.3541562398275 V
2017-08-12T00:00:00-06:00,274.55025299919976 V
2017-08-13T00:00:00-06:00,274.44521499209935 V
2017-08-14T00:00:00-06:00,274.4580082363552 V
2017-08-15T00:00:00-06:00,274.3502629386054 V
2017-08-16T00:00:00-06:00,274.37333092159696 V
2017-08-17T00:00:00-06:00,274.42404058244495 V
2017-08-18T00:00:00-06:00,274.05047370062937 V
2017-08-19T00:00:00-06:00,274.0030212402344 V
2017-08-20T00:00:00-06:00,274.18146345350476 V
2017-08-21T00:00:00-06:00,274.0174820370144 V
2017-08-22T00:00:00-06:00,273.906736946106 V
2017-08-23T00:00:00-06:00,274.0398898654514 V
2017-08-24T00:00:00-06:00,274.28608349694144 V
2017-08-25T00:00:00-06:00,274.16140547858345 V
2017-08-26T00:00:00-06:00,274.2486062579685 V
2017-08-27T00:00:00-06:00,274.17840807172985 V
2017-08-28T00:00:00-06:00,274.3083219729045 V
2017-08-29T00:00:00-06:00,274.26094147980297 V
2017-08-30T00:00:00-06:00,274.15957885318335 V
2017-08-31T00:00:00-06:00,274.1863469229804 V
2017-09-01T00:00:00-06:00,274.27687299516464 V
