Timestamp,['1cac61bb-b416a597 0009-WIDTSOE BLDG Power Meter 1(300028) Current A']
2017-01-01T00:00:00-07:00,14.516571044921875 A
2017-01-02T00:00:00-07:00,14.516571044921875 A
2017-01-03T00:00:00-07:00,14.516571044921875 A
2017-01-04T00:00:00-07:00,14.516571044921875 A
2017-01-05T00:00:00-07:00,14.516571044921875 A
2017-01-06T00:00:00-07:00,14.516571044921875 A
2017-01-07T00:00:00-07:00,14.516571044921875 A
2017-01-08T00:00:00-07:00,14.516571044921875 A
2017-01-09T00:00:00-07:00,14.516571044921875 A
2017-01-10T00:00:00-07:00,14.516571044921875 A
2017-01-11T00:00:00-07:00,14.516571044921875 A
2017-01-12T00:00:00-07:00,14.516571044921875 A
2017-01-13T00:00:00-07:00,14.516571044921875 A
2017-01-14T00:00:00-07:00,14.516571044921875 A
2017-01-15T00:00:00-07:00,14.516571044921875 A
2017-01-16T00:00:00-07:00,14.516571044921875 A
2017-01-17T00:00:00-07:00,14.516571044921875 A
2017-01-18T00:00:00-07:00,30.414543620669765 A
2017-01-19T00:00:00-07:00,45.445919779936474 A
2017-01-20T00:00:00-07:00,49.85071976401589 A
2017-01-21T00:00:00-07:00,43.95047086406864 A
2017-01-22T00:00:00-07:00,43.78974151611328 A
2017-01-23T00:00:00-07:00,43.78974151611328 A
2017-01-24T00:00:00-07:00,43.78974151611328 A
2017-01-25T00:00:00-07:00,43.78974151611328 A
2017-01-26T00:00:00-07:00,43.78974151611328 A
2017-01-27T00:00:00-07:00,43.78974151611328 A
2017-01-28T00:00:00-07:00,43.78974151611328 A
2017-01-29T00:00:00-07:00,43.78974151611328 A
2017-01-30T00:00:00-07:00,43.78974151611328 A
2017-01-31T00:00:00-07:00,43.78974151611328 A
2017-02-01T00:00:00-07:00,43.78974151611328 A
2017-02-02T00:00:00-07:00,43.78974151611328 A
2017-02-03T00:00:00-07:00,43.78974151611328 A
2017-02-04T00:00:00-07:00,43.78974151611328 A
2017-02-05T00:00:00-07:00,43.78974151611328 A
2017-02-06T00:00:00-07:00,43.78974151611328 A
2017-02-07T00:00:00-07:00,47.063748739272064 A
2017-02-08T00:00:00-07:00,45.82882791374958 A
2017-02-09T00:00:00-07:00,76.11302025935775 A
2017-02-10T00:00:00-07:00,50.20766985897229 A
2017-02-11T00:00:00-07:00,38.67888673698844 A
2017-02-12T00:00:00-07:00,34.49367184638977 A
2017-02-13T00:00:00-07:00,40.71695273624138 A
2017-02-14T00:00:00-07:00,40.12321238601417 A
2017-02-15T00:00:00-07:00,43.43905992713668 A
2017-02-16T00:00:00-07:00,43.31821692910722 A
2017-02-17T00:00:00-07:00,42.871904414459316 A
2017-02-18T00:00:00-07:00,39.893779746646985 A
2017-02-19T00:00:00-07:00,39.02129306553797 A
2017-02-20T00:00:00-07:00,41.43433082479126 A
2017-02-21T00:00:00-07:00,50.73763874826451 A
2017-02-22T00:00:00-07:00,50.468581672498445 A
2017-02-23T00:00:00-07:00,45.12525167278737 A
2017-02-24T00:00:00-07:00,38.53804242217268 A
2017-02-25T00:00:00-07:00,33.639424717742195 A
2017-02-26T00:00:00-07:00,34.97159868175137 A
