Timestamp,['1cac61c5-3151b575 0009-WIDTSOE BLDG Power Meter 1(300028) Current B']
2017-01-01T00:00:00-07:00,19.835485458374023 A
2017-01-02T00:00:00-07:00,19.835485458374023 A
2017-01-03T00:00:00-07:00,19.835485458374023 A
2017-01-04T00:00:00-07:00,19.835485458374023 A
2017-01-05T00:00:00-07:00,19.835485458374023 A
2017-01-06T00:00:00-07:00,19.835485458374023 A
2017-01-07T00:00:00-07:00,19.835485458374023 A
2017-01-08T00:00:00-07:00,19.835485458374023 A
2017-01-09T00:00:00-07:00,19.835485458374023 A
2017-01-10T00:00:00-07:00,19.835485458374023 A
2017-01-11T00:00:00-07:00,19.835485458374023 A
2017-01-12T00:00:00-07:00,19.835485458374023 A
2017-01-13T00:00:00-07:00,19.835485458374023 A
2017-01-14T00:00:00-07:00,19.835485458374023 A
2017-01-15T00:00:00-07:00,19.835485458374023 A
2017-01-16T00:00:00-07:00,19.835485458374023 A
2017-01-17T00:00:00-07:00,19.835485458374023 A
2017-01-18T00:00:00-07:00,31.383993505121587 A
2017-01-19T00:00:00-07:00,39.9376709610431 A
2017-01-20T00:00:00-07:00,43.97303875743092 A
2017-01-21T00:00:00-07:00,38.282338007860005 A
2017-01-22T00:00:00-07:00,37.925899505615234 A
2017-01-23T00:00:00-07:00,37.925899505615234 A
2017-01-24T00:00:00-07:00,37.925899505615234 A
2017-01-25T00:00:00-07:00,37.925899505615234 A
2017-01-26T00:00:00-07:00,37.925899505615234 A
2017-01-27T00:00:00-07:00,37.925899505615234 A
2017-01-28T00:00:00-07:00,37.925899505615234 A
2017-01-29T00:00:00-07:00,37.925899505615234 A
2017-01-30T00:00:00-07:00,37.925899505615234 A
2017-01-31T00:00:00-07:00,37.925899505615234 A
2017-02-01T00:00:00-07:00,37.925899505615234 A
2017-02-02T00:00:00-07:00,37.925899505615234 A
2017-02-03T00:00:00-07:00,37.925899505615234 A
2017-02-04T00:00:00-07:00,37.925899505615234 A
2017-02-05T00:00:00-07:00,37.925899505615234 A
2017-02-06T00:00:00-07:00,37.925899505615234 A
2017-02-07T00:00:00-07:00,45.26126901543425 A
2017-02-08T00:00:00-07:00,46.86567735570036 A
2017-02-09T00:00:00-07:00,75.4848619831933 A
2017-02-10T00:00:00-07:00,49.64028489730718 A
2017-02-11T00:00:00-07:00,42.53442178017904 A
2017-02-12T00:00:00-07:00,39.35766712294684 A
2017-02-13T00:00:00-07:00,45.43588609543006 A
2017-02-14T00:00:00-07:00,43.99562689538933 A
2017-02-15T00:00:00-07:00,45.47794404910417 A
2017-02-16T00:00:00-07:00,47.423374967654766 A
2017-02-17T00:00:00-07:00,46.76756418042879 A
2017-02-18T00:00:00-07:00,42.915040415758526 A
2017-02-19T00:00:00-07:00,43.24914564054379 A
2017-02-20T00:00:00-07:00,45.76139108716279 A
2017-02-21T00:00:00-07:00,51.73533389456856 A
2017-02-22T00:00:00-07:00,50.56731605131591 A
2017-02-23T00:00:00-07:00,47.19148084233018 A
2017-02-24T00:00:00-07:00,43.32645268125582 A
2017-02-25T00:00:00-07:00,40.00919124704358 A
2017-02-26T00:00:00-07:00,39.53820160315052 A
2017-02-27T00:00:00-07:00,43.374749653850756 A
2017-02-28T00:00:00-07:00,41.72767228397584 A
2017-03-01T00:00:00-07:00,41.88380139224179 A
2017-03-02T00:00:00-07:00,43.89137538970969 A
2017-03-03T00:00:00-07:00,43.78100036844238 A
2017-03-04T00:00:00-07:00,38.44295263655925 A
2017-03-05T00:00:00-07:00,37.69719499062993 A
2017-03-06T00:00:00-07:00,41.84564943246908 A
2017-03-07T00:00:00-07:00,42.26201481968684 A
2017-03-08T00:00:00-07:00,43.56687783398004 A
2017-03-09T00:00:00-07:00,44.77123723159865 A
2017-03-10T00:00:00-07:00,50.72021379709908 A
2017-03-11T00:00:00-07:00,38.8808874416019 A
2017-03-12T00:00:00-07:00,40.0253914068599 A
2017-03-13T00:00:00-06:00,50.20491531936028 A
2017-03-14T00:00:00-06:00,64.07327628502479 A
2017-03-15T00:00:00-06:00,74.68643904098842 A
2017-03-16T00:00:00-06:00,66.99367860698435 A
2017-03-17T00:00:00-06:00,69.33517851652923 A
2017-03-18T00:00:00-06:00,78.02496045881787 A
2017-03-19T00:00:00-06:00,68.00984484842014 A
2017-03-20T00:00:00-06:00,76.95178935248093 A
2017-03-21T00:00:00-06:00,88.63167279543651 A
2017-03-22T00:00:00-06:00,48.138427489638495 A
2017-03-23T00:00:00-06:00,44.449555297872855 A
2017-03-24T00:00:00-06:00,42.615326599035846 A
2017-03-25T00:00:00-06:00,36.8111050883846 A
2017-03-26T00:00:00-06:00,38.38860961749131 A
2017-03-27T00:00:00-06:00,42.279277727080554 A
2017-03-28T00:00:00-06:00,40.966552591025206 A
2017-03-29T00:00:00-06:00,42.24122562176497 A
2017-03-30T00:00:00-06:00,44.79033586635278 A
2017-03-31T00:00:00-06:00,42.10166339317184 A
