Timestamp,['1cac6e4c-0002e86a 0011-BROWNING BLDG Power Meter 311945 KW Total']
2017-01-01T00:00:00-07:00,59.7260627746582 kW
2017-01-02T00:00:00-07:00,59.7260627746582 kW
2017-01-03T00:00:00-07:00,59.7260627746582 kW
2017-01-04T00:00:00-07:00,59.7260627746582 kW
2017-01-05T00:00:00-07:00,59.7260627746582 kW
2017-01-06T00:00:00-07:00,59.7260627746582 kW
2017-01-07T00:00:00-07:00,59.7260627746582 kW
2017-01-08T00:00:00-07:00,59.7260627746582 kW
2017-01-09T00:00:00-07:00,59.7260627746582 kW
2017-01-10T00:00:00-07:00,59.7260627746582 kW
2017-01-11T00:00:00-07:00,59.7260627746582 kW
2017-01-12T00:00:00-07:00,59.7260627746582 kW
2017-01-13T00:00:00-07:00,59.7260627746582 kW
2017-01-14T00:00:00-07:00,59.7260627746582 kW
2017-01-15T00:00:00-07:00,59.7260627746582 kW
2017-01-16T00:00:00-07:00,59.7260627746582 kW
2017-01-17T00:00:00-07:00,59.7260627746582 kW
2017-01-18T00:00:00-07:00,70.72956848144531 kW
2017-01-19T00:00:00-07:00,85.93617248535156 kW
2017-01-20T00:00:00-07:00,76.1388931274414 kW
2017-01-21T00:00:00-07:00,62.15965270996094 kW
2017-01-22T00:00:00-07:00,56.269676208496094 kW
2017-01-23T00:00:00-07:00,89.15789031982422 kW
2017-01-24T00:00:00-07:00,83.59201049804688 kW
2017-01-25T00:00:00-07:00,90.49268341064453 kW
2017-01-26T00:00:00-07:00,76.50926971435547 kW
2017-01-27T00:00:00-07:00,77.52529907226562 kW
2017-01-28T00:00:00-07:00,59.37856674194336 kW
2017-01-29T00:00:00-07:00,61.35002899169922 kW
2017-01-30T00:00:00-07:00,81.30915069580078 kW
2017-01-31T00:00:00-07:00,95.57180786132812 kW
2017-02-01T00:00:00-07:00,89.8624267578125 kW
2017-02-02T00:00:00-07:00,95.82408142089844 kW
2017-02-03T00:00:00-07:00,87.14969635009766 kW
2017-02-04T00:00:00-07:00,63.373435974121094 kW
2017-02-05T00:00:00-07:00,62.72080993652344 kW
2017-02-06T00:00:00-07:00,81.79827880859375 kW
2017-02-07T00:00:00-07:00,75.16280364990234 kW
2017-02-08T00:00:00-07:00,95.41584014892578 kW
2017-02-09T00:00:00-07:00,88.23014068603516 kW
2017-02-10T00:00:00-07:00,110.93247985839844 kW
2017-02-11T00:00:00-07:00,63.22236633300781 kW
2017-02-12T00:00:00-07:00,62.2484016418457 kW
2017-02-13T00:00:00-07:00,84.76309204101562 kW
2017-02-14T00:00:00-07:00,84.1473159790039 kW
2017-02-15T00:00:00-07:00,89.05912780761719 kW
2017-02-16T00:00:00-07:00,98.12710571289062 kW
2017-02-17T00:00:00-07:00,113.16449737548828 kW
2017-02-18T00:00:00-07:00,61.46687316894531 kW
2017-02-19T00:00:00-07:00,58.30585861206055 kW
2017-02-20T00:00:00-07:00,69.26873016357422 kW
2017-02-21T00:00:00-07:00,93.03650665283203 kW
2017-02-22T00:00:00-07:00,82.56704711914062 kW
2017-02-23T00:00:00-07:00,93.83281707763672 kW
2017-02-24T00:00:00-07:00,112.55020904541016 kW
2017-02-25T00:00:00-07:00,97.2146224975586 kW
2017-02-26T00:00:00-07:00,94.95879364013672 kW
2017-02-27T00:00:00-07:00,81.74578094482422 kW
2017-02-28T00:00:00-07:00,86.55338287353516 kW
2017-03-01T00:00:00-07:00,99.98540496826172 kW
2017-03-02T00:00:00-07:00,113.09892272949219 kW
2017-03-03T00:00:00-07:00,86.41203308105469 kW
2017-03-04T00:00:00-07:00,59.53374099731445 kW
2017-03-05T00:00:00-07:00,59.02619171142578 kW
2017-03-06T00:00:00-07:00,82.26309967041016 kW
2017-03-07T00:00:00-07:00,81.3460693359375 kW
2017-03-08T00:00:00-07:00,128.12826538085938 kW
2017-03-09T00:00:00-07:00,115.35263061523438 kW
2017-03-10T00:00:00-07:00,105.26637268066406 kW
2017-03-11T00:00:00-07:00,58.53309631347656 kW
2017-03-12T00:00:00-07:00,57.69902420043945 kW
2017-03-13T00:00:00-06:00,82.6151351928711 kW
2017-03-14T00:00:00-06:00,82.0048599243164 kW
2017-03-15T00:00:00-06:00,78.4395523071289 kW
2017-03-16T00:00:00-06:00,83.64261627197266 kW
2017-03-17T00:00:00-06:00,72.29779052734375 kW
2017-03-18T00:00:00-06:00,65.49999237060547 kW
2017-03-19T00:00:00-06:00,94.20365905761719 kW
2017-03-20T00:00:00-06:00,90.98738861083984 kW
2017-03-21T00:00:00-06:00,90.09805297851562 kW
2017-03-22T00:00:00-06:00,85.9203872680664 kW
2017-03-23T00:00:00-06:00,123.41756439208984 kW
2017-03-24T00:00:00-06:00,112.74187469482422 kW
2017-03-25T00:00:00-06:00,91.36267852783203 kW
2017-03-26T00:00:00-06:00,104.29558563232422 kW
2017-03-27T00:00:00-06:00,95.76734161376953 kW
2017-03-28T00:00:00-06:00,71.99211120605469 kW
2017-03-29T00:00:00-06:00,83.9328384399414 kW
2017-03-30T00:00:00-06:00,81.99272155761719 kW
2017-03-31T00:00:00-06:00,87.50115966796875 kW
2017-04-01T00:00:00-06:00,59.701942443847656 kW
2017-04-02T00:00:00-06:00,92.42485809326172 kW
2017-04-03T00:00:00-06:00,78.56685638427734 kW
2017-04-04T00:00:00-06:00,90.82564544677734 kW
2017-04-05T00:00:00-06:00,87.32449340820312 kW
2017-04-06T00:00:00-06:00,108.13064575195312 kW
2017-04-07T00:00:00-06:00,71.15805053710938 kW
2017-04-08T00:00:00-06:00,58.24708938598633 kW
2017-04-09T00:00:00-06:00,53.20669937133789 kW
2017-04-10T00:00:00-06:00,74.3941650390625 kW
2017-04-11T00:00:00-06:00,72.43276977539062 kW
2017-04-12T00:00:00-06:00,86.12681579589844 kW
2017-04-13T00:00:00-06:00,113.30581665039062 kW
2017-04-14T00:00:00-06:00,76.42640686035156 kW
2017-04-15T00:00:00-06:00,64.79024505615234 kW
2017-04-16T00:00:00-06:00,54.36134719848633 kW
2017-04-17T00:00:00-06:00,77.1845474243164 kW
2017-04-18T00:00:00-06:00,84.02059936523438 kW
2017-04-19T00:00:00-06:00,83.04547119140625 kW
2017-04-20T00:00:00-06:00,71.81890106201172 kW
2017-04-21T00:00:00-06:00,77.08558654785156 kW
2017-04-22T00:00:00-06:00,53.745853424072266 kW
2017-04-23T00:00:00-06:00,55.714576721191406 kW
2017-04-24T00:00:00-06:00,72.02056121826172 kW
2017-04-25T00:00:00-06:00,73.42062377929688 kW
2017-04-26T00:00:00-06:00,72.34333038330078 kW
2017-04-27T00:00:00-06:00,79.54070281982422 kW
