Timestamp,['1cac6e72-635e4129 0011-BROWNING BLDG Power Meter 311945 Current A']
2017-01-01T00:00:00-07:00,121.74008178710938 A
2017-01-02T00:00:00-07:00,121.74008178710938 A
2017-01-03T00:00:00-07:00,121.74008178710938 A
2017-01-04T00:00:00-07:00,121.74008178710938 A
2017-01-05T00:00:00-07:00,121.74008178710938 A
2017-01-06T00:00:00-07:00,121.74008178710938 A
2017-01-07T00:00:00-07:00,121.74008178710938 A
2017-01-08T00:00:00-07:00,121.74008178710938 A
2017-01-09T00:00:00-07:00,121.74008178710938 A
2017-01-10T00:00:00-07:00,121.74008178710938 A
2017-01-11T00:00:00-07:00,121.74008178710938 A
2017-01-12T00:00:00-07:00,121.74008178710938 A
2017-01-13T00:00:00-07:00,121.74008178710938 A
2017-01-14T00:00:00-07:00,121.74008178710938 A
2017-01-15T00:00:00-07:00,121.74008178710938 A
2017-01-16T00:00:00-07:00,121.74008178710938 A
2017-01-17T00:00:00-07:00,121.74008178710938 A
2017-01-18T00:00:00-07:00,122.17801030569906 A
2017-01-19T00:00:00-07:00,122.73058197763231 A
2017-01-20T00:00:00-07:00,122.88303604711625 A
2017-01-21T00:00:00-07:00,122.85944830046759 A
2017-01-22T00:00:00-07:00,122.69280319213867 A
2017-01-23T00:00:00-07:00,122.66357456843058 A
2017-01-24T00:00:00-07:00,122.78907240231833 A
2017-01-25T00:00:00-07:00,122.63154639138116 A
2017-01-26T00:00:00-07:00,122.68062850104438 A
2017-01-27T00:00:00-07:00,122.69741476906671 A
2017-01-28T00:00:00-07:00,122.69242147869534 A
2017-01-29T00:00:00-07:00,122.70688334041172 A
2017-01-30T00:00:00-07:00,122.84657758076986 A
2017-01-31T00:00:00-07:00,122.54769772423639 A
2017-02-01T00:00:00-07:00,122.7069286081526 A
2017-02-02T00:00:00-07:00,122.65559951994155 A
2017-02-03T00:00:00-07:00,122.6480386454335 A
2017-02-04T00:00:00-07:00,122.80757301648458 A
2017-02-05T00:00:00-07:00,122.61390121777852 A
2017-02-06T00:00:00-07:00,122.73822841644287 A
2017-02-07T00:00:00-07:00,122.79061263674272 A
2017-02-08T00:00:00-07:00,122.74653221515365 A
2017-02-09T00:00:00-07:00,122.75439659224617 A
2017-02-10T00:00:00-07:00,122.71703973346287 A
2017-02-11T00:00:00-07:00,122.81593139966328 A
2017-02-12T00:00:00-07:00,122.71125240325928 A
2017-02-13T00:00:00-07:00,122.80396948861446 A
2017-02-14T00:00:00-07:00,122.85678335377493 A
2017-02-15T00:00:00-07:00,122.7798680888282 A
2017-02-16T00:00:00-07:00,122.73550275696648 A
2017-02-17T00:00:00-07:00,122.81718757417467 A
2017-02-18T00:00:00-07:00,122.8117290019989 A
2017-02-19T00:00:00-07:00,122.77777411672804 A
2017-02-20T00:00:00-07:00,122.65759148067899 A
2017-02-21T00:00:00-07:00,122.62531566090054 A
2017-02-22T00:00:00-07:00,122.76005827056036 A
2017-02-23T00:00:00-07:00,122.78404661814372 A
2017-02-24T00:00:00-07:00,122.78636514359161 A
2017-02-25T00:00:00-07:00,122.71288853221469 A
2017-02-26T00:00:00-07:00,122.88359598053826 A
2017-02-27T00:00:00-07:00,122.9198156727685 A
2017-02-28T00:00:00-07:00,122.76745088005994 A
2017-03-01T00:00:00-07:00,122.7792313893636 A
2017-03-02T00:00:00-07:00,122.76547485457526 A
2017-03-03T00:00:00-07:00,122.67158104048835 A
2017-03-04T00:00:00-07:00,122.79451274342007 A
2017-03-05T00:00:00-07:00,122.71931015120612 A
2017-03-06T00:00:00-07:00,122.68765387005276 A
2017-03-07T00:00:00-07:00,122.78677942487928 A
2017-03-08T00:00:00-07:00,122.80753819677565 A
2017-03-09T00:00:00-07:00,122.78678900930616 A
2017-03-10T00:00:00-07:00,122.80201507674323 A
2017-03-11T00:00:00-07:00,122.88897554609511 A
2017-03-12T00:00:00-07:00,122.81064099298007 A
2017-03-13T00:00:00-06:00,122.83307807180617 A
2017-03-14T00:00:00-06:00,122.78241699006823 A
2017-03-15T00:00:00-06:00,122.67410566541884 A
2017-03-16T00:00:00-06:00,122.90505641301473 A
2017-03-17T00:00:00-06:00,122.72849847475688 A
2017-03-18T00:00:00-06:00,122.82923226356506 A
2017-03-19T00:00:00-06:00,122.63192876180013 A
2017-03-20T00:00:00-06:00,122.58338700242139 A
2017-03-21T00:00:00-06:00,122.5990689224667 A
2017-03-22T00:00:00-06:00,122.69511361122132 A
2017-03-23T00:00:00-06:00,122.81372187932332 A
2017-03-24T00:00:00-06:00,122.94496415456136 A
2017-03-25T00:00:00-06:00,122.94508460362752 A
2017-03-26T00:00:00-06:00,122.69774083031548 A
2017-03-27T00:00:00-06:00,122.8222736093733 A
2017-03-28T00:00:00-06:00,123.00080495940314 A
2017-03-29T00:00:00-06:00,122.89240132859089 A
2017-03-30T00:00:00-06:00,122.78786146375867 A
2017-03-31T00:00:00-06:00,122.89025626182556 A
2017-04-01T00:00:00-06:00,123.0115811083052 A
2017-04-02T00:00:00-06:00,123.0204961458842 A
2017-04-03T00:00:00-06:00,122.8443286312951 A
2017-04-04T00:00:00-06:00,122.9295059521993 A
2017-04-05T00:00:00-06:00,122.81894409921435 A
2017-04-06T00:00:00-06:00,122.7604412926568 A
2017-04-07T00:00:00-06:00,122.87003315289816 A
2017-04-08T00:00:00-06:00,122.99075032340156 A
2017-04-09T00:00:00-06:00,123.03554702864753 A
2017-04-10T00:00:00-06:00,122.92124352984958 A
2017-04-11T00:00:00-06:00,122.89857399198743 A
2017-04-12T00:00:00-06:00,122.72364722357855 A
2017-04-13T00:00:00-06:00,122.67538005510966 A
2017-04-14T00:00:00-06:00,122.90511720445421 A
2017-04-15T00:00:00-06:00,122.73111378351847 A
2017-04-16T00:00:00-06:00,123.13478122817145 A
2017-04-17T00:00:00-06:00,122.88918629222447 A
2017-04-18T00:00:00-06:00,122.79960855907864 A
2017-04-19T00:00:00-06:00,122.7960625383589 A
2017-04-20T00:00:00-06:00,122.9726561545663 A
2017-04-21T00:00:00-06:00,122.84830629560682 A
2017-04-22T00:00:00-06:00,122.90734833611383 A
2017-04-23T00:00:00-06:00,122.87970577345953 A
2017-04-24T00:00:00-06:00,123.01542309409136 A
2017-04-25T00:00:00-06:00,122.90973875787523 A
2017-04-26T00:00:00-06:00,122.83690134154426 A
2017-04-27T00:00:00-06:00,123.01051264868842 A
2017-04-28T00:00:00-06:00,122.84181997511122 A
2017-04-29T00:00:00-06:00,123.02186067369249 A
2017-04-30T00:00:00-06:00,122.83929472499423 A
2017-05-01T00:00:00-06:00,122.78186523649427 A
2017-05-02T00:00:00-06:00,122.74948253724375 A
2017-05-03T00:00:00-06:00,122.81485013961792 A
2017-05-04T00:00:00-06:00,122.82662489149305 A
2017-05-05T00:00:00-06:00,122.84919121000502 A
2017-05-06T00:00:00-06:00,122.82524551815457 A
2017-05-07T00:00:00-06:00,122.79934785630968 A
2017-05-08T00:00:00-06:00,122.75999403601776 A
2017-05-09T00:00:00-06:00,122.79496664471097 A
2017-05-10T00:00:00-06:00,122.76595838864644 A
2017-05-11T00:00:00-06:00,122.55778556929694 A
2017-05-12T00:00:00-06:00,122.78157518174913 A
2017-05-13T00:00:00-06:00,122.94350683954028 A
2017-05-14T00:00:00-06:00,122.63648197386 A
