Timestamp,['1cac6e87-2be5c7ab 0011-BROWNING BLDG Power Meter 311945 Current C']
2017-01-01T00:00:00-07:00,178.9557647705078 A
2017-01-02T00:00:00-07:00,178.9557647705078 A
2017-01-03T00:00:00-07:00,178.9557647705078 A
2017-01-04T00:00:00-07:00,178.9557647705078 A
2017-01-05T00:00:00-07:00,178.9557647705078 A
2017-01-06T00:00:00-07:00,178.9557647705078 A
2017-01-07T00:00:00-07:00,178.9557647705078 A
2017-01-08T00:00:00-07:00,178.9557647705078 A
2017-01-09T00:00:00-07:00,178.9557647705078 A
2017-01-10T00:00:00-07:00,178.9557647705078 A
2017-01-11T00:00:00-07:00,178.9557647705078 A
2017-01-12T00:00:00-07:00,178.9557647705078 A
2017-01-13T00:00:00-07:00,178.9557647705078 A
2017-01-14T00:00:00-07:00,178.9557647705078 A
2017-01-15T00:00:00-07:00,178.9557647705078 A
2017-01-16T00:00:00-07:00,178.9557647705078 A
2017-01-17T00:00:00-07:00,178.9557647705078 A
2017-01-18T00:00:00-07:00,159.7696781381529 A
2017-01-19T00:00:00-07:00,134.1043192969428 A
2017-01-20T00:00:00-07:00,133.43198504451266 A
2017-01-21T00:00:00-07:00,114.60205858018664 A
2017-01-22T00:00:00-07:00,115.94809754689534 A
2017-01-23T00:00:00-07:00,160.30052109824285 A
2017-01-24T00:00:00-07:00,141.73140443695917 A
2017-01-25T00:00:00-07:00,159.12599885728625 A
2017-01-26T00:00:00-07:00,133.88122271961635 A
2017-01-27T00:00:00-07:00,134.41417165862188 A
2017-01-28T00:00:00-07:00,116.20538439220853 A
2017-01-29T00:00:00-07:00,113.49129211637708 A
2017-01-30T00:00:00-07:00,132.06650027698942 A
2017-01-31T00:00:00-07:00,163.68549359639485 A
2017-02-01T00:00:00-07:00,153.22369560665555 A
2017-02-02T00:00:00-07:00,155.73041344748603 A
2017-02-03T00:00:00-07:00,147.5731881614192 A
2017-02-04T00:00:00-07:00,131.2018315580156 A
2017-02-05T00:00:00-07:00,129.229363711675 A
2017-02-06T00:00:00-07:00,151.85876424047683 A
2017-02-07T00:00:00-07:00,139.46268061869276 A
2017-02-08T00:00:00-07:00,164.68957416035911 A
2017-02-09T00:00:00-07:00,148.42179559601678 A
2017-02-10T00:00:00-07:00,176.3693997912937 A
2017-02-11T00:00:00-07:00,140.32519800398086 A
2017-02-12T00:00:00-07:00,135.85010010931228 A
