Timestamp,['1cbacb96-e55abe3c 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt A-B']
2017-06-26T00:00:00-06:00,211.60523376464843 V
2017-06-27T00:00:00-06:00,211.442902247111 V
2017-06-28T00:00:00-06:00,211.26232767105103 V
2017-06-29T00:00:00-06:00,211.48957888285318 V
2017-06-30T00:00:00-06:00,211.72436141967773 V
2017-07-01T00:00:00-06:00,211.4790155092875 V
2017-07-02T00:00:00-06:00,211.55576785405478 V
2017-07-03T00:00:00-06:00,211.34291092554727 V
2017-07-04T00:00:00-06:00,211.4514627456665 V
2017-07-05T00:00:00-06:00,211.45756689707437 V
2017-07-06T00:00:00-06:00,211.39186064402261 V
2017-07-07T00:00:00-06:00,211.58395926157633 V
2017-07-08T00:00:00-06:00,211.62231620152792 V
2017-07-09T00:00:00-06:00,211.40450874964395 V
2017-07-10T00:00:00-06:00,211.39154736200967 V
2017-07-11T00:00:00-06:00,211.48878320058188 V
2017-07-12T00:00:00-06:00,211.49401187896729 V
2017-07-13T00:00:00-06:00,211.4656311670939 V
2017-07-14T00:00:00-06:00,211.38291676839194 V
2017-07-15T00:00:00-06:00,211.41002559661865 V
2017-07-16T00:00:00-06:00,211.4493726094564 V
2017-07-17T00:00:00-06:00,211.39593903223673 V
2017-07-18T00:00:00-06:00,211.57165797551474 V
2017-07-19T00:00:00-06:00,211.39116779963175 V
2017-07-20T00:00:00-06:00,211.37014245986938 V
2017-07-21T00:00:00-06:00,211.42999108632407 V
2017-07-22T00:00:00-06:00,211.41124312082925 V
2017-07-23T00:00:00-06:00,211.5284856160482 V
2017-07-24T00:00:00-06:00,211.3980304400126 V
2017-07-25T00:00:00-06:00,211.463738600413 V
2017-07-26T00:00:00-06:00,211.28917376200357 V
2017-07-27T00:00:00-06:00,211.42536195119223 V
2017-07-28T00:00:00-06:00,211.4079802831014 V
2017-07-29T00:00:00-06:00,211.35126781463623 V
2017-07-30T00:00:00-06:00,211.49993165334067 V
2017-07-31T00:00:00-06:00,211.37659947077432 V
2017-08-01T00:00:00-06:00,211.37682104110718 V
2017-08-02T00:00:00-06:00,211.22022485733032 V
2017-08-03T00:00:00-06:00,211.5020840962728 V
2017-08-04T00:00:00-06:00,211.30631465702265 V
2017-08-05T00:00:00-06:00,211.44831784566244 V
2017-08-06T00:00:00-06:00,211.57474676767984 V
2017-08-07T00:00:00-06:00,211.3319876988729 V
2017-08-08T00:00:00-06:00,211.26628001530966 V
2017-08-09T00:00:00-06:00,211.3955841064453 V
2017-08-10T00:00:00-06:00,211.45888730312916 V
2017-08-11T00:00:00-06:00,211.40983057022095 V
2017-08-12T00:00:00-06:00,211.56780751546225 V
2017-08-13T00:00:00-06:00,211.51594146092734 V
2017-08-14T00:00:00-06:00,211.40332380930582 V
2017-08-15T00:00:00-06:00,211.39245812098184 V
2017-08-16T00:00:00-06:00,211.42216444015503 V
2017-08-17T00:00:00-06:00,211.4730985959371 V
2017-08-18T00:00:00-06:00,211.4600132306417 V
2017-08-19T00:00:00-06:00,211.39861345291138 V
2017-08-20T00:00:00-06:00,211.48986387252808 V
2017-08-21T00:00:00-06:00,211.42111857732138 V
2017-08-22T00:00:00-06:00,211.50190242131552 V
2017-08-23T00:00:00-06:00,211.4695676167806 V
2017-08-24T00:00:00-06:00,211.4950876235962 V
2017-08-25T00:00:00-06:00,211.34862915674844 V
2017-08-26T00:00:00-06:00,211.3517902692159 V
2017-08-27T00:00:00-06:00,211.31893078486124 V
2017-08-28T00:00:00-06:00,211.43653492261004 V
2017-08-29T00:00:00-06:00,211.42259249123194 V
2017-08-30T00:00:00-06:00,211.34890174865723 V
2017-08-31T00:00:00-06:00,211.400954246521 V
2017-09-01T00:00:00-06:00,211.48402166366577 V
2017-09-02T00:00:00-06:00,211.3972280820211 V
2017-09-03T00:00:00-06:00,211.63403717676798 V
2017-09-04T00:00:00-06:00,211.2150238355001 V
2017-09-05T00:00:00-06:00,211.52023776372275 V
2017-09-06T00:00:00-06:00,211.42262427012125 V
2017-09-07T00:00:00-06:00,211.27881940205893 V
2017-09-08T00:00:00-06:00,211.51216928582443 V
2017-09-09T00:00:00-06:00,211.56979131698608 V
2017-09-10T00:00:00-06:00,211.5531465212504 V
2017-09-11T00:00:00-06:00,211.32083749771118 V
2017-09-12T00:00:00-06:00,211.42863925298056 V
2017-09-13T00:00:00-06:00,211.48602310816446 V
2017-09-14T00:00:00-06:00,211.63152186075845 V
2017-09-15T00:00:00-06:00,211.66488393147787 V
2017-09-16T00:00:00-06:00,211.75715255737305 V
2017-09-17T00:00:00-06:00,211.54582659403482 V
2017-09-18T00:00:00-06:00,211.47871001561484 V
2017-09-19T00:00:00-06:00,211.3572998046875 V
2017-09-20T00:00:00-06:00,211.57010539372763 V
2017-09-21T00:00:00-06:00,211.62592808405557 V
2017-09-22T00:00:00-06:00,211.86577049891153 V
2017-09-23T00:00:00-06:00,211.326819896698 V
2017-09-24T00:00:00-06:00,211.61693366368613 V
2017-09-25T00:00:00-06:00,211.62747526168823 V
2017-09-26T00:00:00-06:00,211.48224639892578 V
2017-09-27T00:00:00-06:00,211.62335538864136 V
2017-09-28T00:00:00-06:00,211.61730670928955 V
2017-09-29T00:00:00-06:00,211.6013561884562 V
2017-09-30T00:00:00-06:00,211.30385160446167 V
2017-10-01T00:00:00-06:00,211.21215947469076 V
2017-10-02T00:00:00-06:00,211.48196363449097 V
2017-10-03T00:00:00-06:00,211.18127059936523 V
2017-10-04T00:00:00-06:00,211.59030421574911 V
2017-10-05T00:00:00-06:00,211.4738278388977 V
2017-10-06T00:00:00-06:00,211.4321502049764 V
2017-10-07T00:00:00-06:00,211.697779973348 V
2017-10-08T00:00:00-06:00,211.60526609420776 V
2017-10-09T00:00:00-06:00,211.55669021606445 V
2017-10-10T00:00:00-06:00,211.3760722478231 V
2017-10-11T00:00:00-06:00,211.42867851257324 V
2017-10-12T00:00:00-06:00,211.59556277592978 V
2017-10-13T00:00:00-06:00,211.49406385421753 V
2017-10-14T00:00:00-06:00,211.4379727045695 V
2017-10-15T00:00:00-06:00,211.39074548085532 V
2017-10-16T00:00:00-06:00,211.4676342010498 V
2017-10-17T00:00:00-06:00,211.2846179008484 V
2017-10-18T00:00:00-06:00,211.62095657984415 V
2017-10-19T00:00:00-06:00,211.7424087524414 V
2017-10-20T00:00:00-06:00,211.37798007329306 V
2017-10-21T00:00:00-06:00,211.5473918914795 V
2017-10-22T00:00:00-06:00,211.39164384206137 V
2017-10-23T00:00:00-06:00,211.68511279424033 V
2017-10-24T00:00:00-06:00,211.48973496754965 V
2017-10-25T00:00:00-06:00,211.56613763173422 V
2017-10-26T00:00:00-06:00,211.376211643219 V
2017-10-27T00:00:00-06:00,211.48019234339395 V
2017-10-28T00:00:00-06:00,211.3788916269938 V
2017-10-29T00:00:00-06:00,211.28299538294473 V
2017-10-30T00:00:00-06:00,211.55620288848877 V
2017-10-31T00:00:00-06:00,211.63473256429037 V
2017-11-01T00:00:00-06:00,211.1980627377828 V
2017-11-02T00:00:00-06:00,211.5278434753418 V
2017-11-03T00:00:00-06:00,211.5737476348877 V
2017-11-04T00:00:00-06:00,211.4645880063375 V
2017-11-05T00:00:00-06:00,211.58388565063476 V
2017-11-06T00:00:00-07:00,211.64174238840738 V
2017-11-07T00:00:00-07:00,211.69689003626505 V
2017-11-08T00:00:00-07:00,211.40635951360068 V
2017-11-09T00:00:00-07:00,211.31463956832886 V
2017-11-10T00:00:00-07:00,211.54143126805624 V
2017-11-11T00:00:00-07:00,211.34263928731283 V
2017-11-12T00:00:00-07:00,211.44540945688883 V
2017-11-13T00:00:00-07:00,211.50973240534464 V
2017-11-14T00:00:00-07:00,211.37729374567667 V
2017-11-15T00:00:00-07:00,211.0131425857544 V
2017-11-16T00:00:00-07:00,211.75952768325806 V
2017-11-17T00:00:00-07:00,211.4356977144877 V
2017-11-18T00:00:00-07:00,211.72290674845377 V
2017-11-19T00:00:00-07:00,211.9494570096334 V
2017-11-20T00:00:00-07:00,211.66931581497192 V
2017-11-21T00:00:00-07:00,211.23272816340128 V
2017-11-22T00:00:00-07:00,211.59977372487387 V
2017-11-23T00:00:00-07:00,211.56643279393515 V
2017-11-24T00:00:00-07:00,211.6490715344747 V
2017-11-25T00:00:00-07:00,211.46367947260538 V
2017-11-26T00:00:00-07:00,211.52180353800455 V
2017-11-27T00:00:00-07:00,211.59498500823975 V
2017-11-28T00:00:00-07:00,211.40233929951987 V
2017-11-29T00:00:00-07:00,211.33658520380655 V
2017-11-30T00:00:00-07:00,211.24644009272257 V
2017-12-01T00:00:00-07:00,211.42450586954752 V
2017-12-02T00:00:00-07:00,211.32766421635947 V
2017-12-03T00:00:00-07:00,211.2907485961914 V
2017-12-04T00:00:00-07:00,211.22395435969034 V
2017-12-05T00:00:00-07:00,211.4370004336039 V
2017-12-06T00:00:00-07:00,211.47774092356363 V
2017-12-07T00:00:00-07:00,211.63263909022012 V
2017-12-08T00:00:00-07:00,211.68546311060587 V
2017-12-09T00:00:00-07:00,211.77012491226196 V
2017-12-10T00:00:00-07:00,211.65099986394247 V
2017-12-11T00:00:00-07:00,211.40572468439737 V
2017-12-12T00:00:00-07:00,211.221133073171 V
2017-12-13T00:00:00-07:00,211.43833017349243 V
2017-12-14T00:00:00-07:00,211.6020304361979 V
2017-12-15T00:00:00-07:00,211.42581542332968 V
2017-12-16T00:00:00-07:00,211.6137612660726 V
2017-12-17T00:00:00-07:00,211.35607210795084 V
2017-12-18T00:00:00-07:00,211.48023871965304 V
2017-12-19T00:00:00-07:00,211.25599638621011 V
2017-12-20T00:00:00-07:00,211.52615102132162 V
2017-12-21T00:00:00-07:00,211.3082979520162 V
2017-12-22T00:00:00-07:00,211.39018694559732 V
2017-12-23T00:00:00-07:00,211.3241079648336 V
2017-12-24T00:00:00-07:00,211.35863240559897 V
2017-12-25T00:00:00-07:00,211.6076979637146 V
2017-12-26T00:00:00-07:00,211.6416161855062 V
2017-12-27T00:00:00-07:00,211.1056513786316 V
2017-12-28T00:00:00-07:00,211.59653504689535 V
2017-12-29T00:00:00-07:00,211.38081089655557 V
2017-12-30T00:00:00-07:00,211.30521551767984 V
2017-12-31T00:00:00-07:00,211.18199014663696 V
