Timestamp,['1cbacbc5-cfc234b4 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt B-C']
2017-06-26T00:00:00-06:00,211.50914764404297 V
2017-06-27T00:00:00-06:00,211.35508171717325 V
2017-06-28T00:00:00-06:00,211.15096362431845 V
2017-06-29T00:00:00-06:00,211.4192450841268 V
2017-06-30T00:00:00-06:00,211.6673437754313 V
2017-07-01T00:00:00-06:00,211.3951161702474 V
2017-07-02T00:00:00-06:00,211.46684996287027 V
2017-07-03T00:00:00-06:00,211.2763516108195 V
2017-07-04T00:00:00-06:00,211.33309284845987 V
2017-07-05T00:00:00-06:00,211.378124554952 V
2017-07-06T00:00:00-06:00,211.27510134379068 V
2017-07-07T00:00:00-06:00,211.50075562795004 V
2017-07-08T00:00:00-06:00,211.5367013613383 V
2017-07-09T00:00:00-06:00,211.29255294799805 V
2017-07-10T00:00:00-06:00,211.293350537618 V
2017-07-11T00:00:00-06:00,211.36732133229575 V
2017-07-12T00:00:00-06:00,211.3671587308248 V
2017-07-13T00:00:00-06:00,211.32958793640137 V
2017-07-14T00:00:00-06:00,211.25017833709717 V
2017-07-15T00:00:00-06:00,211.2760648727417 V
2017-07-16T00:00:00-06:00,211.30854511260986 V
2017-07-17T00:00:00-06:00,211.27686071395874 V
2017-07-18T00:00:00-06:00,211.4830582936605 V
2017-07-19T00:00:00-06:00,211.2859787940979 V
2017-07-20T00:00:00-06:00,211.26937246322632 V
2017-07-21T00:00:00-06:00,211.36885039011636 V
2017-07-22T00:00:00-06:00,211.37162621816 V
2017-07-23T00:00:00-06:00,211.44442574183145 V
2017-07-24T00:00:00-06:00,211.3329242070516 V
2017-07-25T00:00:00-06:00,211.39248863855997 V
2017-07-26T00:00:00-06:00,211.24407227834067 V
2017-07-27T00:00:00-06:00,211.35502783457437 V
2017-07-28T00:00:00-06:00,211.346435546875 V
2017-07-29T00:00:00-06:00,211.29941844940186 V
2017-07-30T00:00:00-06:00,211.42336988449097 V
2017-07-31T00:00:00-06:00,211.2770741780599 V
2017-08-01T00:00:00-06:00,211.3107074101766 V
2017-08-02T00:00:00-06:00,211.18694496154785 V
