Timestamp,['1cbacbc5-d6b0bb2b 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt C-A']
2017-06-26T00:00:00-06:00,211.43490905761718 V
2017-06-27T00:00:00-06:00,211.28167899449667 V
2017-06-28T00:00:00-06:00,211.08215379714966 V
2017-06-29T00:00:00-06:00,211.32032839457193 V
2017-06-30T00:00:00-06:00,211.57801246643066 V
2017-07-01T00:00:00-06:00,211.32910521825156 V
2017-07-02T00:00:00-06:00,211.40611537297568 V
2017-07-03T00:00:00-06:00,211.19543743133545 V
2017-07-04T00:00:00-06:00,211.26675717035928 V
2017-07-05T00:00:00-06:00,211.30338875452676 V
2017-07-06T00:00:00-06:00,211.2007295290629 V
2017-07-07T00:00:00-06:00,211.42700862884521 V
2017-07-08T00:00:00-06:00,211.47492663065592 V
2017-07-09T00:00:00-06:00,211.247332572937 V
2017-07-10T00:00:00-06:00,211.23940801620483 V
2017-07-11T00:00:00-06:00,211.3061736424764 V
2017-07-12T00:00:00-06:00,211.30963246027628 V
2017-07-13T00:00:00-06:00,211.28044907251993 V
2017-07-14T00:00:00-06:00,211.20876614252725 V
2017-07-15T00:00:00-06:00,211.2275471687317 V
2017-07-16T00:00:00-06:00,211.2730105717977 V
2017-07-17T00:00:00-06:00,211.23706181844076 V
2017-07-18T00:00:00-06:00,211.4131269454956 V
2017-07-19T00:00:00-06:00,211.2404702504476 V
2017-07-20T00:00:00-06:00,211.22377490997314 V
2017-07-21T00:00:00-06:00,211.29516776402792 V
2017-07-22T00:00:00-06:00,211.3056403795878 V
2017-07-23T00:00:00-06:00,211.3795067469279 V
2017-07-24T00:00:00-06:00,211.25698073705038 V
2017-07-25T00:00:00-06:00,211.34454154968262 V
2017-07-26T00:00:00-06:00,211.17777140935263 V
2017-07-27T00:00:00-06:00,211.29663689931235 V
2017-07-28T00:00:00-06:00,211.28218491872153 V
2017-07-29T00:00:00-06:00,211.22093629837036 V
2017-07-30T00:00:00-06:00,211.35824171702066 V
2017-07-31T00:00:00-06:00,211.20312531789145 V
2017-08-01T00:00:00-06:00,211.23601833979288 V
2017-08-02T00:00:00-06:00,211.10567792256674 V
2017-08-03T00:00:00-06:00,211.42580111821493 V
2017-08-04T00:00:00-06:00,211.2334447169042 V
2017-08-05T00:00:00-06:00,211.33480405807495 V
2017-08-06T00:00:00-06:00,211.4548684755961 V
2017-08-07T00:00:00-06:00,211.2471168835958 V
2017-08-08T00:00:00-06:00,211.1895521481832 V
2017-08-09T00:00:00-06:00,211.292919476827 V
2017-08-10T00:00:00-06:00,211.38587188720703 V
2017-08-11T00:00:00-06:00,211.33684984842935 V
2017-08-12T00:00:00-06:00,211.45813941955566 V
2017-08-13T00:00:00-06:00,211.40868043899536 V
2017-08-14T00:00:00-06:00,211.29076512654623 V
2017-08-15T00:00:00-06:00,211.3005329767863 V
2017-08-16T00:00:00-06:00,211.3307867050171 V
2017-08-17T00:00:00-06:00,211.36100832621256 V
2017-08-18T00:00:00-06:00,211.34835322697958 V
2017-08-19T00:00:00-06:00,211.26986026763916 V
2017-08-20T00:00:00-06:00,211.35703214009604 V
2017-08-21T00:00:00-06:00,211.25705687204996 V
2017-08-22T00:00:00-06:00,211.34958585103354 V
2017-08-23T00:00:00-06:00,211.2928981781006 V
2017-08-24T00:00:00-06:00,211.33170700073242 V
2017-08-25T00:00:00-06:00,211.2060481707255 V
2017-08-26T00:00:00-06:00,211.20680697758993 V
2017-08-27T00:00:00-06:00,211.1778769493103 V
2017-08-28T00:00:00-06:00,211.28417755455098 V
2017-08-29T00:00:00-06:00,211.28776468256467 V
2017-08-30T00:00:00-06:00,211.15114545822144 V
2017-08-31T00:00:00-06:00,211.21658579508463 V
2017-09-01T00:00:00-06:00,211.34540239969888 V
