Timestamp,['1cbacc0f-fe63d7e3 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt C-N']
2017-06-26T00:00:00-06:00,122.02323455810547 V
2017-06-27T00:00:00-06:00,121.93594408035278 V
2017-06-28T00:00:00-06:00,121.80661002794902 V
2017-06-29T00:00:00-06:00,121.96498195330302 V
2017-06-30T00:00:00-06:00,122.12286591529846 V
2017-07-01T00:00:00-06:00,121.96458665529887 V
2017-07-02T00:00:00-06:00,122.00094318389893 V
2017-07-03T00:00:00-06:00,121.89317854245503 V
2017-07-04T00:00:00-06:00,121.90435528755188 V
2017-07-05T00:00:00-06:00,121.94974978764851 V
2017-07-06T00:00:00-06:00,121.87064663569133 V
2017-07-07T00:00:00-06:00,122.01847942670186 V
2017-07-08T00:00:00-06:00,122.04890449841817 V
2017-07-09T00:00:00-06:00,121.9043083190918 V
2017-07-10T00:00:00-06:00,121.9023490746816 V
2017-07-11T00:00:00-06:00,121.9280305703481 V
2017-07-12T00:00:00-06:00,121.93196376164754 V
2017-07-13T00:00:00-06:00,121.90397254625957 V
2017-07-14T00:00:00-06:00,121.86500573158264 V
2017-07-15T00:00:00-06:00,121.87719631195068 V
2017-07-16T00:00:00-06:00,121.89953390757243 V
2017-07-17T00:00:00-06:00,121.88933904965718 V
2017-07-18T00:00:00-06:00,122.00577155749004 V
2017-07-19T00:00:00-06:00,121.90151762962341 V
2017-07-20T00:00:00-06:00,121.88990132013957 V
2017-07-21T00:00:00-06:00,121.95501430829366 V
2017-07-22T00:00:00-06:00,121.97495786348979 V
2017-07-23T00:00:00-06:00,121.99720946947734 V
2017-07-24T00:00:00-06:00,121.93329191207886 V
2017-07-25T00:00:00-06:00,121.98054631551106 V
2017-07-26T00:00:00-06:00,121.89761233329773 V
2017-07-27T00:00:00-06:00,121.95558540026347 V
2017-07-28T00:00:00-06:00,121.94939359029134 V
2017-07-29T00:00:00-06:00,121.91866223017375 V
2017-07-30T00:00:00-06:00,121.97941557566325 V
2017-07-31T00:00:00-06:00,121.87673322359721 V
2017-08-01T00:00:00-06:00,121.92043550809224 V
2017-08-02T00:00:00-06:00,121.86433124542236 V
2017-08-03T00:00:00-06:00,122.06358178456624 V
2017-08-04T00:00:00-06:00,121.95266396658761 V
2017-08-05T00:00:00-06:00,121.9914915561676 V
2017-08-06T00:00:00-06:00,122.05461541811626 V
2017-08-07T00:00:00-06:00,121.95682621002197 V
2017-08-08T00:00:00-06:00,121.91587201754253 V
2017-08-09T00:00:00-06:00,121.96012918154399 V
2017-08-10T00:00:00-06:00,122.03634935744266 V
2017-08-11T00:00:00-06:00,122.03312826156616 V
2017-08-12T00:00:00-06:00,122.07782085736592 V
2017-08-13T00:00:00-06:00,122.03916708628337 V
