Timestamp,['1cbacc75-b2894653 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) KW']
2017-01-01T00:00:00-07:00,19.153995513916016 kW
2017-01-02T00:00:00-07:00,19.884708404541016 kW
2017-01-03T00:00:00-07:00,32.54481506347656 kW
2017-01-04T00:00:00-07:00,34.816184997558594 kW
2017-01-05T00:00:00-07:00,34.19406509399414 kW
2017-01-06T00:00:00-07:00,38.511863708496094 kW
2017-01-07T00:00:00-07:00,30.103452682495117 kW
2017-01-08T00:00:00-07:00,28.08553695678711 kW
2017-01-09T00:00:00-07:00,46.87771224975586 kW
2017-01-10T00:00:00-07:00,46.55693435668945 kW
2017-01-11T00:00:00-07:00,48.79587936401367 kW
2017-01-12T00:00:00-07:00,48.325740814208984 kW
2017-01-13T00:00:00-07:00,49.035037994384766 kW
2017-01-14T00:00:00-07:00,32.263038635253906 kW
2017-01-15T00:00:00-07:00,33.358768463134766 kW
2017-01-16T00:00:00-07:00,32.04576873779297 kW
2017-01-17T00:00:00-07:00,54.11475372314453 kW
2017-01-18T00:00:00-07:00,54.022361755371094 kW
2017-01-19T00:00:00-07:00,54.016319274902344 kW
2017-01-20T00:00:00-07:00,48.839359283447266 kW
2017-01-21T00:00:00-07:00,28.35732650756836 kW
2017-01-22T00:00:00-07:00,39.9260368347168 kW
2017-01-23T00:00:00-07:00,53.90982437133789 kW
2017-01-24T00:00:00-07:00,53.72600555419922 kW
2017-01-25T00:00:00-07:00,53.61564636230469 kW
2017-01-26T00:00:00-07:00,48.511985778808594 kW
2017-01-27T00:00:00-07:00,49.34280014038086 kW
2017-01-28T00:00:00-07:00,31.09815788269043 kW
2017-01-29T00:00:00-07:00,29.670291900634766 kW
2017-01-30T00:00:00-07:00,52.45090866088867 kW
2017-01-31T00:00:00-07:00,51.24721908569336 kW
2017-02-01T00:00:00-07:00,54.692161560058594 kW
2017-02-02T00:00:00-07:00,53.800132751464844 kW
2017-02-03T00:00:00-07:00,48.0732536315918 kW
2017-02-04T00:00:00-07:00,37.75300598144531 kW
2017-02-05T00:00:00-07:00,37.36091232299805 kW
2017-02-06T00:00:00-07:00,57.95777130126953 kW
2017-02-07T00:00:00-07:00,55.08495330810547 kW
2017-02-08T00:00:00-07:00,56.75628662109375 kW
2017-02-09T00:00:00-07:00,59.00306701660156 kW
2017-02-10T00:00:00-07:00,46.78610610961914 kW
2017-02-11T00:00:00-07:00,38.55348587036133 kW
2017-02-12T00:00:00-07:00,34.1502799987793 kW
2017-02-13T00:00:00-07:00,58.758758544921875 kW
2017-02-14T00:00:00-07:00,53.60693359375 kW
2017-02-15T00:00:00-07:00,56.66317367553711 kW
2017-02-16T00:00:00-07:00,55.35786819458008 kW
2017-02-17T00:00:00-07:00,48.189327239990234 kW
2017-02-18T00:00:00-07:00,37.890464782714844 kW
2017-02-19T00:00:00-07:00,37.068912506103516 kW
2017-02-20T00:00:00-07:00,31.09977149963379 kW
2017-02-21T00:00:00-07:00,55.84652328491211 kW
2017-02-22T00:00:00-07:00,55.85816192626953 kW
2017-02-23T00:00:00-07:00,58.210655212402344 kW
2017-02-24T00:00:00-07:00,52.987247467041016 kW
2017-02-25T00:00:00-07:00,36.521766662597656 kW
2017-02-26T00:00:00-07:00,34.897274017333984 kW
2017-02-27T00:00:00-07:00,59.59078598022461 kW
2017-02-28T00:00:00-07:00,55.298099517822266 kW
2017-03-01T00:00:00-07:00,57.05112838745117 kW
2017-03-02T00:00:00-07:00,57.88315200805664 kW
2017-03-03T00:00:00-07:00,52.618961334228516 kW
2017-03-04T00:00:00-07:00,34.81154251098633 kW
2017-03-05T00:00:00-07:00,33.43619918823242 kW
2017-03-06T00:00:00-07:00,66.66326904296875 kW
2017-03-07T00:00:00-07:00,56.75867462158203 kW
2017-03-08T00:00:00-07:00,65.14665222167969 kW
2017-03-09T00:00:00-07:00,50.074371337890625 kW
