Timestamp,['1cbae8a7-6863c3f8 0038-ART BLDG Power Meter 300086 Current A']
2017-01-01T00:00:00-07:00,67.41267165448451 A
2017-01-02T00:00:00-07:00,67.05151555803087 A
2017-01-03T00:00:00-07:00,73.83819881545173 A
2017-01-04T00:00:00-07:00,75.23392532401614 A
2017-01-05T00:00:00-07:00,72.06456907164976 A
2017-01-06T00:00:00-07:00,75.05489333979112 A
2017-01-07T00:00:00-07:00,70.95746362739139 A
2017-01-08T00:00:00-07:00,78.4306910276413 A
2017-01-09T00:00:00-07:00,89.0463045861986 A
2017-01-10T00:00:00-07:00,86.09049163394504 A
2017-01-11T00:00:00-07:00,89.58532371785905 A
2017-01-12T00:00:00-07:00,90.7041855998301 A
2017-01-13T00:00:00-07:00,92.61949378649393 A
2017-01-14T00:00:00-07:00,77.34052515029907 A
2017-01-15T00:00:00-07:00,77.69825324720604 A
2017-01-16T00:00:00-07:00,83.2574625439114 A
2017-01-17T00:00:00-07:00,96.84820680704442 A
2017-01-18T00:00:00-07:00,105.36161444216815 A
2017-01-19T00:00:00-07:00,93.6329746193356 A
2017-01-20T00:00:00-07:00,80.46535516434089 A
2017-01-21T00:00:00-07:00,75.01599615758454 A
2017-01-22T00:00:00-07:00,83.63179348540687 A
2017-01-23T00:00:00-07:00,111.29289139111837 A
2017-01-24T00:00:00-07:00,95.33324089341896 A
2017-01-25T00:00:00-07:00,99.00264673716828 A
2017-01-26T00:00:00-07:00,101.57614019711812 A
2017-01-27T00:00:00-07:00,82.16083940157384 A
2017-01-28T00:00:00-07:00,75.03579111629062 A
2017-01-29T00:00:00-07:00,76.96255577935113 A
2017-01-30T00:00:00-07:00,92.66050364706251 A
2017-01-31T00:00:00-07:00,100.13845740424262 A
2017-02-01T00:00:00-07:00,120.15805161794027 A
2017-02-02T00:00:00-07:00,92.55838264889188 A
2017-02-03T00:00:00-07:00,85.7766459175412 A
2017-02-04T00:00:00-07:00,97.37904464933607 A
2017-02-05T00:00:00-07:00,76.253823545244 A
2017-02-06T00:00:00-07:00,98.86525472535027 A
2017-02-07T00:00:00-07:00,107.61637548845246 A
2017-02-08T00:00:00-07:00,96.75354392675538 A
2017-02-09T00:00:00-07:00,92.76038699944814 A
2017-02-10T00:00:00-07:00,86.5108022928238 A
2017-02-11T00:00:00-07:00,77.38338913387723 A
2017-02-12T00:00:00-07:00,81.1185766087638 A
2017-02-13T00:00:00-07:00,99.76467570728725 A
2017-02-14T00:00:00-07:00,86.36439571127721 A
2017-02-15T00:00:00-07:00,100.18171936670939 A
2017-02-16T00:00:00-07:00,92.12498311883795 A
2017-02-17T00:00:00-07:00,94.11865426037691 A
2017-02-18T00:00:00-07:00,77.07815346717834 A
