Timestamp,['1cc3fb92-cd30c790 0008-EMERY BLDG Power Meter 300026 Current A']
2017-06-26T00:00:00-06:00,84.55 A
2017-06-27T00:00:00-06:00,93.1552734375 A
2017-06-28T00:00:00-06:00,88.42838541666667 A
2017-06-29T00:00:00-06:00,87.52734375 A
2017-06-30T00:00:00-06:00,80.830078125 A
2017-07-01T00:00:00-06:00,62.151692708333336 A
2017-07-02T00:00:00-06:00,62.600260416666664 A
2017-07-03T00:00:00-06:00,81.900390625 A
2017-07-04T00:00:00-06:00,63.231770833333336 A
2017-07-05T00:00:00-06:00,83.44889322916667 A
2017-07-06T00:00:00-06:00,88.3525390625 A
2017-07-07T00:00:00-06:00,85.63118489583333 A
2017-07-08T00:00:00-06:00,70.94140625 A
2017-07-09T00:00:00-06:00,69.1435546875 A
2017-07-10T00:00:00-06:00,87.1162109375 A
2017-07-11T00:00:00-06:00,90.72688802083333 A
2017-07-12T00:00:00-06:00,91.13053385416667 A
2017-07-13T00:00:00-06:00,93.04329427083333 A
2017-07-14T00:00:00-06:00,89.8544921875 A
2017-07-15T00:00:00-06:00,80.86881510416667 A
2017-07-16T00:00:00-06:00,78.0341796875 A
2017-07-17T00:00:00-06:00,93.2548828125 A
2017-07-18T00:00:00-06:00,91.66764322916667 A
2017-07-19T00:00:00-06:00,89.71842447916667 A
2017-07-20T00:00:00-06:00,93.9921875 A
2017-07-21T00:00:00-06:00,93.72493489583333 A
2017-07-22T00:00:00-06:00,74.64778645833333 A
2017-07-23T00:00:00-06:00,72.341796875 A
2017-07-24T00:00:00-06:00,73.08430989583333 A
2017-07-25T00:00:00-06:00,96.58040364583333 A
2017-07-26T00:00:00-06:00,92.02864583333333 A
2017-07-27T00:00:00-06:00,95.42740885416667 A
2017-07-28T00:00:00-06:00,89.650390625 A
2017-07-29T00:00:00-06:00,70.1298828125 A
2017-07-30T00:00:00-06:00,70.40299479166667 A
2017-07-31T00:00:00-06:00,86.779296875 A
2017-08-01T00:00:00-06:00,91.89420572916667 A
2017-08-02T00:00:00-06:00,89.71875 A
2017-08-03T00:00:00-06:00,88.00065104166667 A
2017-08-04T00:00:00-06:00,89.76442307692308 A
2017-08-05T00:00:00-06:00,67.50162760416667 A
2017-08-06T00:00:00-06:00,66.19694010416667 A
2017-08-07T00:00:00-06:00,86.37434895833333 A
2017-08-08T00:00:00-06:00,92.111328125 A
2017-08-09T00:00:00-06:00,84.90266927083333 A
2017-08-10T00:00:00-06:00,83.82446808510639 A
2017-08-11T00:00:00-06:00,83.09928385416667 A
2017-08-12T00:00:00-06:00,67.46744791666667 A
2017-08-13T00:00:00-06:00,67.0546875 A
2017-08-14T00:00:00-06:00,85.61184210526316 A
2017-08-15T00:00:00-06:00,84.8623046875 A
2017-08-16T00:00:00-06:00,85.22623697916667 A
2017-08-17T00:00:00-06:00,91.0947265625 A
2017-08-18T00:00:00-06:00,87.70279947916667 A
2017-08-19T00:00:00-06:00,70.09993489583333 A
2017-08-20T00:00:00-06:00,71.33919270833333 A
2017-08-21T00:00:00-06:00,97.83854166666667 A
2017-08-22T00:00:00-06:00,104.2939453125 A
2017-08-23T00:00:00-06:00,105.84602864583333 A
2017-08-24T00:00:00-06:00,100.90787760416667 A
2017-08-25T00:00:00-06:00,98.39095052083333 A
2017-08-26T00:00:00-06:00,76.71354166666667 A
2017-08-27T00:00:00-06:00,75.95345052083333 A
2017-08-28T00:00:00-06:00,100.3111559139785 A
2017-08-29T00:00:00-06:00,105.22479838709677 A
2017-08-30T00:00:00-06:00,111.12141927083333 A
2017-08-31T00:00:00-06:00,104.15690104166667 A
2017-09-01T00:00:00-06:00,102.447265625 A
2017-09-02T00:00:00-06:00,83.2060546875 A
2017-09-03T00:00:00-06:00,83.14322916666667 A
2017-09-04T00:00:00-06:00,83.41178385416667 A
2017-09-05T00:00:00-06:00,104.05305989583333 A
2017-09-06T00:00:00-06:00,107.5390625 A
2017-09-07T00:00:00-06:00,101.98958333333333 A
2017-09-08T00:00:00-06:00,98.349609375 A
2017-09-09T00:00:00-06:00,73.00944010416667 A
2017-09-10T00:00:00-06:00,73.333984375 A
2017-09-11T00:00:00-06:00,105.6376953125 A
2017-09-12T00:00:00-06:00,105.6083984375 A
2017-09-13T00:00:00-06:00,104.951171875 A
2017-09-14T00:00:00-06:00,98.03515625 A
