Timestamp,['1cc3fbb2-c35ebbb9 0008-EMERY BLDG Power Meter 300026 Current B']
2017-06-26T00:00:00-06:00,71.196875 A
2017-06-27T00:00:00-06:00,83.98046875 A
2017-06-28T00:00:00-06:00,82.900390625 A
2017-06-29T00:00:00-06:00,82.5146484375 A
2017-06-30T00:00:00-06:00,82.27604166666667 A
2017-07-01T00:00:00-06:00,70.404296875 A
2017-07-02T00:00:00-06:00,70.1806640625 A
2017-07-03T00:00:00-06:00,79.6298828125 A
2017-07-04T00:00:00-06:00,68.28092447916667 A
2017-07-05T00:00:00-06:00,84.4580078125 A
2017-07-06T00:00:00-06:00,83.75065104166667 A
2017-07-07T00:00:00-06:00,84.73665364583333 A
2017-07-08T00:00:00-06:00,79.76399739583333 A
2017-07-09T00:00:00-06:00,78.27864583333333 A
2017-07-10T00:00:00-06:00,88.37532552083333 A
2017-07-11T00:00:00-06:00,89.51432291666667 A
2017-07-12T00:00:00-06:00,86.9140625 A
2017-07-13T00:00:00-06:00,86.9072265625 A
2017-07-14T00:00:00-06:00,84.9296875 A
2017-07-15T00:00:00-06:00,77.94889322916667 A
2017-07-16T00:00:00-06:00,76.8798828125 A
2017-07-17T00:00:00-06:00,87.15462239583333 A
2017-07-18T00:00:00-06:00,86.01627604166667 A
2017-07-19T00:00:00-06:00,88.21126302083333 A
2017-07-20T00:00:00-06:00,87.0146484375 A
2017-07-21T00:00:00-06:00,83.990234375 A
2017-07-22T00:00:00-06:00,74.259765625 A
2017-07-23T00:00:00-06:00,72.41438802083333 A
2017-07-24T00:00:00-06:00,71.93717447916667 A
2017-07-25T00:00:00-06:00,85.94498697916667 A
2017-07-26T00:00:00-06:00,86.06803385416667 A
2017-07-27T00:00:00-06:00,86.091796875 A
2017-07-28T00:00:00-06:00,84.58723958333333 A
2017-07-29T00:00:00-06:00,75.9912109375 A
2017-07-30T00:00:00-06:00,75.462890625 A
2017-07-31T00:00:00-06:00,83.00553385416667 A
2017-08-01T00:00:00-06:00,85.1953125 A
2017-08-02T00:00:00-06:00,85.99967447916667 A
2017-08-03T00:00:00-06:00,85.9287109375 A
2017-08-04T00:00:00-06:00,84.49416208791209 A
2017-08-05T00:00:00-06:00,74.5478515625 A
2017-08-06T00:00:00-06:00,73.79915364583333 A
2017-08-07T00:00:00-06:00,83.72981770833333 A
2017-08-08T00:00:00-06:00,85.79459635416667 A
2017-08-09T00:00:00-06:00,82.81315104166667 A
2017-08-10T00:00:00-06:00,81.87965425531915 A
2017-08-11T00:00:00-06:00,80.90299479166667 A
2017-08-12T00:00:00-06:00,72.8681640625 A
2017-08-13T00:00:00-06:00,71.62369791666667 A
2017-08-14T00:00:00-06:00,82.39671052631579 A
2017-08-15T00:00:00-06:00,82.39778645833333 A
2017-08-16T00:00:00-06:00,83.04622395833333 A
2017-08-17T00:00:00-06:00,82.828125 A
2017-08-18T00:00:00-06:00,81.37076822916667 A
2017-08-19T00:00:00-06:00,75.08528645833333 A
2017-08-20T00:00:00-06:00,76.50227864583333 A
2017-08-21T00:00:00-06:00,89.9345703125 A
2017-08-22T00:00:00-06:00,93.13509114583333 A
2017-08-23T00:00:00-06:00,94.69108072916667 A
2017-08-24T00:00:00-06:00,91.447265625 A
2017-08-25T00:00:00-06:00,87.56608072916667 A
2017-08-26T00:00:00-06:00,79.4013671875 A
2017-08-27T00:00:00-06:00,79.6494140625 A
2017-08-28T00:00:00-06:00,90.9475806451613 A
2017-08-29T00:00:00-06:00,97.91431451612904 A
2017-08-30T00:00:00-06:00,99.0107421875 A
2017-08-31T00:00:00-06:00,97.705078125 A
2017-09-01T00:00:00-06:00,92.81673177083333 A
2017-09-02T00:00:00-06:00,85.41178385416667 A
2017-09-03T00:00:00-06:00,84.33528645833333 A
2017-09-04T00:00:00-06:00,83.66536458333333 A
2017-09-05T00:00:00-06:00,93.138671875 A
2017-09-06T00:00:00-06:00,97.4287109375 A
2017-09-07T00:00:00-06:00,94.20768229166667 A
2017-09-08T00:00:00-06:00,92.22927631578948 A
2017-09-09T00:00:00-06:00,79.86783854166667 A
2017-09-10T00:00:00-06:00,80.37076822916667 A
2017-09-11T00:00:00-06:00,95.83072916666667 A
2017-09-12T00:00:00-06:00,95.53385416666667 A
2017-09-13T00:00:00-06:00,95.9765625 A
2017-09-14T00:00:00-06:00,90.10481770833333 A
2017-09-15T00:00:00-06:00,88.78352864583333 A
2017-09-16T00:00:00-06:00,79.26725260416667 A
2017-09-17T00:00:00-06:00,81.31119791666667 A
2017-09-18T00:00:00-06:00,91.5654296875 A
2017-09-19T00:00:00-06:00,99.24088541666667 A
2017-09-20T00:00:00-06:00,103.4189453125 A
2017-09-21T00:00:00-06:00,97.298828125 A
2017-09-22T00:00:00-06:00,118.46809895833333 A
2017-09-23T00:00:00-06:00,94.0986328125 A
2017-09-24T00:00:00-06:00,84.79134114583333 A
2017-09-25T00:00:00-06:00,96.34537760416667 A
2017-09-26T00:00:00-06:00,94.1220703125 A
2017-09-27T00:00:00-06:00,100.81282552083333 A
2017-09-28T00:00:00-06:00,92.33170572916667 A
2017-09-29T00:00:00-06:00,86.94791666666667 A
2017-09-30T00:00:00-06:00,78.2646484375 A
2017-10-01T00:00:00-06:00,68.22623697916667 A
2017-10-02T00:00:00-06:00,79.55078125 A
2017-10-03T00:00:00-06:00,83.08430989583333 A
2017-10-04T00:00:00-06:00,88.80859375 A
2017-10-05T00:00:00-06:00,82.05403645833333 A
2017-10-06T00:00:00-06:00,82.7353515625 A
2017-10-07T00:00:00-06:00,80.89453125 A
2017-10-08T00:00:00-06:00,73.88509114583333 A
2017-10-09T00:00:00-06:00,76.08854166666667 A
2017-10-10T00:00:00-06:00,69.99641927083333 A
2017-10-11T00:00:00-06:00,74.32194010416667 A
2017-10-12T00:00:00-06:00,77.11295572916667 A
2017-10-13T00:00:00-06:00,71.18391927083333 A
2017-10-14T00:00:00-06:00,61.138997395833336 A
2017-10-15T00:00:00-06:00,62.122721354166664 A
2017-10-16T00:00:00-06:00,80.595703125 A
2017-10-17T00:00:00-06:00,80.89973958333333 A
2017-10-18T00:00:00-06:00,85.40266927083333 A
2017-10-19T00:00:00-06:00,81.17317708333333 A
2017-10-20T00:00:00-06:00,79.30208333333333 A
2017-10-21T00:00:00-06:00,61.740234375 A
2017-10-22T00:00:00-06:00,75.10481770833333 A
2017-10-23T00:00:00-06:00,87.01236979166667 A
2017-10-24T00:00:00-06:00,79.74837239583333 A
