Timestamp,['1cc3ffcf-2e82f53d 0008-EMERY BLDG Power Meter 300026 KW']
2017-06-26T00:00:00-06:00,25.823997497558594 kW
2017-06-27T00:00:00-06:00,39.87199401855469 kW
2017-06-28T00:00:00-06:00,46.55999755859375 kW
2017-06-29T00:00:00-06:00,44.63999938964844 kW
2017-06-30T00:00:00-06:00,42.847999572753906 kW
2017-07-01T00:00:00-06:00,23.615997314453125 kW
2017-07-02T00:00:00-06:00,23.359996795654297 kW
2017-07-03T00:00:00-06:00,48.383995056152344 kW
2017-07-04T00:00:00-06:00,23.231998443603516 kW
2017-07-05T00:00:00-06:00,49.15199279785156 kW
2017-07-06T00:00:00-06:00,50.847999572753906 kW
2017-07-07T00:00:00-06:00,48.76799774169922 kW
2017-07-08T00:00:00-06:00,26.43199920654297 kW
2017-07-09T00:00:00-06:00,25.727996826171875 kW
2017-07-10T00:00:00-06:00,45.407997131347656 kW
2017-07-11T00:00:00-06:00,50.719993591308594 kW
2017-07-12T00:00:00-06:00,44.57599639892578 kW
2017-07-13T00:00:00-06:00,47.935997009277344 kW
2017-07-14T00:00:00-06:00,38.20799255371094 kW
2017-07-15T00:00:00-06:00,30.49599838256836 kW
2017-07-16T00:00:00-06:00,27.391998291015625 kW
2017-07-17T00:00:00-06:00,50.047996520996094 kW
2017-07-18T00:00:00-06:00,40.35199737548828 kW
2017-07-19T00:00:00-06:00,41.91999816894531 kW
2017-07-20T00:00:00-06:00,46.59199523925781 kW
2017-07-21T00:00:00-06:00,44.54399871826172 kW
2017-07-22T00:00:00-06:00,25.215999603271484 kW
2017-07-23T00:00:00-06:00,24.479999542236328 kW
2017-07-24T00:00:00-06:00,30.687999725341797 kW
2017-07-25T00:00:00-06:00,49.503997802734375 kW
2017-07-26T00:00:00-06:00,44.735992431640625 kW
2017-07-27T00:00:00-06:00,40.831993103027344 kW
2017-07-28T00:00:00-06:00,36.54399871826172 kW
2017-07-29T00:00:00-06:00,25.055999755859375 kW
2017-07-30T00:00:00-06:00,25.311996459960938 kW
2017-07-31T00:00:00-06:00,37.1199951171875 kW
2017-08-01T00:00:00-06:00,51.45599365234375 kW
2017-08-02T00:00:00-06:00,46.23999786376953 kW
2017-08-03T00:00:00-06:00,47.487998962402344 kW
2017-08-04T00:00:00-06:00,39.711997985839844 kW
2017-08-05T00:00:00-06:00,24.51199722290039 kW
2017-08-06T00:00:00-06:00,24.479999542236328 kW
2017-08-07T00:00:00-06:00,35.167999267578125 kW
2017-08-08T00:00:00-06:00,45.055999755859375 kW
2017-08-09T00:00:00-06:00,43.55199432373047 kW
2017-08-10T00:00:00-06:00,44.959999084472656 kW
2017-08-11T00:00:00-06:00,39.967994689941406 kW
2017-08-12T00:00:00-06:00,23.839996337890625 kW
2017-08-13T00:00:00-06:00,24.51199722290039 kW
2017-08-14T00:00:00-06:00,46.623992919921875 kW
2017-08-15T00:00:00-06:00,38.23999786376953 kW
2017-08-16T00:00:00-06:00,44.191993713378906 kW
2017-08-17T00:00:00-06:00,45.75999450683594 kW
2017-08-18T00:00:00-06:00,42.14399719238281 kW
2017-08-19T00:00:00-06:00,30.303997039794922 kW
2017-08-20T00:00:00-06:00,26.047996520996094 kW
2017-08-21T00:00:00-06:00,53.279998779296875 kW
2017-08-22T00:00:00-06:00,50.55999755859375 kW
2017-08-23T00:00:00-06:00,53.343994140625 kW
2017-08-24T00:00:00-06:00,50.079994201660156 kW
2017-08-25T00:00:00-06:00,47.67999267578125 kW
2017-08-26T00:00:00-06:00,28.191997528076172 kW
2017-08-27T00:00:00-06:00,29.087997436523438 kW
2017-08-28T00:00:00-06:00,48.159996032714844 kW
2017-08-29T00:00:00-06:00,55.839996337890625 kW
