Timestamp,['1cc40185-b1530da9 0008-EMERY BLDG Power Meter 300026 Current C']
2017-06-26T00:00:00-06:00,72.40625 A
2017-06-27T00:00:00-06:00,84.99934895833333 A
2017-06-28T00:00:00-06:00,81.31282552083333 A
2017-06-29T00:00:00-06:00,83.19270833333333 A
2017-06-30T00:00:00-06:00,79.7255859375 A
2017-07-01T00:00:00-06:00,68.73567708333333 A
2017-07-02T00:00:00-06:00,69.27897135416667 A
2017-07-03T00:00:00-06:00,79.65266927083333 A
2017-07-04T00:00:00-06:00,67.09016927083333 A
2017-07-05T00:00:00-06:00,82.48893229166667 A
2017-07-06T00:00:00-06:00,83.47819010416667 A
2017-07-07T00:00:00-06:00,84.029296875 A
2017-07-08T00:00:00-06:00,74.97233072916667 A
2017-07-09T00:00:00-06:00,73.99869791666667 A
2017-07-10T00:00:00-06:00,83.2578125 A
2017-07-11T00:00:00-06:00,87.52473958333333 A
2017-07-12T00:00:00-06:00,85.2236328125 A
2017-07-13T00:00:00-06:00,85.240234375 A
2017-07-14T00:00:00-06:00,82.71875 A
2017-07-15T00:00:00-06:00,72.51302083333333 A
2017-07-16T00:00:00-06:00,69.7685546875 A
2017-07-17T00:00:00-06:00,83.15625 A
2017-07-18T00:00:00-06:00,87.041015625 A
2017-07-19T00:00:00-06:00,84.02604166666667 A
2017-07-20T00:00:00-06:00,84.68359375 A
2017-07-21T00:00:00-06:00,84.15201822916667 A
2017-07-22T00:00:00-06:00,70.15299479166667 A
2017-07-23T00:00:00-06:00,68.4267578125 A
2017-07-24T00:00:00-06:00,69.771484375 A
2017-07-25T00:00:00-06:00,86.08756510416667 A
2017-07-26T00:00:00-06:00,83.5263671875 A
2017-07-27T00:00:00-06:00,84.6103515625 A
2017-07-28T00:00:00-06:00,81.28483072916667 A
2017-07-29T00:00:00-06:00,69.4990234375 A
2017-07-30T00:00:00-06:00,68.79459635416667 A
2017-07-31T00:00:00-06:00,82.27994791666667 A
2017-08-01T00:00:00-06:00,84.35611979166667 A
2017-08-02T00:00:00-06:00,84.9521484375 A
2017-08-03T00:00:00-06:00,84.69986979166667 A
2017-08-04T00:00:00-06:00,84.09684065934066 A
2017-08-05T00:00:00-06:00,70.212890625 A
