Timestamp,['1cc40667-b361f13e 0008-EMERY BLDG Power Meter 300026 Volts AB']
2017-06-26T00:00:00-06:00,211.278125 V
2017-06-27T00:00:00-06:00,211.21809895833334 V
2017-06-28T00:00:00-06:00,211.12369791666666 V
2017-06-29T00:00:00-06:00,211.25390625 V
2017-06-30T00:00:00-06:00,211.16796875 V
2017-07-01T00:00:00-06:00,211.30598958333334 V
2017-07-02T00:00:00-06:00,211.3974609375 V
2017-07-03T00:00:00-06:00,211.12337239583334 V
2017-07-04T00:00:00-06:00,211.5341796875 V
2017-07-05T00:00:00-06:00,211.26302083333334 V
2017-07-06T00:00:00-06:00,211.22884114583334 V
2017-07-07T00:00:00-06:00,211.1884765625 V
2017-07-08T00:00:00-06:00,211.24772135416666 V
2017-07-09T00:00:00-06:00,211.25032552083334 V
2017-07-10T00:00:00-06:00,211.1259765625 V
2017-07-11T00:00:00-06:00,211.16080729166666 V
2017-07-12T00:00:00-06:00,211.12890625 V
2017-07-13T00:00:00-06:00,211.3447265625 V
2017-07-14T00:00:00-06:00,211.16666666666666 V
2017-07-15T00:00:00-06:00,211.185546875 V
2017-07-16T00:00:00-06:00,211.11555989583334 V
2017-07-17T00:00:00-06:00,211.01302083333334 V
2017-07-18T00:00:00-06:00,211.060546875 V
2017-07-19T00:00:00-06:00,211.11328125 V
2017-07-20T00:00:00-06:00,211.0634765625 V
2017-07-21T00:00:00-06:00,210.97233072916666 V
2017-07-22T00:00:00-06:00,211.17838541666666 V
2017-07-23T00:00:00-06:00,211.29947916666666 V
2017-07-24T00:00:00-06:00,211.43880208333334 V
2017-07-25T00:00:00-06:00,211.1240234375 V
2017-07-26T00:00:00-06:00,210.96158854166666 V
2017-07-27T00:00:00-06:00,211.19401041666666 V
2017-07-28T00:00:00-06:00,210.97688802083334 V
2017-07-29T00:00:00-06:00,211.16276041666666 V
2017-07-30T00:00:00-06:00,211.23567708333334 V
2017-07-31T00:00:00-06:00,211.25944010416666 V
2017-08-01T00:00:00-06:00,211.21484375 V
2017-08-02T00:00:00-06:00,210.93977864583334 V
2017-08-03T00:00:00-06:00,210.97428385416666 V
2017-08-04T00:00:00-06:00,211.05460164835165 V
2017-08-05T00:00:00-06:00,211.24934895833334 V
2017-08-06T00:00:00-06:00,211.2548828125 V
2017-08-07T00:00:00-06:00,211.0029296875 V
2017-08-08T00:00:00-06:00,211.06608072916666 V
2017-08-09T00:00:00-06:00,210.94661458333334 V
2017-08-10T00:00:00-06:00,211.06050531914894 V
2017-08-11T00:00:00-06:00,211.24153645833334 V
2017-08-12T00:00:00-06:00,211.2939453125 V
2017-08-13T00:00:00-06:00,211.40234375 V
2017-08-14T00:00:00-06:00,211.16019736842105 V
2017-08-15T00:00:00-06:00,211.21940104166666 V
2017-08-16T00:00:00-06:00,210.97721354166666 V
2017-08-17T00:00:00-06:00,211.04850260416666 V
2017-08-18T00:00:00-06:00,211.14029947916666 V
2017-08-19T00:00:00-06:00,211.306640625 V
2017-08-20T00:00:00-06:00,211.31217447916666 V
2017-08-21T00:00:00-06:00,211.0849609375 V
2017-08-22T00:00:00-06:00,210.947265625 V
2017-08-23T00:00:00-06:00,211.01139322916666 V
2017-08-24T00:00:00-06:00,210.953125 V
2017-08-25T00:00:00-06:00,211.0068359375 V
2017-08-26T00:00:00-06:00,210.94791666666666 V
2017-08-27T00:00:00-06:00,211.00716145833334 V
2017-08-28T00:00:00-06:00,211.06586021505376 V
2017-08-29T00:00:00-06:00,211.033938172043 V
2017-08-30T00:00:00-06:00,210.91243489583334 V
2017-08-31T00:00:00-06:00,211.033203125 V
2017-09-01T00:00:00-06:00,210.89713541666666 V
2017-09-02T00:00:00-06:00,210.97591145833334 V
2017-09-03T00:00:00-06:00,211.15690104166666 V
2017-09-04T00:00:00-06:00,210.88509114583334 V
2017-09-05T00:00:00-06:00,210.8447265625 V
2017-09-06T00:00:00-06:00,210.94205729166666 V
2017-09-07T00:00:00-06:00,210.958984375 V
2017-09-08T00:00:00-06:00,211.09276315789472 V
2017-09-09T00:00:00-06:00,211.1865234375 V
2017-09-10T00:00:00-06:00,211.26595052083334 V
2017-09-11T00:00:00-06:00,210.7861328125 V
