Timestamp,['1cc406c2-6348e9ac 0008-EMERY BLDG Power Meter 300026 Volts CA']
2017-06-26T00:00:00-06:00,211.740625 V
2017-06-27T00:00:00-06:00,211.69140625 V
2017-06-28T00:00:00-06:00,211.59212239583334 V
2017-06-29T00:00:00-06:00,211.7177734375 V
2017-06-30T00:00:00-06:00,211.58040364583334 V
2017-07-01T00:00:00-06:00,211.63118489583334 V
2017-07-02T00:00:00-06:00,211.72981770833334 V
2017-07-03T00:00:00-06:00,211.55533854166666 V
2017-07-04T00:00:00-06:00,211.8857421875 V
2017-07-05T00:00:00-06:00,211.6767578125 V
2017-07-06T00:00:00-06:00,211.6943359375 V
2017-07-07T00:00:00-06:00,211.62727864583334 V
2017-07-08T00:00:00-06:00,211.6435546875 V
2017-07-09T00:00:00-06:00,211.63248697916666 V
2017-07-10T00:00:00-06:00,211.58821614583334 V
2017-07-11T00:00:00-06:00,211.62858072916666 V
2017-07-12T00:00:00-06:00,211.61328125 V
2017-07-13T00:00:00-06:00,211.794921875 V
2017-07-14T00:00:00-06:00,211.64485677083334 V
2017-07-15T00:00:00-06:00,211.62434895833334 V
2017-07-16T00:00:00-06:00,211.5703125 V
2017-07-17T00:00:00-06:00,211.50423177083334 V
2017-07-18T00:00:00-06:00,211.54036458333334 V
2017-07-19T00:00:00-06:00,211.5634765625 V
2017-07-20T00:00:00-06:00,211.5 V
2017-07-21T00:00:00-06:00,211.439453125 V
2017-07-22T00:00:00-06:00,211.58756510416666 V
2017-07-23T00:00:00-06:00,211.70475260416666 V
2017-07-24T00:00:00-06:00,211.857421875 V
2017-07-25T00:00:00-06:00,211.54264322916666 V
2017-07-26T00:00:00-06:00,211.41731770833334 V
2017-07-27T00:00:00-06:00,211.640625 V
2017-07-28T00:00:00-06:00,211.42024739583334 V
2017-07-29T00:00:00-06:00,211.57096354166666 V
2017-07-30T00:00:00-06:00,211.66861979166666 V
2017-07-31T00:00:00-06:00,211.71647135416666 V
2017-08-01T00:00:00-06:00,211.7333984375 V
2017-08-02T00:00:00-06:00,211.4384765625 V
2017-08-03T00:00:00-06:00,211.4697265625 V
2017-08-04T00:00:00-06:00,211.52850274725276 V
2017-08-05T00:00:00-06:00,211.685546875 V
2017-08-06T00:00:00-06:00,211.66178385416666 V
2017-08-07T00:00:00-06:00,211.44596354166666 V
2017-08-08T00:00:00-06:00,211.49381510416666 V
2017-08-09T00:00:00-06:00,211.3935546875 V
2017-08-10T00:00:00-06:00,211.4943484042553 V
2017-08-11T00:00:00-06:00,211.7099609375 V
2017-08-12T00:00:00-06:00,211.71516927083334 V
