Timestamp,['1cc406c2-6f1c1600 0008-EMERY BLDG Power Meter 300026 Volts BC']
2017-06-26T00:00:00-06:00,211.846875 V
2017-06-27T00:00:00-06:00,211.71321614583334 V
2017-06-28T00:00:00-06:00,211.54134114583334 V
2017-06-29T00:00:00-06:00,211.69661458333334 V
2017-06-30T00:00:00-06:00,211.53125 V
2017-07-01T00:00:00-06:00,211.64485677083334 V
2017-07-02T00:00:00-06:00,211.740234375 V
2017-07-03T00:00:00-06:00,211.55891927083334 V
2017-07-04T00:00:00-06:00,211.88899739583334 V
2017-07-05T00:00:00-06:00,211.66796875 V
2017-07-06T00:00:00-06:00,211.69498697916666 V
2017-07-07T00:00:00-06:00,211.6376953125 V
2017-07-08T00:00:00-06:00,211.662109375 V
2017-07-09T00:00:00-06:00,211.65852864583334 V
2017-07-10T00:00:00-06:00,211.533203125 V
2017-07-11T00:00:00-06:00,211.552734375 V
2017-07-12T00:00:00-06:00,211.544921875 V
2017-07-13T00:00:00-06:00,211.7548828125 V
2017-07-14T00:00:00-06:00,211.63020833333334 V
2017-07-15T00:00:00-06:00,211.6630859375 V
2017-07-16T00:00:00-06:00,211.62076822916666 V
2017-07-17T00:00:00-06:00,211.4921875 V
2017-07-18T00:00:00-06:00,211.5693359375 V
2017-07-19T00:00:00-06:00,211.57552083333334 V
2017-07-20T00:00:00-06:00,211.5322265625 V
2017-07-21T00:00:00-06:00,211.509765625 V
2017-07-22T00:00:00-06:00,211.68033854166666 V
2017-07-23T00:00:00-06:00,211.81184895833334 V
2017-07-24T00:00:00-06:00,211.91796875 V
2017-07-25T00:00:00-06:00,211.64973958333334 V
2017-07-26T00:00:00-06:00,211.5380859375 V
2017-07-27T00:00:00-06:00,211.759765625 V
2017-07-28T00:00:00-06:00,211.50846354166666 V
2017-07-29T00:00:00-06:00,211.67317708333334 V
2017-07-30T00:00:00-06:00,211.73697916666666 V
2017-07-31T00:00:00-06:00,211.74348958333334 V
2017-08-01T00:00:00-06:00,211.78352864583334 V
2017-08-02T00:00:00-06:00,211.55045572916666 V
2017-08-03T00:00:00-06:00,211.60123697916666 V
2017-08-04T00:00:00-06:00,211.68990384615384 V
2017-08-05T00:00:00-06:00,211.77799479166666 V
2017-08-06T00:00:00-06:00,211.771484375 V
2017-08-07T00:00:00-06:00,211.58984375 V
2017-08-08T00:00:00-06:00,211.63313802083334 V
2017-08-09T00:00:00-06:00,211.486328125 V
2017-08-10T00:00:00-06:00,211.60272606382978 V
2017-08-11T00:00:00-06:00,211.841796875 V
2017-08-12T00:00:00-06:00,211.78971354166666 V
2017-08-13T00:00:00-06:00,211.90234375 V
2017-08-14T00:00:00-06:00,211.73355263157896 V
2017-08-15T00:00:00-06:00,211.7451171875 V
2017-08-16T00:00:00-06:00,211.53352864583334 V
2017-08-17T00:00:00-06:00,211.61197916666666 V
2017-08-18T00:00:00-06:00,211.6787109375 V
2017-08-19T00:00:00-06:00,211.80533854166666 V
2017-08-20T00:00:00-06:00,211.8369140625 V
2017-08-21T00:00:00-06:00,211.6875 V
2017-08-22T00:00:00-06:00,211.57682291666666 V
2017-08-23T00:00:00-06:00,211.67903645833334 V
2017-08-24T00:00:00-06:00,211.5771484375 V
2017-08-25T00:00:00-06:00,211.61979166666666 V
2017-08-26T00:00:00-06:00,211.556640625 V
2017-08-27T00:00:00-06:00,211.61165364583334 V
2017-08-28T00:00:00-06:00,211.73811141304347 V
2017-08-29T00:00:00-06:00,211.70833333333334 V
2017-08-30T00:00:00-06:00,211.57421875 V
2017-08-31T00:00:00-06:00,211.62532552083334 V
2017-09-01T00:00:00-06:00,211.54361979166666 V
2017-09-02T00:00:00-06:00,211.59212239583334 V
2017-09-03T00:00:00-06:00,211.759765625 V
2017-09-04T00:00:00-06:00,211.48307291666666 V
2017-09-05T00:00:00-06:00,211.48795572916666 V
2017-09-06T00:00:00-06:00,211.54264322916666 V
2017-09-07T00:00:00-06:00,211.54264322916666 V
2017-09-08T00:00:00-06:00,211.69281914893617 V
2017-09-09T00:00:00-06:00,211.70247395833334 V
2017-09-10T00:00:00-06:00,211.7607421875 V
2017-09-11T00:00:00-06:00,211.400390625 V
2017-09-12T00:00:00-06:00,211.720703125 V
2017-09-13T00:00:00-06:00,211.42643229166666 V
