Timestamp,['1cc408d7-bcb4bf09 0008-EMERY BLDG Power Meter 300026 Volts AN']
2017-06-26T00:00:00-06:00,120.9703125 V
2017-06-27T00:00:00-06:00,121.02620442708333 V
2017-06-28T00:00:00-06:00,121.015625 V
2017-06-29T00:00:00-06:00,121.14632161458333 V
2017-06-30T00:00:00-06:00,121.15690104166667 V
2017-07-01T00:00:00-06:00,121.31884765625 V
2017-07-02T00:00:00-06:00,121.388671875 V
2017-07-03T00:00:00-06:00,121.12093098958333 V
2017-07-04T00:00:00-06:00,121.37109375 V
2017-07-05T00:00:00-06:00,121.21256510416667 V
2017-07-06T00:00:00-06:00,121.162109375 V
2017-07-07T00:00:00-06:00,121.21337890625 V
2017-07-08T00:00:00-06:00,121.31998697916667 V
2017-07-09T00:00:00-06:00,121.33528645833333 V
2017-07-10T00:00:00-06:00,121.15934244791667 V
2017-07-11T00:00:00-06:00,121.17626953125 V
2017-07-12T00:00:00-06:00,121.1259765625 V
2017-07-13T00:00:00-06:00,121.21044921875 V
2017-07-14T00:00:00-06:00,121.12076822916667 V
2017-07-15T00:00:00-06:00,121.08902994791667 V
2017-07-16T00:00:00-06:00,121.0458984375 V
2017-07-17T00:00:00-06:00,120.97054036458333 V
2017-07-18T00:00:00-06:00,121.06233723958333 V
2017-07-19T00:00:00-06:00,121.087890625 V
2017-07-20T00:00:00-06:00,120.98697916666667 V
2017-07-21T00:00:00-06:00,120.92724609375 V
2017-07-22T00:00:00-06:00,121.05810546875 V
2017-07-23T00:00:00-06:00,121.13118489583333 V
2017-07-24T00:00:00-06:00,121.21728515625 V
2017-07-25T00:00:00-06:00,120.96110026041667 V
2017-07-26T00:00:00-06:00,120.93538411458333 V
2017-07-27T00:00:00-06:00,121.03255208333333 V
2017-07-28T00:00:00-06:00,120.9462890625 V
2017-07-29T00:00:00-06:00,121.17171223958333 V
2017-07-30T00:00:00-06:00,121.20100911458333 V
2017-07-31T00:00:00-06:00,121.15543619791667 V
2017-08-01T00:00:00-06:00,121.10367838541667 V
2017-08-02T00:00:00-06:00,121.00944010416667 V
2017-08-03T00:00:00-06:00,121.04736328125 V
2017-08-04T00:00:00-06:00,121.03502747252747 V
2017-08-05T00:00:00-06:00,121.26708984375 V
2017-08-06T00:00:00-06:00,121.25244140625 V
2017-08-07T00:00:00-06:00,121.05208333333333 V
2017-08-08T00:00:00-06:00,120.96110026041667 V
2017-08-09T00:00:00-06:00,120.97965494791667 V
2017-08-10T00:00:00-06:00,121.04920212765957 V
2017-08-11T00:00:00-06:00,121.16682942708333 V
2017-08-12T00:00:00-06:00,121.23909505208333 V
2017-08-13T00:00:00-06:00,121.28336588541667 V
2017-08-14T00:00:00-06:00,121.11595394736842 V
2017-08-15T00:00:00-06:00,121.13850911458333 V
2017-08-16T00:00:00-06:00,121.01025390625 V
2017-08-17T00:00:00-06:00,120.92366536458333 V
2017-08-18T00:00:00-06:00,121.00048828125 V
2017-08-19T00:00:00-06:00,121.26253255208333 V
2017-08-20T00:00:00-06:00,121.25113932291667 V
2017-08-21T00:00:00-06:00,121.02229817708333 V
2017-08-22T00:00:00-06:00,120.9033203125 V
2017-08-23T00:00:00-06:00,120.96598307291667 V
2017-08-24T00:00:00-06:00,120.90478515625 V
2017-08-25T00:00:00-06:00,120.93522135416667 V
2017-08-26T00:00:00-06:00,121.060546875 V
2017-08-27T00:00:00-06:00,121.08935546875 V
2017-08-28T00:00:00-06:00,121.06014784946237 V
2017-08-29T00:00:00-06:00,121.0100806451613 V
