Timestamp,['1cc408f0-50eff05b 0008-EMERY BLDG Power Meter 300026 Volts CN']
2017-06-26T00:00:00-06:00,121.296875 V
2017-06-27T00:00:00-06:00,121.26106770833333 V
2017-06-28T00:00:00-06:00,121.21858723958333 V
2017-06-29T00:00:00-06:00,121.24283854166667 V
2017-06-30T00:00:00-06:00,121.15983072916667 V
2017-07-01T00:00:00-06:00,121.19775390625 V
2017-07-02T00:00:00-06:00,121.24658203125 V
2017-07-03T00:00:00-06:00,121.13785807291667 V
2017-07-04T00:00:00-06:00,121.36490885416667 V
2017-07-05T00:00:00-06:00,121.2138671875 V
2017-07-06T00:00:00-06:00,121.19873046875 V
2017-07-07T00:00:00-06:00,121.17106119791667 V
2017-07-08T00:00:00-06:00,121.21695963541667 V
2017-07-09T00:00:00-06:00,121.1943359375 V
2017-07-10T00:00:00-06:00,121.1328125 V
2017-07-11T00:00:00-06:00,121.12939453125 V
2017-07-12T00:00:00-06:00,121.13557942708333 V
2017-07-13T00:00:00-06:00,121.26041666666667 V
2017-07-14T00:00:00-06:00,121.18375651041667 V
2017-07-15T00:00:00-06:00,121.23014322916667 V
2017-07-16T00:00:00-06:00,121.23649088541667 V
2017-07-17T00:00:00-06:00,121.12386067708333 V
2017-07-18T00:00:00-06:00,121.10904947916667 V
2017-07-19T00:00:00-06:00,121.17594401041667 V
2017-07-20T00:00:00-06:00,121.1435546875 V
2017-07-21T00:00:00-06:00,121.12272135416667 V
2017-07-22T00:00:00-06:00,121.31087239583333 V
2017-07-23T00:00:00-06:00,121.3828125 V
2017-07-24T00:00:00-06:00,121.43277994791667 V
2017-07-25T00:00:00-06:00,121.1875 V
2017-07-26T00:00:00-06:00,121.13720703125 V
2017-07-27T00:00:00-06:00,121.25374348958333 V
2017-07-28T00:00:00-06:00,121.14632161458333 V
2017-07-29T00:00:00-06:00,121.26741536458333 V
2017-07-30T00:00:00-06:00,121.3115234375 V
2017-07-31T00:00:00-06:00,121.24137369791667 V
2017-08-01T00:00:00-06:00,121.26432291666667 V
2017-08-02T00:00:00-06:00,121.09895833333333 V
2017-08-03T00:00:00-06:00,121.13330078125 V
2017-08-04T00:00:00-06:00,121.21514423076923 V
2017-08-05T00:00:00-06:00,121.3173828125 V
2017-08-06T00:00:00-06:00,121.32177734375 V
2017-08-07T00:00:00-06:00,121.11328125 V
2017-08-08T00:00:00-06:00,121.18994140625 V
2017-08-09T00:00:00-06:00,121.11783854166667 V
2017-08-10T00:00:00-06:00,121.14744015957447 V
2017-08-11T00:00:00-06:00,121.29931640625 V
2017-08-12T00:00:00-06:00,121.33072916666667 V
2017-08-13T00:00:00-06:00,121.38037109375 V
2017-08-14T00:00:00-06:00,121.25575657894737 V
2017-08-15T00:00:00-06:00,121.22379557291667 V
2017-08-16T00:00:00-06:00,121.11067708333333 V
2017-08-17T00:00:00-06:00,121.16015625 V
2017-08-18T00:00:00-06:00,121.24609375 V
2017-08-19T00:00:00-06:00,121.32503255208333 V
2017-08-20T00:00:00-06:00,121.36018880208333 V
2017-08-21T00:00:00-06:00,121.17724609375 V
2017-08-22T00:00:00-06:00,121.10416666666667 V
2017-08-23T00:00:00-06:00,121.17643229166667 V
