Timestamp,['1cc408f0-f0fb65c2 0008-EMERY BLDG Power Meter 300026 Volts BN']
2017-06-26T00:00:00-06:00,121.6453125 V
2017-06-27T00:00:00-06:00,121.45589192708333 V
2017-06-28T00:00:00-06:00,121.29752604166667 V
2017-06-29T00:00:00-06:00,121.38102213541667 V
2017-06-30T00:00:00-06:00,121.23681640625 V
2017-07-01T00:00:00-06:00,121.21826171875 V
2017-07-02T00:00:00-06:00,121.27864583333333 V
2017-07-03T00:00:00-06:00,121.27099609375 V
2017-07-04T00:00:00-06:00,121.42236328125 V
2017-07-05T00:00:00-06:00,121.3046875 V
2017-07-06T00:00:00-06:00,121.376953125 V
2017-07-07T00:00:00-06:00,121.26676432291667 V
2017-07-08T00:00:00-06:00,121.20426432291667 V
2017-07-09T00:00:00-06:00,121.2001953125 V
2017-07-10T00:00:00-06:00,121.24430338541667 V
2017-07-11T00:00:00-06:00,121.28352864583333 V
2017-07-12T00:00:00-06:00,121.28206380208333 V
2017-07-13T00:00:00-06:00,121.42805989583333 V
2017-07-14T00:00:00-06:00,121.33512369791667 V
2017-07-15T00:00:00-06:00,121.36995442708333 V
2017-07-16T00:00:00-06:00,121.31559244791667 V
2017-07-17T00:00:00-06:00,121.29720052083333 V
2017-07-18T00:00:00-06:00,121.31640625 V
2017-07-19T00:00:00-06:00,121.27392578125 V
2017-07-20T00:00:00-06:00,121.30973307291667 V
2017-07-21T00:00:00-06:00,121.28645833333333 V
2017-07-22T00:00:00-06:00,121.29524739583333 V
2017-07-23T00:00:00-06:00,121.36197916666667 V
2017-07-24T00:00:00-06:00,121.46256510416667 V
2017-07-25T00:00:00-06:00,121.42333984375 V
2017-07-26T00:00:00-06:00,121.27229817708333 V
2017-07-27T00:00:00-06:00,121.43994140625 V
2017-07-28T00:00:00-06:00,121.23811848958333 V
2017-07-29T00:00:00-06:00,121.21712239583333 V
2017-07-30T00:00:00-06:00,121.26481119791667 V
2017-07-31T00:00:00-06:00,121.40641276041667 V
2017-08-01T00:00:00-06:00,121.44694010416667 V
2017-08-02T00:00:00-06:00,121.23404947916667 V
2017-08-03T00:00:00-06:00,121.24755859375 V
2017-08-04T00:00:00-06:00,121.29876373626374 V
2017-08-05T00:00:00-06:00,121.24007161458333 V
2017-08-06T00:00:00-06:00,121.23763020833333 V
2017-08-07T00:00:00-06:00,121.25553385416667 V
2017-08-08T00:00:00-06:00,121.3369140625 V
2017-08-09T00:00:00-06:00,121.20703125 V
2017-08-10T00:00:00-06:00,121.27692819148936 V
2017-08-11T00:00:00-06:00,121.38167317708333 V
2017-08-12T00:00:00-06:00,121.30143229166667 V
2017-08-13T00:00:00-06:00,121.38118489583333 V
2017-08-14T00:00:00-06:00,121.32911184210526 V
2017-08-15T00:00:00-06:00,121.37906901041667 V
2017-08-16T00:00:00-06:00,121.2353515625 V
2017-08-17T00:00:00-06:00,121.392578125 V
2017-08-18T00:00:00-06:00,121.38395182291667 V
2017-08-19T00:00:00-06:00,121.29947916666667 V
2017-08-20T00:00:00-06:00,121.29817708333333 V
2017-08-21T00:00:00-06:00,121.396484375 V
2017-08-22T00:00:00-06:00,121.37141927083333 V
2017-08-23T00:00:00-06:00,121.3916015625 V
2017-08-24T00:00:00-06:00,121.35432942708333 V
2017-08-25T00:00:00-06:00,121.36800130208333 V
2017-08-26T00:00:00-06:00,121.17399088541667 V
2017-08-27T00:00:00-06:00,121.19547526041667 V
2017-08-28T00:00:00-06:00,121.39419157608695 V
2017-08-29T00:00:00-06:00,121.39852150537635 V
2017-08-30T00:00:00-06:00,121.36067708333333 V
2017-08-31T00:00:00-06:00,121.35302734375 V
2017-09-01T00:00:00-06:00,121.33349609375 V
2017-09-02T00:00:00-06:00,121.21305338541667 V
2017-09-03T00:00:00-06:00,121.32356770833333 V
2017-09-04T00:00:00-06:00,121.18277994791667 V
2017-09-05T00:00:00-06:00,121.30159505208333 V
2017-09-06T00:00:00-06:00,121.33154296875 V
2017-09-07T00:00:00-06:00,121.32389322916667 V
2017-09-08T00:00:00-06:00,121.37779605263158 V
2017-09-09T00:00:00-06:00,121.232421875 V
2017-09-10T00:00:00-06:00,121.27880859375 V
2017-09-11T00:00:00-06:00,121.25406901041667 V
2017-09-12T00:00:00-06:00,121.47249348958333 V
2017-09-13T00:00:00-06:00,121.2294921875 V
2017-09-14T00:00:00-06:00,121.34342447916667 V
2017-09-15T00:00:00-06:00,121.37874348958333 V
2017-09-16T00:00:00-06:00,121.44466145833333 V
2017-09-17T00:00:00-06:00,121.18310546875 V
2017-09-18T00:00:00-06:00,121.43603515625 V
2017-09-19T00:00:00-06:00,121.24609375 V
2017-09-20T00:00:00-06:00,121.32600911458333 V
2017-09-21T00:00:00-06:00,121.52864583333333 V
2017-09-22T00:00:00-06:00,121.33756510416667 V
2017-09-23T00:00:00-06:00,121.28108723958333 V
2017-09-24T00:00:00-06:00,121.19889322916667 V
2017-09-25T00:00:00-06:00,121.55875651041667 V
2017-09-26T00:00:00-06:00,121.52099609375 V
2017-09-27T00:00:00-06:00,121.46875 V
2017-09-28T00:00:00-06:00,121.32552083333333 V
2017-09-29T00:00:00-06:00,121.38948567708333 V
2017-09-30T00:00:00-06:00,121.39827473958333 V
2017-10-01T00:00:00-06:00,121.25439453125 V
2017-10-02T00:00:00-06:00,121.49332682291667 V
2017-10-03T00:00:00-06:00,121.52001953125 V
2017-10-04T00:00:00-06:00,121.40787760416667 V
2017-10-05T00:00:00-06:00,121.54117838541667 V
2017-10-06T00:00:00-06:00,121.466796875 V
2017-10-07T00:00:00-06:00,121.28759765625 V
2017-10-08T00:00:00-06:00,121.43798828125 V
2017-10-09T00:00:00-06:00,121.3671875 V
2017-10-10T00:00:00-06:00,121.57584635416667 V
2017-10-11T00:00:00-06:00,121.29736328125 V
2017-10-12T00:00:00-06:00,121.4716796875 V
2017-10-13T00:00:00-06:00,121.49755859375 V
2017-10-14T00:00:00-06:00,121.3857421875 V
2017-10-15T00:00:00-06:00,121.318359375 V
2017-10-16T00:00:00-06:00,121.55680338541667 V
2017-10-17T00:00:00-06:00,121.48860677083333 V
2017-10-18T00:00:00-06:00,121.48616536458333 V
2017-10-19T00:00:00-06:00,121.51448567708333 V
2017-10-20T00:00:00-06:00,121.48014322916667 V
2017-10-21T00:00:00-06:00,121.35205078125 V
2017-10-22T00:00:00-06:00,121.25944010416667 V
2017-10-23T00:00:00-06:00,121.45638020833333 V
2017-10-24T00:00:00-06:00,121.56526692708333 V
2017-10-25T00:00:00-06:00,121.47542317708333 V
2017-10-26T00:00:00-06:00,121.58268229166667 V
2017-10-27T00:00:00-06:00,121.55777994791667 V
2017-10-28T00:00:00-06:00,121.30224609375 V
2017-10-29T00:00:00-06:00,121.3173828125 V
2017-10-30T00:00:00-06:00,121.63460286458333 V
2017-10-31T00:00:00-06:00,121.61604817708333 V
2017-11-01T00:00:00-06:00,121.51888020833333 V
2017-11-02T00:00:00-06:00,121.48356119791667 V
2017-11-03T00:00:00-06:00,121.46533203125 V
2017-11-04T00:00:00-06:00,121.40983072916667 V
2017-11-05T00:00:00-06:00,121.3153125 V
2017-11-06T00:00:00-07:00,121.44775390625 V
2017-11-07T00:00:00-07:00,121.51643880208333 V
2017-11-08T00:00:00-07:00,121.486328125 V
2017-11-09T00:00:00-07:00,121.59114583333333 V
2017-11-10T00:00:00-07:00,121.55598958333333 V
2017-11-11T00:00:00-07:00,121.31966145833333 V
2017-11-12T00:00:00-07:00,121.37955729166667 V
2017-11-13T00:00:00-07:00,121.53352864583333 V
2017-11-14T00:00:00-07:00,121.7822265625 V
2017-11-15T00:00:00-07:00,121.51643880208333 V
2017-11-16T00:00:00-07:00,121.4677734375 V
2017-11-17T00:00:00-07:00,121.57991536458333 V
2017-11-18T00:00:00-07:00,121.48583984375 V
2017-11-19T00:00:00-07:00,121.54020182291667 V
2017-11-20T00:00:00-07:00,121.57275390625 V
2017-11-21T00:00:00-07:00,121.50227864583333 V
2017-11-22T00:00:00-07:00,121.33805338541667 V
2017-11-23T00:00:00-07:00,121.51057942708333 V
2017-11-24T00:00:00-07:00,121.306640625 V
2017-11-25T00:00:00-07:00,121.28662109375 V
2017-11-26T00:00:00-07:00,121.39420572916667 V
2017-11-27T00:00:00-07:00,121.45572916666667 V
2017-11-28T00:00:00-07:00,121.61165364583333 V
2017-11-29T00:00:00-07:00,121.56526692708333 V
2017-11-30T00:00:00-07:00,121.59586588541667 V
2017-12-01T00:00:00-07:00,121.39827473958333 V
2017-12-02T00:00:00-07:00,121.30159505208333 V
2017-12-03T00:00:00-07:00,121.33219401041667 V
2017-12-04T00:00:00-07:00,121.65706380208333 V
2017-12-05T00:00:00-07:00,121.58317057291667 V
2017-12-06T00:00:00-07:00,121.34928385416667 V
2017-12-07T00:00:00-07:00,121.39127604166667 V
2017-12-08T00:00:00-07:00,121.328125 V
2017-12-09T00:00:00-07:00,121.45393880208333 V
2017-12-10T00:00:00-07:00,121.37109375 V
2017-12-11T00:00:00-07:00,121.56689453125 V
2017-12-12T00:00:00-07:00,121.47314453125 V
2017-12-13T00:00:00-07:00,121.71468098958333 V
2017-12-14T00:00:00-07:00,121.61149088541667 V
2017-12-15T00:00:00-07:00,121.45768229166667 V
2017-12-16T00:00:00-07:00,121.40999348958333 V
2017-12-17T00:00:00-07:00,121.37809244791667 V
2017-12-18T00:00:00-07:00,121.55913978494624 V
2017-12-19T00:00:00-07:00,121.52083333333333 V
2017-12-20T00:00:00-07:00,121.40966796875 V
2017-12-21T00:00:00-07:00,121.60660807291667 V
2017-12-22T00:00:00-07:00,121.60091145833333 V
2017-12-23T00:00:00-07:00,121.31656901041667 V
2017-12-24T00:00:00-07:00,121.4921052631579 V
2017-12-25T00:00:00-07:00,121.42936197916667 V
2017-12-26T00:00:00-07:00,121.50113932291667 V
2017-12-27T00:00:00-07:00,121.49267578125 V
2017-12-28T00:00:00-07:00,121.53564453125 V
2017-12-29T00:00:00-07:00,121.39599609375 V
2017-12-30T00:00:00-07:00,121.34293619791667 V
2017-12-31T00:00:00-07:00,121.33935546875 V
