Timestamp,['1cc971e5-cf18bf55 0051-STERLING SILL CNTR Power Meter Current A']
2017-01-01T00:00:00-07:00,51.262499968210854 A
2017-01-02T00:00:00-07:00,52.38750012715658 A
2017-01-03T00:00:00-07:00,61.235416849454246 A
2017-01-04T00:00:00-07:00,63.301041881243385 A
2017-01-05T00:00:00-07:00,69.943749944369 A
2017-01-06T00:00:00-07:00,63.77291659514109 A
2017-01-07T00:00:00-07:00,54.418749968210854 A
2017-01-08T00:00:00-07:00,52.714583357175194 A
2017-01-09T00:00:00-07:00,64.00000007947285 A
2017-01-10T00:00:00-07:00,64.75416640440623 A
2017-01-11T00:00:00-07:00,65.54166682561238 A
2017-01-12T00:00:00-07:00,66.31249996026357 A
2017-01-13T00:00:00-07:00,62.801041762034096 A
2017-01-14T00:00:00-07:00,51.06250015894572 A
2017-01-15T00:00:00-07:00,51.83124991257986 A
2017-01-16T00:00:00-07:00,50.67812498410543 A
2017-01-17T00:00:00-07:00,64.59062488873799 A
2017-01-18T00:00:00-07:00,64.07176455329446 A
2017-01-19T00:00:00-07:00,62.64375030994415 A
2017-01-20T00:00:00-07:00,57.26666661103567 A
2017-01-21T00:00:00-07:00,50.61770840485891 A
2017-01-22T00:00:00-07:00,49.97083350022634 A
2017-01-23T00:00:00-07:00,60.350000063578285 A
2017-01-24T00:00:00-07:00,64.67708313465118 A
2017-01-25T00:00:00-07:00,59.907291412353516 A
2017-01-26T00:00:00-07:00,62.965625047683716 A
2017-01-27T00:00:00-07:00,61.94583340485891 A
2017-01-28T00:00:00-07:00,52.71354158719381 A
2017-01-29T00:00:00-07:00,56.04895814259847 A
2017-01-30T00:00:00-07:00,66.546875 A
2017-01-31T00:00:00-07:00,60.739583333333336 A
2017-02-01T00:00:00-07:00,62.39479184150696 A
2017-02-02T00:00:00-07:00,65.0541665951411 A
2017-02-03T00:00:00-07:00,61.04791673024496 A
2017-02-04T00:00:00-07:00,53.164583126703896 A
2017-02-05T00:00:00-07:00,51.71770826975504 A
2017-02-06T00:00:00-07:00,64.22083334128062 A
2017-02-07T00:00:00-07:00,62.809473539653574 A
2017-02-08T00:00:00-07:00,65.54516146259922 A
2017-02-09T00:00:00-07:00,64.93124985694885 A
2017-02-10T00:00:00-07:00,65.70104193687439 A
2017-02-11T00:00:00-07:00,56.36354160308838 A
2017-02-12T00:00:00-07:00,54.47604159514109 A
