Timestamp,['1cc97275-8926e35c 0051-STERLING SILL CNTR Power Meter Volts CN']
2017-01-01T00:00:00-07:00,121.80312506357829 V
2017-01-02T00:00:00-07:00,121.81979179382324 V
2017-01-03T00:00:00-07:00,121.79895830154419 V
2017-01-04T00:00:00-07:00,121.96979212760925 V
2017-01-05T00:00:00-07:00,121.77187514305115 V
2017-01-06T00:00:00-07:00,121.74479174613953 V
2017-01-07T00:00:00-07:00,121.60729185740153 V
2017-01-08T00:00:00-07:00,121.72812469800313 V
2017-01-09T00:00:00-07:00,121.70729207992554 V
2017-01-10T00:00:00-07:00,121.90000017484029 V
2017-01-11T00:00:00-07:00,121.93125033378601 V
2017-01-12T00:00:00-07:00,121.8229165871938 V
2017-01-13T00:00:00-07:00,121.98854160308838 V
2017-01-14T00:00:00-07:00,121.81979195276897 V
2017-01-15T00:00:00-07:00,121.71979149182637 V
2017-01-16T00:00:00-07:00,121.9302081267039 V
2017-01-17T00:00:00-07:00,121.94062495231628 V
2017-01-18T00:00:00-07:00,121.71882333194509 V
2017-01-19T00:00:00-07:00,121.9187502861023 V
2017-01-20T00:00:00-07:00,121.8552086353302 V
2017-01-21T00:00:00-07:00,121.68854188919067 V
2017-01-22T00:00:00-07:00,121.70729200045268 V
2017-01-23T00:00:00-07:00,121.84062504768372 V
2017-01-24T00:00:00-07:00,121.73229233423869 V
2017-01-25T00:00:00-07:00,121.6354169845581 V
2017-01-26T00:00:00-07:00,121.8583333492279 V
2017-01-27T00:00:00-07:00,121.63645839691162 V
2017-01-28T00:00:00-07:00,121.70208326975505 V
2017-01-29T00:00:00-07:00,121.78020858764648 V
2017-01-30T00:00:00-07:00,121.60208336512248 V
2017-01-31T00:00:00-07:00,121.66666682561238 V
2017-02-01T00:00:00-07:00,121.7531247138977 V
2017-02-02T00:00:00-07:00,121.73020871480306 V
2017-02-03T00:00:00-07:00,121.78333353996277 V
2017-02-04T00:00:00-07:00,121.77916669845581 V
2017-02-05T00:00:00-07:00,121.72291668256123 V
2017-02-06T00:00:00-07:00,121.834375222524 V
2017-02-07T00:00:00-07:00,121.68631599827816 V
2017-02-08T00:00:00-07:00,121.80107518678071 V
2017-02-09T00:00:00-07:00,121.58645796775818 V
2017-02-10T00:00:00-07:00,121.63333344459534 V
2017-02-11T00:00:00-07:00,121.73020839691162 V
2017-02-12T00:00:00-07:00,121.84895833333333 V
2017-02-13T00:00:00-07:00,121.77083309491475 V
2017-02-14T00:00:00-07:00,121.73645846048991 V
2017-02-15T00:00:00-07:00,121.63125014305115 V
2017-02-16T00:00:00-07:00,121.64583317438762 V
2017-02-17T00:00:00-07:00,121.70208326975505 V
2017-02-18T00:00:00-07:00,121.6322918732961 V
2017-02-19T00:00:00-07:00,121.62604180971782 V
2017-02-20T00:00:00-07:00,121.70208374659221 V
2017-02-21T00:00:00-07:00,121.75833360354106 V
2017-02-22T00:00:00-07:00,121.58333357175191 V
2017-02-23T00:00:00-07:00,121.50104196866353 V
2017-02-24T00:00:00-07:00,121.60886054702952 V
2017-02-25T00:00:00-07:00,121.71041663487752 V
2017-02-26T00:00:00-07:00,121.62187504768372 V
2017-02-27T00:00:00-07:00,121.6375002861023 V
2017-02-28T00:00:00-07:00,121.79166642824809 V
2017-03-01T00:00:00-07:00,121.85416642824809 V
2017-03-02T00:00:00-07:00,121.65833338101704 V
2017-03-03T00:00:00-07:00,121.76354122161865 V
2017-03-04T00:00:00-07:00,121.47187487284343 V
2017-03-05T00:00:00-07:00,121.80416679382324 V
2017-03-06T00:00:00-07:00,121.76458319028218 V
2017-03-07T00:00:00-07:00,121.66770760218303 V
2017-03-08T00:00:00-07:00,121.69479203224182 V
2017-03-09T00:00:00-07:00,121.58645868301392 V
2017-03-10T00:00:00-07:00,121.76875027020772 V
2017-03-11T00:00:00-07:00,121.73541641235352 V
2017-03-12T00:00:00-07:00,121.64239103897758 V
2017-03-13T00:00:00-06:00,121.75104141235352 V
2017-03-14T00:00:00-06:00,121.7447919845581 V
2017-03-15T00:00:00-06:00,121.51145799954732 V
2017-03-16T00:00:00-06:00,121.63958358764648 V
2017-03-17T00:00:00-06:00,121.6479168732961 V
2017-03-18T00:00:00-06:00,121.5510417620341 V
2017-03-19T00:00:00-06:00,121.48541641235352 V
2017-03-20T00:00:00-06:00,121.58842066714638 V
2017-03-21T00:00:00-06:00,121.48437468210857 V
2017-03-22T00:00:00-06:00,121.5322920481364 V
2017-03-23T00:00:00-06:00,121.44062542915344 V
2017-03-24T00:00:00-06:00,121.54374988873799 V
2017-03-25T00:00:00-06:00,121.40625023841858 V
2017-03-26T00:00:00-06:00,121.66458304723103 V
2017-03-27T00:00:00-06:00,121.52187506357829 V
2017-03-28T00:00:00-06:00,121.5968747138977 V
2017-03-29T00:00:00-06:00,121.65277788374159 V
2017-03-30T00:00:00-06:00,121.54222225613064 V
2017-03-31T00:00:00-06:00,121.52708411216736 V
2017-04-01T00:00:00-06:00,121.47604211171468 V
2017-04-02T00:00:00-06:00,121.60625012715657 V
2017-04-03T00:00:00-06:00,121.4812502861023 V
2017-04-04T00:00:00-06:00,121.54583326975505 V
2017-04-05T00:00:00-06:00,121.43437465031941 V
2017-04-06T00:00:00-06:00,121.60000054041545 V
2017-04-07T00:00:00-06:00,121.57083328564961 V
2017-04-08T00:00:00-06:00,121.48645853996277 V
2017-04-09T00:00:00-06:00,121.66770839691162 V
2017-04-10T00:00:00-06:00,121.54062469800313 V
2017-04-11T00:00:00-06:00,121.55729150772095 V
2017-04-12T00:00:00-06:00,121.6333327293396 V
2017-04-13T00:00:00-06:00,121.55312514305115 V
2017-04-14T00:00:00-06:00,121.56354141235352 V
2017-04-15T00:00:00-06:00,121.23750011126201 V
2017-04-16T00:00:00-06:00,121.50312542915344 V
2017-04-17T00:00:00-06:00,121.53645809491475 V
2017-04-18T00:00:00-06:00,121.37083339691162 V
2017-04-19T00:00:00-06:00,121.38229179382324 V
2017-04-20T00:00:00-06:00,121.26458358764648 V
2017-04-21T00:00:00-06:00,121.58229200045268 V
2017-04-22T00:00:00-06:00,121.35520855585735 V
2017-04-23T00:00:00-06:00,121.45104146003723 V
2017-04-24T00:00:00-06:00,121.55520844459534 V
