Timestamp,['1cc9729d-5987cd19 0051-STERLING SILL CNTR Power Meter Volts BC']
2017-01-01T00:00:00-07:00,210.637500445048 V
2017-01-02T00:00:00-07:00,210.75208282470703 V
2017-01-03T00:00:00-07:00,210.7614582379659 V
2017-01-04T00:00:00-07:00,211.04999987284342 V
2017-01-05T00:00:00-07:00,210.66770776112875 V
2017-01-06T00:00:00-07:00,210.63020833333334 V
2017-01-07T00:00:00-07:00,210.42291673024496 V
2017-01-08T00:00:00-07:00,210.60937595367432 V
2017-01-09T00:00:00-07:00,210.56979195276895 V
2017-01-10T00:00:00-07:00,210.87395811080933 V
2017-01-11T00:00:00-07:00,210.90625063578287 V
2017-01-12T00:00:00-07:00,210.7385417620341 V
2017-01-13T00:00:00-07:00,211.0499997138977 V
2017-01-14T00:00:00-07:00,210.74375009536743 V
2017-01-15T00:00:00-07:00,210.5677089691162 V
2017-01-16T00:00:00-07:00,210.91770807902017 V
2017-01-17T00:00:00-07:00,210.88749996821085 V
2017-01-18T00:00:00-07:00,210.54117593204273 V
2017-01-19T00:00:00-07:00,210.84375031789145 V
2017-01-20T00:00:00-07:00,210.79895798365274 V
2017-01-21T00:00:00-07:00,210.54895814259848 V
2017-01-22T00:00:00-07:00,210.57708342870077 V
2017-01-23T00:00:00-07:00,210.76666609446207 V
2017-01-24T00:00:00-07:00,210.66562493642172 V
2017-01-25T00:00:00-07:00,210.4687501589457 V
2017-01-26T00:00:00-07:00,210.85833342870077 V
2017-01-27T00:00:00-07:00,210.43854157129923 V
2017-01-28T00:00:00-07:00,210.55208349227905 V
2017-01-29T00:00:00-07:00,210.68541733423868 V
2017-01-30T00:00:00-07:00,210.38124990463257 V
2017-01-31T00:00:00-07:00,210.5072921117147 V
2017-02-01T00:00:00-07:00,210.68125041325888 V
2017-02-02T00:00:00-07:00,210.65833282470703 V
2017-02-03T00:00:00-07:00,210.77500041325888 V
2017-02-04T00:00:00-07:00,210.73020776112875 V
2017-02-05T00:00:00-07:00,210.6302088101705 V
2017-02-06T00:00:00-07:00,210.85208320617676 V
2017-02-07T00:00:00-07:00,210.56315805535567 V
2017-02-08T00:00:00-07:00,210.76129051946825 V
2017-02-09T00:00:00-07:00,210.43229230244955 V
2017-02-10T00:00:00-07:00,210.52812480926514 V
2017-02-11T00:00:00-07:00,210.6520824432373 V
2017-02-12T00:00:00-07:00,210.8510414759318 V
2017-02-13T00:00:00-07:00,210.73958349227905 V
2017-02-14T00:00:00-07:00,210.72812509536743 V
2017-02-15T00:00:00-07:00,210.5250007311503 V
2017-02-16T00:00:00-07:00,210.57395950953165 V
2017-02-17T00:00:00-07:00,210.68124945958456 V
2017-02-18T00:00:00-07:00,210.63125069936117 V
2017-02-19T00:00:00-07:00,210.6197918256124 V
2017-02-20T00:00:00-07:00,210.71354134877524 V
2017-02-21T00:00:00-07:00,210.71666781107584 V
2017-02-22T00:00:00-07:00,210.48645877838135 V
2017-02-23T00:00:00-07:00,210.3874994913737 V
2017-02-24T00:00:00-07:00,210.53924096988726 V
2017-02-25T00:00:00-07:00,210.6822919845581 V
2017-02-26T00:00:00-07:00,210.47708320617676 V
2017-02-27T00:00:00-07:00,210.4531242052714 V
2017-02-28T00:00:00-07:00,210.7281239827474 V
2017-03-01T00:00:00-07:00,210.86458285649618 V
2017-03-02T00:00:00-07:00,210.5343747138977 V
2017-03-03T00:00:00-07:00,210.71666733423868 V
2017-03-04T00:00:00-07:00,210.2583335240682 V
2017-03-05T00:00:00-07:00,210.8343742688497 V
2017-03-06T00:00:00-07:00,210.74583355585733 V
2017-03-07T00:00:00-07:00,210.54791657129923 V
2017-03-08T00:00:00-07:00,210.6822919845581 V
2017-03-09T00:00:00-07:00,210.42395861943564 V
2017-03-10T00:00:00-07:00,210.77291631698608 V
2017-03-11T00:00:00-07:00,210.72500022252402 V
2017-03-12T00:00:00-07:00,210.58586983058763 V
2017-03-13T00:00:00-06:00,210.68958266576132 V
2017-03-14T00:00:00-06:00,210.72604084014893 V
2017-03-15T00:00:00-06:00,210.40833314259848 V
2017-03-16T00:00:00-06:00,210.6041661898295 V
2017-03-17T00:00:00-06:00,210.6458331743876 V
2017-03-18T00:00:00-06:00,210.45416609446207 V
2017-03-19T00:00:00-06:00,210.32083320617676 V
2017-03-20T00:00:00-06:00,210.56947358783924 V
2017-03-21T00:00:00-06:00,210.38125069936117 V
2017-03-22T00:00:00-06:00,210.4531257947286 V
2017-03-23T00:00:00-06:00,210.32291714350382 V
2017-03-24T00:00:00-06:00,210.54062509536743 V
2017-03-25T00:00:00-06:00,210.32187493642172 V
2017-03-26T00:00:00-06:00,210.768749554952 V
2017-03-27T00:00:00-06:00,210.5031247138977 V
2017-03-28T00:00:00-06:00,210.59375031789145 V
2017-03-29T00:00:00-06:00,210.66388935512967 V
2017-03-30T00:00:00-06:00,210.57111036512586 V
2017-03-31T00:00:00-06:00,210.52812560399374 V
2017-04-01T00:00:00-06:00,210.37187480926514 V
2017-04-02T00:00:00-06:00,210.7041662534078 V
2017-04-03T00:00:00-06:00,210.41354131698608 V
2017-04-04T00:00:00-06:00,210.5197925567627 V
2017-04-05T00:00:00-06:00,210.32395871480307 V
2017-04-06T00:00:00-06:00,210.63125038146973 V
2017-04-07T00:00:00-06:00,210.54270871480307 V
2017-04-08T00:00:00-06:00,210.42500003178915 V
2017-04-09T00:00:00-06:00,210.67083263397217 V
2017-04-10T00:00:00-06:00,210.46249961853027 V
2017-04-11T00:00:00-06:00,210.44895792007446 V
2017-04-12T00:00:00-06:00,210.56458361943564 V
2017-04-13T00:00:00-06:00,210.44270865122476 V
2017-04-14T00:00:00-06:00,210.50104157129923 V
2017-04-15T00:00:00-06:00,209.92708349227905 V
2017-04-16T00:00:00-06:00,210.44270849227905 V
2017-04-17T00:00:00-06:00,210.52395804723105 V
2017-04-18T00:00:00-06:00,210.26354217529297 V
2017-04-19T00:00:00-06:00,210.23854112625122 V
2017-04-20T00:00:00-06:00,210.13333368301392 V
2017-04-21T00:00:00-06:00,210.6520832379659 V
2017-04-22T00:00:00-06:00,210.28749958674112 V
2017-04-23T00:00:00-06:00,210.43541685740152 V
2017-04-24T00:00:00-06:00,210.58749993642172 V
2017-04-25T00:00:00-06:00,210.59687439600626 V
2017-04-26T00:00:00-06:00,210.45104185740152 V
2017-04-27T00:00:00-06:00,210.5916666984558 V
2017-04-28T00:00:00-06:00,210.45416720708212 V
2017-04-29T00:00:00-06:00,210.60312589009604 V
2017-04-30T00:00:00-06:00,210.52604150772095 V
2017-05-01T00:00:00-06:00,210.66249990463257 V
2017-05-02T00:00:00-06:00,210.44687493642172 V
2017-05-03T00:00:00-06:00,210.57604185740152 V
2017-05-04T00:00:00-06:00,210.56666660308838 V
2017-05-05T00:00:00-06:00,210.41666730244955 V
2017-05-06T00:00:00-06:00,210.53541612625122 V
2017-05-07T00:00:00-06:00,210.40833377838135 V
2017-05-08T00:00:00-06:00,210.62916692097983 V
2017-05-09T00:00:00-06:00,210.64791663487753 V
2017-05-10T00:00:00-06:00,210.78437519073486 V
2017-05-11T00:00:00-06:00,210.6770831743876 V
2017-05-12T00:00:00-06:00,210.66770871480307 V
2017-05-13T00:00:00-06:00,210.62812487284342 V
2017-05-14T00:00:00-06:00,210.36145893732706 V
2017-05-15T00:00:00-06:00,210.7052090962728 V
2017-05-16T00:00:00-06:00,210.50937525431314 V
2017-05-17T00:00:00-06:00,210.59687519073486 V
2017-05-18T00:00:00-06:00,210.56354157129923 V
2017-05-19T00:00:00-06:00,210.93125041325888 V
2017-05-20T00:00:00-06:00,210.44270849227905 V
2017-05-21T00:00:00-06:00,210.46458355585733 V
2017-05-22T00:00:00-06:00,210.63333336512247 V
2017-05-23T00:00:00-06:00,210.6645825703939 V
2017-05-24T00:00:00-06:00,210.43020804723105 V
2017-05-25T00:00:00-06:00,210.25208393732706 V
2017-05-26T00:00:00-06:00,210.48750003178915 V
2017-05-27T00:00:00-06:00,210.5864585240682 V
2017-05-28T00:00:00-06:00,210.58437506357828 V
2017-05-29T00:00:00-06:00,210.38437509536743 V
2017-05-30T00:00:00-06:00,210.42395798365274 V
2017-05-31T00:00:00-06:00,210.3781255086263 V
2017-06-01T00:00:00-06:00,210.4041665395101 V
2017-06-02T00:00:00-06:00,210.21979220708212 V
2017-06-03T00:00:00-06:00,210.3604162534078 V
2017-06-04T00:00:00-06:00,210.44999996821085 V
2017-06-05T00:00:00-06:00,210.38229099909464 V
2017-06-06T00:00:00-06:00,210.57187493642172 V
2017-06-07T00:00:00-06:00,210.44375006357828 V
2017-06-08T00:00:00-06:00,210.44062503178915 V
2017-06-09T00:00:00-06:00,210.46875 V
2017-06-10T00:00:00-06:00,210.34062576293945 V
2017-06-11T00:00:00-06:00,210.3625005086263 V
2017-06-12T00:00:00-06:00,210.5697921117147 V
2017-06-13T00:00:00-06:00,210.6302080154419 V
2017-06-14T00:00:00-06:00,210.7499998410543 V
2017-06-15T00:00:00-06:00,210.5604166984558 V
2017-06-16T00:00:00-06:00,210.5510417620341 V
2017-06-17T00:00:00-06:00,210.48020839691162 V
2017-06-18T00:00:00-06:00,210.52708466847739 V
2017-06-19T00:00:00-06:00,210.60416666666666 V
2017-06-20T00:00:00-06:00,210.5447916984558 V
2017-06-21T00:00:00-06:00,210.56145811080933 V
2017-06-22T00:00:00-06:00,210.43229214350382 V
2017-06-23T00:00:00-06:00,210.69270769755045 V
2017-06-24T00:00:00-06:00,210.71145836512247 V
2017-06-25T00:00:00-06:00,210.57083384195963 V
2017-06-26T00:00:00-06:00,210.45416593551636 V
2017-06-27T00:00:00-06:00,210.5447916984558 V
2017-06-28T00:00:00-06:00,210.36145782470703 V
2017-06-29T00:00:00-06:00,210.57187445958456 V
2017-06-30T00:00:00-06:00,210.83437506357828 V
2017-07-01T00:00:00-06:00,210.56354204813638 V
2017-07-02T00:00:00-06:00,210.68541638056436 V
2017-07-03T00:00:00-06:00,210.46979236602783 V
2017-07-04T00:00:00-06:00,210.50312439600626 V
2017-07-05T00:00:00-06:00,210.53749974568686 V
2017-07-06T00:00:00-06:00,210.46458371480307 V
2017-07-07T00:00:00-06:00,210.65312480926514 V
2017-07-08T00:00:00-06:00,210.69791650772095 V
2017-07-09T00:00:00-06:00,210.44166628519693 V
2017-07-10T00:00:00-06:00,210.49791685740152 V
2017-07-11T00:00:00-06:00,210.51458247502646 V
2017-07-12T00:00:00-06:00,210.55416695276895 V
2017-07-13T00:00:00-06:00,210.51979160308838 V
2017-07-14T00:00:00-06:00,210.44479131698608 V
2017-07-15T00:00:00-06:00,210.44479099909464 V
2017-07-16T00:00:00-06:00,210.43541638056436 V
2017-07-17T00:00:00-06:00,210.51458279291788 V
2017-07-18T00:00:00-06:00,210.66770807902017 V
2017-07-19T00:00:00-06:00,210.45729223887125 V
2017-07-20T00:00:00-06:00,210.4552083015442 V
2017-07-21T00:00:00-06:00,210.53958384195963 V
2017-07-22T00:00:00-06:00,210.48541688919067 V
2017-07-23T00:00:00-06:00,210.55937480926514 V
2017-07-24T00:00:00-06:00,210.51666593551636 V
2017-07-25T00:00:00-06:00,210.55937401453653 V
2017-07-26T00:00:00-06:00,210.390625 V
2017-07-27T00:00:00-06:00,210.53229188919067 V
2017-07-28T00:00:00-06:00,210.49791685740152 V
2017-07-29T00:00:00-06:00,210.41770919164023 V
2017-07-30T00:00:00-06:00,210.51875066757202 V
2017-07-31T00:00:00-06:00,210.48854144414267 V
2017-08-01T00:00:00-06:00,210.49583339691162 V
2017-08-02T00:00:00-06:00,210.3677085240682 V
2017-08-03T00:00:00-06:00,210.6635414759318 V
2017-08-04T00:00:00-06:00,210.5010981297755 V
2017-08-05T00:00:00-06:00,210.5864585240682 V
2017-08-06T00:00:00-06:00,210.68750031789145 V
2017-08-07T00:00:00-06:00,210.56562519073486 V
2017-08-08T00:00:00-06:00,210.44895839691162 V
2017-08-09T00:00:00-06:00,210.54895814259848 V
2017-08-10T00:00:00-06:00,210.63510570120303 V
2017-08-11T00:00:00-06:00,210.62604093551636 V
2017-08-12T00:00:00-06:00,210.70104233423868 V
2017-08-13T00:00:00-06:00,210.61874977747598 V
2017-08-14T00:00:00-06:00,210.5354167620341 V
2017-08-15T00:00:00-06:00,210.53854131698608 V
2017-08-16T00:00:00-06:00,210.5854174296061 V
2017-08-17T00:00:00-06:00,210.61770836512247 V
2017-08-18T00:00:00-06:00,210.61874977747598 V
2017-08-19T00:00:00-06:00,210.49791685740152 V
2017-08-20T00:00:00-06:00,210.58854134877524 V
2017-08-21T00:00:00-06:00,210.58124987284342 V
2017-08-22T00:00:00-06:00,210.61354160308838 V
2017-08-23T00:00:00-06:00,210.57187509536743 V
2017-08-24T00:00:00-06:00,210.58645836512247 V
2017-08-25T00:00:00-06:00,210.48229138056436 V
