Timestamp,['1cc9732a-9931d59d 0051-STERLING SILL CNTR Power Meter Power Factor']
2017-06-26T00:00:00-06:00,-40.001000213623044 _unknown
2017-06-27T00:00:00-06:00,-87.0829164981842 _unknown
2017-06-28T00:00:00-06:00,-89.14729158083598 _unknown
2017-06-29T00:00:00-06:00,-87.04416664441426 _unknown
2017-06-30T00:00:00-06:00,-91.18364588419597 _unknown
2017-07-01T00:00:00-06:00,-82.59687503178914 _unknown
2017-07-02T00:00:00-06:00,-88.87375036875407 _unknown
2017-07-03T00:00:00-06:00,-95.25875004132588 _unknown
2017-07-04T00:00:00-06:00,-84.75374976793925 _unknown
2017-07-05T00:00:00-06:00,-93.3274998664856 _unknown
2017-07-06T00:00:00-06:00,-93.29822929700215 _unknown
2017-07-07T00:00:00-06:00,-89.10364556312561 _unknown
2017-07-08T00:00:00-06:00,-86.86510403951009 _unknown
2017-07-09T00:00:00-06:00,-88.98416646321614 _unknown
2017-07-10T00:00:00-06:00,-80.83604121208191 _unknown
2017-07-11T00:00:00-06:00,-91.29677081108093 _unknown
2017-07-12T00:00:00-06:00,-84.93479196230571 _unknown
2017-07-13T00:00:00-06:00,-95.42562468846639 _unknown
2017-07-14T00:00:00-06:00,-99.57302053769429 _unknown
2017-07-15T00:00:00-06:00,-88.9699998696645 _unknown
2017-07-16T00:00:00-06:00,-93.11093767484029 _unknown
2017-07-17T00:00:00-06:00,-87.1155211130778 _unknown
2017-07-18T00:00:00-06:00,-89.15770832697551 _unknown
2017-07-19T00:00:00-06:00,-89.25531244277954 _unknown
2017-07-20T00:00:00-06:00,-87.11572925249736 _unknown
2017-07-21T00:00:00-06:00,-89.10791675249736 _unknown
2017-07-22T00:00:00-06:00,-91.00583322842915 _unknown
2017-07-23T00:00:00-06:00,-88.93208297093709 _unknown
2017-07-24T00:00:00-06:00,-82.7002085049947 _unknown
2017-07-25T00:00:00-06:00,-95.49958340326945 _unknown
2017-07-26T00:00:00-06:00,-80.83187476793925 _unknown
2017-07-27T00:00:00-06:00,-93.30739609400432 _unknown
2017-07-28T00:00:00-06:00,-87.09999982515971 _unknown
2017-07-29T00:00:00-06:00,-93.07979202270508 _unknown
2017-07-30T00:00:00-06:00,-78.50718704859416 _unknown
2017-07-31T00:00:00-06:00,-89.13979148864746 _unknown
2017-08-01T00:00:00-06:00,-93.3387500445048 _unknown
2017-08-02T00:00:00-06:00,-99.58687512079875 _unknown
2017-08-03T00:00:00-06:00,-84.99208347002666 _unknown
2017-08-04T00:00:00-06:00,-97.35054963499636 _unknown
2017-08-05T00:00:00-06:00,-86.82968767484029 _unknown
2017-08-06T00:00:00-06:00,-88.97489579518636 _unknown
2017-08-07T00:00:00-06:00,-99.5928122997284 _unknown
2017-08-08T00:00:00-06:00,-95.41583339373271 _unknown
2017-08-09T00:00:00-06:00,-87.09593725204468 _unknown
2017-08-10T00:00:00-06:00,-86.81585092747466 _unknown
2017-08-11T00:00:00-06:00,-87.05583357810974 _unknown
2017-08-12T00:00:00-06:00,-82.69041673342387 _unknown
2017-08-13T00:00:00-06:00,-78.59260408083598 _unknown
2017-08-14T00:00:00-06:00,-87.15124988555908 _unknown
2017-08-15T00:00:00-06:00,-95.40208315849304 _unknown
2017-08-16T00:00:00-06:00,-95.41854159037273 _unknown
2017-08-17T00:00:00-06:00,-82.90677070617676 _unknown
2017-08-18T00:00:00-06:00,-82.89218735694885 _unknown
2017-08-19T00:00:00-06:00,-86.87718756993611 _unknown
2017-08-20T00:00:00-06:00,-88.98229161898296 _unknown
2017-08-21T00:00:00-06:00,-80.85333323478699 _unknown
2017-08-22T00:00:00-06:00,-89.19958353042603 _unknown
2017-08-23T00:00:00-06:00,-87.11947909990947 _unknown
2017-08-24T00:00:00-06:00,-85.0039583047231 _unknown
2017-08-25T00:00:00-06:00,-87.06541633605957 _unknown
2017-08-26T00:00:00-06:00,-93.0041667620341 _unknown
2017-08-27T00:00:00-06:00,-97.17208337783813 _unknown
2017-08-28T00:00:00-06:00,-88.72423910058063 _unknown
2017-08-29T00:00:00-06:00,-84.57161318871283 _unknown
2017-08-30T00:00:00-06:00,-87.09572927157085 _unknown
2017-08-31T00:00:00-06:00,-82.93958330154419 _unknown
2017-09-01T00:00:00-06:00,-82.90645829836528 _unknown
2017-09-02T00:00:00-06:00,-80.57260433832805 _unknown
2017-09-03T00:00:00-06:00,-90.99333318074544 _unknown
2017-09-04T00:00:00-06:00,-86.83166678746541 _unknown
2017-09-05T00:00:00-06:00,-93.39062468210857 _unknown
2017-09-06T00:00:00-06:00,-89.21979125340779 _unknown
2017-09-07T00:00:00-06:00,-91.30010398228963 _unknown
2017-09-08T00:00:00-06:00,-76.47231573807566 _unknown
2017-09-09T00:00:00-06:00,-78.66833321253459 _unknown
2017-09-10T00:00:00-06:00,-82.71739562352498 _unknown
2017-09-11T00:00:00-06:00,-87.13677088419597 _unknown
