Timestamp,['1cca7443-03868c47 0062-WARNOCK ENGR BLDG Power Meter 316606 Current A']
2017-01-01T00:00:00-07:00,80.10972222222222 A
2017-01-02T00:00:00-07:00,80.94444444444444 A
2017-01-03T00:00:00-07:00,96.64861111111111 A
2017-01-04T00:00:00-07:00,101.72777777777777 A
2017-01-05T00:00:00-07:00,100.89791666666666 A
2017-01-06T00:00:00-07:00,103.66666666666667 A
2017-01-07T00:00:00-07:00,86.25694444444444 A
2017-01-08T00:00:00-07:00,83.49097222222223 A
2017-01-09T00:00:00-07:00,113.91527777777777 A
2017-01-10T00:00:00-07:00,114.80277777777778 A
2017-01-11T00:00:00-07:00,121.58472222222223 A
2017-01-12T00:00:00-07:00,127.94722222222222 A
2017-01-13T00:00:00-07:00,106.53888888888889 A
2017-01-14T00:00:00-07:00,82.46458333333334 A
2017-01-15T00:00:00-07:00,81.89236111111111 A
2017-01-16T00:00:00-07:00,84.97222222222223 A
2017-01-17T00:00:00-07:00,112.30555555555556 A
2017-01-18T00:00:00-07:00,103.78592814371258 A
2017-01-19T00:00:00-07:00,114.72152777777778 A
2017-01-20T00:00:00-07:00,109.33285406182603 A
2017-01-21T00:00:00-07:00,78.6361111111111 A
2017-01-22T00:00:00-07:00,80.1 A
2017-01-23T00:00:00-07:00,109.03194444444445 A
2017-01-24T00:00:00-07:00,110.1361111111111 A
2017-01-25T00:00:00-07:00,110.54583333333333 A
2017-01-26T00:00:00-07:00,114.18472222222222 A
2017-01-27T00:00:00-07:00,107.72013888888888 A
2017-01-28T00:00:00-07:00,82.68055555555556 A
2017-01-29T00:00:00-07:00,81.98263888888889 A
2017-01-30T00:00:00-07:00,110.21875 A
2017-01-31T00:00:00-07:00,105.13541666666667 A
2017-02-01T00:00:00-07:00,105.52638888888889 A
2017-02-02T00:00:00-07:00,107.62638888888888 A
2017-02-03T00:00:00-07:00,106.21232876712328 A
2017-02-07T00:00:00-07:00,120.45750708215297 A
2017-02-08T00:00:00-07:00,106.37837837837837 A
2017-02-09T00:00:00-07:00,115.10694444444445 A
2017-02-10T00:00:00-07:00,108.37013888888889 A
2017-02-11T00:00:00-07:00,84.03819444444444 A
2017-02-12T00:00:00-07:00,82.88194444444444 A
2017-02-13T00:00:00-07:00,114.17708333333333 A
2017-02-14T00:00:00-07:00,106.33098591549296 A
2017-02-15T00:00:00-07:00,104.03819444444444 A
2017-02-16T00:00:00-07:00,113.13402777777777 A
2017-02-17T00:00:00-07:00,103.66666666666667 A
2017-02-18T00:00:00-07:00,81.23333333333333 A
2017-02-19T00:00:00-07:00,77.71666666666667 A
2017-02-20T00:00:00-07:00,82.95555555555555 A
2017-02-21T00:00:00-07:00,108.82222222222222 A
2017-02-22T00:00:00-07:00,109.57708333333333 A
2017-02-23T00:00:00-07:00,111.38402777777777 A
2017-02-24T00:00:00-07:00,100.4632867132867 A
