Timestamp,['1cca745e-dec3256d 0062-WARNOCK ENGR BLDG Power Meter 316606 Current B']
2017-01-01T00:00:00-07:00,79.24444444444444 A
2017-01-02T00:00:00-07:00,83.17222222222222 A
2017-01-03T00:00:00-07:00,94.5 A
2017-01-04T00:00:00-07:00,94.94027777777778 A
2017-01-05T00:00:00-07:00,98.68125 A
2017-01-06T00:00:00-07:00,98.09027777777777 A
2017-01-07T00:00:00-07:00,83.98125 A
2017-01-08T00:00:00-07:00,82.52708333333334 A
2017-01-09T00:00:00-07:00,111.47083333333333 A
2017-01-10T00:00:00-07:00,115.84444444444445 A
2017-01-11T00:00:00-07:00,114.11805555555556 A
2017-01-12T00:00:00-07:00,108.99583333333334 A
2017-01-13T00:00:00-07:00,103.59305555555555 A
2017-01-14T00:00:00-07:00,76.19027777777778 A
2017-01-15T00:00:00-07:00,75.94097222222223 A
2017-01-16T00:00:00-07:00,80.51736111111111 A
2017-01-17T00:00:00-07:00,110.99305555555556 A
2017-01-18T00:00:00-07:00,108.8502994011976 A
2017-01-19T00:00:00-07:00,101.51180555555555 A
2017-01-20T00:00:00-07:00,98.2961897915169 A
2017-01-21T00:00:00-07:00,75.46111111111111 A
2017-01-22T00:00:00-07:00,71.48125 A
2017-01-23T00:00:00-07:00,99.23472222222222 A
2017-01-24T00:00:00-07:00,103.41388888888889 A
2017-01-25T00:00:00-07:00,104.71805555555555 A
2017-01-26T00:00:00-07:00,111.0375 A
2017-01-27T00:00:00-07:00,105.79027777777777 A
2017-01-28T00:00:00-07:00,86.03125 A
2017-01-29T00:00:00-07:00,86.54513888888889 A
2017-01-30T00:00:00-07:00,107.42361111111111 A
2017-01-31T00:00:00-07:00,105.57638888888889 A
2017-02-01T00:00:00-07:00,102.12361111111112 A
2017-02-02T00:00:00-07:00,111.19166666666666 A
2017-02-03T00:00:00-07:00,115.0662100456621 A
2017-02-07T00:00:00-07:00,120.9957507082153 A
2017-02-08T00:00:00-07:00,109.41003861003861 A
