Timestamp,['1cca746c-55736214 0062-WARNOCK ENGR BLDG Power Meter 316606 Current C']
2017-01-01T00:00:00-07:00,74.70138888888889 A
2017-01-02T00:00:00-07:00,77.51527777777778 A
2017-01-03T00:00:00-07:00,85.84861111111111 A
2017-01-04T00:00:00-07:00,85.02986111111112 A
2017-01-05T00:00:00-07:00,99.22013888888888 A
2017-01-06T00:00:00-07:00,95.5 A
2017-01-07T00:00:00-07:00,75.17916666666666 A
2017-01-08T00:00:00-07:00,74.19236111111111 A
2017-01-09T00:00:00-07:00,100.55833333333334 A
2017-01-10T00:00:00-07:00,101.1125 A
2017-01-11T00:00:00-07:00,113.08611111111111 A
2017-01-12T00:00:00-07:00,108.3125 A
2017-01-13T00:00:00-07:00,99.85416666666667 A
2017-01-14T00:00:00-07:00,78.57222222222222 A
2017-01-15T00:00:00-07:00,76.41666666666667 A
2017-01-16T00:00:00-07:00,77.17361111111111 A
2017-01-17T00:00:00-07:00,107.22916666666667 A
2017-01-18T00:00:00-07:00,98.4752994011976 A
2017-01-19T00:00:00-07:00,94.60208333333334 A
2017-01-20T00:00:00-07:00,90.69662113587347 A
2017-01-21T00:00:00-07:00,73.67013888888889 A
2017-01-22T00:00:00-07:00,67.59791666666666 A
2017-01-23T00:00:00-07:00,102.69166666666666 A
2017-01-24T00:00:00-07:00,97.3638888888889 A
2017-01-25T00:00:00-07:00,111.39861111111111 A
2017-01-26T00:00:00-07:00,120.55416666666666 A
2017-01-27T00:00:00-07:00,115.78472222222223 A
2017-01-28T00:00:00-07:00,91.80208333333333 A
2017-01-29T00:00:00-07:00,89.51388888888889 A
2017-01-30T00:00:00-07:00,103.03819444444444 A
2017-01-31T00:00:00-07:00,97.01041666666667 A
2017-02-01T00:00:00-07:00,92.66944444444445 A
2017-02-02T00:00:00-07:00,104.25277777777778 A
2017-02-03T00:00:00-07:00,104.57077625570776 A
2017-02-07T00:00:00-07:00,107.45609065155807 A
2017-02-08T00:00:00-07:00,98.75984555984556 A
2017-02-09T00:00:00-07:00,98.05277777777778 A
2017-02-10T00:00:00-07:00,90.66458333333334 A
2017-02-11T00:00:00-07:00,70.17708333333333 A
2017-02-12T00:00:00-07:00,71.68402777777777 A
2017-02-13T00:00:00-07:00,101.03472222222223 A
2017-02-14T00:00:00-07:00,98.63380281690141 A
2017-02-15T00:00:00-07:00,98.80208333333333 A
2017-02-16T00:00:00-07:00,102.68194444444444 A
2017-02-17T00:00:00-07:00,97.12916666666666 A
2017-02-18T00:00:00-07:00,75.5111111111111 A
2017-02-19T00:00:00-07:00,75.21388888888889 A
2017-02-20T00:00:00-07:00,76.56944444444444 A
2017-02-21T00:00:00-07:00,101.98611111111111 A
2017-02-22T00:00:00-07:00,97.06527777777778 A
2017-02-23T00:00:00-07:00,100.68680555555555 A
2017-02-24T00:00:00-07:00,96.11877729257642 A
2017-02-25T00:00:00-07:00,76.1986111111111 A
2017-02-26T00:00:00-07:00,78.27638888888889 A
2017-02-27T00:00:00-07:00,100.21180555555556 A
2017-02-28T00:00:00-07:00,101.29166666666667 A
2017-03-01T00:00:00-07:00,103.65625 A
2017-03-02T00:00:00-07:00,100.54861111111111 A
2017-03-03T00:00:00-07:00,97.2701388888889 A
2017-03-04T00:00:00-07:00,68.34305555555555 A
2017-03-05T00:00:00-07:00,66.55277777777778 A
2017-03-06T00:00:00-07:00,100.75208333333333 A
2017-03-07T00:00:00-07:00,102.5125 A
2017-03-08T00:00:00-07:00,99.35902777777778 A
2017-03-09T00:00:00-07:00,99.11458333333333 A
2017-03-10T00:00:00-07:00,90.43055555555556 A
2017-03-11T00:00:00-07:00,71.64444444444445 A
2017-03-12T00:00:00-07:00,69.51304347826087 A
2017-03-13T00:00:00-06:00,82.17708333333333 A
2017-03-14T00:00:00-06:00,84.69166666666666 A
2017-03-15T00:00:00-06:00,83.77638888888889 A
2017-03-16T00:00:00-06:00,88.11319444444445 A
2017-03-17T00:00:00-06:00,87.84375 A
2017-03-18T00:00:00-06:00,72.84027777777777 A
2017-03-19T00:00:00-06:00,76.6875 A
2017-03-20T00:00:00-06:00,103.0513888888889 A
2017-03-21T00:00:00-06:00,102.85625 A
2017-03-22T00:00:00-06:00,95.26875 A
2017-03-23T00:00:00-06:00,101.03402777777778 A
2017-03-24T00:00:00-06:00,92.45694444444445 A
2017-03-25T00:00:00-06:00,70.7909090909091 A
2017-03-26T00:00:00-06:00,69.65972222222223 A
2017-03-27T00:00:00-06:00,97.02638888888889 A
2017-03-28T00:00:00-06:00,97.55555555555556 A
2017-03-29T00:00:00-06:00,100.62114125350796 A
2017-03-30T00:00:00-06:00,98.26964560862866 A
2017-03-31T00:00:00-06:00,89.90833333333333 A
2017-04-01T00:00:00-06:00,71.17777777777778 A
2017-04-02T00:00:00-06:00,71.37083333333334 A
2017-04-03T00:00:00-06:00,90.43194444444444 A
2017-04-04T00:00:00-06:00,97.17986111111111 A
2017-04-05T00:00:00-06:00,99.91111111111111 A
2017-04-06T00:00:00-06:00,100.01319444444445 A
2017-04-07T00:00:00-06:00,90.65486111111112 A
2017-04-08T00:00:00-06:00,72.63958333333333 A
2017-04-09T00:00:00-06:00,72.19166666666666 A
2017-04-10T00:00:00-06:00,96.66388888888889 A
2017-04-11T00:00:00-06:00,102.15625 A
2017-04-12T00:00:00-06:00,98.72916666666667 A
2017-04-13T00:00:00-06:00,105.02083333333333 A
2017-04-14T00:00:00-06:00,98.68402777777777 A
2017-04-15T00:00:00-06:00,77.16527777777777 A
2017-04-16T00:00:00-06:00,73.13472222222222 A
2017-04-17T00:00:00-06:00,101.09097222222222 A
2017-04-18T00:00:00-06:00,102.79375 A
2017-04-19T00:00:00-06:00,106.42222222222222 A
2017-04-20T00:00:00-06:00,105.07777777777778 A
2017-04-21T00:00:00-06:00,97.06388888888888 A
2017-04-22T00:00:00-06:00,75.29027777777777 A
2017-04-23T00:00:00-06:00,78.13194444444444 A
2017-04-24T00:00:00-06:00,102.33541666666666 A
2017-04-25T00:00:00-06:00,102.11111111111111 A
2017-04-26T00:00:00-06:00,102.13402777777777 A
2017-04-27T00:00:00-06:00,100.77638888888889 A
2017-04-28T00:00:00-06:00,93.77777777777777 A
2017-04-29T00:00:00-06:00,78.01388888888889 A
2017-04-30T00:00:00-06:00,77.56180555555555 A
2017-05-01T00:00:00-06:00,90.77986111111112 A
2017-05-02T00:00:00-06:00,97.04097222222222 A
2017-05-03T00:00:00-06:00,93.87361111111112 A
2017-05-04T00:00:00-06:00,91.71527777777777 A
2017-05-05T00:00:00-06:00,86.55694444444444 A
2017-05-06T00:00:00-06:00,73.88194444444444 A
2017-05-07T00:00:00-06:00,76.75555555555556 A
2017-05-08T00:00:00-06:00,86.85985915492958 A
2017-05-09T00:00:00-06:00,88.56319444444445 A
2017-05-10T00:00:00-06:00,87.77083333333333 A
2017-05-11T00:00:00-06:00,88.77777777777777 A
2017-05-12T00:00:00-06:00,83.63541666666667 A
2017-05-13T00:00:00-06:00,72.25138888888888 A
2017-05-14T00:00:00-06:00,72.93333333333334 A
2017-05-15T00:00:00-06:00,94.38333333333334 A
2017-05-16T00:00:00-06:00,88.34895104895105 A
2017-05-17T00:00:00-06:00,92.53680555555556 A
2017-05-18T00:00:00-06:00,97.27291666666666 A
2017-05-19T00:00:00-06:00,94.45694444444445 A
2017-05-20T00:00:00-06:00,77.3236111111111 A
2017-05-21T00:00:00-06:00,74.8 A
2017-05-22T00:00:00-06:00,93.55833333333334 A
2017-05-23T00:00:00-06:00,92.24236111111111 A
2017-05-24T00:00:00-06:00,87.20277777777778 A
2017-05-25T00:00:00-06:00,99.02569444444444 A
2017-05-26T00:00:00-06:00,92.23472222222222 A
2017-05-27T00:00:00-06:00,74.31041666666667 A
2017-05-28T00:00:00-06:00,75.95833333333333 A
2017-05-29T00:00:00-06:00,74.9125 A
2017-05-30T00:00:00-06:00,90.59305555555555 A
2017-05-31T00:00:00-06:00,96.225 A
2017-06-01T00:00:00-06:00,94.52291666666666 A
2017-06-02T00:00:00-06:00,90.59861111111111 A
2017-06-03T00:00:00-06:00,79.30972222222222 A
2017-06-04T00:00:00-06:00,80.01041666666667 A
2017-06-05T00:00:00-06:00,97.30347222222223 A
2017-06-06T00:00:00-06:00,95.50763888888889 A
2017-06-07T00:00:00-06:00,90.37916666666666 A
2017-06-08T00:00:00-06:00,94.63472222222222 A
2017-06-09T00:00:00-06:00,94.17083333333333 A
2017-06-10T00:00:00-06:00,81.07777777777778 A
2017-06-11T00:00:00-06:00,79.62237762237763 A
2017-06-12T00:00:00-06:00,94.50555555555556 A
2017-06-13T00:00:00-06:00,97.73194444444445 A
2017-06-14T00:00:00-06:00,95.71666666666667 A
2017-06-15T00:00:00-06:00,93.50763888888889 A
2017-06-16T00:00:00-06:00,91.01597222222222 A
2017-06-17T00:00:00-06:00,78.39027777777778 A
2017-06-18T00:00:00-06:00,78.25555555555556 A
2017-06-19T00:00:00-06:00,91.17708333333333 A
2017-06-20T00:00:00-06:00,96.3013888888889 A
2017-06-21T00:00:00-06:00,97.29305555555555 A
2017-06-22T00:00:00-06:00,94.05972222222222 A
