Timestamp,['1cca7493-442d41fb 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BN']
2017-01-01T00:00:00-07:00,122.04305555555555 V
2017-01-02T00:00:00-07:00,121.97916666666667 V
2017-01-03T00:00:00-07:00,121.89583333333333 V
2017-01-04T00:00:00-07:00,121.88194444444444 V
2017-01-05T00:00:00-07:00,121.89583333333333 V
2017-01-06T00:00:00-07:00,121.97222222222223 V
2017-01-07T00:00:00-07:00,121.9375 V
2017-01-08T00:00:00-07:00,121.90277777777777 V
2017-01-09T00:00:00-07:00,121.81875 V
2017-01-10T00:00:00-07:00,121.8125 V
2017-01-11T00:00:00-07:00,121.875 V
2017-01-12T00:00:00-07:00,121.875 V
2017-01-13T00:00:00-07:00,121.94444444444444 V
2017-01-14T00:00:00-07:00,122.11111111111111 V
2017-01-15T00:00:00-07:00,121.86805555555556 V
2017-01-16T00:00:00-07:00,121.97916666666667 V
2017-01-17T00:00:00-07:00,121.88888888888889 V
2017-01-18T00:00:00-07:00,122.83083832335329 V
2017-01-19T00:00:00-07:00,123.32638888888889 V
2017-01-20T00:00:00-07:00,123.47519769949676 V
2017-01-21T00:00:00-07:00,123.45625 V
2017-01-22T00:00:00-07:00,123.16666666666667 V
2017-01-23T00:00:00-07:00,123.29444444444445 V
2017-01-24T00:00:00-07:00,123.42777777777778 V
2017-01-25T00:00:00-07:00,123.27777777777777 V
2017-01-26T00:00:00-07:00,123.18055555555556 V
2017-01-27T00:00:00-07:00,123.26666666666667 V
2017-01-28T00:00:00-07:00,123.32291666666667 V
2017-01-29T00:00:00-07:00,123.29166666666667 V
2017-01-30T00:00:00-07:00,123.45833333333333 V
2017-01-31T00:00:00-07:00,123.25347222222223 V
2017-02-01T00:00:00-07:00,123.4375 V
2017-02-02T00:00:00-07:00,123.28055555555555 V
2017-02-03T00:00:00-07:00,123.20091324200914 V
2017-02-07T00:00:00-07:00,123.40934844192634 V
2017-02-08T00:00:00-07:00,123.37528957528957 V
2017-02-09T00:00:00-07:00,123.31527777777778 V
2017-02-10T00:00:00-07:00,123.41041666666666 V
2017-02-11T00:00:00-07:00,123.44444444444444 V
2017-02-12T00:00:00-07:00,123.25694444444444 V
