Timestamp,['1cca749f-c914c14e 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CN']
2017-01-01T00:00:00-07:00,121.98611111111111 V
2017-01-02T00:00:00-07:00,121.93055555555556 V
2017-01-03T00:00:00-07:00,121.84027777777777 V
2017-01-04T00:00:00-07:00,121.83333333333333 V
2017-01-05T00:00:00-07:00,121.83333333333333 V
2017-01-06T00:00:00-07:00,121.85416666666667 V
2017-01-07T00:00:00-07:00,121.88194444444444 V
2017-01-08T00:00:00-07:00,121.68055555555556 V
2017-01-09T00:00:00-07:00,121.69375 V
2017-01-10T00:00:00-07:00,121.67361111111111 V
2017-01-11T00:00:00-07:00,121.75 V
2017-01-12T00:00:00-07:00,121.75 V
2017-01-13T00:00:00-07:00,121.86111111111111 V
2017-01-14T00:00:00-07:00,121.97916666666667 V
2017-01-15T00:00:00-07:00,121.72916666666667 V
2017-01-16T00:00:00-07:00,121.84722222222223 V
2017-01-17T00:00:00-07:00,121.71527777777777 V
2017-01-18T00:00:00-07:00,122.65494011976048 V
2017-01-19T00:00:00-07:00,123.21527777777777 V
2017-01-20T00:00:00-07:00,123.352983465133 V
2017-01-21T00:00:00-07:00,123.15069444444444 V
2017-01-22T00:00:00-07:00,123.06944444444444 V
2017-01-23T00:00:00-07:00,123.0513888888889 V
2017-01-24T00:00:00-07:00,123.1361111111111 V
2017-01-25T00:00:00-07:00,123.06944444444444 V
2017-01-26T00:00:00-07:00,122.98194444444445 V
2017-01-27T00:00:00-07:00,123.09722222222223 V
2017-01-28T00:00:00-07:00,123.12847222222223 V
2017-01-29T00:00:00-07:00,123.15625 V
2017-01-30T00:00:00-07:00,123.12152777777777 V
2017-01-31T00:00:00-07:00,122.98263888888889 V
2017-02-01T00:00:00-07:00,123.18055555555556 V
2017-02-02T00:00:00-07:00,123.05833333333334 V
2017-02-03T00:00:00-07:00,123.06392694063926 V
2017-02-07T00:00:00-07:00,123.03541076487252 V
2017-02-08T00:00:00-07:00,123.1057915057915 V
2017-02-09T00:00:00-07:00,123.0625 V
2017-02-10T00:00:00-07:00,123.14583333333333 V
2017-02-11T00:00:00-07:00,123.1875 V
2017-02-12T00:00:00-07:00,123.09027777777777 V
2017-02-13T00:00:00-07:00,123.08333333333333 V
2017-02-14T00:00:00-07:00,123.14084507042253 V
2017-02-15T00:00:00-07:00,123.07291666666667 V
2017-02-16T00:00:00-07:00,123.0201388888889 V
2017-02-17T00:00:00-07:00,123.18472222222222 V
2017-02-18T00:00:00-07:00,123.13888888888889 V
2017-02-19T00:00:00-07:00,123.10416666666667 V
2017-02-20T00:00:00-07:00,123.0625 V
