Timestamp,['1cca7518-c0f077f1 0062-WARNOCK ENGR BLDG Power Meter 316607 KW Total']
2017-01-01T00:00:00-07:00,367 kW
2017-01-02T00:00:00-07:00,372 kW
2017-01-03T00:00:00-07:00,371 kW
2017-01-04T00:00:00-07:00,392 kW
2017-01-05T00:00:00-07:00,379 kW
2017-01-06T00:00:00-07:00,402 kW
2017-01-07T00:00:00-07:00,382 kW
2017-01-08T00:00:00-07:00,349 kW
2017-01-09T00:00:00-07:00,422 kW
2017-01-10T00:00:00-07:00,427 kW
2017-01-11T00:00:00-07:00,395 kW
2017-01-12T00:00:00-07:00,408 kW
2017-01-13T00:00:00-07:00,396 kW
2017-01-14T00:00:00-07:00,376 kW
2017-01-15T00:00:00-07:00,385 kW
2017-01-16T00:00:00-07:00,384 kW
2017-01-17T00:00:00-07:00,410 kW
2017-01-18T00:00:00-07:00,402 kW
2017-01-19T00:00:00-07:00,398 kW
2017-01-20T00:00:00-07:00,380 kW
2017-01-21T00:00:00-07:00,359 kW
2017-01-22T00:00:00-07:00,355 kW
2017-01-23T00:00:00-07:00,404 kW
2017-01-24T00:00:00-07:00,402 kW
2017-01-25T00:00:00-07:00,402 kW
2017-01-26T00:00:00-07:00,392 kW
2017-01-27T00:00:00-07:00,396 kW
2017-01-28T00:00:00-07:00,365 kW
2017-01-29T00:00:00-07:00,354 kW
2017-01-30T00:00:00-07:00,408 kW
2017-01-31T00:00:00-07:00,417 kW
2017-02-01T00:00:00-07:00,442 kW
2017-02-02T00:00:00-07:00,420 kW
2017-02-03T00:00:00-07:00,403 kW
2017-02-07T00:00:00-07:00,439 kW
2017-02-08T00:00:00-07:00,489 kW
2017-02-09T00:00:00-07:00,445 kW
2017-02-10T00:00:00-07:00,442 kW
2017-02-11T00:00:00-07:00,377 kW
2017-02-12T00:00:00-07:00,384 kW
2017-02-13T00:00:00-07:00,422 kW
2017-02-14T00:00:00-07:00,430 kW
2017-02-15T00:00:00-07:00,438 kW
2017-02-16T00:00:00-07:00,442 kW
2017-02-17T00:00:00-07:00,440 kW
2017-02-18T00:00:00-07:00,375 kW
2017-02-19T00:00:00-07:00,393 kW
2017-02-20T00:00:00-07:00,394 kW
2017-02-21T00:00:00-07:00,495 kW
2017-02-22T00:00:00-07:00,412 kW
2017-02-23T00:00:00-07:00,408 kW
2017-02-24T00:00:00-07:00,381 kW
2017-02-25T00:00:00-07:00,364 kW
2017-02-26T00:00:00-07:00,376 kW
2017-02-27T00:00:00-07:00,411 kW
2017-02-28T00:00:00-07:00,416 kW
2017-03-01T00:00:00-07:00,413 kW
2017-03-02T00:00:00-07:00,444 kW
2017-03-03T00:00:00-07:00,441 kW
2017-03-04T00:00:00-07:00,417 kW
2017-03-05T00:00:00-07:00,408 kW
2017-03-06T00:00:00-07:00,429 kW
2017-03-07T00:00:00-07:00,441 kW
2017-03-08T00:00:00-07:00,477 kW
2017-03-09T00:00:00-07:00,467 kW
2017-03-10T00:00:00-07:00,465 kW
2017-03-11T00:00:00-07:00,419 kW
2017-03-12T00:00:00-07:00,401 kW
2017-03-13T00:00:00-06:00,438 kW
2017-03-14T00:00:00-06:00,440 kW
2017-03-15T00:00:00-06:00,449 kW
2017-03-16T00:00:00-06:00,459 kW
2017-03-17T00:00:00-06:00,451 kW
2017-03-18T00:00:00-06:00,405 kW
2017-03-19T00:00:00-06:00,406 kW
2017-03-20T00:00:00-06:00,457 kW
2017-03-21T00:00:00-06:00,486 kW
2017-03-22T00:00:00-06:00,488 kW
2017-03-23T00:00:00-06:00,419 kW
2017-03-24T00:00:00-06:00,455 kW
2017-03-25T00:00:00-06:00,395 kW
2017-03-26T00:00:00-06:00,416 kW
2017-03-27T00:00:00-06:00,405 kW
2017-03-28T00:00:00-06:00,445 kW
2017-03-29T00:00:00-06:00,466 kW
2017-03-30T00:00:00-06:00,438 kW
2017-03-31T00:00:00-06:00,431 kW
2017-04-01T00:00:00-06:00,439 kW
2017-04-02T00:00:00-06:00,388 kW
2017-04-03T00:00:00-06:00,441 kW
2017-04-04T00:00:00-06:00,426 kW
2017-04-05T00:00:00-06:00,464 kW
2017-04-06T00:00:00-06:00,444 kW
2017-04-07T00:00:00-06:00,457 kW
2017-04-08T00:00:00-06:00,421 kW
2017-04-09T00:00:00-06:00,365 kW
2017-04-10T00:00:00-06:00,438 kW
2017-04-11T00:00:00-06:00,451 kW
2017-04-12T00:00:00-06:00,460 kW
2017-04-13T00:00:00-06:00,469 kW
2017-04-14T00:00:00-06:00,439 kW
2017-04-15T00:00:00-06:00,410 kW
2017-04-16T00:00:00-06:00,444 kW
2017-04-17T00:00:00-06:00,467 kW
2017-04-18T00:00:00-06:00,457 kW
2017-04-19T00:00:00-06:00,464 kW
2017-04-20T00:00:00-06:00,445 kW
2017-04-21T00:00:00-06:00,442 kW
2017-04-22T00:00:00-06:00,419 kW
2017-04-23T00:00:00-06:00,412 kW
2017-04-24T00:00:00-06:00,467 kW
2017-04-25T00:00:00-06:00,419 kW
2017-04-26T00:00:00-06:00,455 kW
2017-04-27T00:00:00-06:00,406 kW
2017-04-28T00:00:00-06:00,404 kW
2017-04-29T00:00:00-06:00,423 kW
2017-04-30T00:00:00-06:00,421 kW
2017-05-01T00:00:00-06:00,460 kW
2017-05-02T00:00:00-06:00,462 kW
2017-05-03T00:00:00-06:00,461 kW
2017-05-04T00:00:00-06:00,438 kW
2017-05-05T00:00:00-06:00,467 kW
2017-05-06T00:00:00-06:00,435 kW
2017-05-07T00:00:00-06:00,423 kW
2017-05-08T00:00:00-06:00,452 kW
2017-05-09T00:00:00-06:00,453 kW
2017-05-10T00:00:00-06:00,459 kW
2017-05-11T00:00:00-06:00,432 kW
2017-05-12T00:00:00-06:00,433 kW
2017-05-13T00:00:00-06:00,407 kW
2017-05-14T00:00:00-06:00,414 kW
2017-05-15T00:00:00-06:00,449 kW
2017-05-16T00:00:00-06:00,452 kW
2017-05-17T00:00:00-06:00,383 kW
2017-05-18T00:00:00-06:00,370 kW
2017-05-19T00:00:00-06:00,374 kW
2017-05-20T00:00:00-06:00,344 kW
2017-05-21T00:00:00-06:00,356 kW
2017-05-22T00:00:00-06:00,374 kW
2017-05-23T00:00:00-06:00,378 kW
2017-05-24T00:00:00-06:00,454 kW
2017-05-25T00:00:00-06:00,402 kW
2017-05-26T00:00:00-06:00,438 kW
2017-05-27T00:00:00-06:00,391 kW
2017-05-28T00:00:00-06:00,422 kW
2017-05-29T00:00:00-06:00,412 kW
2017-05-30T00:00:00-06:00,449 kW
2017-05-31T00:00:00-06:00,442 kW
2017-06-01T00:00:00-06:00,459 kW
2017-06-02T00:00:00-06:00,438 kW
2017-06-03T00:00:00-06:00,428 kW
2017-06-04T00:00:00-06:00,438 kW
2017-06-05T00:00:00-06:00,435 kW
2017-06-06T00:00:00-06:00,484 kW
2017-06-07T00:00:00-06:00,467 kW
2017-06-08T00:00:00-06:00,486 kW
2017-06-09T00:00:00-06:00,472 kW
2017-06-10T00:00:00-06:00,460 kW
2017-06-11T00:00:00-06:00,444 kW
2017-06-12T00:00:00-06:00,459 kW
2017-06-13T00:00:00-06:00,453 kW
2017-06-14T00:00:00-06:00,459 kW
2017-06-15T00:00:00-06:00,479 kW
2017-06-16T00:00:00-06:00,467 kW
2017-06-17T00:00:00-06:00,401 kW
2017-06-18T00:00:00-06:00,412 kW
2017-06-19T00:00:00-06:00,472 kW
2017-06-20T00:00:00-06:00,472 kW
2017-06-21T00:00:00-06:00,489 kW
2017-06-22T00:00:00-06:00,466 kW
2017-06-23T00:00:00-06:00,439 kW
2017-06-24T00:00:00-06:00,420 kW
2017-06-25T00:00:00-06:00,433 kW
2017-06-26T00:00:00-06:00,439 kW
2017-06-27T00:00:00-06:00,476 kW
2017-06-28T00:00:00-06:00,455 kW
2017-06-29T00:00:00-06:00,468 kW
2017-06-30T00:00:00-06:00,428 kW
2017-07-01T00:00:00-06:00,411 kW
2017-07-02T00:00:00-06:00,427 kW
2017-07-03T00:00:00-06:00,451 kW
2017-07-04T00:00:00-06:00,452 kW
2017-07-05T00:00:00-06:00,470 kW
2017-07-06T00:00:00-06:00,493 kW
2017-07-07T00:00:00-06:00,475 kW
2017-07-08T00:00:00-06:00,463 kW
2017-07-09T00:00:00-06:00,448 kW
2017-07-10T00:00:00-06:00,485 kW
2017-07-11T00:00:00-06:00,481 kW
2017-07-12T00:00:00-06:00,463 kW
2017-07-13T00:00:00-06:00,468 kW
2017-07-14T00:00:00-06:00,466 kW
2017-07-15T00:00:00-06:00,441 kW
2017-07-16T00:00:00-06:00,438 kW
2017-07-17T00:00:00-06:00,457 kW
2017-07-18T00:00:00-06:00,465 kW
2017-07-19T00:00:00-06:00,470 kW
2017-07-20T00:00:00-06:00,500 kW
2017-07-21T00:00:00-06:00,474 kW
2017-07-22T00:00:00-06:00,426 kW
2017-07-23T00:00:00-06:00,428 kW
2017-07-24T00:00:00-06:00,441 kW
2017-07-25T00:00:00-06:00,477 kW
2017-07-26T00:00:00-06:00,470 kW
2017-07-27T00:00:00-06:00,472 kW
2017-07-28T00:00:00-06:00,458 kW
2017-07-29T00:00:00-06:00,450 kW
2017-07-30T00:00:00-06:00,443 kW
2017-07-31T00:00:00-06:00,496 kW
2017-08-01T00:00:00-06:00,495 kW
2017-08-02T00:00:00-06:00,497 kW
2017-08-03T00:00:00-06:00,488 kW
2017-08-04T00:00:00-06:00,466 kW
2017-08-05T00:00:00-06:00,430 kW
2017-08-06T00:00:00-06:00,453 kW
2017-08-07T00:00:00-06:00,452 kW
2017-08-08T00:00:00-06:00,466 kW
2017-08-09T00:00:00-06:00,465 kW
2017-08-10T00:00:00-06:00,448 kW
2017-08-11T00:00:00-06:00,450 kW
2017-08-12T00:00:00-06:00,458 kW
2017-08-13T00:00:00-06:00,412 kW
2017-08-14T00:00:00-06:00,470 kW
2017-08-15T00:00:00-06:00,423 kW
2017-08-16T00:00:00-06:00,452 kW
2017-08-17T00:00:00-06:00,487 kW
2017-08-18T00:00:00-06:00,456 kW
2017-08-19T00:00:00-06:00,441 kW
2017-08-20T00:00:00-06:00,438 kW
2017-08-21T00:00:00-06:00,484 kW
2017-08-22T00:00:00-06:00,493 kW
2017-08-23T00:00:00-06:00,471 kW
2017-08-24T00:00:00-06:00,488 kW
2017-08-25T00:00:00-06:00,489 kW
2017-08-26T00:00:00-06:00,429 kW
2017-08-27T00:00:00-06:00,442 kW
2017-08-28T00:00:00-06:00,482 kW
2017-08-29T00:00:00-06:00,503 kW
2017-08-30T00:00:00-06:00,492 kW
2017-08-31T00:00:00-06:00,484 kW
2017-09-01T00:00:00-06:00,483 kW
2017-09-02T00:00:00-06:00,430 kW
2017-09-03T00:00:00-06:00,428 kW
2017-09-04T00:00:00-06:00,454 kW
2017-09-05T00:00:00-06:00,478 kW
2017-09-06T00:00:00-06:00,460 kW
2017-09-07T00:00:00-06:00,473 kW
2017-09-08T00:00:00-06:00,489 kW
2017-09-09T00:00:00-06:00,423 kW
2017-09-10T00:00:00-06:00,425 kW
2017-09-11T00:00:00-06:00,482 kW
2017-09-12T00:00:00-06:00,503 kW
2017-09-13T00:00:00-06:00,487 kW
2017-09-14T00:00:00-06:00,473 kW
2017-09-15T00:00:00-06:00,454 kW
2017-09-16T00:00:00-06:00,412 kW
2017-09-17T00:00:00-06:00,430 kW
2017-09-18T00:00:00-06:00,446 kW
2017-09-19T00:00:00-06:00,435 kW
2017-09-20T00:00:00-06:00,457 kW
2017-09-21T00:00:00-06:00,441 kW
2017-09-22T00:00:00-06:00,427 kW
2017-09-23T00:00:00-06:00,364 kW
2017-09-24T00:00:00-06:00,352 kW
2017-09-25T00:00:00-06:00,452 kW
2017-09-26T00:00:00-06:00,440 kW
2017-09-27T00:00:00-06:00,458 kW
2017-09-28T00:00:00-06:00,472 kW
2017-09-29T00:00:00-06:00,455 kW
2017-09-30T00:00:00-06:00,408 kW
2017-10-01T00:00:00-06:00,389 kW
2017-10-02T00:00:00-06:00,403 kW
2017-10-03T00:00:00-06:00,450 kW
2017-10-04T00:00:00-06:00,447 kW
2017-10-05T00:00:00-06:00,471 kW
2017-10-06T00:00:00-06:00,465 kW
2017-10-07T00:00:00-06:00,434 kW
2017-10-08T00:00:00-06:00,371 kW
2017-10-09T00:00:00-06:00,394 kW
2017-10-10T00:00:00-06:00,432 kW
2017-10-11T00:00:00-06:00,433 kW
2017-10-12T00:00:00-06:00,415 kW
2017-10-13T00:00:00-06:00,415 kW
2017-10-14T00:00:00-06:00,351 kW
2017-10-15T00:00:00-06:00,382 kW
2017-10-16T00:00:00-06:00,465 kW
2017-10-17T00:00:00-06:00,447 kW
2017-10-18T00:00:00-06:00,452 kW
2017-10-19T00:00:00-06:00,460 kW
2017-10-20T00:00:00-06:00,444 kW
2017-10-21T00:00:00-06:00,356 kW
2017-10-22T00:00:00-06:00,399 kW
2017-10-23T00:00:00-06:00,452 kW
2017-10-24T00:00:00-06:00,441 kW
2017-10-25T00:00:00-06:00,455 kW
2017-10-26T00:00:00-06:00,438 kW
2017-10-27T00:00:00-06:00,447 kW
2017-10-28T00:00:00-06:00,390 kW
2017-10-29T00:00:00-06:00,404 kW
2017-10-30T00:00:00-06:00,425 kW
2017-10-31T00:00:00-06:00,411 kW
2017-11-01T00:00:00-06:00,456 kW
2017-11-02T00:00:00-06:00,462 kW
2017-11-03T00:00:00-06:00,446 kW
2017-11-04T00:00:00-06:00,386 kW
2017-11-05T00:00:00-06:00,373 kW
2017-11-06T00:00:00-07:00,389 kW
2017-11-07T00:00:00-07:00,397 kW
2017-11-08T00:00:00-07:00,404 kW
2017-11-09T00:00:00-07:00,465 kW
2017-11-10T00:00:00-07:00,413 kW
2017-11-11T00:00:00-07:00,403 kW
2017-11-12T00:00:00-07:00,406 kW
2017-11-13T00:00:00-07:00,461 kW
2017-11-14T00:00:00-07:00,454 kW
2017-11-15T00:00:00-07:00,449 kW
2017-11-16T00:00:00-07:00,462 kW
2017-11-17T00:00:00-07:00,396 kW
