Timestamp,['1cca7569-d48b5308 0062-WARNOCK ENGR BLDG Power Meter 316607 Current C']
2017-01-01T00:00:00-07:00,401.6979166666667 A
2017-01-02T00:00:00-07:00,397.1458333333333 A
2017-01-03T00:00:00-07:00,403.0315789473684 A
2017-01-04T00:00:00-07:00,417.5208333333333 A
2017-01-05T00:00:00-07:00,408.9270833333333 A
2017-01-06T00:00:00-07:00,406.9791666666667 A
2017-01-07T00:00:00-07:00,390.8958333333333 A
2017-01-08T00:00:00-07:00,379.6458333333333 A
2017-01-09T00:00:00-07:00,423.6354166666667 A
2017-01-10T00:00:00-07:00,424.9895833333333 A
2017-01-11T00:00:00-07:00,420.9166666666667 A
2017-01-12T00:00:00-07:00,418.4895833333333 A
2017-01-13T00:00:00-07:00,425.8958333333333 A
2017-01-14T00:00:00-07:00,417.5 A
2017-01-15T00:00:00-07:00,422.1354166666667 A
2017-01-16T00:00:00-07:00,422.96875 A
2017-01-17T00:00:00-07:00,424.5104166666667 A
2017-01-18T00:00:00-07:00,402.9634146341463 A
2017-01-19T00:00:00-07:00,411.6041666666667 A
2017-01-20T00:00:00-07:00,404.6595744680851 A
2017-01-21T00:00:00-07:00,393.6875 A
2017-01-22T00:00:00-07:00,394.5416666666667 A
2017-01-23T00:00:00-07:00,406.8854166666667 A
2017-01-24T00:00:00-07:00,408.71875 A
2017-01-25T00:00:00-07:00,410.1770833333333 A
2017-01-26T00:00:00-07:00,404.5729166666667 A
2017-01-27T00:00:00-07:00,413.0416666666667 A
2017-01-28T00:00:00-07:00,397.53125 A
2017-01-29T00:00:00-07:00,388.875 A
2017-01-30T00:00:00-07:00,403.4791666666667 A
2017-01-31T00:00:00-07:00,421.1354166666667 A
2017-02-01T00:00:00-07:00,418.8645833333333 A
2017-02-02T00:00:00-07:00,423.4270833333333 A
2017-02-03T00:00:00-07:00,422.08620689655174 A
2017-02-07T00:00:00-07:00,468.5 A
2017-02-08T00:00:00-07:00,463.2183908045977 A
2017-02-09T00:00:00-07:00,478.75 A
2017-02-10T00:00:00-07:00,453.8645833333333 A
2017-02-11T00:00:00-07:00,402.53125 A
2017-02-12T00:00:00-07:00,416.03125 A
2017-02-13T00:00:00-07:00,427.5625 A
2017-02-14T00:00:00-07:00,426.6842105263158 A
2017-02-15T00:00:00-07:00,442 A
2017-02-16T00:00:00-07:00,450.6041666666667 A
2017-02-17T00:00:00-07:00,429.2708333333333 A
2017-02-18T00:00:00-07:00,407.7083333333333 A
2017-02-19T00:00:00-07:00,401.7083333333333 A
2017-02-20T00:00:00-07:00,415.6770833333333 A
2017-02-21T00:00:00-07:00,457.3854166666667 A
2017-02-22T00:00:00-07:00,427.8333333333333 A
2017-02-23T00:00:00-07:00,420.2604166666667 A
2017-02-24T00:00:00-07:00,411.57142857142856 A
2017-02-25T00:00:00-07:00,395.6458333333333 A
2017-02-26T00:00:00-07:00,399.1979166666667 A
2017-02-27T00:00:00-07:00,424.8854166666667 A
2017-02-28T00:00:00-07:00,424.9791666666667 A
2017-03-01T00:00:00-07:00,432.0520833333333 A
2017-03-02T00:00:00-07:00,441.5520833333333 A
2017-03-03T00:00:00-07:00,451.0520833333333 A
2017-03-04T00:00:00-07:00,457.1354166666667 A
2017-03-05T00:00:00-07:00,443.8333333333333 A
2017-03-06T00:00:00-07:00,441.8333333333333 A
2017-03-07T00:00:00-07:00,433.3645833333333 A
2017-03-08T00:00:00-07:00,452.4791666666667 A
2017-03-09T00:00:00-07:00,467.0729166666667 A
2017-03-10T00:00:00-07:00,467.78125 A
2017-03-11T00:00:00-07:00,440.7916666666667 A
2017-03-12T00:00:00-07:00,441.1304347826087 A
2017-03-13T00:00:00-06:00,456.84375 A
2017-03-14T00:00:00-06:00,472.5520833333333 A
2017-03-15T00:00:00-06:00,463.3229166666667 A
2017-03-16T00:00:00-06:00,469.3541666666667 A
2017-03-17T00:00:00-06:00,463.75 A
2017-03-18T00:00:00-06:00,450.4375 A
2017-03-19T00:00:00-06:00,444.03125 A
2017-03-20T00:00:00-06:00,485.0208333333333 A
2017-03-21T00:00:00-06:00,483.5208333333333 A
2017-03-22T00:00:00-06:00,480.6145833333333 A
2017-03-23T00:00:00-06:00,433.9166666666667 A
2017-03-24T00:00:00-06:00,467.0208333333333 A
2017-03-25T00:00:00-06:00,426.6770833333333 A
2017-03-26T00:00:00-06:00,433.5104166666667 A
2017-03-27T00:00:00-06:00,440.3854166666667 A
2017-03-28T00:00:00-06:00,449.0833333333333 A
2017-03-29T00:00:00-06:00,461.625 A
2017-03-30T00:00:00-06:00,467.8636363636364 A
2017-03-31T00:00:00-06:00,434.7083333333333 A
2017-04-01T00:00:00-06:00,460.4315789473684 A
2017-04-02T00:00:00-06:00,413.9895833333333 A
2017-04-03T00:00:00-06:00,435.3958333333333 A
2017-04-04T00:00:00-06:00,441.34375 A
2017-04-05T00:00:00-06:00,460.7395833333333 A
2017-04-06T00:00:00-06:00,466.9791666666667 A
2017-04-07T00:00:00-06:00,475.8229166666667 A
2017-04-08T00:00:00-06:00,419.4895833333333 A
2017-04-09T00:00:00-06:00,404.6979166666667 A
2017-04-10T00:00:00-06:00,434.6979166666667 A
2017-04-11T00:00:00-06:00,451.3020833333333 A
2017-04-12T00:00:00-06:00,480.3229166666667 A
2017-04-13T00:00:00-06:00,490.1041666666667 A
2017-04-14T00:00:00-06:00,447.3020833333333 A
2017-04-15T00:00:00-06:00,439.4791666666667 A
2017-04-16T00:00:00-06:00,445.7291666666667 A
2017-04-17T00:00:00-06:00,489.8958333333333 A
2017-04-18T00:00:00-06:00,471.4375 A
2017-04-19T00:00:00-06:00,442.6354166666667 A
2017-04-20T00:00:00-06:00,433.6041666666667 A
2017-04-21T00:00:00-06:00,426.5625 A
2017-04-22T00:00:00-06:00,433.75 A
2017-04-23T00:00:00-06:00,433.9270833333333 A
2017-04-24T00:00:00-06:00,443.125 A
2017-04-25T00:00:00-06:00,421.7604166666667 A
2017-04-26T00:00:00-06:00,435.53125 A
2017-04-27T00:00:00-06:00,424.4270833333333 A
2017-04-28T00:00:00-06:00,414.25 A
2017-04-29T00:00:00-06:00,429.46315789473687 A
2017-04-30T00:00:00-06:00,440.41052631578947 A
2017-05-01T00:00:00-06:00,467.375 A
2017-05-02T00:00:00-06:00,472.7395833333333 A
2017-05-03T00:00:00-06:00,464.4583333333333 A
2017-05-04T00:00:00-06:00,450.84375 A
2017-05-05T00:00:00-06:00,467.90625 A
2017-05-06T00:00:00-06:00,470.0208333333333 A
2017-05-07T00:00:00-06:00,468.3020833333333 A
2017-05-08T00:00:00-06:00,458.7916666666667 A
2017-05-09T00:00:00-06:00,469.0208333333333 A
2017-05-10T00:00:00-06:00,485.65625 A
2017-05-11T00:00:00-06:00,470.8541666666667 A
2017-05-12T00:00:00-06:00,466.15625 A
2017-05-13T00:00:00-06:00,424.5104166666667 A
2017-05-14T00:00:00-06:00,430.8541666666667 A
2017-05-15T00:00:00-06:00,456.4583333333333 A
2017-05-16T00:00:00-06:00,449.4895833333333 A
2017-05-17T00:00:00-06:00,391.8958333333333 A
2017-05-18T00:00:00-06:00,392.875 A
2017-05-19T00:00:00-06:00,396.4895833333333 A
2017-05-20T00:00:00-06:00,396.125 A
2017-05-21T00:00:00-06:00,401.1458333333333 A
2017-05-22T00:00:00-06:00,405.59375 A
2017-05-23T00:00:00-06:00,413.6979166666667 A
2017-05-24T00:00:00-06:00,445.84375 A
2017-05-25T00:00:00-06:00,441.2083333333333 A
2017-05-26T00:00:00-06:00,438.5 A
2017-05-27T00:00:00-06:00,414.5208333333333 A
2017-05-28T00:00:00-06:00,433.1041666666667 A
2017-05-29T00:00:00-06:00,444.8854166666667 A
2017-05-30T00:00:00-06:00,463.875 A
2017-05-31T00:00:00-06:00,458.0520833333333 A
2017-06-01T00:00:00-06:00,466.6770833333333 A
2017-06-02T00:00:00-06:00,469.3020833333333 A
2017-06-03T00:00:00-06:00,468.9270833333333 A
2017-06-04T00:00:00-06:00,463.3125 A
2017-06-05T00:00:00-06:00,475.0833333333333 A
2017-06-06T00:00:00-06:00,487.4479166666667 A
2017-06-07T00:00:00-06:00,490.1770833333333 A
2017-06-08T00:00:00-06:00,498.7604166666667 A
2017-06-09T00:00:00-06:00,500.4583333333333 A
2017-06-10T00:00:00-06:00,473.8 A
2017-06-11T00:00:00-06:00,475.6875 A
2017-06-12T00:00:00-06:00,461.6354166666667 A
2017-06-13T00:00:00-06:00,468.3333333333333 A
2017-06-14T00:00:00-06:00,481.1770833333333 A
2017-06-15T00:00:00-06:00,479.0416666666667 A
2017-06-16T00:00:00-06:00,468.8020833333333 A
2017-06-17T00:00:00-06:00,442.625 A
2017-06-18T00:00:00-06:00,435.4479166666667 A
2017-06-19T00:00:00-06:00,475.4375 A
2017-06-20T00:00:00-06:00,495.59375 A
2017-06-21T00:00:00-06:00,509.0416666666667 A
2017-06-22T00:00:00-06:00,485.6041666666667 A
2017-06-23T00:00:00-06:00,457.7291666666667 A
2017-06-24T00:00:00-06:00,454.7916666666667 A
2017-06-25T00:00:00-06:00,460.1666666666667 A
2017-06-26T00:00:00-06:00,465.3333333333333 A
2017-06-27T00:00:00-06:00,490.5104166666667 A
2017-06-28T00:00:00-06:00,470.7604166666667 A
2017-06-29T00:00:00-06:00,472.1979166666667 A
2017-06-30T00:00:00-06:00,444.7395833333333 A
2017-07-01T00:00:00-06:00,438.8854166666667 A
2017-07-02T00:00:00-06:00,445.6979166666667 A
2017-07-03T00:00:00-06:00,479.4479166666667 A
2017-07-04T00:00:00-06:00,494.8854166666667 A
2017-07-05T00:00:00-06:00,497.4479166666667 A
2017-07-06T00:00:00-06:00,497.8229166666667 A
2017-07-07T00:00:00-06:00,504.9583333333333 A
2017-07-08T00:00:00-06:00,496.3645833333333 A
2017-07-09T00:00:00-06:00,488.03125 A
2017-07-10T00:00:00-06:00,501.2916666666667 A
2017-07-11T00:00:00-06:00,504.7916666666667 A
2017-07-12T00:00:00-06:00,481.0416666666667 A
2017-07-13T00:00:00-06:00,484.6875 A
2017-07-14T00:00:00-06:00,488.625 A
2017-07-15T00:00:00-06:00,480.96875 A
2017-07-16T00:00:00-06:00,480.6354166666667 A
2017-07-17T00:00:00-06:00,487.5208333333333 A
2017-07-18T00:00:00-06:00,501.8125 A
2017-07-19T00:00:00-06:00,500.8541666666667 A
2017-07-20T00:00:00-06:00,501.9166666666667 A
2017-07-21T00:00:00-06:00,495.65625 A
2017-07-22T00:00:00-06:00,463.9791666666667 A
2017-07-23T00:00:00-06:00,462.6770833333333 A
2017-07-24T00:00:00-06:00,465.9791666666667 A
2017-07-25T00:00:00-06:00,490.4270833333333 A
2017-07-26T00:00:00-06:00,487.9583333333333 A
2017-07-27T00:00:00-06:00,491.3645833333333 A
2017-07-28T00:00:00-06:00,483.7916666666667 A
2017-07-29T00:00:00-06:00,474.7604166666667 A
2017-07-30T00:00:00-06:00,479.3020833333333 A
2017-07-31T00:00:00-06:00,510.3229166666667 A
2017-08-01T00:00:00-06:00,507.0416666666667 A
2017-08-02T00:00:00-06:00,500.96875 A
2017-08-03T00:00:00-06:00,505.5729166666667 A
2017-08-04T00:00:00-06:00,495.2111111111111 A
2017-08-05T00:00:00-06:00,472.84375 A
2017-08-06T00:00:00-06:00,466.2604166666667 A
2017-08-07T00:00:00-06:00,468.5520833333333 A
2017-08-08T00:00:00-06:00,482.7708333333333 A
2017-08-09T00:00:00-06:00,484.1979166666667 A
2017-08-10T00:00:00-06:00,476.6195652173913 A
2017-08-11T00:00:00-06:00,483.6458333333333 A
2017-08-12T00:00:00-06:00,476.2315789473684 A
2017-08-13T00:00:00-06:00,453.7291666666667 A
2017-08-14T00:00:00-06:00,471.7083333333333 A
2017-08-15T00:00:00-06:00,462.1354166666667 A
2017-08-16T00:00:00-06:00,455.4895833333333 A
2017-08-17T00:00:00-06:00,478.0833333333333 A
2017-08-18T00:00:00-06:00,481.90625 A
2017-08-19T00:00:00-06:00,472.1354166666667 A
2017-08-20T00:00:00-06:00,479.2604166666667 A
2017-08-21T00:00:00-06:00,492.3854166666667 A
2017-08-22T00:00:00-06:00,494.3958333333333 A
2017-08-23T00:00:00-06:00,488.2708333333333 A
2017-08-24T00:00:00-06:00,496.1979166666667 A
2017-08-25T00:00:00-06:00,487.1041666666667 A
2017-08-26T00:00:00-06:00,472.8020833333333 A
2017-08-27T00:00:00-06:00,476.59375 A
2017-08-28T00:00:00-06:00,485.8777777777778 A
2017-08-29T00:00:00-06:00,508.9230769230769 A
2017-08-30T00:00:00-06:00,501.8541666666667 A
2017-08-31T00:00:00-06:00,492.9375 A
2017-09-01T00:00:00-06:00,499.625 A
2017-09-02T00:00:00-06:00,486.1145833333333 A
2017-09-03T00:00:00-06:00,489.3125 A
2017-09-04T00:00:00-06:00,488.7708333333333 A
2017-09-05T00:00:00-06:00,506 A
2017-09-06T00:00:00-06:00,494.0842105263158 A
2017-09-07T00:00:00-06:00,496.8645833333333 A
2017-09-08T00:00:00-06:00,495.29347826086956 A
2017-09-09T00:00:00-06:00,468.9375 A
2017-09-10T00:00:00-06:00,464.3854166666667 A
2017-09-11T00:00:00-06:00,505.1979166666667 A
2017-09-12T00:00:00-06:00,508.9375 A
2017-09-13T00:00:00-06:00,501.2083333333333 A
2017-09-14T00:00:00-06:00,482.6666666666667 A
2017-09-15T00:00:00-06:00,467.3541666666667 A
2017-09-16T00:00:00-06:00,442.75 A
2017-09-17T00:00:00-06:00,447.6770833333333 A
2017-09-18T00:00:00-06:00,474.4791666666667 A
2017-09-19T00:00:00-06:00,468.7291666666667 A
2017-09-20T00:00:00-06:00,470.5520833333333 A
2017-09-21T00:00:00-06:00,457.4895833333333 A
2017-09-22T00:00:00-06:00,415.4375 A
2017-09-23T00:00:00-06:00,386.09375 A
2017-09-24T00:00:00-06:00,379.3333333333333 A
2017-09-25T00:00:00-06:00,440.0625 A
2017-09-26T00:00:00-06:00,454.6666666666667 A
2017-09-27T00:00:00-06:00,475.6041666666667 A
2017-09-28T00:00:00-06:00,479.4270833333333 A
2017-09-29T00:00:00-06:00,475.2916666666667 A
2017-09-30T00:00:00-06:00,449.6145833333333 A
2017-10-01T00:00:00-06:00,422.15625 A
2017-10-02T00:00:00-06:00,407.2291666666667 A
2017-10-03T00:00:00-06:00,447.1979166666667 A
2017-10-04T00:00:00-06:00,459.96875 A
2017-10-05T00:00:00-06:00,445.84375 A
2017-10-06T00:00:00-06:00,444.2291666666667 A
2017-10-07T00:00:00-06:00,443.8854166666667 A
2017-10-08T00:00:00-06:00,397.84375 A
2017-10-09T00:00:00-06:00,404.2916666666667 A
2017-10-10T00:00:00-06:00,428.6458333333333 A
2017-10-11T00:00:00-06:00,448.1875 A
2017-10-12T00:00:00-06:00,421.2708333333333 A
2017-10-13T00:00:00-06:00,412.3020833333333 A
2017-10-14T00:00:00-06:00,391.0416666666667 A
2017-10-15T00:00:00-06:00,405.6041666666667 A
2017-10-16T00:00:00-06:00,436.3541666666667 A
2017-10-17T00:00:00-06:00,454.9270833333333 A
2017-10-18T00:00:00-06:00,460.5416666666667 A
2017-10-19T00:00:00-06:00,466.7916666666667 A
2017-10-20T00:00:00-06:00,437.8125 A
2017-10-21T00:00:00-06:00,389.09375 A
2017-10-22T00:00:00-06:00,411.5 A
2017-10-23T00:00:00-06:00,445.03125 A
2017-10-24T00:00:00-06:00,438.5833333333333 A
2017-10-25T00:00:00-06:00,436.96875 A
2017-10-26T00:00:00-06:00,437.8333333333333 A
2017-10-27T00:00:00-06:00,428.03125 A
2017-10-28T00:00:00-06:00,423.7916666666667 A
2017-10-29T00:00:00-06:00,424.4270833333333 A
2017-10-30T00:00:00-06:00,432.8333333333333 A
2017-10-31T00:00:00-06:00,408.9166666666667 A
2017-11-01T00:00:00-06:00,436.5416666666667 A
2017-11-02T00:00:00-06:00,460.9479166666667 A
2017-11-03T00:00:00-06:00,460.90625 A
2017-11-04T00:00:00-06:00,415.8958333333333 A
2017-11-05T00:00:00-06:00,373.54 A
2017-11-06T00:00:00-07:00,407.125 A
2017-11-07T00:00:00-07:00,424.5416666666667 A
2017-11-08T00:00:00-07:00,418.6458333333333 A
2017-11-09T00:00:00-07:00,445.2395833333333 A
2017-11-10T00:00:00-07:00,420.1458333333333 A
2017-11-11T00:00:00-07:00,412.875 A
2017-11-12T00:00:00-07:00,395 A
2017-11-13T00:00:00-07:00,432.75 A
2017-11-14T00:00:00-07:00,435.7473684210526 A
2017-11-15T00:00:00-07:00,427.0104166666667 A
2017-11-16T00:00:00-07:00,464.4270833333333 A
2017-11-17T00:00:00-07:00,426.2708333333333 A
2017-11-18T00:00:00-07:00,420.6458333333333 A
2017-11-19T00:00:00-07:00,407.0625 A
2017-11-20T00:00:00-07:00,420.5 A
2017-11-21T00:00:00-07:00,455.6458333333333 A
2017-11-22T00:00:00-07:00,457.4479166666667 A
2017-11-23T00:00:00-07:00,436.8645833333333 A
2017-11-24T00:00:00-07:00,425.0729166666667 A
2017-11-25T00:00:00-07:00,411.5520833333333 A
2017-11-26T00:00:00-07:00,424.0729166666667 A
2017-11-27T00:00:00-07:00,433.3333333333333 A
2017-11-28T00:00:00-07:00,429.0833333333333 A
2017-11-29T00:00:00-07:00,413.75 A
2017-11-30T00:00:00-07:00,412.3854166666667 A
2017-12-01T00:00:00-07:00,415.1354166666667 A
2017-12-02T00:00:00-07:00,396.40625 A
2017-12-03T00:00:00-07:00,400.2604166666667 A
2017-12-04T00:00:00-07:00,422.0729166666667 A
2017-12-05T00:00:00-07:00,424.6979166666667 A
2017-12-06T00:00:00-07:00,420.90625 A
2017-12-07T00:00:00-07:00,422.1770833333333 A
2017-12-08T00:00:00-07:00,415.375 A
2017-12-09T00:00:00-07:00,409.5833333333333 A
2017-12-10T00:00:00-07:00,405.9270833333333 A
2017-12-11T00:00:00-07:00,420.9583333333333 A
2017-12-12T00:00:00-07:00,420.59375 A
2017-12-13T00:00:00-07:00,415.03125 A
2017-12-14T00:00:00-07:00,403.7291666666667 A
2017-12-15T00:00:00-07:00,410.9166666666667 A
2017-12-16T00:00:00-07:00,394.5104166666667 A
2017-12-17T00:00:00-07:00,391.4895833333333 A
2017-12-18T00:00:00-07:00,400.83516483516485 A
2017-12-19T00:00:00-07:00,408.6041666666667 A
2017-12-20T00:00:00-07:00,416.8854166666667 A
2017-12-21T00:00:00-07:00,408.8645833333333 A
2017-12-22T00:00:00-07:00,408.3020833333333 A
2017-12-23T00:00:00-07:00,406.1666666666667 A
2017-12-24T00:00:00-07:00,395.9583333333333 A
2017-12-25T00:00:00-07:00,387.4375 A
2017-12-26T00:00:00-07:00,378.09375 A
2017-12-27T00:00:00-07:00,409.5833333333333 A
2017-12-28T00:00:00-07:00,410.59375 A
2017-12-29T00:00:00-07:00,407.9479166666667 A
2017-12-30T00:00:00-07:00,396.0208333333333 A
2017-12-31T00:00:00-07:00,387.8020833333333 A
