Timestamp,['1cca7595-645427c6 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BN']
2017-01-01T00:00:00-07:00,281.4583333333333 V
2017-01-02T00:00:00-07:00,281.2916666666667 V
2017-01-03T00:00:00-07:00,281.2736842105263 V
2017-01-04T00:00:00-07:00,281.125 V
2017-01-05T00:00:00-07:00,281.375 V
2017-01-06T00:00:00-07:00,281.2708333333333 V
2017-01-07T00:00:00-07:00,281.1979166666667 V
2017-01-08T00:00:00-07:00,281.03125 V
2017-01-09T00:00:00-07:00,280.7916666666667 V
2017-01-10T00:00:00-07:00,280.8125 V
2017-01-11T00:00:00-07:00,281.125 V
2017-01-12T00:00:00-07:00,281.0729166666667 V
2017-01-13T00:00:00-07:00,281.2083333333333 V
2017-01-14T00:00:00-07:00,281.5520833333333 V
2017-01-15T00:00:00-07:00,280.90625 V
2017-01-16T00:00:00-07:00,281.15625 V
2017-01-17T00:00:00-07:00,281.375 V
2017-01-18T00:00:00-07:00,283.4390243902439 V
2017-01-19T00:00:00-07:00,284.3854166666667 V
2017-01-20T00:00:00-07:00,284.67021276595744 V
2017-01-21T00:00:00-07:00,284.5 V
2017-01-22T00:00:00-07:00,284.0208333333333 V
2017-01-23T00:00:00-07:00,284.2395833333333 V
2017-01-24T00:00:00-07:00,284.3854166666667 V
2017-01-25T00:00:00-07:00,284.1666666666667 V
2017-01-26T00:00:00-07:00,284.2083333333333 V
2017-01-27T00:00:00-07:00,284.3333333333333 V
2017-01-28T00:00:00-07:00,284.3333333333333 V
2017-01-29T00:00:00-07:00,284.28125 V
2017-01-30T00:00:00-07:00,284.5416666666667 V
2017-01-31T00:00:00-07:00,284.15625 V
2017-02-01T00:00:00-07:00,284.4166666666667 V
2017-02-02T00:00:00-07:00,284.3333333333333 V
2017-02-03T00:00:00-07:00,284.13793103448273 V
2017-02-07T00:00:00-07:00,284.15909090909093 V
2017-02-08T00:00:00-07:00,284.27906976744185 V
2017-02-09T00:00:00-07:00,283.9791666666667 V
2017-02-10T00:00:00-07:00,284.3645833333333 V
2017-02-11T00:00:00-07:00,284.3125 V
2017-02-12T00:00:00-07:00,284 V
2017-02-13T00:00:00-07:00,284.21875 V
2017-02-14T00:00:00-07:00,284.2421052631579 V
2017-02-15T00:00:00-07:00,284.3854166666667 V
2017-02-16T00:00:00-07:00,284.2395833333333 V
2017-02-17T00:00:00-07:00,284.4791666666667 V
2017-02-18T00:00:00-07:00,284.3854166666667 V
2017-02-19T00:00:00-07:00,284.4583333333333 V
2017-02-20T00:00:00-07:00,284.1041666666667 V
2017-02-21T00:00:00-07:00,284.09375 V
2017-02-22T00:00:00-07:00,284.3125 V
2017-02-23T00:00:00-07:00,284.2395833333333 V
2017-02-24T00:00:00-07:00,284.2597402597403 V
2017-02-25T00:00:00-07:00,284.3333333333333 V
2017-02-26T00:00:00-07:00,284.6041666666667 V
2017-02-27T00:00:00-07:00,284.8020833333333 V
2017-02-28T00:00:00-07:00,284.3541666666667 V
2017-03-01T00:00:00-07:00,284.4375 V
2017-03-02T00:00:00-07:00,284.4375 V
2017-03-03T00:00:00-07:00,283.96875 V
2017-03-04T00:00:00-07:00,283.8333333333333 V
2017-03-05T00:00:00-07:00,283.8854166666667 V
2017-03-06T00:00:00-07:00,283.9895833333333 V
2017-03-07T00:00:00-07:00,284.09375 V
2017-03-08T00:00:00-07:00,284.1145833333333 V
2017-03-09T00:00:00-07:00,283.9375 V
2017-03-10T00:00:00-07:00,283.9270833333333 V
2017-03-11T00:00:00-07:00,284.0416666666667 V
2017-03-12T00:00:00-07:00,283.85869565217394 V
2017-03-13T00:00:00-06:00,284.0833333333333 V
2017-03-14T00:00:00-06:00,283.875 V
2017-03-15T00:00:00-06:00,283.5833333333333 V
2017-03-16T00:00:00-06:00,284.1041666666667 V
2017-03-17T00:00:00-06:00,283.71875 V
2017-03-18T00:00:00-06:00,284.1041666666667 V
2017-03-19T00:00:00-06:00,283.78125 V
2017-03-20T00:00:00-06:00,283.7708333333333 V
2017-03-21T00:00:00-06:00,283.625 V
2017-03-22T00:00:00-06:00,283.7395833333333 V
2017-03-23T00:00:00-06:00,284.1979166666667 V
2017-03-24T00:00:00-06:00,284.1979166666667 V
2017-03-25T00:00:00-06:00,284.3958333333333 V
2017-03-26T00:00:00-06:00,283.84375 V
2017-03-27T00:00:00-06:00,284.1041666666667 V
2017-03-28T00:00:00-06:00,284.1875 V
2017-03-29T00:00:00-06:00,284 V
2017-03-30T00:00:00-06:00,283.90909090909093 V
2017-03-31T00:00:00-06:00,284.34375 V
2017-04-01T00:00:00-06:00,284.3157894736842 V
2017-04-02T00:00:00-06:00,284.375 V
2017-04-03T00:00:00-06:00,284.1875 V
2017-04-04T00:00:00-06:00,284.1354166666667 V
2017-04-05T00:00:00-06:00,283.9895833333333 V
2017-04-06T00:00:00-06:00,283.7291666666667 V
2017-04-07T00:00:00-06:00,284.0416666666667 V
2017-04-08T00:00:00-06:00,284.375 V
2017-04-09T00:00:00-06:00,284.7604166666667 V
2017-04-10T00:00:00-06:00,284.3333333333333 V
2017-04-11T00:00:00-06:00,284.3333333333333 V
2017-04-12T00:00:00-06:00,284.0208333333333 V
2017-04-13T00:00:00-06:00,283.75 V
2017-04-14T00:00:00-06:00,284.3541666666667 V
2017-04-15T00:00:00-06:00,283.8958333333333 V
2017-04-16T00:00:00-06:00,284.5833333333333 V
2017-04-17T00:00:00-06:00,283.96875 V
2017-04-18T00:00:00-06:00,283.8958333333333 V
2017-04-19T00:00:00-06:00,284.3229166666667 V
2017-04-20T00:00:00-06:00,284.6145833333333 V
2017-04-21T00:00:00-06:00,284.3333333333333 V
2017-04-22T00:00:00-06:00,284.40625 V
2017-04-23T00:00:00-06:00,284.2395833333333 V
2017-04-24T00:00:00-06:00,284.6875 V
2017-04-25T00:00:00-06:00,284.6458333333333 V
2017-04-26T00:00:00-06:00,284.3125 V
2017-04-27T00:00:00-06:00,284.7395833333333 V
2017-04-28T00:00:00-06:00,284.4270833333333 V
2017-04-29T00:00:00-06:00,284.7473684210526 V
2017-04-30T00:00:00-06:00,284.29473684210524 V
2017-05-01T00:00:00-06:00,284.1458333333333 V
2017-05-02T00:00:00-06:00,284.0625 V
2017-05-03T00:00:00-06:00,284.1770833333333 V
2017-05-04T00:00:00-06:00,284.0208333333333 V
2017-05-05T00:00:00-06:00,284.25 V
2017-05-06T00:00:00-06:00,283.9166666666667 V
2017-05-07T00:00:00-06:00,284.125 V
2017-05-08T00:00:00-06:00,284.21875 V
2017-05-09T00:00:00-06:00,284.28125 V
2017-05-10T00:00:00-06:00,284.1354166666667 V
2017-05-11T00:00:00-06:00,283.84375 V
2017-05-12T00:00:00-06:00,284.3333333333333 V
2017-05-13T00:00:00-06:00,284.75 V
2017-05-14T00:00:00-06:00,284.1145833333333 V
2017-05-15T00:00:00-06:00,284.21875 V
2017-05-16T00:00:00-06:00,284.4479166666667 V
2017-05-17T00:00:00-06:00,284.9583333333333 V
2017-05-18T00:00:00-06:00,284.40625 V
2017-05-19T00:00:00-06:00,284.7604166666667 V
2017-05-20T00:00:00-06:00,284.5520833333333 V
2017-05-21T00:00:00-06:00,284.3645833333333 V
2017-05-22T00:00:00-06:00,284.6354166666667 V
2017-05-23T00:00:00-06:00,284.3541666666667 V
2017-05-24T00:00:00-06:00,284.375 V
2017-05-25T00:00:00-06:00,284.5416666666667 V
2017-05-26T00:00:00-06:00,284.4166666666667 V
2017-05-27T00:00:00-06:00,284.5729166666667 V
2017-05-28T00:00:00-06:00,284.5416666666667 V
2017-05-29T00:00:00-06:00,284.46875 V
2017-05-30T00:00:00-06:00,284.6041666666667 V
