Timestamp,['1cca75e7-a3431d28 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BC']
2017-01-01T00:00:00-07:00,487.6145833333333 V
2017-01-02T00:00:00-07:00,487.34375 V
2017-01-03T00:00:00-07:00,487.2105263157895 V
2017-01-04T00:00:00-07:00,486.8541666666667 V
2017-01-05T00:00:00-07:00,487.3333333333333 V
2017-01-06T00:00:00-07:00,487.0729166666667 V
2017-01-07T00:00:00-07:00,487 V
2017-01-08T00:00:00-07:00,486.6875 V
2017-01-09T00:00:00-07:00,486.125 V
2017-01-10T00:00:00-07:00,486.4375 V
2017-01-11T00:00:00-07:00,486.9166666666667 V
2017-01-12T00:00:00-07:00,486.90625 V
2017-01-13T00:00:00-07:00,487.1041666666667 V
2017-01-14T00:00:00-07:00,487.6666666666667 V
2017-01-15T00:00:00-07:00,486.46875 V
2017-01-16T00:00:00-07:00,486.84375 V
2017-01-17T00:00:00-07:00,487.4375 V
2017-01-18T00:00:00-07:00,490.8292682926829 V
2017-01-19T00:00:00-07:00,492.4895833333333 V
2017-01-20T00:00:00-07:00,492.8191489361702 V
2017-01-21T00:00:00-07:00,492.5104166666667 V
2017-01-22T00:00:00-07:00,491.5729166666667 V
2017-01-23T00:00:00-07:00,492.1145833333333 V
2017-01-24T00:00:00-07:00,492.1458333333333 V
2017-01-25T00:00:00-07:00,491.90625 V
2017-01-26T00:00:00-07:00,491.84375 V
2017-01-27T00:00:00-07:00,492.0833333333333 V
2017-01-28T00:00:00-07:00,492.1458333333333 V
2017-01-29T00:00:00-07:00,492.09375 V
2017-01-30T00:00:00-07:00,492.5729166666667 V
2017-01-31T00:00:00-07:00,491.8020833333333 V
2017-02-01T00:00:00-07:00,492.2604166666667 V
2017-02-02T00:00:00-07:00,491.96875 V
2017-02-03T00:00:00-07:00,491.8103448275862 V
2017-02-07T00:00:00-07:00,492.0681818181818 V
2017-02-08T00:00:00-07:00,492.22093023255815 V
2017-02-09T00:00:00-07:00,491.5208333333333 V
2017-02-10T00:00:00-07:00,492.1770833333333 V
2017-02-11T00:00:00-07:00,492.2708333333333 V
2017-02-12T00:00:00-07:00,491.5729166666667 V
2017-02-13T00:00:00-07:00,491.8958333333333 V
2017-02-14T00:00:00-07:00,491.88421052631577 V
2017-02-15T00:00:00-07:00,492.1041666666667 V
2017-02-16T00:00:00-07:00,491.7708333333333 V
2017-02-17T00:00:00-07:00,492.4166666666667 V
2017-02-18T00:00:00-07:00,492.0208333333333 V
2017-02-19T00:00:00-07:00,492.1145833333333 V
2017-02-20T00:00:00-07:00,491.6458333333333 V
2017-02-21T00:00:00-07:00,491.8333333333333 V
2017-02-22T00:00:00-07:00,491.84375 V
2017-02-23T00:00:00-07:00,491.5520833333333 V
2017-02-24T00:00:00-07:00,491.54545454545456 V
2017-02-25T00:00:00-07:00,491.7083333333333 V
2017-02-26T00:00:00-07:00,492.3645833333333 V
2017-02-27T00:00:00-07:00,492.5729166666667 V
2017-02-28T00:00:00-07:00,491.8229166666667 V
2017-03-01T00:00:00-07:00,491.90625 V
2017-03-02T00:00:00-07:00,491.8854166666667 V
2017-03-03T00:00:00-07:00,491.1875 V
2017-03-04T00:00:00-07:00,490.9479166666667 V
2017-03-05T00:00:00-07:00,491.0833333333333 V
2017-03-06T00:00:00-07:00,491.3125 V
2017-03-07T00:00:00-07:00,491.4895833333333 V
2017-03-08T00:00:00-07:00,491.5729166666667 V
2017-03-09T00:00:00-07:00,491.3020833333333 V
2017-03-10T00:00:00-07:00,491.2291666666667 V
2017-03-11T00:00:00-07:00,491.5208333333333 V
2017-03-12T00:00:00-07:00,490.89130434782606 V
2017-03-13T00:00:00-06:00,491.6041666666667 V
2017-03-14T00:00:00-06:00,491.2083333333333 V
2017-03-15T00:00:00-06:00,490.59375 V
2017-03-16T00:00:00-06:00,491.4479166666667 V
2017-03-17T00:00:00-06:00,490.7604166666667 V
2017-03-18T00:00:00-06:00,491.6354166666667 V
2017-03-19T00:00:00-06:00,491.0833333333333 V
2017-03-20T00:00:00-06:00,491.0729166666667 V
2017-03-21T00:00:00-06:00,490.9270833333333 V
2017-03-22T00:00:00-06:00,491.0520833333333 V
2017-03-23T00:00:00-06:00,491.6666666666667 V
2017-03-24T00:00:00-06:00,491.6875 V
2017-03-25T00:00:00-06:00,491.9166666666667 V
2017-03-26T00:00:00-06:00,491.03125 V
2017-03-27T00:00:00-06:00,491.5416666666667 V
2017-03-28T00:00:00-06:00,491.6875 V
2017-03-29T00:00:00-06:00,491.4583333333333 V
2017-03-30T00:00:00-06:00,491.27272727272725 V
2017-03-31T00:00:00-06:00,491.625 V
2017-04-01T00:00:00-06:00,491.66315789473686 V
2017-04-02T00:00:00-06:00,491.9166666666667 V
2017-04-03T00:00:00-06:00,491.6666666666667 V
2017-04-04T00:00:00-06:00,491.6458333333333 V
2017-04-05T00:00:00-06:00,491.3020833333333 V
2017-04-06T00:00:00-06:00,490.9270833333333 V
2017-04-07T00:00:00-06:00,491.4895833333333 V
2017-04-08T00:00:00-06:00,491.96875 V
2017-04-09T00:00:00-06:00,492.5416666666667 V
2017-04-10T00:00:00-06:00,491.8854166666667 V
2017-04-11T00:00:00-06:00,491.9583333333333 V
2017-04-12T00:00:00-06:00,491.4479166666667 V
2017-04-13T00:00:00-06:00,491.0729166666667 V
2017-04-14T00:00:00-06:00,491.8854166666667 V
2017-04-15T00:00:00-06:00,491.0416666666667 V
2017-04-16T00:00:00-06:00,492.2291666666667 V
2017-04-17T00:00:00-06:00,491.3020833333333 V
2017-04-18T00:00:00-06:00,491.0625 V
2017-04-19T00:00:00-06:00,491.9375 V
2017-04-20T00:00:00-06:00,492.21875 V
2017-04-21T00:00:00-06:00,491.7395833333333 V
2017-04-22T00:00:00-06:00,491.8541666666667 V
2017-04-23T00:00:00-06:00,491.75 V
2017-04-24T00:00:00-06:00,492.5833333333333 V
2017-04-25T00:00:00-06:00,492.34375 V
2017-04-26T00:00:00-06:00,492.03125 V
2017-04-27T00:00:00-06:00,492.7291666666667 V
2017-04-28T00:00:00-06:00,492.1979166666667 V
2017-04-29T00:00:00-06:00,492.6421052631579 V
2017-04-30T00:00:00-06:00,491.9684210526316 V
2017-05-01T00:00:00-06:00,491.8229166666667 V
2017-05-02T00:00:00-06:00,491.6979166666667 V
2017-05-03T00:00:00-06:00,492.0208333333333 V
2017-05-04T00:00:00-06:00,491.7395833333333 V
2017-05-05T00:00:00-06:00,492.0104166666667 V
2017-05-06T00:00:00-06:00,491.4791666666667 V
2017-05-07T00:00:00-06:00,491.78125 V
2017-05-08T00:00:00-06:00,491.9895833333333 V
2017-05-09T00:00:00-06:00,492.0833333333333 V
2017-05-10T00:00:00-06:00,491.7395833333333 V
2017-05-11T00:00:00-06:00,491.3958333333333 V
2017-05-12T00:00:00-06:00,492.0416666666667 V
2017-05-13T00:00:00-06:00,492.84375 V
2017-05-14T00:00:00-06:00,491.46875 V
2017-05-15T00:00:00-06:00,491.9479166666667 V
2017-05-16T00:00:00-06:00,492.3541666666667 V
2017-05-17T00:00:00-06:00,493.2604166666667 V
2017-05-18T00:00:00-06:00,492.3333333333333 V
2017-05-19T00:00:00-06:00,492.9479166666667 V
2017-05-20T00:00:00-06:00,492.5 V
2017-05-21T00:00:00-06:00,492.1041666666667 V
2017-05-22T00:00:00-06:00,492.6458333333333 V
2017-05-23T00:00:00-06:00,492.2916666666667 V
2017-05-24T00:00:00-06:00,492.1041666666667 V
2017-05-25T00:00:00-06:00,492.3645833333333 V
2017-05-26T00:00:00-06:00,492.1041666666667 V
2017-05-27T00:00:00-06:00,492.2708333333333 V
2017-05-28T00:00:00-06:00,492.3229166666667 V
2017-05-29T00:00:00-06:00,492.1145833333333 V
2017-05-30T00:00:00-06:00,492.3854166666667 V
2017-05-31T00:00:00-06:00,492.09375 V
2017-06-01T00:00:00-06:00,492.5833333333333 V
2017-06-02T00:00:00-06:00,492.0729166666667 V
2017-06-03T00:00:00-06:00,492.21875 V
2017-06-04T00:00:00-06:00,491.84375 V
2017-06-05T00:00:00-06:00,492.03125 V
2017-06-06T00:00:00-06:00,491.9479166666667 V
2017-06-07T00:00:00-06:00,492.1041666666667 V
2017-06-08T00:00:00-06:00,492.1875 V
2017-06-09T00:00:00-06:00,491.7395833333333 V
2017-06-10T00:00:00-06:00,491.5263157894737 V
2017-06-11T00:00:00-06:00,491.9791666666667 V
2017-06-12T00:00:00-06:00,492.3229166666667 V
2017-06-13T00:00:00-06:00,492.0208333333333 V
2017-06-14T00:00:00-06:00,491.7083333333333 V
2017-06-15T00:00:00-06:00,491.7916666666667 V
2017-06-16T00:00:00-06:00,492 V
2017-06-17T00:00:00-06:00,492.4166666666667 V
2017-06-18T00:00:00-06:00,492.5625 V
2017-06-19T00:00:00-06:00,492.28125 V
2017-06-20T00:00:00-06:00,491.75 V
2017-06-21T00:00:00-06:00,491.5625 V
2017-06-22T00:00:00-06:00,492.2291666666667 V
2017-06-23T00:00:00-06:00,492.3125 V
2017-06-24T00:00:00-06:00,492.2083333333333 V
2017-06-25T00:00:00-06:00,492.375 V
2017-06-26T00:00:00-06:00,491.8125 V
2017-06-27T00:00:00-06:00,492.1875 V
2017-06-28T00:00:00-06:00,491.9791666666667 V
2017-06-29T00:00:00-06:00,492.15625 V
2017-06-30T00:00:00-06:00,492.1875 V
