Timestamp,['1ccd663c-a85ae732 0087-THATCHER BLDG Power Meter (301204) KWH Received']
2017-01-01T00:00:00-07:00,1742.59375 kWh
2017-01-02T00:00:00-07:00,1762.40625 kWh
2017-01-03T00:00:00-07:00,2003.875 kWh
2017-01-04T00:00:00-07:00,2058.484375 kWh
2017-01-05T00:00:00-07:00,1969.796875 kWh
2017-01-06T00:00:00-07:00,2034.390625 kWh
2017-01-07T00:00:00-07:00,1834.828125 kWh
2017-01-08T00:00:00-07:00,1816.59375 kWh
2017-01-09T00:00:00-07:00,2054.03125 kWh
2017-01-10T00:00:00-07:00,2058.140625 kWh
2017-01-11T00:00:00-07:00,2111.8125 kWh
2017-01-12T00:00:00-07:00,2054.734375 kWh
2017-01-13T00:00:00-07:00,201815.65625 kWh
2017-01-14T00:00:00-07:00,1741.296875 kWh
2017-01-15T00:00:00-07:00,1766.265625 kWh
2017-01-16T00:00:00-07:00,1860.3125 kWh
2017-01-17T00:00:00-07:00,1994.46875 kWh
2017-01-18T00:00:00-07:00,2007.90625 kWh
2017-01-19T00:00:00-07:00,1902.421875 kWh
2017-01-20T00:00:00-07:00,1753.84375 kWh
2017-01-21T00:00:00-07:00,1714.796875 kWh
2017-01-22T00:00:00-07:00,1703.890625 kWh
2017-01-23T00:00:00-07:00,1972.75 kWh
2017-01-24T00:00:00-07:00,1923.703125 kWh
2017-01-25T00:00:00-07:00,2009.109375 kWh
2017-01-26T00:00:00-07:00,2020.5 kWh
2017-01-27T00:00:00-07:00,2049.890625 kWh
2017-01-28T00:00:00-07:00,1763.015625 kWh
2017-01-29T00:00:00-07:00,1760.5625 kWh
2017-01-30T00:00:00-07:00,1997.921875 kWh
2017-01-31T00:00:00-07:00,1997.640625 kWh
2017-02-01T00:00:00-07:00,2052.5 kWh
2017-02-02T00:00:00-07:00,2008.046875 kWh
2017-02-03T00:00:00-07:00,8173.171875 kWh
2017-02-07T00:00:00-07:00,1216.921875 kWh
2017-02-08T00:00:00-07:00,2145.484375 kWh
2017-02-09T00:00:00-07:00,2097.03125 kWh
2017-02-10T00:00:00-07:00,2197.96875 kWh
2017-02-11T00:00:00-07:00,1842.03125 kWh
2017-02-12T00:00:00-07:00,1848.421875 kWh
2017-02-13T00:00:00-07:00,2125.46875 kWh
2017-02-14T00:00:00-07:00,2082.609375 kWh
2017-02-15T00:00:00-07:00,2102.96875 kWh
2017-02-16T00:00:00-07:00,2116.9375 kWh
2017-02-17T00:00:00-07:00,2090.3125 kWh
2017-02-18T00:00:00-07:00,1849.0625 kWh
2017-02-19T00:00:00-07:00,1845.1875 kWh
2017-02-20T00:00:00-07:00,1902.4375 kWh
2017-02-21T00:00:00-07:00,2104.1875 kWh
2017-02-22T00:00:00-07:00,2178.65625 kWh
2017-02-23T00:00:00-07:00,2136.34375 kWh
2017-02-24T00:00:00-07:00,848160.34375 kWh
2017-02-25T00:00:00-07:00,1880.46875 kWh
2017-02-26T00:00:00-07:00,1850.25 kWh
2017-02-27T00:00:00-07:00,2226.03125 kWh
