Timestamp,['1cd3e122-5e3c9fde 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Votls BC']
2017-06-26T00:00:00-06:00,485.2800048828125 V
2017-06-27T00:00:00-06:00,484.8364658355713 V
2017-06-28T00:00:00-06:00,484.39271386464435 V
2017-06-29T00:00:00-06:00,485.2291730244954 V
2017-06-30T00:00:00-06:00,485.7229242324829 V
2017-07-01T00:00:00-06:00,485.16354846954346 V
2017-07-02T00:00:00-06:00,485.57500616709393 V
2017-07-03T00:00:00-06:00,484.86146481831867 V
2017-07-04T00:00:00-06:00,484.765630086263 V
2017-07-05T00:00:00-06:00,485.00729910532635 V
2017-07-06T00:00:00-06:00,484.8531325658162 V
2017-07-07T00:00:00-06:00,485.0375057856242 V
2017-07-08T00:00:00-06:00,485.17500559488934 V
2017-07-09T00:00:00-06:00,485.25208981831867 V
2017-07-10T00:00:00-06:00,484.52396361033124 V
2017-07-11T00:00:00-06:00,484.74688180287677 V
2017-07-12T00:00:00-06:00,485.0333382288615 V
2017-07-13T00:00:00-06:00,484.99896303812665 V
2017-07-14T00:00:00-06:00,484.74688180287677 V
2017-07-15T00:00:00-06:00,484.8187548319499 V
2017-07-16T00:00:00-06:00,484.7791732152303 V
2017-07-17T00:00:00-06:00,484.6625048319499 V
2017-07-18T00:00:00-06:00,485.1604232788086 V
2017-07-19T00:00:00-06:00,484.7229223251343 V
2017-07-20T00:00:00-06:00,484.7031304041545 V
2017-07-21T00:00:00-06:00,484.9875084559123 V
2017-07-22T00:00:00-06:00,484.98750654856366 V
2017-07-23T00:00:00-06:00,485.0875069300334 V
2017-07-24T00:00:00-06:00,484.8822971979777 V
2017-07-25T00:00:00-06:00,484.8947976430257 V
2017-07-26T00:00:00-06:00,484.8541717529297 V
2017-07-27T00:00:00-06:00,484.85104846954346 V
2017-07-28T00:00:00-06:00,484.80937989552814 V
2017-07-29T00:00:00-06:00,484.9583393732707 V
2017-07-30T00:00:00-06:00,485.1260464986165 V
2017-07-31T00:00:00-06:00,484.96563148498535 V
2017-08-01T00:00:00-06:00,484.81042289733887 V
2017-08-02T00:00:00-06:00,484.7437556584676 V
2017-08-03T00:00:00-06:00,485.2802155812581 V
2017-08-04T00:00:00-06:00,484.883152308089 V
2017-08-05T00:00:00-06:00,485.1645908355713 V
2017-08-06T00:00:00-06:00,485.4270893732707 V
2017-08-07T00:00:00-06:00,485.1291735967 V
2017-08-08T00:00:00-06:00,484.84896500905353 V
2017-08-09T00:00:00-06:00,485.0593802134196 V
2017-08-10T00:00:00-06:00,485.44889560275607 V
2017-08-11T00:00:00-06:00,485.22708892822266 V
2017-08-12T00:00:00-06:00,485.3864647547404 V
2017-08-13T00:00:00-06:00,485.242714881897 V
2017-08-14T00:00:00-06:00,485.0979223251343 V
2017-08-15T00:00:00-06:00,485.1354236602783 V
2017-08-16T00:00:00-06:00,485.2395912806193 V
2017-08-17T00:00:00-06:00,485.36667251586914 V
2017-08-18T00:00:00-06:00,485.1906318664551 V
2017-08-19T00:00:00-06:00,485.24271551767987 V
2017-08-20T00:00:00-06:00,485.4427134195964 V
2017-08-21T00:00:00-06:00,485.1166715621948 V
2017-08-22T00:00:00-06:00,485.4072977701823 V
2017-08-23T00:00:00-06:00,485.3343811035156 V
2017-08-24T00:00:00-06:00,485.171880086263 V
2017-08-25T00:00:00-06:00,484.95000712076825 V
2017-08-26T00:00:00-06:00,485.13646507263184 V
2017-08-27T00:00:00-06:00,484.9562568664551 V
2017-08-28T00:00:00-06:00,485.34506158514336 V
2017-08-29T00:00:00-06:00,485.3439622816149 V
2017-08-30T00:00:00-06:00,485.15313116709393 V
2017-08-31T00:00:00-06:00,485.2416737874349 V
2017-09-01T00:00:00-06:00,485.3739649454753 V
2017-09-02T00:00:00-06:00,485.18854840596515 V
2017-09-03T00:00:00-06:00,485.8180918592088 V
2017-09-04T00:00:00-06:00,484.8552122116089 V
2017-09-05T00:00:00-06:00,485.2822977701823 V
2017-09-06T00:00:00-06:00,485.09063180287677 V
2017-09-07T00:00:00-06:00,484.95208899180096 V
2017-09-08T00:00:00-06:00,485.44681402977477 V
2017-09-09T00:00:00-06:00,485.5427134831746 V
2017-09-10T00:00:00-06:00,485.5416723887126 V
2017-09-11T00:00:00-06:00,485.0958382288615 V
2017-09-12T00:00:00-06:00,485.2010482152303 V
2017-09-13T00:00:00-06:00,485.0895891189575 V
2017-09-14T00:00:00-06:00,485.5187562306722 V
2017-09-15T00:00:00-06:00,485.88021659851074 V
2017-09-16T00:00:00-06:00,486.2187563578288 V
2017-09-17T00:00:00-06:00,485.4822982152303 V
2017-09-18T00:00:00-06:00,485.2927141189575 V
2017-09-19T00:00:00-06:00,485.31042289733887 V
2017-09-20T00:00:00-06:00,485.87188084920246 V
2017-09-21T00:00:00-06:00,486.1406316757202 V
2017-09-22T00:00:00-06:00,486.6291735967 V
2017-09-23T00:00:00-06:00,485.41979757944745 V
2017-09-24T00:00:00-06:00,486.1052138010661 V
2017-09-25T00:00:00-06:00,486.1635497411092 V
2017-09-26T00:00:00-06:00,485.67500591278076 V
2017-09-27T00:00:00-06:00,486.06458981831867 V
2017-09-28T00:00:00-06:00,486.01250489552814 V
2017-09-29T00:00:00-06:00,485.85313097635907 V
2017-09-30T00:00:00-06:00,485.1927137374878 V
2017-10-01T00:00:00-06:00,485.17396481831867 V
2017-10-02T00:00:00-06:00,485.92500591278076 V
2017-10-03T00:00:00-06:00,485.0750052134196 V
