Timestamp,['1cd3e128-901c6502 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Votls AB']
2017-06-26T00:00:00-06:00,484.9700073242187 V
2017-06-27T00:00:00-06:00,484.378129641215 V
2017-06-28T00:00:00-06:00,484.03021335601807 V
2017-06-29T00:00:00-06:00,484.7750069300334 V
2017-06-30T00:00:00-06:00,485.29375489552814 V
2017-07-01T00:00:00-06:00,484.75833829243976 V
2017-07-02T00:00:00-06:00,485.2562557856242 V
2017-07-03T00:00:00-06:00,484.36042404174805 V
2017-07-04T00:00:00-06:00,484.4864632288615 V
2017-07-05T00:00:00-06:00,484.6614637374878 V
2017-07-06T00:00:00-06:00,484.46459007263184 V
2017-07-07T00:00:00-06:00,484.74584039052326 V
2017-07-08T00:00:00-06:00,484.889591217041 V
2017-07-09T00:00:00-06:00,485.07708772023517 V
2017-07-10T00:00:00-06:00,484.2947982152303 V
2017-07-11T00:00:00-06:00,484.5052127838135 V
2017-07-12T00:00:00-06:00,484.75729783376056 V
2017-07-13T00:00:00-06:00,484.75313091278076 V
2017-07-14T00:00:00-06:00,484.50521500905353 V
2017-07-15T00:00:00-06:00,484.63646443684894 V
2017-07-16T00:00:00-06:00,484.66459051767987 V
2017-07-17T00:00:00-06:00,484.3583402633667 V
2017-07-18T00:00:00-06:00,484.7197987238566 V
2017-07-19T00:00:00-06:00,484.4218804041545 V
2017-07-20T00:00:00-06:00,484.36146608988446 V
2017-07-21T00:00:00-06:00,484.5218811035156 V
2017-07-22T00:00:00-06:00,484.5927136739095 V
2017-07-23T00:00:00-06:00,484.705215771993 V
2017-07-24T00:00:00-06:00,484.5458386739095 V
2017-07-25T00:00:00-06:00,484.4062563578288 V
2017-07-26T00:00:00-06:00,484.1812575658162 V
2017-07-27T00:00:00-06:00,484.25625642140704 V
2017-07-28T00:00:00-06:00,484.2781302134196 V
2017-07-29T00:00:00-06:00,484.4229221343994 V
2017-07-30T00:00:00-06:00,484.66979853312176 V
2017-07-31T00:00:00-06:00,484.5427138010661 V
2017-08-01T00:00:00-06:00,484.31458981831867 V
2017-08-02T00:00:00-06:00,484.1302140553792 V
2017-08-03T00:00:00-06:00,484.5677143732707 V
2017-08-04T00:00:00-06:00,484.15281557233146 V
2017-08-05T00:00:00-06:00,484.6333392461141 V
2017-08-06T00:00:00-06:00,484.94896539052326 V
2017-08-07T00:00:00-06:00,484.41979662577313 V
2017-08-08T00:00:00-06:00,484.13542461395264 V
2017-08-09T00:00:00-06:00,484.45208899180096 V
2017-08-10T00:00:00-06:00,484.7744506835937 V
2017-08-11T00:00:00-06:00,484.48229757944745 V
2017-08-12T00:00:00-06:00,484.88333829243976 V
2017-08-13T00:00:00-06:00,484.78542137145996 V
2017-08-14T00:00:00-06:00,484.45000584920246 V
2017-08-15T00:00:00-06:00,484.46250502268475 V
2017-08-16T00:00:00-06:00,484.56042257944745 V
2017-08-17T00:00:00-06:00,484.70104789733887 V
2017-08-18T00:00:00-06:00,484.5447994867961 V
2017-08-19T00:00:00-06:00,484.5927143096924 V
2017-08-20T00:00:00-06:00,484.8010482788086 V
2017-08-21T00:00:00-06:00,484.4500052134196 V
2017-08-22T00:00:00-06:00,484.6635471979777 V
2017-08-23T00:00:00-06:00,484.5520881017049 V
2017-08-24T00:00:00-06:00,484.52292251586914 V
2017-08-25T00:00:00-06:00,484.33125591278076 V
2017-08-26T00:00:00-06:00,484.48021507263184 V
2017-08-27T00:00:00-06:00,484.26354789733887 V
2017-08-28T00:00:00-06:00,484.48462249420504 V
2017-08-29T00:00:00-06:00,484.43297300233945 V
2017-08-30T00:00:00-06:00,484.42500559488934 V
2017-08-31T00:00:00-06:00,484.5250075658162 V
2017-09-01T00:00:00-06:00,484.66563097635907 V
2017-09-02T00:00:00-06:00,484.53646500905353 V
2017-09-03T00:00:00-06:00,485.2691559487201 V
2017-09-04T00:00:00-06:00,484.2250067392985 V
2017-09-05T00:00:00-06:00,484.6197973887126 V
2017-09-06T00:00:00-06:00,484.4104232788086 V
2017-09-07T00:00:00-06:00,484.33021354675293 V
2017-09-08T00:00:00-06:00,484.8053244732796 V
2017-09-09T00:00:00-06:00,484.9677152633667 V
2017-09-10T00:00:00-06:00,485.09479840596515 V
2017-09-11T00:00:00-06:00,484.50209013621014 V
2017-09-12T00:00:00-06:00,484.57500648498535 V
2017-09-13T00:00:00-06:00,484.47708892822266 V
2017-09-14T00:00:00-06:00,484.93333943684894 V
2017-09-15T00:00:00-06:00,485.3010489145915 V
2017-09-16T00:00:00-06:00,485.7385489145915 V
2017-09-17T00:00:00-06:00,484.9947961171468 V
2017-09-18T00:00:00-06:00,484.6468798319499 V
2017-09-19T00:00:00-06:00,484.4312553405762 V
2017-09-20T00:00:00-06:00,485.1031312942505 V
2017-09-21T00:00:00-06:00,485.12188084920246 V
2017-09-22T00:00:00-06:00,485.711464881897 V
2017-09-23T00:00:00-06:00,484.7062578201294 V
2017-09-24T00:00:00-06:00,485.4166730244954 V
2017-09-25T00:00:00-06:00,485.39896456400555 V
2017-09-26T00:00:00-06:00,484.758339881897 V
2017-09-27T00:00:00-06:00,485.09271399180096 V
2017-09-28T00:00:00-06:00,485.15729745229083 V
2017-09-29T00:00:00-06:00,485.12083943684894 V
2017-09-30T00:00:00-06:00,484.59167353312176 V
2017-10-01T00:00:00-06:00,484.39688046773273 V
2017-10-02T00:00:00-06:00,484.96146392822266 V
2017-10-03T00:00:00-06:00,484.16458956400555 V
2017-10-04T00:00:00-06:00,485.0031312306722 V
2017-10-05T00:00:00-06:00,485.05209000905353 V
2017-10-06T00:00:00-06:00,484.85000642140704 V
2017-10-07T00:00:00-06:00,485.26667308807373 V
2017-10-08T00:00:00-06:00,485.2147415964227 V
2017-10-09T00:00:00-06:00,484.98542245229083 V
2017-10-10T00:00:00-06:00,484.76146539052326 V
2017-10-11T00:00:00-06:00,484.6885477701823 V
2017-10-12T00:00:00-06:00,485.20521386464435 V
2017-10-13T00:00:00-06:00,484.979172706604 V
2017-10-14T00:00:00-06:00,484.84375699361163 V
2017-10-15T00:00:00-06:00,484.7291720708211 V
2017-10-16T00:00:00-06:00,484.81979815165204 V
2017-10-17T00:00:00-06:00,484.26979637145996 V
2017-10-18T00:00:00-06:00,485.05625597635907 V
2017-10-19T00:00:00-06:00,485.2406301498413 V
2017-10-20T00:00:00-06:00,484.5156310399373 V
2017-10-21T00:00:00-06:00,485.1052131652832 V
2017-10-22T00:00:00-06:00,484.76458772023517 V
2017-10-23T00:00:00-06:00,485.25625546773273 V
2017-10-24T00:00:00-06:00,484.90625762939453 V
2017-10-25T00:00:00-06:00,485.03895263671876 V
2017-10-26T00:00:00-06:00,484.692715326945 V
2017-10-27T00:00:00-06:00,484.8760471343994 V
2017-10-28T00:00:00-06:00,484.75729751586914 V
2017-10-29T00:00:00-06:00,484.5145908991496 V
2017-10-30T00:00:00-06:00,485.1333392461141 V
2017-10-31T00:00:00-06:00,485.34271717071533 V
2017-11-01T00:00:00-06:00,484.27604897816974 V
2017-11-02T00:00:00-06:00,484.9468806584676 V
2017-11-03T00:00:00-06:00,485.1843795776367 V
2017-11-04T00:00:00-06:00,484.833340326945 V
2017-11-05T00:00:00-06:00,485.28000579833986 V
2017-11-06T00:00:00-07:00,485.38750553131104 V
2017-11-07T00:00:00-07:00,485.58125559488934 V
2017-11-08T00:00:00-07:00,484.7031310399373 V
2017-11-09T00:00:00-07:00,484.5395892461141 V
2017-11-10T00:00:00-07:00,485.3552163441976 V
2017-11-11T00:00:00-07:00,485.15834045410156 V
2017-11-12T00:00:00-07:00,485.2916723887126 V
2017-11-13T00:00:00-07:00,484.664589881897 V
2017-11-14T00:00:00-07:00,485.4156316121419 V
2017-11-15T00:00:00-07:00,484.7614647547404 V
2017-11-16T00:00:00-07:00,484.2041721343994 V
2017-11-17T00:00:00-07:00,484.2552137374878 V
2017-11-18T00:00:00-07:00,485.187505086263 V
2017-11-19T00:00:00-07:00,485.35000642140704 V
2017-11-20T00:00:00-07:00,484.9354232152303 V
2017-11-21T00:00:00-07:00,485.21563116709393 V
2017-11-22T00:00:00-07:00,484.94271500905353 V
2017-11-23T00:00:00-07:00,485.02917289733887 V
2017-11-24T00:00:00-07:00,485.26875591278076 V
2017-11-25T00:00:00-07:00,484.73542340596515 V
2017-11-26T00:00:00-07:00,485.16458733876544 V
2017-11-27T00:00:00-07:00,484.92813142140704 V
2017-11-28T00:00:00-07:00,485.0312554041545 V
2017-11-29T00:00:00-07:00,484.6385488510132 V
2017-11-30T00:00:00-07:00,485.11146450042725 V
2017-12-01T00:00:00-07:00,484.447922706604 V
2017-12-02T00:00:00-07:00,484.58542188008624 V
2017-12-03T00:00:00-07:00,485.12188180287677 V
2017-12-04T00:00:00-07:00,484.7645896275838 V
2017-12-05T00:00:00-07:00,484.9281311035156 V
2017-12-06T00:00:00-07:00,484.8489662806193 V
2017-12-07T00:00:00-07:00,484.9177134831746 V
2017-12-08T00:00:00-07:00,484.5156310399373 V
2017-12-09T00:00:00-07:00,484.7291723887126 V
2017-12-10T00:00:00-07:00,485.0364643732707 V
2017-12-11T00:00:00-07:00,485.35104783376056 V
2017-12-12T00:00:00-07:00,484.4947986602783 V
2017-12-13T00:00:00-07:00,485.36250591278076 V
2017-12-14T00:00:00-07:00,485.43646399180096 V
2017-12-15T00:00:00-07:00,485.2697976430257 V
2017-12-16T00:00:00-07:00,484.98542340596515 V
2017-12-17T00:00:00-07:00,484.57917308807373 V
2017-12-18T00:00:00-07:00,484.3933390299479 V
2017-12-19T00:00:00-07:00,485.01771386464435 V
2017-12-20T00:00:00-07:00,485.09583854675293 V
2017-12-21T00:00:00-07:00,485.26979700724286 V
2017-12-22T00:00:00-07:00,485.6354223887126 V
2017-12-23T00:00:00-07:00,484.8166723251343 V
2017-12-24T00:00:00-07:00,485.4354241689046 V
2017-12-25T00:00:00-07:00,485.9270893732707 V
2017-12-26T00:00:00-07:00,486.1187553405762 V
2017-12-27T00:00:00-07:00,484.27292315165204 V
2017-12-28T00:00:00-07:00,485.8052142461141 V
2017-12-29T00:00:00-07:00,485.01354726155597 V
2017-12-30T00:00:00-07:00,485.59479808807373 V
2017-12-31T00:00:00-07:00,485.1197973887126 V
