Timestamp,['1cd3e12f-5d24e804 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts CA']
2017-06-26T00:00:00-06:00,485.1600067138672 V
2017-06-27T00:00:00-06:00,484.6770896911621 V
2017-06-28T00:00:00-06:00,484.2968823115031 V
2017-06-29T00:00:00-06:00,485.10521507263184 V
2017-06-30T00:00:00-06:00,485.56979846954346 V
2017-07-01T00:00:00-06:00,485.00833892822266 V
2017-07-02T00:00:00-06:00,485.46563084920246 V
2017-07-03T00:00:00-06:00,484.70313199361163 V
2017-07-04T00:00:00-06:00,484.71667194366455 V
2017-07-05T00:00:00-06:00,484.90521399180096 V
2017-07-06T00:00:00-06:00,484.7041737238566 V
2017-07-07T00:00:00-06:00,484.95000648498535 V
2017-07-08T00:00:00-06:00,485.0822985967 V
2017-07-09T00:00:00-06:00,485.24167315165204 V
2017-07-10T00:00:00-06:00,484.46042283376056 V
2017-07-11T00:00:00-06:00,484.7385485967 V
2017-07-12T00:00:00-06:00,484.93958886464435 V
2017-07-13T00:00:00-06:00,484.93438212076825 V
2017-07-14T00:00:00-06:00,484.65625699361163 V
2017-07-15T00:00:00-06:00,484.74167283376056 V
2017-07-16T00:00:00-06:00,484.75834051767987 V
2017-07-17T00:00:00-06:00,484.5645875930786 V
2017-07-18T00:00:00-06:00,485.0020891825358 V
2017-07-19T00:00:00-06:00,484.6458377838135 V
2017-07-20T00:00:00-06:00,484.594796816508 V
2017-07-21T00:00:00-06:00,484.8416732152303 V
2017-07-22T00:00:00-06:00,484.8010473251343 V
2017-07-23T00:00:00-06:00,484.9083391825358 V
2017-07-24T00:00:00-06:00,484.81563027699787 V
2017-07-25T00:00:00-06:00,484.6833388010661 V
2017-07-26T00:00:00-06:00,484.4770901997884 V
2017-07-27T00:00:00-06:00,484.5041742324829 V
2017-07-28T00:00:00-06:00,484.49271551767987 V
2017-07-29T00:00:00-06:00,484.66875553131104 V
2017-07-30T00:00:00-06:00,484.9479236602783 V
2017-07-31T00:00:00-06:00,484.84583981831867 V
2017-08-01T00:00:00-06:00,484.6145890553792 V
2017-08-02T00:00:00-06:00,484.43958886464435 V
2017-08-03T00:00:00-06:00,484.8177143732707 V
2017-08-04T00:00:00-06:00,484.3674227253775 V
2017-08-05T00:00:00-06:00,484.8520901997884 V
2017-08-06T00:00:00-06:00,485.1500056584676 V
2017-08-07T00:00:00-06:00,484.6843795776367 V
2017-08-08T00:00:00-06:00,484.3218806584676 V
2017-08-09T00:00:00-06:00,484.63229751586914 V
2017-08-10T00:00:00-06:00,484.9588938395182 V
2017-08-11T00:00:00-06:00,484.7770872116089 V
2017-08-12T00:00:00-06:00,485.09063148498535 V
2017-08-13T00:00:00-06:00,484.9177131652832 V
2017-08-14T00:00:00-06:00,484.8583386739095 V
2017-08-15T00:00:00-06:00,484.7614638010661 V
2017-08-16T00:00:00-06:00,484.87084039052326 V
2017-08-17T00:00:00-06:00,485.0031312306722 V
2017-08-18T00:00:00-06:00,484.85208829243976 V
2017-08-19T00:00:00-06:00,484.932297706604 V
2017-08-20T00:00:00-06:00,485.13646443684894 V
2017-08-21T00:00:00-06:00,484.8250045776367 V
2017-08-22T00:00:00-06:00,485.01875559488934 V
2017-08-23T00:00:00-06:00,484.98438199361163 V
2017-08-24T00:00:00-06:00,484.93437989552814 V
2017-08-25T00:00:00-06:00,484.5916732152303 V
2017-08-26T00:00:00-06:00,484.79583803812665 V
2017-08-27T00:00:00-06:00,484.59688091278076 V
2017-08-28T00:00:00-06:00,484.8769303206559 V
2017-08-29T00:00:00-06:00,484.86264272836536 V
2017-08-30T00:00:00-06:00,484.7770888010661 V
2017-08-31T00:00:00-06:00,484.8635479609172 V
2017-09-01T00:00:00-06:00,484.89375559488934 V
2017-09-02T00:00:00-06:00,484.7187563578288 V
2017-09-03T00:00:00-06:00,485.39575130381485 V
2017-09-04T00:00:00-06:00,484.501046816508 V
2017-09-05T00:00:00-06:00,484.9677143096924 V
2017-09-06T00:00:00-06:00,484.796880086263 V
2017-09-07T00:00:00-06:00,484.60833899180096 V
2017-09-08T00:00:00-06:00,485.0979007118627 V
2017-09-09T00:00:00-06:00,485.1947987874349 V
2017-09-10T00:00:00-06:00,485.19688097635907 V
2017-09-11T00:00:00-06:00,484.7750075658162 V
2017-09-12T00:00:00-06:00,484.912504196167 V
2017-09-13T00:00:00-06:00,484.7708384195964 V
2017-09-14T00:00:00-06:00,485.29063097635907 V
2017-09-15T00:00:00-06:00,485.7489655812581 V
2017-09-16T00:00:00-06:00,485.9833402633667 V
2017-09-17T00:00:00-06:00,485.2447973887126 V
2017-09-18T00:00:00-06:00,485.143754641215 V
2017-09-19T00:00:00-06:00,485.22083854675293 V
2017-09-20T00:00:00-06:00,485.5062561035156 V
2017-09-21T00:00:00-06:00,485.692715326945 V
2017-09-22T00:00:00-06:00,486.22188154856366 V
2017-09-23T00:00:00-06:00,485.03959051767987 V
2017-09-24T00:00:00-06:00,485.71042283376056 V
2017-09-25T00:00:00-06:00,485.8625036875407 V
2017-09-26T00:00:00-06:00,485.28438091278076 V
2017-09-27T00:00:00-06:00,485.5708408355713 V
2017-09-28T00:00:00-06:00,485.53854846954346 V
2017-09-29T00:00:00-06:00,485.48021443684894 V
2017-09-30T00:00:00-06:00,484.82083829243976 V
2017-10-01T00:00:00-06:00,484.8375066121419 V
2017-10-02T00:00:00-06:00,485.5250072479248 V
2017-10-03T00:00:00-06:00,484.7302134831746 V
2017-10-04T00:00:00-06:00,485.5406316121419 V
2017-10-05T00:00:00-06:00,485.43438116709393 V
2017-10-06T00:00:00-06:00,485.28854688008624 V
2017-10-07T00:00:00-06:00,485.7406311035156 V
2017-10-08T00:00:00-06:00,485.85158723530014 V
2017-10-09T00:00:00-06:00,485.65313148498535 V
2017-10-10T00:00:00-06:00,485.20417308807373 V
2017-10-11T00:00:00-06:00,485.16667079925537 V
2017-10-12T00:00:00-06:00,485.6093804041545 V
2017-10-13T00:00:00-06:00,485.4281301498413 V
2017-10-14T00:00:00-06:00,485.3916721343994 V
2017-10-15T00:00:00-06:00,485.39167245229083 V
2017-10-16T00:00:00-06:00,485.65417257944745 V
2017-10-17T00:00:00-06:00,485.0541721979777 V
2017-10-18T00:00:00-06:00,485.7031313578288 V
2017-10-19T00:00:00-06:00,485.8968807856242 V
2017-10-20T00:00:00-06:00,485.09271399180096 V
2017-10-21T00:00:00-06:00,485.68334070841473 V
2017-10-22T00:00:00-06:00,485.32917340596515 V
2017-10-23T00:00:00-06:00,485.8281304041545 V
2017-10-24T00:00:00-06:00,485.31146653493244 V
2017-10-25T00:00:00-06:00,485.4936883223684 V
2017-10-26T00:00:00-06:00,485.22396500905353 V
2017-10-27T00:00:00-06:00,485.4854227701823 V
2017-10-28T00:00:00-06:00,485.27917226155597 V
2017-10-29T00:00:00-06:00,484.9270893732707 V
2017-10-30T00:00:00-06:00,485.5895891189575 V
2017-10-31T00:00:00-06:00,485.92604700724286 V
2017-11-01T00:00:00-06:00,484.7677132288615 V
2017-11-02T00:00:00-06:00,485.3093802134196 V
2017-11-03T00:00:00-06:00,485.6604223251343 V
2017-11-04T00:00:00-06:00,485.4562562306722 V
2017-11-05T00:00:00-06:00,485.87300659179687 V
2017-11-06T00:00:00-07:00,486.00938097635907 V
2017-11-07T00:00:00-07:00,486.08334000905353 V
2017-11-08T00:00:00-07:00,485.773964881897 V
2017-11-09T00:00:00-07:00,485.4895884195964 V
2017-11-10T00:00:00-07:00,486.5052143732707 V
2017-11-11T00:00:00-07:00,486.3802143732707 V
2017-11-12T00:00:00-07:00,486.3906304041545 V
2017-11-13T00:00:00-07:00,485.883339881897 V
2017-11-14T00:00:00-07:00,486.62813059488934 V
2017-11-15T00:00:00-07:00,486.04792245229083 V
2017-11-16T00:00:00-07:00,485.44583861033124 V
2017-11-17T00:00:00-07:00,485.44479846954346 V
2017-11-18T00:00:00-07:00,486.5406319300334 V
2017-11-19T00:00:00-07:00,486.6000038782756 V
2017-11-20T00:00:00-07:00,486.330215771993 V
2017-11-21T00:00:00-07:00,486.4677146275838 V
2017-11-22T00:00:00-07:00,486.2031313578288 V
2017-11-23T00:00:00-07:00,486.13125705718994 V
2017-11-24T00:00:00-07:00,486.3697980244954 V
2017-11-25T00:00:00-07:00,486.0302136739095 V
2017-11-26T00:00:00-07:00,486.3843819300334 V
2017-11-27T00:00:00-07:00,486.4500052134196 V
2017-11-28T00:00:00-07:00,486.5041726430257 V
2017-11-29T00:00:00-07:00,486.13750489552814 V
2017-11-30T00:00:00-07:00,486.69896507263184 V
2017-12-01T00:00:00-07:00,486.0208412806193 V
2017-12-02T00:00:00-07:00,485.992714881897 V
2017-12-03T00:00:00-07:00,486.45104853312176 V
2017-12-04T00:00:00-07:00,486.22500737508136 V
