Timestamp,['1cd3e136-796cbb0f 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts AN']
2017-06-26T00:00:00-06:00,279.9200042724609 V
2017-06-27T00:00:00-06:00,279.5572970708211 V
2017-06-28T00:00:00-06:00,279.3593807220459 V
2017-06-29T00:00:00-06:00,279.8010479609172 V
2017-06-30T00:00:00-06:00,280.0833390553792 V
2017-07-01T00:00:00-06:00,279.7864640553792 V
2017-07-02T00:00:00-06:00,280.09479904174805 V
2017-07-03T00:00:00-06:00,279.56458981831867 V
2017-07-04T00:00:00-06:00,279.6416727701823 V
2017-07-05T00:00:00-06:00,279.7239634195964 V
2017-07-06T00:00:00-06:00,279.6000045140584 V
2017-07-07T00:00:00-06:00,279.7541735967 V
2017-07-08T00:00:00-06:00,279.82917245229083 V
2017-07-09T00:00:00-06:00,279.97083981831867 V
2017-07-10T00:00:00-06:00,279.4937562942505 V
2017-07-11T00:00:00-06:00,279.64271481831867 V
2017-07-12T00:00:00-06:00,279.7437553405762 V
2017-07-13T00:00:00-06:00,279.7604230244954 V
2017-07-14T00:00:00-06:00,279.611465771993 V
2017-07-15T00:00:00-06:00,279.6812572479248 V
2017-07-16T00:00:00-06:00,279.6958392461141 V
2017-07-17T00:00:00-06:00,279.5052137374878 V
2017-07-18T00:00:00-06:00,279.7041737238566 V
2017-07-19T00:00:00-06:00,279.5395892461141 V
2017-07-20T00:00:00-06:00,279.508339881897 V
2017-07-21T00:00:00-06:00,279.61667346954346 V
2017-07-22T00:00:00-06:00,279.6447966893514 V
2017-07-23T00:00:00-06:00,279.7072976430257 V
2017-07-24T00:00:00-06:00,279.6614643732707 V
2017-07-25T00:00:00-06:00,279.5218807856242 V
2017-07-26T00:00:00-06:00,279.35104751586914 V
2017-07-27T00:00:00-06:00,279.4208399454753 V
2017-07-28T00:00:00-06:00,279.4385487238566 V
2017-07-29T00:00:00-06:00,279.5510479609172 V
2017-07-30T00:00:00-06:00,279.71458943684894 V
2017-07-31T00:00:00-06:00,279.63229846954346 V
2017-08-01T00:00:00-06:00,279.47708956400555 V
2017-08-02T00:00:00-06:00,279.35104846954346 V
2017-08-03T00:00:00-06:00,279.562505086263 V
2017-08-04T00:00:00-06:00,279.32135455528004 V
2017-08-05T00:00:00-06:00,279.6510486602783 V
2017-08-06T00:00:00-06:00,279.84167162577313 V
2017-08-07T00:00:00-06:00,279.49688148498535 V
2017-08-08T00:00:00-06:00,279.30729897816974 V
2017-08-09T00:00:00-06:00,279.4989652633667 V
2017-08-10T00:00:00-06:00,279.6755622016059 V
2017-08-11T00:00:00-06:00,279.5343812306722 V
2017-08-12T00:00:00-06:00,279.8062569300334 V
2017-08-13T00:00:00-06:00,279.729172706604 V
2017-08-14T00:00:00-06:00,279.56667200724286 V
2017-08-15T00:00:00-06:00,279.53438059488934 V
2017-08-16T00:00:00-06:00,279.5781316757202 V
2017-08-17T00:00:00-06:00,279.6677134831746 V
