Timestamp,['1cd3e13e-4af7f2c0 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts BN']
2017-06-26T00:00:00-06:00,280.20000610351565 V
2017-06-27T00:00:00-06:00,279.92292245229083 V
2017-06-28T00:00:00-06:00,279.71771399180096 V
2017-06-29T00:00:00-06:00,280.15209070841473 V
2017-06-30T00:00:00-06:00,280.4520893096924 V
2017-07-01T00:00:00-06:00,280.12187989552814 V
2017-07-02T00:00:00-06:00,280.3479232788086 V
2017-07-03T00:00:00-06:00,279.9125061035156 V
2017-07-04T00:00:00-06:00,279.8968811035156 V
2017-07-05T00:00:00-06:00,280.0531295140584 V
2017-07-06T00:00:00-06:00,279.95417308807373 V
2017-07-07T00:00:00-06:00,280.08542346954346 V
2017-07-08T00:00:00-06:00,280.159379641215 V
2017-07-09T00:00:00-06:00,280.17917251586914 V
2017-07-10T00:00:00-06:00,279.8031317392985 V
2017-07-11T00:00:00-06:00,279.9302151997884 V
2017-07-12T00:00:00-06:00,280.1156307856242 V
2017-07-13T00:00:00-06:00,280.0843788782756 V
2017-07-14T00:00:00-06:00,279.96146233876544 V
2017-07-15T00:00:00-06:00,280.0010471343994 V
2017-07-16T00:00:00-06:00,279.994797706604 V
2017-07-17T00:00:00-06:00,279.9052143096924 V
2017-07-18T00:00:00-06:00,280.1500066121419 V
2017-07-19T00:00:00-06:00,279.9270887374878 V
2017-07-20T00:00:00-06:00,279.9000072479248 V
2017-07-21T00:00:00-06:00,280.0114647547404 V
2017-07-22T00:00:00-06:00,280.0218801498413 V
2017-07-23T00:00:00-06:00,280.0864642461141 V
2017-07-24T00:00:00-06:00,279.9593817392985 V
2017-07-25T00:00:00-06:00,279.9885476430257 V
2017-07-26T00:00:00-06:00,279.9260479609172 V
2017-07-27T00:00:00-06:00,279.90833950042725 V
2017-07-28T00:00:00-06:00,279.9010461171468 V
2017-07-29T00:00:00-06:00,279.94063059488934 V
2017-07-30T00:00:00-06:00,280.0687557856242 V
2017-07-31T00:00:00-06:00,280.0145886739095 V
2017-08-01T00:00:00-06:00,279.93438116709393 V
2017-08-02T00:00:00-06:00,279.8687556584676 V
2017-08-03T00:00:00-06:00,280.1562560399373 V
2017-08-04T00:00:00-06:00,279.93483845571456 V
2017-08-05T00:00:00-06:00,280.1052147547404 V
2017-08-06T00:00:00-06:00,280.26771481831867 V
2017-08-07T00:00:00-06:00,280.0791727701823 V
2017-08-08T00:00:00-06:00,279.9322986602783 V
2017-08-09T00:00:00-06:00,280.0583391189575 V
2017-08-10T00:00:00-06:00,280.2777835422092 V
2017-08-11T00:00:00-06:00,280.13125769297284 V
2017-08-12T00:00:00-06:00,280.2479232152303 V
2017-08-13T00:00:00-06:00,280.17917315165204 V
2017-08-14T00:00:00-06:00,280.04375616709393 V
2017-08-15T00:00:00-06:00,280.083340326945 V
2017-08-16T00:00:00-06:00,280.13854726155597 V
2017-08-17T00:00:00-06:00,280.2125066121419 V
2017-08-18T00:00:00-06:00,280.12604808807373 V
2017-08-19T00:00:00-06:00,280.13229783376056 V
2017-08-20T00:00:00-06:00,280.24479579925537 V
2017-08-21T00:00:00-06:00,280.0750045776367 V
2017-08-22T00:00:00-06:00,280.21459039052326 V
2017-08-23T00:00:00-06:00,280.1500062942505 V
2017-08-24T00:00:00-06:00,280.0927152633667 V
2017-08-25T00:00:00-06:00,279.9958388010661 V
2017-08-26T00:00:00-06:00,280.05000559488934 V
2017-08-27T00:00:00-06:00,279.9322983423869 V
2017-08-28T00:00:00-06:00,280.1555623372396 V
2017-08-29T00:00:00-06:00,280.12967891483515 V
2017-08-30T00:00:00-06:00,280.0791711807251 V
2017-08-31T00:00:00-06:00,280.156255086263 V
2017-09-01T00:00:00-06:00,280.24479961395264 V
2017-09-02T00:00:00-06:00,280.1250054041545 V
2017-09-03T00:00:00-06:00,280.50745278216425 V
2017-09-04T00:00:00-06:00,279.90938091278076 V
2017-09-05T00:00:00-06:00,280.18229897816974 V
2017-09-06T00:00:00-06:00,280.0718812942505 V
2017-09-07T00:00:00-06:00,280.0104223887126 V
2017-09-08T00:00:00-06:00,280.27341022897275 V
2017-09-09T00:00:00-06:00,280.3322982788086 V
2017-09-10T00:00:00-06:00,280.38125546773273 V
2017-09-11T00:00:00-06:00,280.1083402633667 V
2017-09-12T00:00:00-06:00,280.1541732152303 V
2017-09-13T00:00:00-06:00,280.10104815165204 V
2017-09-14T00:00:00-06:00,280.33438142140704 V
2017-09-15T00:00:00-06:00,280.50938097635907 V
2017-09-16T00:00:00-06:00,280.75209045410156 V
2017-09-17T00:00:00-06:00,280.317715326945 V
2017-09-18T00:00:00-06:00,280.17396513621014 V
2017-09-19T00:00:00-06:00,280.10313097635907 V
2017-09-20T00:00:00-06:00,280.5270884831746 V
2017-09-21T00:00:00-06:00,280.60000642140704 V
2017-09-22T00:00:00-06:00,280.901047706604 V
2017-09-23T00:00:00-06:00,280.2291720708211 V
2017-09-24T00:00:00-06:00,280.6260471343994 V
2017-09-25T00:00:00-06:00,280.6666723887126 V
2017-09-26T00:00:00-06:00,280.34688091278076 V
2017-09-27T00:00:00-06:00,280.58646361033124 V
2017-09-28T00:00:00-06:00,280.5843798319499 V
2017-09-29T00:00:00-06:00,280.48959000905353 V
2017-09-30T00:00:00-06:00,280.1229244867961 V
2017-10-01T00:00:00-06:00,280.041672706604 V
2017-10-02T00:00:00-06:00,280.45417308807373 V
2017-10-03T00:00:00-06:00,279.9802147547404 V
2017-10-04T00:00:00-06:00,280.5041716893514 V
2017-10-05T00:00:00-06:00,280.4781316121419 V
2017-10-06T00:00:00-06:00,280.3437560399373 V
