Timestamp,['1cd3e142-379f99ad 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts CN']
2017-06-26T00:00:00-06:00,280.1800079345703 V
2017-06-27T00:00:00-06:00,279.9270887374878 V
2017-06-28T00:00:00-06:00,279.66563002268475 V
2017-06-29T00:00:00-06:00,280.16250546773273 V
2017-06-30T00:00:00-06:00,280.4375066757202 V
2017-07-01T00:00:00-06:00,280.10729726155597 V
2017-07-02T00:00:00-06:00,280.35625616709393 V
2017-07-03T00:00:00-06:00,279.9395891825358 V
2017-07-04T00:00:00-06:00,279.909379641215 V
2017-07-05T00:00:00-06:00,280.0270881652832 V
2017-07-06T00:00:00-06:00,279.9312582015991 V
2017-07-07T00:00:00-06:00,280.0625041325887 V
2017-07-08T00:00:00-06:00,280.1489651997884 V
2017-07-09T00:00:00-06:00,280.2187563578288 V
2017-07-10T00:00:00-06:00,279.7447986602783 V
2017-07-11T00:00:00-06:00,279.8906297683716 V
2017-07-12T00:00:00-06:00,280.023964881897 V
2017-07-13T00:00:00-06:00,280.0208384195964 V
2017-07-14T00:00:00-06:00,279.8416738510132 V
2017-07-15T00:00:00-06:00,279.9156328837077 V
2017-07-16T00:00:00-06:00,279.89584096272785 V
2017-07-17T00:00:00-06:00,279.8218806584676 V
2017-07-18T00:00:00-06:00,280.12292289733887 V
2017-07-19T00:00:00-06:00,279.8750066757202 V
2017-07-20T00:00:00-06:00,279.86459000905353 V
2017-07-21T00:00:00-06:00,280.0500071843465 V
2017-07-22T00:00:00-06:00,280.02917353312176 V
2017-07-23T00:00:00-06:00,280.0770908991496 V
2017-07-24T00:00:00-06:00,279.98750654856366 V
2017-07-25T00:00:00-06:00,279.9531313578288 V
2017-07-26T00:00:00-06:00,279.9031286239624 V
2017-07-27T00:00:00-06:00,279.9093818664551 V
2017-07-28T00:00:00-06:00,279.8916727701823 V
2017-07-29T00:00:00-06:00,280.00312836964923 V
2017-07-30T00:00:00-06:00,280.1135476430257 V
2017-07-31T00:00:00-06:00,280.02917162577313 V
2017-08-01T00:00:00-06:00,279.91771539052326 V
2017-08-02T00:00:00-06:00,279.85938199361163 V
2017-08-03T00:00:00-06:00,280.1343803405762 V
2017-08-04T00:00:00-06:00,279.8809049799201 V
2017-08-05T00:00:00-06:00,280.09063148498535 V
2017-08-06T00:00:00-06:00,280.23959000905353 V
2017-08-07T00:00:00-06:00,280.0302143096924 V
2017-08-08T00:00:00-06:00,279.8343801498413 V
2017-08-09T00:00:00-06:00,279.9927151997884 V
2017-08-10T00:00:00-06:00,280.19667256673176 V
2017-08-11T00:00:00-06:00,280.0822998682658 V
2017-08-12T00:00:00-06:00,280.20000584920246 V
2017-08-13T00:00:00-06:00,280.11042245229083 V
2017-08-14T00:00:00-06:00,280.0875062942505 V
2017-08-15T00:00:00-06:00,280.0697965621948 V
2017-08-16T00:00:00-06:00,280.135422706604 V
2017-08-17T00:00:00-06:00,280.2072985967 V
2017-08-18T00:00:00-06:00,280.08646456400555 V
2017-08-19T00:00:00-06:00,280.13334051767987 V
2017-08-20T00:00:00-06:00,280.2468802134196 V
2017-08-21T00:00:00-06:00,280.0781313578288 V
