Timestamp,['1cd3e173-890e80fa 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current A']
2017-06-26T00:00:00-06:00,127.93000030517578 A
2017-06-27T00:00:00-06:00,161.8062528769175 A
2017-06-28T00:00:00-06:00,156.9416695435842 A
2017-06-29T00:00:00-06:00,144.06041900316873 A
2017-06-30T00:00:00-06:00,141.73333621025085 A
2017-07-01T00:00:00-06:00,126.10625274976094 A
2017-07-02T00:00:00-06:00,113.30729325612386 A
2017-07-03T00:00:00-06:00,148.95208636919656 A
2017-07-04T00:00:00-06:00,144.00104403495789 A
2017-07-05T00:00:00-06:00,152.24166917800903 A
2017-07-06T00:00:00-06:00,161.8208360671997 A
2017-07-07T00:00:00-06:00,166.25208520889282 A
2017-07-08T00:00:00-06:00,146.06875292460123 A
2017-07-09T00:00:00-06:00,97.3291682402293 A
2017-07-10T00:00:00-06:00,192.03854473431906 A
2017-07-11T00:00:00-06:00,169.1916687488556 A
2017-07-12T00:00:00-06:00,158.18437759081522 A
2017-07-13T00:00:00-06:00,138.80729428927103 A
2017-07-14T00:00:00-06:00,143.2458357810974 A
2017-07-15T00:00:00-06:00,127.73229400316875 A
2017-07-16T00:00:00-06:00,128.31666914621988 A
2017-07-17T00:00:00-06:00,144.36666997273764 A
2017-07-18T00:00:00-06:00,150.09479395548502 A
2017-07-19T00:00:00-06:00,142.50625308354697 A
2017-07-20T00:00:00-06:00,140.43542019526163 A
2017-07-21T00:00:00-06:00,141.31041916211447 A
2017-07-22T00:00:00-06:00,123.47812708218892 A
2017-07-23T00:00:00-06:00,123.17500185966492 A
2017-07-24T00:00:00-06:00,131.18021098772684 A
2017-07-25T00:00:00-06:00,141.6937528451284 A
2017-07-26T00:00:00-06:00,151.4312528769175 A
2017-07-27T00:00:00-06:00,152.05625319480896 A
2017-07-28T00:00:00-06:00,146.90000327428183 A
2017-07-29T00:00:00-06:00,131.29375370343527 A
2017-07-30T00:00:00-06:00,134.91041882832846 A
2017-07-31T00:00:00-06:00,150.59271105130514 A
2017-08-01T00:00:00-06:00,154.47083624204 A
2017-08-02T00:00:00-06:00,149.57083519299826 A
2017-08-03T00:00:00-06:00,148.18333570162454 A
2017-08-04T00:00:00-06:00,140.6741601322474 A
2017-08-05T00:00:00-06:00,124.86458484331767 A
2017-08-06T00:00:00-06:00,124.9604188601176 A
2017-08-07T00:00:00-06:00,143.55521154403687 A
2017-08-08T00:00:00-06:00,144.61666886011758 A
2017-08-09T00:00:00-06:00,145.06875324249268 A
2017-08-10T00:00:00-06:00,143.75444675021703 A
2017-08-11T00:00:00-06:00,144.1750022570292 A
2017-08-12T00:00:00-06:00,127.38854384422302 A
2017-08-13T00:00:00-06:00,125.97500236829121 A
2017-08-14T00:00:00-06:00,145.37708632151285 A
2017-08-15T00:00:00-06:00,147.0718781153361 A
2017-08-16T00:00:00-06:00,146.1072948773702 A
2017-08-17T00:00:00-06:00,146.14479430516562 A
2017-08-18T00:00:00-06:00,147.5489606062571 A
2017-08-19T00:00:00-06:00,130.46979403495789 A
2017-08-20T00:00:00-06:00,129.63854455947876 A
2017-08-21T00:00:00-06:00,154.52604540189108 A
