Timestamp,['1cd3e177-a25a35af 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current B']
2017-06-26T00:00:00-06:00,141.86000442504883 A
2017-06-27T00:00:00-06:00,172.577085574468 A
2017-06-28T00:00:00-06:00,162.8802111943563 A
2017-06-29T00:00:00-06:00,152.35000173250833 A
2017-06-30T00:00:00-06:00,149.54479440053305 A
2017-07-01T00:00:00-06:00,133.47604417800903 A
2017-07-02T00:00:00-06:00,125.52604301770528 A
2017-07-03T00:00:00-06:00,155.58542029062906 A
2017-07-04T00:00:00-06:00,154.52396082878113 A
2017-07-05T00:00:00-06:00,162.9270859559377 A
2017-07-06T00:00:00-06:00,170.63021103541055 A
2017-07-07T00:00:00-06:00,178.99687790870667 A
2017-07-08T00:00:00-06:00,159.74167005221048 A
2017-07-09T00:00:00-06:00,110.25833503405254 A
2017-07-10T00:00:00-06:00,203.51771108309427 A
2017-07-11T00:00:00-06:00,178.67500297228494 A
2017-07-12T00:00:00-06:00,167.67708611488342 A
2017-07-13T00:00:00-06:00,150.23646187782288 A
2017-07-14T00:00:00-06:00,149.95312809944153 A
2017-07-15T00:00:00-06:00,137.53333608309427 A
2017-07-16T00:00:00-06:00,137.99791932106018 A
2017-07-17T00:00:00-06:00,150.83125249544779 A
2017-07-18T00:00:00-06:00,157.01562801996866 A
2017-07-19T00:00:00-06:00,148.95104455947876 A
2017-07-20T00:00:00-06:00,148.01354455947876 A
2017-07-21T00:00:00-06:00,150.86562752723694 A
2017-07-22T00:00:00-06:00,134.0895856221517 A
2017-07-23T00:00:00-06:00,131.74896105130514 A
2017-07-24T00:00:00-06:00,139.91458582878113 A
2017-07-25T00:00:00-06:00,146.17812848091125 A
2017-07-26T00:00:00-06:00,155.3145864804586 A
2017-07-27T00:00:00-06:00,157.95937808354697 A
2017-07-28T00:00:00-06:00,153.35312819480896 A
2017-07-29T00:00:00-06:00,139.0427111784617 A
2017-07-30T00:00:00-06:00,141.80416933695474 A
2017-07-31T00:00:00-06:00,156.72083600362143 A
2017-08-01T00:00:00-06:00,161.95937832196554 A
2017-08-02T00:00:00-06:00,155.61250265439352 A
2017-08-03T00:00:00-06:00,156.23750265439352 A
2017-08-04T00:00:00-06:00,147.19887954197574 A
2017-08-05T00:00:00-06:00,132.39896098772684 A
2017-08-06T00:00:00-06:00,131.2364606062571 A
2017-08-07T00:00:00-06:00,146.9885449409485 A
2017-08-08T00:00:00-06:00,148.71666940053305 A
2017-08-09T00:00:00-06:00,149.9781277179718 A
2017-08-10T00:00:00-06:00,149.48778042263456 A
2017-08-11T00:00:00-06:00,149.56771183013916 A
2017-08-12T00:00:00-06:00,133.64375257492065 A
2017-08-13T00:00:00-06:00,131.93646097183228 A
2017-08-14T00:00:00-06:00,151.79896155993143 A
2017-08-15T00:00:00-06:00,152.3854192097982 A
2017-08-16T00:00:00-06:00,150.9697941939036 A
2017-08-17T00:00:00-06:00,151.1645863056183 A
2017-08-18T00:00:00-06:00,150.59062703450522 A
2017-08-19T00:00:00-06:00,133.01771116256714 A
2017-08-20T00:00:00-06:00,132.35312747955322 A
2017-08-21T00:00:00-06:00,155.77604468663534 A
2017-08-22T00:00:00-06:00,158.65937781333923 A
2017-08-23T00:00:00-06:00,156.95104440053305 A
2017-08-24T00:00:00-06:00,155.56250405311584 A
2017-08-25T00:00:00-06:00,149.7604195276896 A
2017-08-26T00:00:00-06:00,130.63541944821677 A
2017-08-27T00:00:00-06:00,129.5729183355967 A
2017-08-28T00:00:00-06:00,160.61444685194226 A
2017-08-29T00:00:00-06:00,163.84945393656636 A
2017-08-30T00:00:00-06:00,161.96771128972372 A
2017-08-31T00:00:00-06:00,154.61250313123068 A
2017-09-01T00:00:00-06:00,153.1239608923594 A
2017-09-02T00:00:00-06:00,134.54271086057028 A
2017-09-03T00:00:00-06:00,133.41702367904338 A
2017-09-04T00:00:00-06:00,140.0208355585734 A
2017-09-05T00:00:00-06:00,158.58021171887717 A
2017-09-06T00:00:00-06:00,156.59583640098572 A
2017-09-07T00:00:00-06:00,153.41041946411133 A
2017-09-08T00:00:00-06:00,148.97234303900535 A
2017-09-09T00:00:00-06:00,131.92291935284933 A
2017-09-10T00:00:00-06:00,131.48750297228494 A
2017-09-11T00:00:00-06:00,156.22812763849893 A
2017-09-12T00:00:00-06:00,157.44687827428183 A
2017-09-13T00:00:00-06:00,154.10521149635315 A
2017-09-14T00:00:00-06:00,153.9093778928121 A
2017-09-15T00:00:00-06:00,138.93125263849893 A
2017-09-16T00:00:00-06:00,123.05104366938274 A
2017-09-17T00:00:00-06:00,127.20208549499512 A
