Timestamp,['1cd3e2b9-88e49ed8 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current C']
2017-06-26T00:00:00-06:00,153.5500045776367 A
2017-06-27T00:00:00-06:00,183.1250033378601 A
2017-06-28T00:00:00-06:00,174.7333369255066 A
2017-06-29T00:00:00-06:00,163.80521154403687 A
2017-06-30T00:00:00-06:00,162.1583366394043 A
2017-07-01T00:00:00-06:00,149.72500356038412 A
2017-07-02T00:00:00-06:00,138.84791978200278 A
2017-07-03T00:00:00-06:00,170.336460908254 A
2017-07-04T00:00:00-06:00,167.0114623705546 A
2017-07-05T00:00:00-06:00,173.5479191939036 A
2017-07-06T00:00:00-06:00,183.17396108309427 A
2017-07-07T00:00:00-06:00,188.53229451179504 A
2017-07-08T00:00:00-06:00,169.21458594004312 A
2017-07-09T00:00:00-06:00,121.4395850499471 A
2017-07-10T00:00:00-06:00,210.8031276067098 A
2017-07-11T00:00:00-06:00,186.24375263849893 A
2017-07-12T00:00:00-06:00,175.01458628972372 A
2017-07-13T00:00:00-06:00,157.89792021115622 A
2017-07-14T00:00:00-06:00,161.1541698773702 A
2017-07-15T00:00:00-06:00,150.65521128972372 A
2017-07-16T00:00:00-06:00,150.7385449409485 A
2017-07-17T00:00:00-06:00,160.28333632151285 A
2017-07-18T00:00:00-06:00,165.9010443687439 A
2017-07-19T00:00:00-06:00,157.05833609898886 A
2017-07-20T00:00:00-06:00,156.4750026067098 A
2017-07-21T00:00:00-06:00,158.54896227518717 A
2017-07-22T00:00:00-06:00,144.63958549499512 A
2017-07-23T00:00:00-06:00,144.11041943232217 A
2017-07-24T00:00:00-06:00,152.4552116394043 A
2017-07-25T00:00:00-06:00,156.76875321070352 A
2017-07-26T00:00:00-06:00,166.86875327428183 A
2017-07-27T00:00:00-06:00,171.3343776067098 A
2017-07-28T00:00:00-06:00,166.3718776702881 A
2017-07-29T00:00:00-06:00,153.96979522705078 A
2017-07-30T00:00:00-06:00,156.32812786102295 A
2017-07-31T00:00:00-06:00,167.0822950998942 A
2017-08-01T00:00:00-06:00,170.81979592641196 A
2017-08-02T00:00:00-06:00,166.40833632151285 A
2017-08-03T00:00:00-06:00,167.23125298817953 A
2017-08-04T00:00:00-06:00,159.5404520784871 A
2017-08-05T00:00:00-06:00,146.92291895548502 A
2017-08-06T00:00:00-06:00,146.51562865575156 A
2017-08-07T00:00:00-06:00,158.8250034650167 A
2017-08-08T00:00:00-06:00,162.11562824249268 A
2017-08-09T00:00:00-06:00,162.17604446411133 A
2017-08-10T00:00:00-06:00,162.44889204237197 A
2017-08-11T00:00:00-06:00,162.0135442415873 A
2017-08-12T00:00:00-06:00,149.06354427337646 A
2017-08-13T00:00:00-06:00,147.52916971842447 A
2017-08-14T00:00:00-06:00,162.70104519526163 A
2017-08-15T00:00:00-06:00,164.69062836964926 A
2017-08-16T00:00:00-06:00,162.3156280517578 A
2017-08-17T00:00:00-06:00,162.21771144866943 A
2017-08-18T00:00:00-06:00,163.2781284650167 A
2017-08-19T00:00:00-06:00,149.3875028292338 A
2017-08-20T00:00:00-06:00,148.53646167119345 A
2017-08-21T00:00:00-06:00,166.60833628972372 A
2017-08-22T00:00:00-06:00,170.37187798817953 A
2017-08-23T00:00:00-06:00,167.46771113077799 A
2017-08-24T00:00:00-06:00,166.93229484558105 A
2017-08-25T00:00:00-06:00,161.06771071751913 A
2017-08-26T00:00:00-06:00,147.9968787829081 A
2017-08-27T00:00:00-06:00,147.3864622116089 A
2017-08-28T00:00:00-06:00,171.2890138730898 A
2017-08-29T00:00:00-06:00,174.5736293583126 A
2017-08-30T00:00:00-06:00,172.05416917800903 A
2017-08-31T00:00:00-06:00,166.45833587646484 A
2017-09-01T00:00:00-06:00,163.85625314712524 A
2017-09-02T00:00:00-06:00,149.114586353302 A
2017-09-03T00:00:00-06:00,148.1617040431246 A
2017-09-04T00:00:00-06:00,155.12604443232217 A
2017-09-05T00:00:00-06:00,167.0031278928121 A
2017-09-06T00:00:00-06:00,167.42708603541055 A
2017-09-07T00:00:00-06:00,166.47708574930826 A
2017-09-08T00:00:00-06:00,163.61595997911817 A
2017-09-09T00:00:00-06:00,151.6531284650167 A
2017-09-10T00:00:00-06:00,150.4635442097982 A
2017-09-11T00:00:00-06:00,169.85937801996866 A
2017-09-12T00:00:00-06:00,169.60521157582602 A
2017-09-13T00:00:00-06:00,168.9208369255066 A
