Timestamp,['1cd55582-b1e717dd 0026-COLLEGE OF SOCIAL WORK Power Meter Current A']
2017-06-26T00:00:00-06:00,87.00505180358887 A
2017-06-27T00:00:00-06:00,104.5986141761144 A
2017-06-28T00:00:00-06:00,99.04660018285115 A
2017-06-29T00:00:00-06:00,99.20183897018433 A
2017-06-30T00:00:00-06:00,100.029964864254 A
2017-07-01T00:00:00-06:00,99.91138784090678 A
2017-07-02T00:00:00-06:00,95.15691433350246 A
2017-07-03T00:00:00-06:00,110.71235666672389 A
2017-07-04T00:00:00-06:00,101.3025096654892 A
2017-07-05T00:00:00-06:00,116.198544104894 A
2017-07-06T00:00:00-06:00,134.13721066713333 A
2017-07-07T00:00:00-06:00,118.94037421544392 A
2017-07-08T00:00:00-06:00,107.17383019129436 A
2017-07-09T00:00:00-06:00,103.18669587373734 A
2017-07-10T00:00:00-06:00,110.20893971125285 A
2017-07-11T00:00:00-06:00,110.26973778009415 A
2017-07-12T00:00:00-06:00,113.50168303648631 A
2017-07-13T00:00:00-06:00,111.11028387149175 A
2017-07-14T00:00:00-06:00,108.76370642582576 A
2017-07-15T00:00:00-06:00,102.43998446067174 A
2017-07-16T00:00:00-06:00,103.65641554196675 A
2017-07-17T00:00:00-06:00,112.04777004321416 A
2017-07-18T00:00:00-06:00,125.66210063298543 A
2017-07-19T00:00:00-06:00,118.76903114716212 A
2017-07-20T00:00:00-06:00,102.19552812973659 A
2017-07-21T00:00:00-06:00,111.1802388827006 A
2017-07-22T00:00:00-06:00,91.43120656410854 A
2017-07-23T00:00:00-06:00,93.13438151280086 A
2017-07-24T00:00:00-06:00,97.83065281311671 A
2017-07-25T00:00:00-06:00,100.81498189767201 A
2017-07-26T00:00:00-06:00,121.20130584637324 A
2017-07-27T00:00:00-06:00,105.56285391251247 A
2017-07-28T00:00:00-06:00,98.93292387326558 A
2017-07-29T00:00:00-06:00,94.12546128034592 A
2017-07-30T00:00:00-06:00,95.13891917467117 A
2017-07-31T00:00:00-06:00,114.76125953594844 A
2017-08-01T00:00:00-06:00,114.14979962507884 A
2017-08-02T00:00:00-06:00,113.94436530272166 A
2017-08-03T00:00:00-06:00,114.30582408110301 A
2017-08-04T00:00:00-06:00,104.40361966143598 A
2017-08-05T00:00:00-06:00,101.51726069053014 A
2017-08-06T00:00:00-06:00,95.41394044955571 A
2017-08-07T00:00:00-06:00,89.02111210425694 A
2017-08-08T00:00:00-06:00,83.27256222565968 A
2017-08-09T00:00:00-06:00,86.26129211982091 A
2017-08-10T00:00:00-06:00,86.2244108281237 A
2017-08-11T00:00:00-06:00,88.86196208000183 A
2017-08-12T00:00:00-06:00,89.71967418988545 A
2017-08-13T00:00:00-06:00,80.13653522729874 A
2017-08-14T00:00:00-06:00,88.93399143218994 A
2017-08-15T00:00:00-06:00,86.02229744195938 A
2017-08-16T00:00:00-06:00,89.86034748951595 A
2017-08-17T00:00:00-06:00,87.89272232850392 A
2017-08-18T00:00:00-06:00,90.9215196967125 A
2017-08-19T00:00:00-06:00,79.84644081195195 A
2017-08-20T00:00:00-06:00,82.77158792813619 A
2017-08-21T00:00:00-06:00,108.0989090402921 A
2017-08-22T00:00:00-06:00,97.40844877560933 A
2017-08-23T00:00:00-06:00,94.31129842996597 A
2017-08-24T00:00:00-06:00,99.38685085376103 A
2017-08-25T00:00:00-06:00,100.16274168093999 A
2017-08-26T00:00:00-06:00,89.82999567190807 A
2017-08-27T00:00:00-06:00,82.15142567952473 A
2017-08-28T00:00:00-06:00,99.51858153394474 A
2017-08-29T00:00:00-06:00,109.15846800035045 A
2017-08-30T00:00:00-06:00,105.44987140099208 A
2017-08-31T00:00:00-06:00,99.39749743541081 A
2017-09-01T00:00:00-06:00,90.16722947359085 A
2017-09-02T00:00:00-06:00,73.56463702519734 A
2017-09-03T00:00:00-06:00,76.52968994776408 A
2017-09-04T00:00:00-06:00,78.52926097313564 A
2017-09-05T00:00:00-06:00,94.53792097171147 A
2017-09-06T00:00:00-06:00,92.55204623937607 A
2017-09-07T00:00:00-06:00,98.30634637673695 A
2017-09-08T00:00:00-06:00,47.39934835126323 A
2017-12-18T00:00:00-07:00,57.31032521211648 A
2017-12-19T00:00:00-07:00,54.812207063039146 A
2017-12-20T00:00:00-07:00,55.82437332471212 A
2017-12-21T00:00:00-07:00,58.22474686304728 A
2017-12-22T00:00:00-07:00,57.949951171875 A
2017-12-23T00:00:00-07:00,52.91177407900492 A
2017-12-24T00:00:00-07:00,50.457956631978355 A
2017-12-25T00:00:00-07:00,50.40389676888784 A
2017-12-26T00:00:00-07:00,51.37422629197439 A
2017-12-27T00:00:00-07:00,58.47109433015188 A
2017-12-28T00:00:00-07:00,57.94361821810404 A
2017-12-29T00:00:00-07:00,57.653027613957725 A
2017-12-30T00:00:00-07:00,52.13998327652613 A
2017-12-31T00:00:00-07:00,53.10691603024801 A
