Timestamp,['1cd5558b-e278d9ca 0026-COLLEGE OF SOCIAL WORK Power Meter Current C']
2017-06-26T00:00:00-06:00,80.59291534423828 A
2017-06-27T00:00:00-06:00,106.91162514686584 A
2017-06-28T00:00:00-06:00,98.52551710605621 A
2017-06-29T00:00:00-06:00,97.28421773513158 A
2017-06-30T00:00:00-06:00,97.40690863132477 A
2017-07-01T00:00:00-06:00,95.91382996241252 A
2017-07-02T00:00:00-06:00,98.43901634216309 A
2017-07-03T00:00:00-06:00,112.9152717590332 A
2017-07-04T00:00:00-06:00,107.12102631727855 A
2017-07-05T00:00:00-06:00,121.03000966707866 A
2017-07-06T00:00:00-06:00,139.030393520991 A
2017-07-07T00:00:00-06:00,123.8762309551239 A
2017-07-08T00:00:00-06:00,114.11263370513916 A
2017-07-09T00:00:00-06:00,107.99591914812724 A
2017-07-10T00:00:00-06:00,113.79515532652538 A
2017-07-11T00:00:00-06:00,114.62484836578369 A
2017-07-12T00:00:00-06:00,115.64351113637288 A
2017-07-13T00:00:00-06:00,114.31293161710103 A
2017-07-14T00:00:00-06:00,109.9740880727768 A
2017-07-15T00:00:00-06:00,108.43604060014088 A
2017-07-16T00:00:00-06:00,109.53177499771118 A
2017-07-17T00:00:00-06:00,115.76681301991145 A
2017-07-18T00:00:00-06:00,128.49437163273493 A
2017-07-19T00:00:00-06:00,120.11274196704228 A
2017-07-20T00:00:00-06:00,104.37102907896042 A
2017-07-21T00:00:00-06:00,113.07533399264018 A
2017-07-22T00:00:00-06:00,94.03490559260051 A
2017-07-23T00:00:00-06:00,96.17188342412312 A
2017-07-24T00:00:00-06:00,101.10326888163884 A
2017-07-25T00:00:00-06:00,103.46385443210602 A
2017-07-26T00:00:00-06:00,118.67680831750233 A
2017-07-27T00:00:00-06:00,106.91279411315918 A
2017-07-28T00:00:00-06:00,98.82072605689366 A
2017-07-29T00:00:00-06:00,95.31246354182561 A
2017-07-30T00:00:00-06:00,97.44420472780864 A
2017-07-31T00:00:00-06:00,116.33639512459438 A
2017-08-01T00:00:00-06:00,121.1740962266922 A
2017-08-02T00:00:00-06:00,118.21930847565334 A
2017-08-03T00:00:00-06:00,113.09126375118892 A
2017-08-04T00:00:00-06:00,104.37558633154565 A
2017-08-05T00:00:00-06:00,100.88125884532928 A
2017-08-06T00:00:00-06:00,96.854902724425 A
2017-08-07T00:00:00-06:00,90.65791914860408 A
2017-08-08T00:00:00-06:00,84.35195380449295 A
2017-08-09T00:00:00-06:00,85.81130933761597 A
2017-08-10T00:00:00-06:00,85.1600074565157 A
2017-08-11T00:00:00-06:00,87.47536321481068 A
2017-08-12T00:00:00-06:00,91.83295245965321 A
2017-08-13T00:00:00-06:00,85.70669408639272 A
2017-08-14T00:00:00-06:00,86.64961429437001 A
2017-08-15T00:00:00-06:00,82.27458582321803 A
2017-08-16T00:00:00-06:00,86.27092629671097 A
2017-08-17T00:00:00-06:00,88.00240806738536 A
2017-08-18T00:00:00-06:00,89.87305351098378 A
2017-08-19T00:00:00-06:00,79.87812685966492 A
2017-08-20T00:00:00-06:00,82.8738626440366 A
2017-08-21T00:00:00-06:00,107.8876404762268 A
2017-08-22T00:00:00-06:00,98.39487930138905 A
2017-08-23T00:00:00-06:00,95.71565435330074 A
2017-08-24T00:00:00-06:00,101.72356075048447 A
2017-08-25T00:00:00-06:00,104.26630397637685 A
2017-08-26T00:00:00-06:00,91.9071295062701 A
2017-08-27T00:00:00-06:00,83.37897235155106 A
2017-08-28T00:00:00-06:00,103.01356844280077 A
2017-08-29T00:00:00-06:00,107.78402508971512 A
2017-08-30T00:00:00-06:00,110.52047920227051 A
2017-08-31T00:00:00-06:00,98.80302713314693 A
2017-09-01T00:00:00-06:00,91.66859279076259 A
2017-09-02T00:00:00-06:00,76.32932217915852 A
2017-09-03T00:00:00-06:00,79.32877107461293 A
2017-09-04T00:00:00-06:00,81.48240361611049 A
2017-09-05T00:00:00-06:00,95.97932372490565 A
2017-09-06T00:00:00-06:00,94.0935966571172 A
2017-09-07T00:00:00-06:00,94.81628622611363 A
2017-09-08T00:00:00-06:00,42.674381510416666 A
2017-12-18T00:00:00-07:00,50.26879585845561 A
2017-12-19T00:00:00-07:00,48.552703162034355 A
2017-12-20T00:00:00-07:00,50.01845649878184 A
2017-12-21T00:00:00-07:00,49.97997669378916 A
2017-12-22T00:00:00-07:00,48.53990159432093 A
2017-12-23T00:00:00-07:00,43.35014204184214 A
2017-12-24T00:00:00-07:00,40.4003653327624 A
2017-12-25T00:00:00-07:00,39.44334256649017 A
2017-12-26T00:00:00-07:00,40.576979915301 A
2017-12-27T00:00:00-07:00,49.518960217634834 A
2017-12-28T00:00:00-07:00,48.889140188694 A
2017-12-29T00:00:00-07:00,48.65788722038269 A
2017-12-30T00:00:00-07:00,43.32373789946238 A
2017-12-31T00:00:00-07:00,43.2637787659963 A
