Timestamp,['1cd555a3-86c0fb9d 0026-COLLEGE OF SOCIAL WORK Power Meter Volts A-B']
2017-06-26T00:00:00-06:00,210.6836959838867 V
2017-06-27T00:00:00-06:00,210.37225278218588 V
2017-06-28T00:00:00-06:00,210.26252142588297 V
2017-06-29T00:00:00-06:00,210.4681822458903 V
2017-06-30T00:00:00-06:00,210.66338364283243 V
2017-07-01T00:00:00-06:00,210.38627354303995 V
2017-07-02T00:00:00-06:00,210.49074204762778 V
2017-07-03T00:00:00-06:00,210.18220980962118 V
2017-07-04T00:00:00-06:00,210.30871295928955 V
2017-07-05T00:00:00-06:00,210.2713189125061 V
2017-07-06T00:00:00-06:00,210.05939769744873 V
2017-07-07T00:00:00-06:00,210.34562842051187 V
2017-07-08T00:00:00-06:00,210.4458645184835 V
2017-07-09T00:00:00-06:00,210.26064586639404 V
2017-07-10T00:00:00-06:00,210.2516646385193 V
2017-07-11T00:00:00-06:00,210.36595074335733 V
2017-07-12T00:00:00-06:00,210.3495078086853 V
2017-07-13T00:00:00-06:00,210.33703215916952 V
2017-07-14T00:00:00-06:00,210.24664942423502 V
2017-07-15T00:00:00-06:00,210.25661865870157 V
2017-07-16T00:00:00-06:00,210.2859206199646 V
2017-07-17T00:00:00-06:00,210.2318073908488 V
2017-07-18T00:00:00-06:00,210.34248622258505 V
2017-07-19T00:00:00-06:00,210.19977553685507 V
2017-07-20T00:00:00-06:00,210.34355624516806 V
2017-07-21T00:00:00-06:00,210.26588424046835 V
2017-07-22T00:00:00-06:00,210.403151512146 V
2017-07-23T00:00:00-06:00,210.47608041763306 V
2017-07-24T00:00:00-06:00,210.28564961751303 V
2017-07-25T00:00:00-06:00,210.44995594024658 V
2017-07-26T00:00:00-06:00,210.09254630406699 V
2017-07-27T00:00:00-06:00,210.39456923802695 V
2017-07-28T00:00:00-06:00,210.37075440088907 V
2017-07-29T00:00:00-06:00,210.2974206606547 V
2017-07-30T00:00:00-06:00,210.43112754821777 V
2017-07-31T00:00:00-06:00,210.20661163330078 V
2017-08-01T00:00:00-06:00,210.24447695414224 V
2017-08-02T00:00:00-06:00,210.08872636159262 V
2017-08-03T00:00:00-06:00,210.34501934051514 V
2017-08-04T00:00:00-06:00,210.22662705641525 V
2017-08-05T00:00:00-06:00,210.36271874109903 V
2017-08-06T00:00:00-06:00,210.54306968053183 V
2017-08-07T00:00:00-06:00,210.41600147883096 V
2017-08-08T00:00:00-06:00,210.41409810384116 V
2017-08-09T00:00:00-06:00,210.515380859375 V
2017-08-10T00:00:00-06:00,210.57132298895652 V
2017-08-11T00:00:00-06:00,210.4868481953939 V
2017-08-12T00:00:00-06:00,210.58172543843588 V
2017-08-13T00:00:00-06:00,210.616530418396 V
2017-08-14T00:00:00-06:00,210.49638160069784 V
2017-08-15T00:00:00-06:00,210.62474075953165 V
2017-08-16T00:00:00-06:00,210.5175051689148 V
2017-08-17T00:00:00-06:00,210.56448602676392 V
2017-08-18T00:00:00-06:00,210.5441462198893 V
2017-08-19T00:00:00-06:00,210.52174615859985 V
2017-08-20T00:00:00-06:00,210.57187922795615 V
2017-08-21T00:00:00-06:00,210.3886218070984 V
2017-08-22T00:00:00-06:00,210.56691884994507 V
2017-08-23T00:00:00-06:00,210.56201012929282 V
2017-08-24T00:00:00-06:00,210.56324942906699 V
2017-08-25T00:00:00-06:00,210.39600086212158 V
2017-08-26T00:00:00-06:00,210.40855089823404 V
2017-08-27T00:00:00-06:00,210.413961092631 V
2017-08-28T00:00:00-06:00,210.48559868854025 V
2017-08-29T00:00:00-06:00,210.37434403614333 V
2017-08-30T00:00:00-06:00,210.34191020329794 V
2017-08-31T00:00:00-06:00,210.45019356409708 V
2017-09-01T00:00:00-06:00,210.60985279083252 V
2017-09-02T00:00:00-06:00,210.57807938257852 V
2017-09-03T00:00:00-06:00,210.7721389134725 V
2017-09-04T00:00:00-06:00,210.34538650512695 V
2017-09-05T00:00:00-06:00,210.57675186793008 V
2017-09-06T00:00:00-06:00,210.5054767926534 V
2017-09-07T00:00:00-06:00,210.36138423283896 V
2017-09-08T00:00:00-06:00,211.28091583251953 V
2017-12-18T00:00:00-07:00,211.04126807104183 V
2017-12-19T00:00:00-07:00,210.78768507639566 V
2017-12-20T00:00:00-07:00,211.02125279108682 V
2017-12-21T00:00:00-07:00,210.7687865893046 V
2017-12-22T00:00:00-07:00,210.85069529215494 V
2017-12-23T00:00:00-07:00,210.80681689580283 V
2017-12-24T00:00:00-07:00,210.8367131551107 V
2017-12-25T00:00:00-07:00,211.0752708117167 V
2017-12-26T00:00:00-07:00,211.10229110717773 V
2017-12-27T00:00:00-07:00,210.54698657989502 V
2017-12-28T00:00:00-07:00,211.03574577967325 V
2017-12-29T00:00:00-07:00,210.77896165847778 V
2017-12-30T00:00:00-07:00,210.74966732660928 V
2017-12-31T00:00:00-07:00,210.63692410786948 V
