Timestamp,['1cd555ad-c0d09481 0026-COLLEGE OF SOCIAL WORK Power Meter Volts B-C']
2017-06-26T00:00:00-06:00,210.80681610107422 V
2017-06-27T00:00:00-06:00,210.46104939778647 V
2017-06-28T00:00:00-06:00,210.33542585372925 V
2017-06-29T00:00:00-06:00,210.57915337880453 V
2017-06-30T00:00:00-06:00,210.777233282725 V
2017-07-01T00:00:00-06:00,210.48329416910806 V
2017-07-02T00:00:00-06:00,210.5353390375773 V
2017-07-03T00:00:00-06:00,210.271737575531 V
2017-07-04T00:00:00-06:00,210.31163692474365 V
2017-07-05T00:00:00-06:00,210.32215690612793 V
2017-07-06T00:00:00-06:00,210.09463357925415 V
2017-07-07T00:00:00-06:00,210.3670827547709 V
2017-07-08T00:00:00-06:00,210.43384567896524 V
2017-07-09T00:00:00-06:00,210.23020521799722 V
2017-07-10T00:00:00-06:00,210.24930143356323 V
2017-07-11T00:00:00-06:00,210.36073048909506 V
2017-07-12T00:00:00-06:00,210.37076218922934 V
2017-07-13T00:00:00-06:00,210.3523826599121 V
2017-07-14T00:00:00-06:00,210.25951989491782 V
2017-07-15T00:00:00-06:00,210.216374874115 V
2017-07-16T00:00:00-06:00,210.2299567858378 V
2017-07-17T00:00:00-06:00,210.24749914805093 V
2017-07-18T00:00:00-06:00,210.39632097880045 V
2017-07-19T00:00:00-06:00,210.2382985750834 V
2017-07-20T00:00:00-06:00,210.37467781702676 V
2017-07-21T00:00:00-06:00,210.3246086438497 V
2017-07-22T00:00:00-06:00,210.43438736597696 V
2017-07-23T00:00:00-06:00,210.49880361557007 V
2017-07-24T00:00:00-06:00,210.29941590627035 V
2017-07-25T00:00:00-06:00,210.50071938832602 V
2017-07-26T00:00:00-06:00,210.2471251487732 V
2017-07-27T00:00:00-06:00,210.51150544484457 V
2017-07-28T00:00:00-06:00,210.45240434010825 V
2017-07-29T00:00:00-06:00,210.34944613774618 V
2017-07-30T00:00:00-06:00,210.4531733194987 V
2017-07-31T00:00:00-06:00,210.26933272679648 V
2017-08-01T00:00:00-06:00,210.3114593823751 V
2017-08-02T00:00:00-06:00,210.19590377807617 V
2017-08-03T00:00:00-06:00,210.49310143788657 V
2017-08-04T00:00:00-06:00,210.36642388983088 V
2017-08-05T00:00:00-06:00,210.46026372909546 V
2017-08-06T00:00:00-06:00,210.63151439030966 V
2017-08-07T00:00:00-06:00,210.54117886225382 V
2017-08-08T00:00:00-06:00,210.54929447174072 V
2017-08-09T00:00:00-06:00,210.628311475118 V
2017-08-10T00:00:00-06:00,210.71372320296916 V
2017-08-11T00:00:00-06:00,210.65307744344076 V
2017-08-12T00:00:00-06:00,210.64557107289633 V
2017-08-13T00:00:00-06:00,210.6615915298462 V
2017-08-14T00:00:00-06:00,210.63984139760336 V
2017-08-15T00:00:00-06:00,210.775177637736 V
2017-08-16T00:00:00-06:00,210.67568842569986 V
2017-08-17T00:00:00-06:00,210.69300842285156 V
2017-08-18T00:00:00-06:00,210.66702461242676 V
2017-08-19T00:00:00-06:00,210.62992827097574 V
2017-08-20T00:00:00-06:00,210.67270135879517 V
2017-08-21T00:00:00-06:00,210.521768728892 V
2017-08-22T00:00:00-06:00,210.70976893107095 V
2017-08-23T00:00:00-06:00,210.69395128885904 V
2017-08-24T00:00:00-06:00,210.69193394978842 V
2017-08-25T00:00:00-06:00,210.4971481959025 V
2017-08-26T00:00:00-06:00,210.5238939921061 V
2017-08-27T00:00:00-06:00,210.53080034255981 V
2017-08-28T00:00:00-06:00,210.6420307988706 V
2017-08-29T00:00:00-06:00,210.555422875189 V
2017-08-30T00:00:00-06:00,210.43186807632446 V
2017-08-31T00:00:00-06:00,210.58028729756674 V
2017-09-01T00:00:00-06:00,210.7321278254191 V
2017-09-02T00:00:00-06:00,210.67744811375937 V
2017-09-03T00:00:00-06:00,210.83672634760538 V
2017-09-04T00:00:00-06:00,210.43506813049316 V
2017-09-05T00:00:00-06:00,210.6935273806254 V
2017-09-06T00:00:00-06:00,210.5994963645935 V
2017-09-07T00:00:00-06:00,210.5010732014974 V
2017-09-08T00:00:00-06:00,211.39674682617186 V
2017-12-18T00:00:00-07:00,211.28993147837966 V
2017-12-19T00:00:00-07:00,211.0306839942932 V
2017-12-20T00:00:00-07:00,211.25628646214804 V
2017-12-21T00:00:00-07:00,210.9874947865804 V
2017-12-22T00:00:00-07:00,211.09672594070435 V
2017-12-23T00:00:00-07:00,211.06108363469443 V
2017-12-24T00:00:00-07:00,211.12779808044434 V
2017-12-25T00:00:00-07:00,211.3368771870931 V
2017-12-26T00:00:00-07:00,211.37297932306925 V
2017-12-27T00:00:00-07:00,210.82956059773764 V
2017-12-28T00:00:00-07:00,211.33400869369507 V
2017-12-29T00:00:00-07:00,211.06542905171713 V
2017-12-30T00:00:00-07:00,210.95829153060913 V
2017-12-31T00:00:00-07:00,210.85287952423096 V
