Timestamp,['1cd555b1-6fd015dc 0026-COLLEGE OF SOCIAL WORK Power Meter Volts B-N']
2017-06-26T00:00:00-06:00,121.75708694458008 V
2017-06-27T00:00:00-06:00,121.55269861221313 V
2017-06-28T00:00:00-06:00,121.48842000961304 V
2017-06-29T00:00:00-06:00,121.62499245007832 V
2017-06-30T00:00:00-06:00,121.73089830080669 V
2017-07-01T00:00:00-06:00,121.53630177179973 V
2017-07-02T00:00:00-06:00,121.58837779362996 V
2017-07-03T00:00:00-06:00,121.44669326146443 V
2017-07-04T00:00:00-06:00,121.47646562258403 V
2017-07-05T00:00:00-06:00,121.47939880688985 V
2017-07-06T00:00:00-06:00,121.33886035283406 V
2017-07-07T00:00:00-06:00,121.48305265108745 V
2017-07-08T00:00:00-06:00,121.51772705713908 V
2017-07-09T00:00:00-06:00,121.4196134408315 V
2017-07-10T00:00:00-06:00,121.4300844669342 V
2017-07-11T00:00:00-06:00,121.49926789601643 V
2017-07-12T00:00:00-06:00,121.4992786248525 V
2017-07-13T00:00:00-06:00,121.48635800679524 V
2017-07-14T00:00:00-06:00,121.42207217216492 V
2017-07-15T00:00:00-06:00,121.40066409111023 V
2017-07-16T00:00:00-06:00,121.40720065434773 V
2017-07-17T00:00:00-06:00,121.41803971926372 V
2017-07-18T00:00:00-06:00,121.48565745353699 V
2017-07-19T00:00:00-06:00,121.40463900566101 V
2017-07-20T00:00:00-06:00,121.49223295847575 V
2017-07-21T00:00:00-06:00,121.43341970443726 V
2017-07-22T00:00:00-06:00,121.48855193456014 V
2017-07-23T00:00:00-06:00,121.53563054402669 V
2017-07-24T00:00:00-06:00,121.44178652763367 V
2017-07-25T00:00:00-06:00,121.5582648118337 V
2017-07-26T00:00:00-06:00,121.39076248804729 V
2017-07-27T00:00:00-06:00,121.57183988889058 V
2017-07-28T00:00:00-06:00,121.51920668284099 V
2017-07-29T00:00:00-06:00,121.44650753339131 V
2017-07-30T00:00:00-06:00,121.51598517100017 V
2017-07-31T00:00:00-06:00,121.44563404719035 V
2017-08-01T00:00:00-06:00,121.47046653429668 V
2017-08-02T00:00:00-06:00,121.38950562477112 V
2017-08-03T00:00:00-06:00,121.51441629727681 V
2017-08-04T00:00:00-06:00,121.44740630768158 V
2017-08-05T00:00:00-06:00,121.51758432388306 V
2017-08-06T00:00:00-06:00,121.63116296132405 V
2017-08-07T00:00:00-06:00,121.5746279557546 V
2017-08-08T00:00:00-06:00,121.5606156984965 V
2017-08-09T00:00:00-06:00,121.61119858423869 V
2017-08-10T00:00:00-06:00,121.65620414246904 V
2017-08-11T00:00:00-06:00,121.6233073870341 V
2017-08-12T00:00:00-06:00,121.6317679087321 V
2017-08-13T00:00:00-06:00,121.65551996231079 V
2017-08-14T00:00:00-06:00,121.63189792633057 V
2017-08-15T00:00:00-06:00,121.69962827364604 V
2017-08-16T00:00:00-06:00,121.62554931640625 V
2017-08-17T00:00:00-06:00,121.65418402353923 V
2017-08-18T00:00:00-06:00,121.63382291793823 V
2017-08-19T00:00:00-06:00,121.6195867061615 V
2017-08-20T00:00:00-06:00,121.6380643049876 V
2017-08-21T00:00:00-06:00,121.55989678700765 V
2017-08-22T00:00:00-06:00,121.67701133092244 V
2017-08-23T00:00:00-06:00,121.67549737294515 V
2017-08-24T00:00:00-06:00,121.68467267354329 V
2017-08-25T00:00:00-06:00,121.56801986694336 V
2017-08-26T00:00:00-06:00,121.56940937042236 V
2017-08-27T00:00:00-06:00,121.55262756347656 V
2017-08-28T00:00:00-06:00,121.62613512122113 V
2017-08-29T00:00:00-06:00,121.559324695218 V
2017-08-30T00:00:00-06:00,121.52312596638997 V
2017-08-31T00:00:00-06:00,121.59960087140401 V
2017-09-01T00:00:00-06:00,121.68491633733113 V
2017-09-02T00:00:00-06:00,121.64002021153767 V
2017-09-03T00:00:00-06:00,121.73359926541646 V
2017-09-04T00:00:00-06:00,121.52207454045613 V
2017-09-05T00:00:00-06:00,121.66997496287028 V
2017-09-06T00:00:00-06:00,121.62213079134624 V
2017-09-07T00:00:00-06:00,121.55996259053548 V
2017-09-08T00:00:00-06:00,122.10303522745768 V
2017-12-18T00:00:00-07:00,122.00928323480147 V
2017-12-19T00:00:00-07:00,121.8517468770345 V
2017-12-20T00:00:00-07:00,121.97019584973653 V
2017-12-21T00:00:00-07:00,121.79728587468465 V
2017-12-22T00:00:00-07:00,121.84386150042216 V
2017-12-23T00:00:00-07:00,121.81654318173726 V
2017-12-24T00:00:00-07:00,121.86342771848042 V
2017-12-25T00:00:00-07:00,121.97905103365581 V
2017-12-26T00:00:00-07:00,121.99856845537822 V
2017-12-27T00:00:00-07:00,121.68982609113057 V
2017-12-28T00:00:00-07:00,121.97142903010051 V
2017-12-29T00:00:00-07:00,121.81420842806499 V
2017-12-30T00:00:00-07:00,121.78230500221252 V
2017-12-31T00:00:00-07:00,121.72371093432109 V
