Timestamp,['1cd555b5-981a0a46 0026-COLLEGE OF SOCIAL WORK Power Meter Volts C-A']
2017-06-26T00:00:00-06:00,210.61124725341796 V
2017-06-27T00:00:00-06:00,210.30078426996866 V
2017-06-28T00:00:00-06:00,210.16976054509482 V
2017-06-29T00:00:00-06:00,210.38392718633017 V
2017-06-30T00:00:00-06:00,210.60182650883993 V
2017-07-01T00:00:00-06:00,210.36893796920776 V
2017-07-02T00:00:00-06:00,210.4161540667216 V
2017-07-03T00:00:00-06:00,210.1000712712606 V
2017-07-04T00:00:00-06:00,210.21743504206339 V
2017-07-05T00:00:00-06:00,210.18237479527792 V
2017-07-06T00:00:00-06:00,209.9909152984619 V
2017-07-07T00:00:00-06:00,210.29397567113242 V
2017-07-08T00:00:00-06:00,210.39754740397134 V
2017-07-09T00:00:00-06:00,210.19663047790527 V
2017-07-10T00:00:00-06:00,210.18362871805826 V
2017-07-11T00:00:00-06:00,210.27757342656454 V
2017-07-12T00:00:00-06:00,210.2817463874817 V
2017-07-13T00:00:00-06:00,210.26814953486124 V
2017-07-14T00:00:00-06:00,210.19798533121744 V
2017-07-15T00:00:00-06:00,210.20922946929932 V
2017-07-16T00:00:00-06:00,210.2315354347229 V
2017-07-17T00:00:00-06:00,210.18096367518106 V
2017-07-18T00:00:00-06:00,210.32120529810587 V
2017-07-19T00:00:00-06:00,210.15709034601846 V
2017-07-20T00:00:00-06:00,210.28635009129843 V
2017-07-21T00:00:00-06:00,210.25570344924927 V
2017-07-22T00:00:00-06:00,210.40188852945963 V
2017-07-23T00:00:00-06:00,210.47158495585123 V
2017-07-24T00:00:00-06:00,210.2604300181071 V
2017-07-25T00:00:00-06:00,210.40845584869385 V
2017-07-26T00:00:00-06:00,210.0868844985962 V
2017-07-27T00:00:00-06:00,210.3380970954895 V
2017-07-28T00:00:00-06:00,210.34725681940714 V
2017-07-29T00:00:00-06:00,210.29522323608398 V
2017-07-30T00:00:00-06:00,210.41120624542236 V
2017-07-31T00:00:00-06:00,210.1376748085022 V
2017-08-01T00:00:00-06:00,210.16634289423624 V
2017-08-02T00:00:00-06:00,210.04123067855835 V
2017-08-03T00:00:00-06:00,210.36862262090048 V
2017-08-04T00:00:00-06:00,210.24085227211754 V
2017-08-05T00:00:00-06:00,210.34981997807822 V
2017-08-06T00:00:00-06:00,210.49732478459677 V
2017-08-07T00:00:00-06:00,210.388831615448 V
2017-08-08T00:00:00-06:00,210.4043688774109 V
2017-08-09T00:00:00-06:00,210.5011763572693 V
2017-08-10T00:00:00-06:00,210.56510746732673 V
2017-08-11T00:00:00-06:00,210.49174388249716 V
2017-08-12T00:00:00-06:00,210.5621019999186 V
2017-08-13T00:00:00-06:00,210.5610237121582 V
2017-08-14T00:00:00-06:00,210.46023654937744 V
2017-08-15T00:00:00-06:00,210.61322164535522 V
2017-08-16T00:00:00-06:00,210.532745997111 V
2017-08-17T00:00:00-06:00,210.55667320887247 V
2017-08-18T00:00:00-06:00,210.54063924153647 V
2017-08-19T00:00:00-06:00,210.50554418563843 V
2017-08-20T00:00:00-06:00,210.5657900174459 V
2017-08-21T00:00:00-06:00,210.36005083719888 V
2017-08-22T00:00:00-06:00,210.52331193288168 V
2017-08-23T00:00:00-06:00,210.51141341527304 V
2017-08-24T00:00:00-06:00,210.48582887649536 V
2017-08-25T00:00:00-06:00,210.33357318242392 V
2017-08-26T00:00:00-06:00,210.37088553110758 V
2017-08-27T00:00:00-06:00,210.40636746088663 V
2017-08-28T00:00:00-06:00,210.45502438752547 V
2017-08-29T00:00:00-06:00,210.37853544501849 V
2017-08-30T00:00:00-06:00,210.291366259257 V
2017-08-31T00:00:00-06:00,210.41894054412842 V
2017-09-01T00:00:00-06:00,210.57987276713052 V
2017-09-02T00:00:00-06:00,210.56982326507568 V
2017-09-03T00:00:00-06:00,210.75081411997476 V
2017-09-04T00:00:00-06:00,210.3001766204834 V
2017-09-05T00:00:00-06:00,210.53128910064697 V
2017-09-06T00:00:00-06:00,210.45307540893555 V
2017-09-07T00:00:00-06:00,210.31618626912436 V
2017-09-08T00:00:00-06:00,211.18824259440103 V
2017-12-18T00:00:00-07:00,211.0036723462841 V
2017-12-19T00:00:00-07:00,210.76327323913574 V
2017-12-20T00:00:00-07:00,211.02430375417075 V
2017-12-21T00:00:00-07:00,210.79519128799438 V
2017-12-22T00:00:00-07:00,210.9103102684021 V
2017-12-23T00:00:00-07:00,210.87163496017456 V
2017-12-24T00:00:00-07:00,210.89241154988608 V
2017-12-25T00:00:00-07:00,211.13876612981161 V
2017-12-26T00:00:00-07:00,211.1704241434733 V
2017-12-27T00:00:00-07:00,210.60953776041666 V
2017-12-28T00:00:00-07:00,211.10734208424887 V
2017-12-29T00:00:00-07:00,210.8586549758911 V
2017-12-30T00:00:00-07:00,210.77662467956543 V
2017-12-31T00:00:00-07:00,210.65886418024698 V
