Timestamp,['1cd555c4-edde8e4f 0026-COLLEGE OF SOCIAL WORK Power Meter KWH Received']
2017-01-01T00:00:00-07:00,311.3125 kWh
2017-01-02T00:00:00-07:00,333.3125 kWh
2017-01-03T00:00:00-07:00,395.9375 kWh
2017-01-04T00:00:00-07:00,391.5625 kWh
2017-01-05T00:00:00-07:00,398.75 kWh
2017-01-06T00:00:00-07:00,358.625 kWh
2017-01-07T00:00:00-07:00,333.0625 kWh
2017-01-08T00:00:00-07:00,291.25 kWh
2017-01-09T00:00:00-07:00,419.75 kWh
2017-01-10T00:00:00-07:00,412.0625 kWh
2017-01-11T00:00:00-07:00,426.3125 kWh
2017-01-12T00:00:00-07:00,430.3125 kWh
2017-01-13T00:00:00-07:00,404.3125 kWh
2017-01-14T00:00:00-07:00,293.375 kWh
2017-01-15T00:00:00-07:00,284.5 kWh
2017-01-16T00:00:00-07:00,330.125 kWh
2017-01-17T00:00:00-07:00,447.6875 kWh
2017-01-18T00:00:00-07:00,483.8125 kWh
2017-01-19T00:00:00-07:00,465.25 kWh
2017-01-20T00:00:00-07:00,7782.1875 kWh
2017-02-08T00:00:00-07:00,209.5 kWh
2017-02-09T00:00:00-07:00,531.8125 kWh
2017-02-10T00:00:00-07:00,483 kWh
2017-02-11T00:00:00-07:00,328.8125 kWh
2017-02-12T00:00:00-07:00,333.125 kWh
2017-02-13T00:00:00-07:00,408.3125 kWh
2017-02-14T00:00:00-07:00,356.8125 kWh
2017-02-15T00:00:00-07:00,449.25 kWh
2017-02-16T00:00:00-07:00,508.875 kWh
2017-02-17T00:00:00-07:00,420.8125 kWh
2017-02-18T00:00:00-07:00,391.75 kWh
2017-02-19T00:00:00-07:00,293.875 kWh
2017-02-20T00:00:00-07:00,343.625 kWh
2017-02-21T00:00:00-07:00,475.9375 kWh
2017-02-22T00:00:00-07:00,417.75 kWh
2017-02-23T00:00:00-07:00,440.3125 kWh
2017-02-24T00:00:00-07:00,405.6875 kWh
2017-02-25T00:00:00-07:00,333.625 kWh
2017-02-26T00:00:00-07:00,297.875 kWh
2017-02-27T00:00:00-07:00,413.125 kWh
2017-02-28T00:00:00-07:00,393.9375 kWh
2017-03-01T00:00:00-07:00,407.625 kWh
2017-03-02T00:00:00-07:00,434.5 kWh
2017-03-03T00:00:00-07:00,409.3125 kWh
2017-03-04T00:00:00-07:00,349.125 kWh
2017-03-05T00:00:00-07:00,346.1875 kWh
2017-03-06T00:00:00-07:00,381.0625 kWh
2017-03-07T00:00:00-07:00,413.75 kWh
2017-03-08T00:00:00-07:00,430.75 kWh
2017-03-09T00:00:00-07:00,484 kWh
2017-03-10T00:00:00-07:00,489.5 kWh
2017-03-11T00:00:00-07:00,408.1875 kWh
2017-03-12T00:00:00-07:00,448.5 kWh
2017-03-13T00:00:00-06:00,506.625 kWh
2017-03-14T00:00:00-06:00,456.375 kWh
2017-03-15T00:00:00-06:00,507.125 kWh
2017-03-16T00:00:00-06:00,490.9375 kWh
2017-03-17T00:00:00-06:00,460.5 kWh
2017-03-18T00:00:00-06:00,442.1875 kWh
2017-03-19T00:00:00-06:00,387.5 kWh
2017-03-20T00:00:00-06:00,22333.875 kWh
2017-05-08T00:00:00-06:00,217.9375 kWh
2017-05-09T00:00:00-06:00,483.375 kWh
2017-05-10T00:00:00-06:00,488 kWh
2017-05-11T00:00:00-06:00,534.125 kWh
2017-05-12T00:00:00-06:00,546 kWh
2017-05-13T00:00:00-06:00,313.375 kWh
2017-05-14T00:00:00-06:00,335.1875 kWh
2017-05-15T00:00:00-06:00,507.0625 kWh
2017-05-16T00:00:00-06:00,464.0625 kWh
2017-05-17T00:00:00-06:00,400.3125 kWh
2017-05-18T00:00:00-06:00,370.75 kWh
2017-05-19T00:00:00-06:00,360.9375 kWh
2017-05-20T00:00:00-06:00,383.5 kWh
2017-05-21T00:00:00-06:00,357.9375 kWh
2017-05-22T00:00:00-06:00,509.5625 kWh
2017-05-23T00:00:00-06:00,562.1875 kWh
2017-05-24T00:00:00-06:00,601.625 kWh
2017-05-25T00:00:00-06:00,503.875 kWh
2017-05-26T00:00:00-06:00,430.5625 kWh
2017-05-27T00:00:00-06:00,399.6875 kWh
2017-05-28T00:00:00-06:00,461.375 kWh
2017-05-29T00:00:00-06:00,491.0625 kWh
2017-05-30T00:00:00-06:00,612.5625 kWh
2017-05-31T00:00:00-06:00,642.6875 kWh
2017-06-01T00:00:00-06:00,582.125 kWh
2017-06-02T00:00:00-06:00,547.125 kWh
2017-06-03T00:00:00-06:00,582.4375 kWh
2017-06-04T00:00:00-06:00,567 kWh
2017-06-05T00:00:00-06:00,606.375 kWh
2017-06-06T00:00:00-06:00,643.5 kWh
2017-06-07T00:00:00-06:00,689.5625 kWh
2017-06-08T00:00:00-06:00,673.25 kWh
2017-06-09T00:00:00-06:00,559.625 kWh
2017-06-10T00:00:00-06:00,491.6875 kWh
2017-06-11T00:00:00-06:00,498.625 kWh
2017-06-12T00:00:00-06:00,483.5625 kWh
2017-06-13T00:00:00-06:00,447.625 kWh
2017-06-14T00:00:00-06:00,516 kWh
2017-06-15T00:00:00-06:00,578.6875 kWh
2017-06-16T00:00:00-06:00,560.75 kWh
2017-06-17T00:00:00-06:00,452.125 kWh
2017-06-18T00:00:00-06:00,492.125 kWh
2017-06-19T00:00:00-06:00,589.625 kWh
2017-06-20T00:00:00-06:00,699.125 kWh
2017-06-21T00:00:00-06:00,723.375 kWh
2017-06-22T00:00:00-06:00,677.375 kWh
2017-06-23T00:00:00-06:00,760.9375 kWh
2017-06-24T00:00:00-06:00,721.375 kWh
2017-06-25T00:00:00-06:00,774.5 kWh
2017-06-26T00:00:00-06:00,938.5625 kWh
2017-06-27T00:00:00-06:00,823.5 kWh
2017-06-28T00:00:00-06:00,765.5 kWh
2017-06-29T00:00:00-06:00,717.375 kWh
2017-06-30T00:00:00-06:00,741.375 kWh
2017-07-01T00:00:00-06:00,786.6875 kWh
