Timestamp,['1cd555f2-ffe825f9 0026-COLLEGE OF SOCIAL WORK Power Meter KW Total']
2017-01-01T00:00:00-07:00,18.522140502929688 kW
2017-01-02T00:00:00-07:00,18.602413177490234 kW
2017-01-03T00:00:00-07:00,25.264629364013672 kW
2017-01-04T00:00:00-07:00,24.971969604492188 kW
2017-01-05T00:00:00-07:00,25.405250549316406 kW
2017-01-06T00:00:00-07:00,37.03437423706055 kW
2017-01-07T00:00:00-07:00,19.71555519104004 kW
2017-01-08T00:00:00-07:00,19.959487915039062 kW
2017-01-09T00:00:00-07:00,39.757259368896484 kW
2017-01-10T00:00:00-07:00,40.433040618896484 kW
2017-01-11T00:00:00-07:00,31.69388198852539 kW
2017-01-12T00:00:00-07:00,33.30567169189453 kW
2017-01-13T00:00:00-07:00,28.933059692382812 kW
2017-01-14T00:00:00-07:00,18.82379722595215 kW
2017-01-15T00:00:00-07:00,24.359331130981445 kW
2017-01-16T00:00:00-07:00,21.548328399658203 kW
2017-01-17T00:00:00-07:00,30.974552154541016 kW
2017-01-18T00:00:00-07:00,36.92966079711914 kW
2017-01-19T00:00:00-07:00,31.321624755859375 kW
2017-01-20T00:00:00-07:00,22.74647331237793 kW
2017-02-08T00:00:00-07:00,36.796485900878906 kW
2017-02-09T00:00:00-07:00,42.06406021118164 kW
2017-02-10T00:00:00-07:00,43.383548736572266 kW
2017-02-11T00:00:00-07:00,21.49437141418457 kW
2017-02-12T00:00:00-07:00,22.694536209106445 kW
2017-02-13T00:00:00-07:00,30.233654022216797 kW
2017-02-14T00:00:00-07:00,35.55140686035156 kW
2017-02-15T00:00:00-07:00,44.6524658203125 kW
2017-02-16T00:00:00-07:00,45.86941909790039 kW
2017-02-17T00:00:00-07:00,38.036163330078125 kW
2017-02-18T00:00:00-07:00,32.094783782958984 kW
2017-02-19T00:00:00-07:00,20.031681060791016 kW
2017-02-20T00:00:00-07:00,36.034515380859375 kW
2017-02-21T00:00:00-07:00,42.71676254272461 kW
2017-02-22T00:00:00-07:00,28.565452575683594 kW
2017-02-23T00:00:00-07:00,30.03258514404297 kW
2017-02-24T00:00:00-07:00,27.822738647460938 kW
2017-02-25T00:00:00-07:00,20.811283111572266 kW
2017-02-26T00:00:00-07:00,18.305387496948242 kW
2017-02-27T00:00:00-07:00,39.15660095214844 kW
2017-02-28T00:00:00-07:00,29.080610275268555 kW
2017-03-01T00:00:00-07:00,31.209617614746094 kW
2017-03-02T00:00:00-07:00,37.300994873046875 kW
2017-03-03T00:00:00-07:00,46.48423767089844 kW
2017-03-04T00:00:00-07:00,31.518850326538086 kW
2017-03-05T00:00:00-07:00,30.789257049560547 kW
2017-03-06T00:00:00-07:00,28.085500717163086 kW
2017-03-07T00:00:00-07:00,29.743925094604492 kW
2017-03-08T00:00:00-07:00,45.6703987121582 kW
2017-03-09T00:00:00-07:00,46.16396713256836 kW
2017-03-10T00:00:00-07:00,45.80556106567383 kW
2017-03-11T00:00:00-07:00,45.90388107299805 kW
2017-03-12T00:00:00-07:00,33.005184173583984 kW
2017-03-13T00:00:00-06:00,38.340240478515625 kW
2017-03-14T00:00:00-06:00,43.913875579833984 kW
2017-03-15T00:00:00-06:00,47.94515609741211 kW
2017-03-16T00:00:00-06:00,39.359554290771484 kW
2017-03-17T00:00:00-06:00,35.8032341003418 kW
2017-03-18T00:00:00-06:00,37.14348602294922 kW
2017-03-19T00:00:00-06:00,30.49566078186035 kW
2017-03-20T00:00:00-06:00,47.572418212890625 kW
2017-05-08T00:00:00-06:00,47.568565368652344 kW
2017-05-09T00:00:00-06:00,44.76853942871094 kW
2017-05-10T00:00:00-06:00,43.84672164916992 kW
2017-05-11T00:00:00-06:00,45.33003234863281 kW
2017-05-12T00:00:00-06:00,43.816837310791016 kW
2017-05-13T00:00:00-06:00,31.522315979003906 kW
2017-05-14T00:00:00-06:00,29.06398582458496 kW
2017-05-15T00:00:00-06:00,46.23584747314453 kW
2017-05-16T00:00:00-06:00,40.20296096801758 kW
2017-05-17T00:00:00-06:00,29.011917114257812 kW
2017-05-18T00:00:00-06:00,39.72658920288086 kW
2017-05-19T00:00:00-06:00,33.71215057373047 kW
2017-05-20T00:00:00-06:00,32.663143157958984 kW
2017-05-21T00:00:00-06:00,33.84839630126953 kW
2017-05-22T00:00:00-06:00,48.544891357421875 kW
2017-05-23T00:00:00-06:00,52.748870849609375 kW
2017-05-24T00:00:00-06:00,48.236637115478516 kW
2017-05-25T00:00:00-06:00,47.177364349365234 kW
2017-05-26T00:00:00-06:00,39.42668533325195 kW
2017-05-27T00:00:00-06:00,39.79092788696289 kW
2017-05-28T00:00:00-06:00,39.643680572509766 kW
2017-05-29T00:00:00-06:00,39.929691314697266 kW
2017-05-30T00:00:00-06:00,49.3527717590332 kW
2017-05-31T00:00:00-06:00,49.550106048583984 kW
2017-06-01T00:00:00-06:00,54.661643981933594 kW
2017-06-02T00:00:00-06:00,45.914764404296875 kW
2017-06-03T00:00:00-06:00,50.26432800292969 kW
2017-06-04T00:00:00-06:00,44.672386169433594 kW
2017-06-05T00:00:00-06:00,48.09010314941406 kW
2017-06-06T00:00:00-06:00,50.19334030151367 kW
2017-06-07T00:00:00-06:00,50.84098434448242 kW
2017-06-08T00:00:00-06:00,51.681400299072266 kW
2017-06-09T00:00:00-06:00,50.88801193237305 kW
2017-06-10T00:00:00-06:00,42.726531982421875 kW
2017-06-11T00:00:00-06:00,42.75440979003906 kW
2017-06-12T00:00:00-06:00,40.67005920410156 kW
2017-06-13T00:00:00-06:00,38.88271713256836 kW
2017-06-14T00:00:00-06:00,45.255516052246094 kW
2017-06-15T00:00:00-06:00,50.11899185180664 kW
2017-06-16T00:00:00-06:00,43.94563293457031 kW
2017-06-17T00:00:00-06:00,42.54167175292969 kW
2017-06-18T00:00:00-06:00,46.267127990722656 kW
2017-06-19T00:00:00-06:00,46.66883850097656 kW
2017-06-20T00:00:00-06:00,53.761817932128906 kW
2017-06-21T00:00:00-06:00,55.25629425048828 kW
2017-06-22T00:00:00-06:00,52.42133712768555 kW
2017-06-23T00:00:00-06:00,50.865840911865234 kW
2017-06-24T00:00:00-06:00,44.899131774902344 kW
2017-06-25T00:00:00-06:00,46.51143264770508 kW
2017-06-26T00:00:00-06:00,56.00471115112305 kW
2017-06-27T00:00:00-06:00,51.03221893310547 kW
2017-06-28T00:00:00-06:00,50.609161376953125 kW
2017-06-29T00:00:00-06:00,47.9190559387207 kW
2017-06-30T00:00:00-06:00,52.167415618896484 kW
2017-07-01T00:00:00-06:00,51.904937744140625 kW
2017-07-02T00:00:00-06:00,44.86879348754883 kW
2017-07-03T00:00:00-06:00,49.31132125854492 kW
2017-07-04T00:00:00-06:00,48.25429916381836 kW
2017-07-05T00:00:00-06:00,57.286441802978516 kW
2017-07-06T00:00:00-06:00,68.50647735595703 kW
2017-07-07T00:00:00-06:00,55.24094009399414 kW
2017-07-08T00:00:00-06:00,50.41095733642578 kW
2017-07-09T00:00:00-06:00,54.74899673461914 kW
2017-07-10T00:00:00-06:00,52.437355041503906 kW
2017-07-11T00:00:00-06:00,52.59311294555664 kW
2017-07-12T00:00:00-06:00,54.90199279785156 kW
2017-07-13T00:00:00-06:00,54.197052001953125 kW
2017-07-14T00:00:00-06:00,51.4688835144043 kW
2017-07-15T00:00:00-06:00,49.768943786621094 kW
2017-07-16T00:00:00-06:00,47.90131759643555 kW
2017-07-17T00:00:00-06:00,57.77830123901367 kW
2017-07-18T00:00:00-06:00,68.34954833984375 kW
2017-07-19T00:00:00-06:00,56.3470458984375 kW
2017-07-20T00:00:00-06:00,52.779205322265625 kW
2017-07-21T00:00:00-06:00,51.58140182495117 kW
2017-07-22T00:00:00-06:00,46.73356628417969 kW
2017-07-23T00:00:00-06:00,46.645694732666016 kW
2017-07-24T00:00:00-06:00,48.01972198486328 kW
2017-07-25T00:00:00-06:00,53.66165542602539 kW
2017-07-26T00:00:00-06:00,57.662872314453125 kW
2017-07-27T00:00:00-06:00,54.481605529785156 kW
2017-07-28T00:00:00-06:00,47.12045669555664 kW
2017-07-29T00:00:00-06:00,45.818702697753906 kW
2017-07-30T00:00:00-06:00,46.791351318359375 kW
2017-07-31T00:00:00-06:00,54.7322883605957 kW
2017-08-01T00:00:00-06:00,57.26347351074219 kW
2017-08-02T00:00:00-06:00,52.61793899536133 kW
2017-08-03T00:00:00-06:00,58.385887145996094 kW
2017-08-04T00:00:00-06:00,48.98167419433594 kW
2017-08-05T00:00:00-06:00,46.10176467895508 kW
2017-08-06T00:00:00-06:00,46.549781799316406 kW
2017-08-07T00:00:00-06:00,53.74213790893555 kW
2017-08-08T00:00:00-06:00,45.788848876953125 kW
2017-08-09T00:00:00-06:00,58.88794708251953 kW
2017-08-10T00:00:00-06:00,48.9573860168457 kW
2017-08-11T00:00:00-06:00,49.78695297241211 kW
2017-08-12T00:00:00-06:00,51.81610870361328 kW
2017-08-13T00:00:00-06:00,47.47669982910156 kW
2017-08-14T00:00:00-06:00,49.739524841308594 kW
2017-08-15T00:00:00-06:00,62.968719482421875 kW
2017-08-16T00:00:00-06:00,60.310874938964844 kW
2017-08-17T00:00:00-06:00,49.018951416015625 kW
2017-08-18T00:00:00-06:00,57.38351058959961 kW
2017-08-19T00:00:00-06:00,46.96886444091797 kW
2017-08-20T00:00:00-06:00,46.9513053894043 kW
2017-08-21T00:00:00-06:00,67.36140441894531 kW
2017-08-22T00:00:00-06:00,62.453773498535156 kW
2017-08-23T00:00:00-06:00,60.2779541015625 kW
2017-08-24T00:00:00-06:00,66.16793060302734 kW
2017-08-25T00:00:00-06:00,63.47608947753906 kW
2017-08-26T00:00:00-06:00,51.98672103881836 kW
2017-08-27T00:00:00-06:00,51.25937271118164 kW
2017-08-28T00:00:00-06:00,66.780029296875 kW
2017-08-29T00:00:00-06:00,80.29059600830078 kW
2017-08-30T00:00:00-06:00,78.87995910644531 kW
2017-08-31T00:00:00-06:00,71.30865478515625 kW
2017-09-01T00:00:00-06:00,57.63344955444336 kW
2017-09-02T00:00:00-06:00,66.93480682373047 kW
2017-09-03T00:00:00-06:00,70.138427734375 kW
2017-09-04T00:00:00-06:00,71.41423797607422 kW
2017-09-05T00:00:00-06:00,75.14055633544922 kW
2017-09-06T00:00:00-06:00,70.06704711914062 kW
2017-09-07T00:00:00-06:00,69.60846710205078 kW
2017-09-08T00:00:00-06:00,68.34381103515625 kW
2017-12-18T00:00:00-07:00,23.378116607666016 kW
2017-12-19T00:00:00-07:00,29.933433532714844 kW
2017-12-20T00:00:00-07:00,26.22816276550293 kW
2017-12-21T00:00:00-07:00,26.105920791625977 kW
2017-12-22T00:00:00-07:00,26.714439392089844 kW
2017-12-23T00:00:00-07:00,30.321224212646484 kW
2017-12-24T00:00:00-07:00,21.321781158447266 kW
2017-12-25T00:00:00-07:00,20.328800201416016 kW
2017-12-26T00:00:00-07:00,19.897953033447266 kW
2017-12-27T00:00:00-07:00,32.515716552734375 kW
2017-12-28T00:00:00-07:00,32.948768615722656 kW
2017-12-29T00:00:00-07:00,43.02897644042969 kW
2017-12-30T00:00:00-07:00,29.149694442749023 kW
2017-12-31T00:00:00-07:00,22.27262306213379 kW
