Timestamp,['1cd68420-946f7cc6 Power Meter (HV) (316610) Current C']
2017-02-08T00:00:00-07:00,79.75 A
2017-02-09T00:00:00-07:00,88 A
2017-02-10T00:00:00-07:00,84.72727272727273 A
2017-02-11T00:00:00-07:00,89.0625 A
2017-02-12T00:00:00-07:00,92 A
2017-02-13T00:00:00-07:00,91.53333333333333 A
2017-02-14T00:00:00-07:00,96.9090909090909 A
2017-02-15T00:00:00-07:00,85.77777777777777 A
2017-02-16T00:00:00-07:00,86 A
2017-02-17T00:00:00-07:00,92 A
2017-02-18T00:00:00-07:00,90.36363636363636 A
2017-02-19T00:00:00-07:00,81.16666666666667 A
2017-02-20T00:00:00-07:00,85.5 A
2017-02-21T00:00:00-07:00,81.66666666666667 A
2017-02-22T00:00:00-07:00,98.3076923076923 A
2017-02-23T00:00:00-07:00,116.83333333333333 A
2017-02-24T00:00:00-07:00,120.36363636363636 A
2017-02-25T00:00:00-07:00,119 A
2017-02-26T00:00:00-07:00,114.875 A
2017-02-27T00:00:00-07:00,129.83333333333334 A
2017-02-28T00:00:00-07:00,123.5 A
2017-03-01T00:00:00-07:00,116.25 A
2017-03-02T00:00:00-07:00,122.66666666666667 A
2017-03-03T00:00:00-07:00,112.72727272727273 A
2017-03-04T00:00:00-07:00,95.5 A
2017-03-05T00:00:00-07:00,93.3125 A
2017-03-06T00:00:00-07:00,120.5 A
2017-03-07T00:00:00-07:00,118.83333333333333 A
2017-03-08T00:00:00-07:00,102 A
2017-03-09T00:00:00-07:00,88.7 A
2017-03-10T00:00:00-07:00,95.42857142857143 A
2017-03-11T00:00:00-07:00,110.7 A
2017-03-12T00:00:00-07:00,104.66666666666667 A
2017-03-13T00:00:00-06:00,113.53061224489795 A
2017-03-14T00:00:00-06:00,118.63855421686748 A
2017-03-15T00:00:00-06:00,138.59036144578315 A
2017-03-16T00:00:00-06:00,146.45882352941177 A
2017-03-17T00:00:00-06:00,122.35897435897436 A
2017-03-18T00:00:00-06:00,119.94805194805195 A
2017-03-19T00:00:00-06:00,115.49411764705883 A
2017-03-20T00:00:00-06:00,122.25301204819277 A
2017-03-21T00:00:00-06:00,120.45205479452055 A
2017-03-22T00:00:00-06:00,133 A
2017-03-23T00:00:00-06:00,123.27272727272727 A
2017-03-24T00:00:00-06:00,128.72413793103448 A
2017-03-25T00:00:00-06:00,118.21621621621621 A
2017-03-26T00:00:00-06:00,118.4 A
2017-03-27T00:00:00-06:00,117.0125 A
2017-03-28T00:00:00-06:00,119.07407407407408 A
2017-03-29T00:00:00-06:00,127.0952380952381 A
2017-03-30T00:00:00-06:00,119.46875 A
2017-03-31T00:00:00-06:00,132.85185185185185 A
2017-04-01T00:00:00-06:00,139.35294117647058 A
2017-04-02T00:00:00-06:00,122.53571428571429 A
2017-04-03T00:00:00-06:00,127.72151898734177 A
2017-04-04T00:00:00-06:00,127.725 A
2017-04-05T00:00:00-06:00,146.79518072289156 A
2017-04-06T00:00:00-06:00,181.7530864197531 A
2017-04-07T00:00:00-06:00,181.1529411764706 A
2017-04-08T00:00:00-06:00,177 A
2017-04-09T00:00:00-06:00,174.86111111111111 A
2017-04-10T00:00:00-06:00,176.73863636363637 A
2017-04-11T00:00:00-06:00,177.30851063829786 A
2017-04-12T00:00:00-06:00,175.45833333333334 A
2017-04-13T00:00:00-06:00,166.21875 A
2017-04-14T00:00:00-06:00,173.8901098901099 A
2017-04-15T00:00:00-06:00,175.0120481927711 A
2017-04-16T00:00:00-06:00,156.01282051282053 A
2017-04-17T00:00:00-06:00,161.41666666666666 A
2017-04-18T00:00:00-06:00,166.20689655172413 A
2017-04-19T00:00:00-06:00,153.52380952380952 A
2017-04-20T00:00:00-06:00,176.65753424657535 A
2017-04-21T00:00:00-06:00,186.80459770114942 A
2017-04-22T00:00:00-06:00,191.38372093023256 A
2017-04-23T00:00:00-06:00,188.75280898876406 A
2017-04-24T00:00:00-06:00,195.24175824175825 A
2017-04-25T00:00:00-06:00,202.11827956989248 A
2017-04-26T00:00:00-06:00,199.3132530120482 A
2017-04-27T00:00:00-06:00,196.10843373493975 A
2017-04-28T00:00:00-06:00,172.5731707317073 A
2017-04-29T00:00:00-06:00,164.83333333333334 A
2017-04-30T00:00:00-06:00,165.7173913043478 A
2017-05-01T00:00:00-06:00,174.56976744186048 A
2017-05-02T00:00:00-06:00,170.73863636363637 A
2017-05-03T00:00:00-06:00,143.9277108433735 A
2017-05-04T00:00:00-06:00,156.16901408450704 A
2017-05-05T00:00:00-06:00,162.54761904761904 A
2017-05-06T00:00:00-06:00,146.27173913043478 A
2017-05-07T00:00:00-06:00,139.03296703296704 A
2017-05-08T00:00:00-06:00,138.56470588235294 A
2017-05-09T00:00:00-06:00,136.6551724137931 A
2017-05-10T00:00:00-06:00,134.2560975609756 A
2017-05-11T00:00:00-06:00,138.72093023255815 A
2017-05-12T00:00:00-06:00,141.44444444444446 A
2017-05-13T00:00:00-06:00,124.67816091954023 A
2017-05-14T00:00:00-06:00,121.46835443037975 A
2017-05-15T00:00:00-06:00,133.43023255813952 A
2017-05-16T00:00:00-06:00,134.58426966292134 A
2017-05-17T00:00:00-06:00,105.93023255813954 A
2017-05-18T00:00:00-06:00,99.52747252747253 A
2017-05-19T00:00:00-06:00,107.70370370370371 A
2017-05-20T00:00:00-06:00,116.48192771084338 A
2017-05-21T00:00:00-06:00,121.28235294117647 A
2017-05-22T00:00:00-06:00,117.12048192771084 A
2017-05-23T00:00:00-06:00,130.43333333333334 A
2017-05-24T00:00:00-06:00,146.83544303797467 A
2017-05-25T00:00:00-06:00,123.45977011494253 A
2017-05-26T00:00:00-06:00,114.68539325842697 A
2017-05-27T00:00:00-06:00,111.81720430107526 A
2017-05-28T00:00:00-06:00,130.03488372093022 A
2017-05-29T00:00:00-06:00,99.74736842105263 A
2017-05-30T00:00:00-06:00,120.06593406593407 A
2017-05-31T00:00:00-06:00,134.36046511627907 A
2017-06-01T00:00:00-06:00,130.816091954023 A
2017-06-02T00:00:00-06:00,123.64473684210526 A
2017-06-03T00:00:00-06:00,147.28813559322035 A
2017-06-04T00:00:00-06:00,145.75324675324674 A
2017-06-05T00:00:00-06:00,132.97435897435898 A
2017-06-06T00:00:00-06:00,139.1904761904762 A
2017-06-07T00:00:00-06:00,142.90217391304347 A
2017-06-08T00:00:00-06:00,143.32608695652175 A
2017-06-09T00:00:00-06:00,134.41975308641975 A
2017-06-10T00:00:00-06:00,127.29069767441861 A
2017-06-11T00:00:00-06:00,134.19402985074626 A
2017-06-12T00:00:00-06:00,126.41791044776119 A
2017-06-13T00:00:00-06:00,113.63636363636364 A
2017-06-14T00:00:00-06:00,139.05633802816902 A
2017-06-15T00:00:00-06:00,137.984375 A
2017-06-16T00:00:00-06:00,139.32835820895522 A
2017-06-17T00:00:00-06:00,150.6865671641791 A
2017-06-18T00:00:00-06:00,100.76666666666667 A
2017-06-19T00:00:00-06:00,137.16666666666666 A
2017-06-20T00:00:00-06:00,173.42666666666668 A
2017-06-21T00:00:00-06:00,165.27631578947367 A
2017-06-22T00:00:00-06:00,155.55844155844156 A
2017-06-23T00:00:00-06:00,155.63736263736263 A
2017-06-24T00:00:00-06:00,154.1860465116279 A
2017-06-25T00:00:00-06:00,159.94444444444446 A
2017-06-26T00:00:00-06:00,169.60493827160494 A
2017-06-27T00:00:00-06:00,169.1123595505618 A
2017-06-28T00:00:00-06:00,159.5875 A
2017-06-29T00:00:00-06:00,151.83132530120483 A
2017-06-30T00:00:00-06:00,151.54945054945054 A
2017-07-01T00:00:00-06:00,156.85555555555555 A
2017-07-02T00:00:00-06:00,165 A
2017-07-03T00:00:00-06:00,170.97802197802199 A
2017-07-04T00:00:00-06:00,169.23333333333332 A
2017-07-05T00:00:00-06:00,174.7906976744186 A
2017-07-06T00:00:00-06:00,162.0625 A
2017-07-07T00:00:00-06:00,179.2941176470588 A
2017-07-08T00:00:00-06:00,170.5 A
2017-07-09T00:00:00-06:00,177.5 A
2017-07-10T00:00:00-06:00,165 A
2017-07-11T00:00:00-06:00,165.6 A
2017-07-12T00:00:00-06:00,162 A
2017-07-14T00:00:00-06:00,175.06666666666666 A
2017-07-15T00:00:00-06:00,168.1875 A
2017-07-16T00:00:00-06:00,176.88888888888889 A
2017-07-17T00:00:00-06:00,180.66666666666666 A
2017-07-18T00:00:00-06:00,179.75 A
2017-07-19T00:00:00-06:00,180.14285714285714 A
2017-07-20T00:00:00-06:00,183.63636363636363 A
2017-07-21T00:00:00-06:00,177.4375 A
2017-07-22T00:00:00-06:00,177.47368421052633 A
2017-07-23T00:00:00-06:00,180.83333333333334 A
2017-07-24T00:00:00-06:00,180.25 A
2017-07-25T00:00:00-06:00,178 A
2017-07-26T00:00:00-06:00,179.2 A
2017-07-27T00:00:00-06:00,172.71428571428572 A
2017-07-28T00:00:00-06:00,175 A
2017-07-29T00:00:00-06:00,172.77777777777777 A
2017-07-30T00:00:00-06:00,165.4 A
2017-07-31T00:00:00-06:00,176.25 A
2017-08-01T00:00:00-06:00,179.46153846153845 A
2017-08-02T00:00:00-06:00,170.28571428571428 A
2017-08-03T00:00:00-06:00,180.5 A
2017-08-04T00:00:00-06:00,175.88888888888889 A
2017-08-05T00:00:00-06:00,172.25 A
2017-08-06T00:00:00-06:00,176 A
2017-08-07T00:00:00-06:00,163.8 A
2017-08-08T00:00:00-06:00,173.5 A
2017-08-09T00:00:00-06:00,161.1818181818182 A
