Timestamp,['1cd68442-7e9dc588 Power Meter (HV) (316610) KWH Received']
2017-01-01T00:00:00-07:00,1528 kWh
2017-01-02T00:00:00-07:00,1570 kWh
2017-01-03T00:00:00-07:00,1556 kWh
2017-01-04T00:00:00-07:00,1550 kWh
2017-01-05T00:00:00-07:00,1568 kWh
2017-01-06T00:00:00-07:00,1576 kWh
2017-01-07T00:00:00-07:00,1538 kWh
2017-01-08T00:00:00-07:00,1490 kWh
2017-01-09T00:00:00-07:00,1506 kWh
2017-01-10T00:00:00-07:00,1532 kWh
2017-01-11T00:00:00-07:00,1594 kWh
2017-01-12T00:00:00-07:00,1644 kWh
2017-01-13T00:00:00-07:00,1628 kWh
2017-01-14T00:00:00-07:00,1576 kWh
2017-01-15T00:00:00-07:00,1584 kWh
2017-01-16T00:00:00-07:00,1598 kWh
2017-01-17T00:00:00-07:00,1618 kWh
2017-01-18T00:00:00-07:00,1594 kWh
2017-01-19T00:00:00-07:00,1592 kWh
2017-01-20T00:00:00-07:00,1540 kWh
2017-01-21T00:00:00-07:00,1642 kWh
2017-01-22T00:00:00-07:00,1648 kWh
2017-01-23T00:00:00-07:00,1728 kWh
2017-01-24T00:00:00-07:00,1788 kWh
2017-01-25T00:00:00-07:00,1804 kWh
2017-01-26T00:00:00-07:00,1796 kWh
2017-01-27T00:00:00-07:00,1732 kWh
2017-01-28T00:00:00-07:00,1692 kWh
2017-01-29T00:00:00-07:00,1702 kWh
2017-01-30T00:00:00-07:00,1726 kWh
2017-01-31T00:00:00-07:00,1718 kWh
2017-02-01T00:00:00-07:00,1704 kWh
2017-02-02T00:00:00-07:00,1712 kWh
2017-02-03T00:00:00-07:00,6642 kWh
2017-02-07T00:00:00-07:00,710 kWh
2017-02-08T00:00:00-07:00,1344 kWh
2017-02-09T00:00:00-07:00,1446 kWh
2017-02-10T00:00:00-07:00,1360 kWh
2017-02-11T00:00:00-07:00,1442 kWh
2017-02-12T00:00:00-07:00,1542 kWh
2017-02-13T00:00:00-07:00,1550 kWh
2017-02-14T00:00:00-07:00,1568 kWh
2017-02-15T00:00:00-07:00,1488 kWh
2017-02-16T00:00:00-07:00,1482 kWh
2017-02-17T00:00:00-07:00,1510 kWh
2017-02-18T00:00:00-07:00,1490 kWh
2017-02-19T00:00:00-07:00,1310 kWh
2017-02-20T00:00:00-07:00,1258 kWh
2017-02-21T00:00:00-07:00,1278 kWh
2017-02-22T00:00:00-07:00,1558 kWh
2017-02-23T00:00:00-07:00,1946 kWh
2017-02-24T00:00:00-07:00,1924 kWh
2017-02-25T00:00:00-07:00,1868 kWh
2017-02-26T00:00:00-07:00,1828 kWh
2017-02-27T00:00:00-07:00,2150 kWh
2017-02-28T00:00:00-07:00,2148 kWh
2017-03-01T00:00:00-07:00,1820 kWh
2017-03-02T00:00:00-07:00,1842 kWh
2017-03-03T00:00:00-07:00,1756 kWh
2017-03-04T00:00:00-07:00,1504 kWh
2017-03-05T00:00:00-07:00,1450 kWh
2017-03-06T00:00:00-07:00,1936 kWh
2017-03-07T00:00:00-07:00,1994 kWh
2017-03-08T00:00:00-07:00,1716 kWh
2017-03-09T00:00:00-07:00,1564 kWh
2017-03-10T00:00:00-07:00,1588 kWh
2017-03-11T00:00:00-07:00,1692 kWh
2017-03-12T00:00:00-07:00,1658 kWh
2017-03-13T00:00:00-06:00,1738 kWh
2017-03-14T00:00:00-06:00,2026 kWh
2017-03-15T00:00:00-06:00,2332 kWh
2017-03-16T00:00:00-06:00,2472 kWh
2017-03-17T00:00:00-06:00,2080 kWh
2017-03-18T00:00:00-06:00,1990 kWh
2017-03-19T00:00:00-06:00,1914 kWh
2017-03-20T00:00:00-06:00,2028 kWh
2017-03-21T00:00:00-06:00,2026 kWh
2017-03-22T00:00:00-06:00,2184 kWh
2017-03-23T00:00:00-06:00,2040 kWh
2017-03-24T00:00:00-06:00,2118 kWh
2017-03-25T00:00:00-06:00,1956 kWh
2017-03-26T00:00:00-06:00,1964 kWh
2017-03-27T00:00:00-06:00,1970 kWh
2017-03-28T00:00:00-06:00,1986 kWh
2017-03-29T00:00:00-06:00,3296 kWh
2017-03-30T00:00:00-06:00,916 kWh
2017-03-31T00:00:00-06:00,2212 kWh
2017-04-01T00:00:00-06:00,2280 kWh
2017-04-02T00:00:00-06:00,2020 kWh
2017-04-03T00:00:00-06:00,2136 kWh
2017-04-04T00:00:00-06:00,2176 kWh
2017-04-05T00:00:00-06:00,2518 kWh
2017-04-06T00:00:00-06:00,3074 kWh
2017-04-07T00:00:00-06:00,3098 kWh
2017-04-08T00:00:00-06:00,2928 kWh
2017-04-09T00:00:00-06:00,2930 kWh
2017-04-10T00:00:00-06:00,2990 kWh
2017-04-11T00:00:00-06:00,2984 kWh
2017-04-12T00:00:00-06:00,2964 kWh
2017-04-13T00:00:00-06:00,2802 kWh
2017-04-14T00:00:00-06:00,2916 kWh
2017-04-15T00:00:00-06:00,2900 kWh
2017-04-16T00:00:00-06:00,2552 kWh
2017-04-17T00:00:00-06:00,2698 kWh
2017-04-18T00:00:00-06:00,2796 kWh
2017-04-19T00:00:00-06:00,2612 kWh
2017-04-20T00:00:00-06:00,2964 kWh
2017-04-21T00:00:00-06:00,3112 kWh
2017-04-22T00:00:00-06:00,3162 kWh
2017-04-23T00:00:00-06:00,3072 kWh
2017-04-24T00:00:00-06:00,3278 kWh
2017-04-25T00:00:00-06:00,3372 kWh
2017-04-26T00:00:00-06:00,3344 kWh
2017-04-27T00:00:00-06:00,3310 kWh
2017-04-28T00:00:00-06:00,2934 kWh
2017-04-29T00:00:00-06:00,2768 kWh
2017-04-30T00:00:00-06:00,2756 kWh
2017-05-01T00:00:00-06:00,2954 kWh
2017-05-02T00:00:00-06:00,2892 kWh
2017-05-03T00:00:00-06:00,2348 kWh
2017-05-04T00:00:00-06:00,2588 kWh
2017-05-05T00:00:00-06:00,2704 kWh
2017-05-06T00:00:00-06:00,2392 kWh
2017-05-07T00:00:00-06:00,2250 kWh
2017-05-08T00:00:00-06:00,2256 kWh
2017-05-09T00:00:00-06:00,2216 kWh
