Timestamp,['1cdb9ac8-e7aa59b1 0086-MARRIOTT LIBRARY Power Meter 1 KW Total']
2017-01-01T00:00:00-07:00,252.01075744628906 kW
2017-01-02T00:00:00-07:00,253.1140594482422 kW
2017-01-03T00:00:00-07:00,432.465576171875 kW
2017-01-04T00:00:00-07:00,433.1514892578125 kW
2017-01-05T00:00:00-07:00,366.6402587890625 kW
2017-01-06T00:00:00-07:00,363.70635986328125 kW
2017-01-07T00:00:00-07:00,326.6300354003906 kW
2017-01-08T00:00:00-07:00,357.5626525878906 kW
2017-01-09T00:00:00-07:00,427.2109375 kW
2017-01-10T00:00:00-07:00,420.2228088378906 kW
2017-01-11T00:00:00-07:00,436.85302734375 kW
2017-01-12T00:00:00-07:00,435.3343811035156 kW
2017-01-13T00:00:00-07:00,449.725341796875 kW
2017-01-14T00:00:00-07:00,367.0069580078125 kW
2017-01-15T00:00:00-07:00,351.5659484863281 kW
2017-01-16T00:00:00-07:00,239.65872192382812 kW
2017-01-17T00:00:00-07:00,424.29998779296875 kW
2017-01-18T00:00:00-07:00,430.4273986816406 kW
2017-01-19T00:00:00-07:00,439.8753662109375 kW
2017-01-20T00:00:00-07:00,414.15875244140625 kW
2017-01-21T00:00:00-07:00,372.697998046875 kW
2017-01-22T00:00:00-07:00,365.5252380371094 kW
2017-01-23T00:00:00-07:00,444.9143371582031 kW
2017-01-24T00:00:00-07:00,428.10113525390625 kW
2017-01-25T00:00:00-07:00,443.9393005371094 kW
2017-01-26T00:00:00-07:00,437.3272705078125 kW
2017-01-27T00:00:00-07:00,424.1424255371094 kW
2017-01-28T00:00:00-07:00,379.52056884765625 kW
2017-01-29T00:00:00-07:00,360.26666259765625 kW
2017-01-30T00:00:00-07:00,442.8915100097656 kW
2017-01-31T00:00:00-07:00,446.00518798828125 kW
2017-02-01T00:00:00-07:00,429.8729248046875 kW
2017-02-02T00:00:00-07:00,425.1394348144531 kW
2017-02-03T00:00:00-07:00,418.8586730957031 kW
2017-02-07T00:00:00-07:00,436.5037536621094 kW
2017-02-08T00:00:00-07:00,448.7166442871094 kW
2017-02-09T00:00:00-07:00,457.0731506347656 kW
2017-02-10T00:00:00-07:00,462.0866394042969 kW
2017-02-11T00:00:00-07:00,378.8198547363281 kW
2017-02-12T00:00:00-07:00,358.6864013671875 kW
2017-02-13T00:00:00-07:00,411.50799560546875 kW
2017-02-14T00:00:00-07:00,406.1977233886719 kW
2017-02-15T00:00:00-07:00,413.0038146972656 kW
2017-02-16T00:00:00-07:00,429.1434631347656 kW
2017-02-17T00:00:00-07:00,426.23248291015625 kW
2017-02-18T00:00:00-07:00,370.9474792480469 kW
2017-02-19T00:00:00-07:00,355.0660095214844 kW
2017-02-20T00:00:00-07:00,374.86322021484375 kW
2017-02-21T00:00:00-07:00,438.67974853515625 kW
2017-02-22T00:00:00-07:00,442.6033630371094 kW
2017-02-23T00:00:00-07:00,432.7809753417969 kW
2017-02-24T00:00:00-07:00,413.60443115234375 kW
2017-02-25T00:00:00-07:00,372.82415771484375 kW
2017-02-26T00:00:00-07:00,356.5600891113281 kW
2017-02-27T00:00:00-07:00,442.7969665527344 kW
2017-02-28T00:00:00-07:00,431.209228515625 kW
2017-03-01T00:00:00-07:00,425.7965087890625 kW
2017-03-02T00:00:00-07:00,408.7999267578125 kW
2017-03-03T00:00:00-07:00,413.73822021484375 kW
2017-03-04T00:00:00-07:00,403.9241638183594 kW
2017-03-05T00:00:00-07:00,388.76300048828125 kW
2017-03-06T00:00:00-07:00,453.9869689941406 kW
2017-03-07T00:00:00-07:00,426.671875 kW
2017-03-08T00:00:00-07:00,421.40185546875 kW
2017-03-09T00:00:00-07:00,475.8763122558594 kW
2017-03-10T00:00:00-07:00,683.8240356445312 kW
2017-03-11T00:00:00-07:00,402.42950439453125 kW
2017-03-12T00:00:00-07:00,239.66995239257812 kW
2017-03-13T00:00:00-06:00,674.0162353515625 kW
2017-03-14T00:00:00-06:00,664.2704467773438 kW
2017-03-15T00:00:00-06:00,728.537841796875 kW
2017-03-16T00:00:00-06:00,747.61767578125 kW
2017-03-17T00:00:00-06:00,750.4605712890625 kW
2017-03-18T00:00:00-06:00,666.3721313476562 kW
2017-03-19T00:00:00-06:00,656.1057739257812 kW
2017-03-20T00:00:00-06:00,757.8878784179688 kW
2017-03-21T00:00:00-06:00,772.154541015625 kW
2017-03-22T00:00:00-06:00,791.3615112304688 kW
2017-03-23T00:00:00-06:00,440.5414123535156 kW
2017-03-24T00:00:00-06:00,667.4240112304688 kW
2017-03-25T00:00:00-06:00,383.624267578125 kW
2017-03-26T00:00:00-06:00,577.0376586914062 kW
2017-03-27T00:00:00-06:00,437.64044189453125 kW
2017-03-28T00:00:00-06:00,654.8582763671875 kW
2017-03-29T00:00:00-06:00,598.4076538085938 kW
2017-03-30T00:00:00-06:00,445.03369140625 kW
2017-03-31T00:00:00-06:00,676.4315795898438 kW
2017-04-01T00:00:00-06:00,527.0864868164062 kW
2017-04-02T00:00:00-06:00,364.52276611328125 kW
2017-04-03T00:00:00-06:00,587.259033203125 kW
2017-04-04T00:00:00-06:00,619.4882202148438 kW
2017-04-05T00:00:00-06:00,644.0851440429688 kW
2017-04-06T00:00:00-06:00,691.2373657226562 kW
2017-04-07T00:00:00-06:00,582.6885986328125 kW
2017-05-25T00:00:00-06:00,419.2251892089844 kW
2017-05-26T00:00:00-06:00,436.8266296386719 kW
2017-05-27T00:00:00-06:00,343.985107421875 kW
2017-05-28T00:00:00-06:00,253.197998046875 kW
2017-05-29T00:00:00-06:00,253.79043579101562 kW
2017-05-30T00:00:00-06:00,553.072265625 kW
2017-05-31T00:00:00-06:00,634.1004028320312 kW
2017-06-01T00:00:00-06:00,498.3223876953125 kW
2017-06-02T00:00:00-06:00,638.8397216796875 kW
2017-06-03T00:00:00-06:00,516.9772338867188 kW
2017-06-04T00:00:00-06:00,614.4384765625 kW
2017-06-05T00:00:00-06:00,668.7831420898438 kW
2017-06-06T00:00:00-06:00,681.0805053710938 kW
2017-06-07T00:00:00-06:00,686.9224853515625 kW
2017-06-08T00:00:00-06:00,723.45947265625 kW
2017-06-09T00:00:00-06:00,839.3687744140625 kW
2017-06-10T00:00:00-06:00,642.1985473632812 kW
2017-06-11T00:00:00-06:00,652.80908203125 kW
2017-06-12T00:00:00-06:00,716.8956909179688 kW
2017-06-13T00:00:00-06:00,645.71826171875 kW
2017-06-14T00:00:00-06:00,672.6941528320312 kW
2017-06-15T00:00:00-06:00,722.7725830078125 kW
2017-06-16T00:00:00-06:00,836.5595703125 kW
2017-06-17T00:00:00-06:00,649.3121337890625 kW
2017-06-18T00:00:00-06:00,663.5106201171875 kW
2017-06-19T00:00:00-06:00,741.84130859375 kW
2017-06-20T00:00:00-06:00,767.087158203125 kW
2017-06-21T00:00:00-06:00,775.1071166992188 kW
2017-06-22T00:00:00-06:00,856.1278076171875 kW
2017-06-23T00:00:00-06:00,662.46240234375 kW
2017-06-24T00:00:00-06:00,630.4639282226562 kW
2017-06-25T00:00:00-06:00,675.4463500976562 kW
2017-06-26T00:00:00-06:00,746.126220703125 kW
2017-06-27T00:00:00-06:00,743.95166015625 kW
2017-06-28T00:00:00-06:00,715.09521484375 kW
2017-06-29T00:00:00-06:00,681.376708984375 kW
2017-06-30T00:00:00-06:00,692.5383911132812 kW
2017-07-01T00:00:00-06:00,682.42724609375 kW
2017-07-02T00:00:00-06:00,717.3389282226562 kW
2017-07-03T00:00:00-06:00,705.3541259765625 kW
2017-07-04T00:00:00-06:00,612.7727661132812 kW
2017-07-05T00:00:00-06:00,797.836181640625 kW
2017-07-06T00:00:00-06:00,777.8854370117188 kW
2017-07-07T00:00:00-06:00,769.2868041992188 kW
2017-07-08T00:00:00-06:00,752.490966796875 kW
2017-07-09T00:00:00-06:00,749.3660278320312 kW
2017-07-10T00:00:00-06:00,764.3211669921875 kW
2017-07-11T00:00:00-06:00,773.783203125 kW
2017-07-12T00:00:00-06:00,792.3080444335938 kW
2017-07-13T00:00:00-06:00,780.989990234375 kW
2017-07-14T00:00:00-06:00,819.6776123046875 kW
2017-07-15T00:00:00-06:00,751.69384765625 kW
2017-07-16T00:00:00-06:00,730.1100463867188 kW
2017-07-17T00:00:00-06:00,788.9512939453125 kW
2017-07-18T00:00:00-06:00,813.6278076171875 kW
2017-07-19T00:00:00-06:00,789.6561279296875 kW
2017-07-20T00:00:00-06:00,785.763916015625 kW
2017-07-21T00:00:00-06:00,801.4639282226562 kW
2017-07-22T00:00:00-06:00,708.8925170898438 kW
2017-07-23T00:00:00-06:00,600.9299926757812 kW
2017-07-24T00:00:00-06:00,542.1166381835938 kW
2017-07-25T00:00:00-06:00,738.9923095703125 kW
2017-07-26T00:00:00-06:00,777.6859130859375 kW
2017-07-27T00:00:00-06:00,747.3841552734375 kW
2017-07-28T00:00:00-06:00,737.3493041992188 kW
2017-07-29T00:00:00-06:00,737.9149780273438 kW
2017-07-30T00:00:00-06:00,708.439453125 kW
2017-07-31T00:00:00-06:00,786.4563598632812 kW
2017-08-01T00:00:00-06:00,766.968505859375 kW
2017-08-02T00:00:00-06:00,781.416259765625 kW
2017-08-03T00:00:00-06:00,758.36962890625 kW
2017-08-04T00:00:00-06:00,794.2793579101562 kW
2017-08-05T00:00:00-06:00,638.0671997070312 kW
2017-08-06T00:00:00-06:00,561.8609619140625 kW
2017-08-07T00:00:00-06:00,691.9862060546875 kW
2017-08-08T00:00:00-06:00,717.78466796875 kW
2017-08-09T00:00:00-06:00,688.6996459960938 kW
2017-08-10T00:00:00-06:00,703.125732421875 kW
2017-08-11T00:00:00-06:00,724.8319702148438 kW
2017-08-12T00:00:00-06:00,615.1661987304688 kW
2017-08-13T00:00:00-06:00,572.0431518554688 kW
2017-08-14T00:00:00-06:00,704.3480834960938 kW
2017-08-15T00:00:00-06:00,672.3143920898438 kW
2017-08-16T00:00:00-06:00,674.3880615234375 kW
2017-08-17T00:00:00-06:00,693.5335083007812 kW
2017-08-18T00:00:00-06:00,723.6493530273438 kW
2017-08-19T00:00:00-06:00,688.4453125 kW
2017-08-20T00:00:00-06:00,642.021728515625 kW
2017-08-21T00:00:00-06:00,739.99658203125 kW
2017-08-22T00:00:00-06:00,773.1336059570312 kW
2017-08-23T00:00:00-06:00,779.5202026367188 kW
2017-08-24T00:00:00-06:00,762.6140747070312 kW
2017-08-25T00:00:00-06:00,790.0215454101562 kW
2017-08-26T00:00:00-06:00,743.0482177734375 kW
2017-08-27T00:00:00-06:00,643.7152709960938 kW
2017-08-28T00:00:00-06:00,807.0452880859375 kW
2017-08-29T00:00:00-06:00,816.72314453125 kW
2017-08-30T00:00:00-06:00,821.0376586914062 kW
2017-08-31T00:00:00-06:00,897.09375 kW
2017-09-01T00:00:00-06:00,710.2564697265625 kW
2017-09-02T00:00:00-06:00,664.3665161132812 kW
2017-09-03T00:00:00-06:00,669.74365234375 kW
2017-09-04T00:00:00-06:00,496.8819274902344 kW
2017-09-05T00:00:00-06:00,720.2835083007812 kW
2017-09-06T00:00:00-06:00,739.549072265625 kW
2017-09-07T00:00:00-06:00,723.6592407226562 kW
2017-09-08T00:00:00-06:00,751.1671752929688 kW
2017-09-09T00:00:00-06:00,660.43896484375 kW
2017-09-10T00:00:00-06:00,646.3829345703125 kW
2017-09-11T00:00:00-06:00,790.524658203125 kW
2017-09-12T00:00:00-06:00,724.6746826171875 kW
2017-09-13T00:00:00-06:00,744.7611694335938 kW
2017-09-14T00:00:00-06:00,658.0313720703125 kW
2017-09-15T00:00:00-06:00,643.030029296875 kW
2017-09-16T00:00:00-06:00,615.44677734375 kW
2017-09-17T00:00:00-06:00,534.4348754882812 kW
2017-09-18T00:00:00-06:00,648.3300170898438 kW
2017-09-19T00:00:00-06:00,719.4610595703125 kW
2017-09-20T00:00:00-06:00,646.0361938476562 kW
2017-09-21T00:00:00-06:00,719.94287109375 kW
2017-09-22T00:00:00-06:00,659.1594848632812 kW
2017-09-23T00:00:00-06:00,400.1976623535156 kW
2017-09-24T00:00:00-06:00,376.9714050292969 kW
2017-09-25T00:00:00-06:00,696.5615844726562 kW
2017-09-26T00:00:00-06:00,667.9445190429688 kW
2017-09-27T00:00:00-06:00,561.7313232421875 kW
2017-09-28T00:00:00-06:00,632.4598999023438 kW
2017-09-29T00:00:00-06:00,628.8701782226562 kW
2017-09-30T00:00:00-06:00,509.4676208496094 kW
2017-10-01T00:00:00-06:00,494.677001953125 kW
2017-10-02T00:00:00-06:00,507.86883544921875 kW
2017-10-03T00:00:00-06:00,670.8196411132812 kW
2017-10-04T00:00:00-06:00,693.9974975585938 kW
2017-10-05T00:00:00-06:00,626.8084106445312 kW
2017-10-06T00:00:00-06:00,643.920654296875 kW
2017-10-07T00:00:00-06:00,666.282958984375 kW
2017-10-08T00:00:00-06:00,417.46337890625 kW
2017-10-09T00:00:00-06:00,698.5974731445312 kW
2017-10-10T00:00:00-06:00,663.5348510742188 kW
2017-10-11T00:00:00-06:00,738.4066162109375 kW
2017-10-12T00:00:00-06:00,686.7584838867188 kW
2017-10-13T00:00:00-06:00,599.2125244140625 kW
2017-10-14T00:00:00-06:00,401.2374267578125 kW
2017-10-15T00:00:00-06:00,649.2337036132812 kW
2017-10-16T00:00:00-06:00,765.2744140625 kW
2017-10-17T00:00:00-06:00,596.7571411132812 kW
2017-10-18T00:00:00-06:00,544.9445190429688 kW
2017-10-19T00:00:00-06:00,571.3325805664062 kW
2017-10-20T00:00:00-06:00,434.4002380371094 kW
2017-10-21T00:00:00-06:00,381.8157958984375 kW
2017-10-22T00:00:00-06:00,363.045654296875 kW
2017-10-23T00:00:00-06:00,437.6538391113281 kW
2017-10-24T00:00:00-06:00,450.8977355957031 kW
2017-10-25T00:00:00-06:00,448.8736267089844 kW
2017-10-26T00:00:00-06:00,448.32861328125 kW
2017-10-27T00:00:00-06:00,444.4007263183594 kW
2017-10-28T00:00:00-06:00,394.75579833984375 kW
2017-10-29T00:00:00-06:00,362.9151306152344 kW
2017-10-30T00:00:00-06:00,437.9598083496094 kW
2017-10-31T00:00:00-06:00,411.7539978027344 kW
2017-11-01T00:00:00-06:00,427.8153381347656 kW
2017-11-02T00:00:00-06:00,423.3672790527344 kW
2017-11-03T00:00:00-06:00,421.99658203125 kW
2017-11-04T00:00:00-06:00,372.5487365722656 kW
2017-11-05T00:00:00-06:00,354.00518798828125 kW
