Timestamp,['1cdb9c4b-022f896d 0086-MARRIOTT LIBRARY Power Meter 2 KW Total']
2017-01-01T00:00:00-07:00,183.28688049316406 kW
2017-01-02T00:00:00-07:00,186.55221557617188 kW
2017-01-03T00:00:00-07:00,398.437744140625 kW
2017-01-04T00:00:00-07:00,387.3022766113281 kW
2017-01-05T00:00:00-07:00,389.8392333984375 kW
2017-01-06T00:00:00-07:00,388.677001953125 kW
2017-01-07T00:00:00-07:00,339.9360046386719 kW
2017-01-08T00:00:00-07:00,309.3431396484375 kW
2017-01-09T00:00:00-07:00,635.7642822265625 kW
2017-01-10T00:00:00-07:00,404.3454895019531 kW
2017-01-11T00:00:00-07:00,412.813232421875 kW
2017-01-12T00:00:00-07:00,407.81243896484375 kW
2017-01-13T00:00:00-07:00,391.31158447265625 kW
2017-01-14T00:00:00-07:00,339.9537048339844 kW
2017-01-15T00:00:00-07:00,321.03765869140625 kW
2017-01-16T00:00:00-07:00,151.62921142578125 kW
2017-01-17T00:00:00-07:00,399.3516845703125 kW
2017-01-18T00:00:00-07:00,408.92926025390625 kW
2017-01-19T00:00:00-07:00,391.02056884765625 kW
2017-01-20T00:00:00-07:00,388.56207275390625 kW
2017-01-21T00:00:00-07:00,336.78582763671875 kW
2017-01-22T00:00:00-07:00,310.968017578125 kW
2017-01-23T00:00:00-07:00,393.79400634765625 kW
2017-01-24T00:00:00-07:00,403.4189147949219 kW
2017-01-25T00:00:00-07:00,466.90618896484375 kW
2017-01-26T00:00:00-07:00,477.77618408203125 kW
2017-01-27T00:00:00-07:00,474.3565979003906 kW
2017-01-28T00:00:00-07:00,381.74896240234375 kW
2017-01-29T00:00:00-07:00,391.5599670410156 kW
2017-01-30T00:00:00-07:00,477.37237548828125 kW
2017-01-31T00:00:00-07:00,467.3796081542969 kW
2017-02-01T00:00:00-07:00,472.2001037597656 kW
2017-02-02T00:00:00-07:00,470.90460205078125 kW
2017-02-03T00:00:00-07:00,461.6305236816406 kW
2017-02-07T00:00:00-07:00,473.31103515625 kW
2017-02-08T00:00:00-07:00,451.9059753417969 kW
2017-02-09T00:00:00-07:00,444.7306213378906 kW
2017-02-10T00:00:00-07:00,438.485107421875 kW
2017-02-11T00:00:00-07:00,387.077880859375 kW
2017-02-12T00:00:00-07:00,377.8460388183594 kW
2017-02-13T00:00:00-07:00,482.833251953125 kW
2017-02-14T00:00:00-07:00,473.06951904296875 kW
2017-02-15T00:00:00-07:00,466.0513000488281 kW
2017-02-16T00:00:00-07:00,448.453125 kW
2017-02-17T00:00:00-07:00,428.45086669921875 kW
2017-02-18T00:00:00-07:00,366.5386047363281 kW
2017-02-19T00:00:00-07:00,348.0647888183594 kW
2017-02-20T00:00:00-07:00,376.8237609863281 kW
2017-02-21T00:00:00-07:00,457.81512451171875 kW
2017-02-22T00:00:00-07:00,469.0108642578125 kW
2017-02-23T00:00:00-07:00,477.4828796386719 kW
2017-02-24T00:00:00-07:00,459.2511901855469 kW
2017-02-25T00:00:00-07:00,396.3915710449219 kW
2017-02-26T00:00:00-07:00,364.7432861328125 kW
2017-02-27T00:00:00-07:00,478.3473815917969 kW
2017-02-28T00:00:00-07:00,452.7889709472656 kW
2017-03-01T00:00:00-07:00,451.8133544921875 kW
2017-03-02T00:00:00-07:00,451.75225830078125 kW
2017-03-03T00:00:00-07:00,440.2489318847656 kW
2017-03-04T00:00:00-07:00,371.9242858886719 kW
2017-03-05T00:00:00-07:00,378.50775146484375 kW
2017-03-06T00:00:00-07:00,442.865478515625 kW
2017-03-07T00:00:00-07:00,449.2529296875 kW
2017-03-08T00:00:00-07:00,434.5059814453125 kW
2017-03-09T00:00:00-07:00,424.9088439941406 kW
2017-03-10T00:00:00-07:00,416.7994689941406 kW
2017-03-11T00:00:00-07:00,352.43157958984375 kW
2017-03-12T00:00:00-07:00,146.83518981933594 kW
2017-03-13T00:00:00-06:00,417.719482421875 kW
2017-03-14T00:00:00-06:00,396.7748718261719 kW
2017-03-15T00:00:00-06:00,392.0738220214844 kW
2017-03-16T00:00:00-06:00,383.4653015136719 kW
2017-03-17T00:00:00-06:00,381.0412292480469 kW
2017-03-18T00:00:00-06:00,337.0382080078125 kW
2017-03-19T00:00:00-06:00,334.2738037109375 kW
2017-03-20T00:00:00-06:00,401.1833190917969 kW
2017-03-21T00:00:00-06:00,406.67230224609375 kW
2017-03-22T00:00:00-06:00,406.9626770019531 kW
2017-03-23T00:00:00-06:00,415.56231689453125 kW
2017-03-24T00:00:00-06:00,399.3780517578125 kW
2017-03-25T00:00:00-06:00,354.8995361328125 kW
2017-03-26T00:00:00-06:00,349.610107421875 kW
