Timestamp,['1cdb9c50-68bcc28f 0086-MARRIOTT LIBRARY Power Meter 2 KWH Received']
2017-01-01T00:00:00-07:00,3697 kWh
2017-01-02T00:00:00-07:00,4119 kWh
2017-01-03T00:00:00-07:00,6364 kWh
2017-01-04T00:00:00-07:00,6197 kWh
2017-01-05T00:00:00-07:00,6312 kWh
2017-01-06T00:00:00-07:00,6136 kWh
2017-01-07T00:00:00-07:00,5136 kWh
2017-01-08T00:00:00-07:00,4479 kWh
2017-01-09T00:00:00-07:00,7385 kWh
2017-01-10T00:00:00-07:00,7580 kWh
2017-01-11T00:00:00-07:00,7624 kWh
2017-01-12T00:00:00-07:00,7677 kWh
2017-01-13T00:00:00-07:00,6944 kWh
2017-01-14T00:00:00-07:00,5603 kWh
2017-01-15T00:00:00-07:00,4884 kWh
2017-01-16T00:00:00-07:00,3335 kWh
2017-01-17T00:00:00-07:00,7373 kWh
2017-01-18T00:00:00-07:00,7542 kWh
2017-01-19T00:00:00-07:00,7328 kWh
2017-01-20T00:00:00-07:00,6771 kWh
2017-01-21T00:00:00-07:00,5530 kWh
2017-01-22T00:00:00-07:00,5378 kWh
2017-01-23T00:00:00-07:00,7329 kWh
2017-01-24T00:00:00-07:00,7507 kWh
2017-01-25T00:00:00-07:00,7902 kWh
2017-01-26T00:00:00-07:00,8442 kWh
2017-01-27T00:00:00-07:00,7837 kWh
2017-01-28T00:00:00-07:00,6423 kWh
2017-01-29T00:00:00-07:00,6156 kWh
2017-01-30T00:00:00-07:00,8522 kWh
2017-01-31T00:00:00-07:00,8438 kWh
2017-02-01T00:00:00-07:00,8403 kWh
2017-02-02T00:00:00-07:00,8221 kWh
2017-02-03T00:00:00-07:00,29789 kWh
2017-02-07T00:00:00-07:00,4974 kWh
2017-02-08T00:00:00-07:00,7846 kWh
2017-02-09T00:00:00-07:00,7943 kWh
2017-02-10T00:00:00-07:00,7296 kWh
2017-02-11T00:00:00-07:00,6208 kWh
2017-02-12T00:00:00-07:00,5779 kWh
2017-02-13T00:00:00-07:00,8142 kWh
2017-02-14T00:00:00-07:00,8024 kWh
2017-02-15T00:00:00-07:00,7852 kWh
2017-02-16T00:00:00-07:00,7790 kWh
2017-02-17T00:00:00-07:00,7150 kWh
2017-02-18T00:00:00-07:00,5703 kWh
2017-02-19T00:00:00-07:00,5006 kWh
2017-02-20T00:00:00-07:00,5844 kWh
2017-02-21T00:00:00-07:00,7637 kWh
2017-02-22T00:00:00-07:00,8056 kWh
2017-02-23T00:00:00-07:00,8361 kWh
2017-02-24T00:00:00-07:00,7579 kWh
2017-02-25T00:00:00-07:00,6124 kWh
2017-02-26T00:00:00-07:00,5836 kWh
2017-02-27T00:00:00-07:00,8196 kWh
2017-02-28T00:00:00-07:00,8138 kWh
2017-03-01T00:00:00-07:00,8086 kWh
2017-03-02T00:00:00-07:00,7956 kWh
2017-03-03T00:00:00-07:00,7204 kWh
2017-03-04T00:00:00-07:00,6064 kWh
2017-03-05T00:00:00-07:00,6176 kWh
2017-03-06T00:00:00-07:00,8020 kWh
2017-03-07T00:00:00-07:00,7826 kWh
2017-03-08T00:00:00-07:00,7698 kWh
2017-03-09T00:00:00-07:00,7608 kWh
2017-03-10T00:00:00-07:00,6864 kWh
2017-03-11T00:00:00-07:00,5036 kWh
2017-03-12T00:00:00-07:00,3124 kWh
2017-03-13T00:00:00-06:00,6154 kWh
2017-03-14T00:00:00-06:00,6122 kWh
2017-03-15T00:00:00-06:00,6388 kWh
2017-03-16T00:00:00-06:00,6548 kWh
2017-03-17T00:00:00-06:00,6494 kWh
2017-03-18T00:00:00-06:00,5678 kWh
2017-03-19T00:00:00-06:00,6008 kWh
2017-03-20T00:00:00-06:00,7880 kWh
2017-03-21T00:00:00-06:00,8028 kWh
2017-03-22T00:00:00-06:00,8000 kWh
2017-03-23T00:00:00-06:00,8088 kWh
2017-03-24T00:00:00-06:00,7416 kWh
2017-03-25T00:00:00-06:00,6384 kWh
2017-03-26T00:00:00-06:00,6354 kWh
2017-03-27T00:00:00-06:00,7978 kWh
2017-03-28T00:00:00-06:00,7954 kWh
2017-03-29T00:00:00-06:00,11946 kWh
2017-03-30T00:00:00-06:00,3904 kWh
2017-03-31T00:00:00-06:00,7448 kWh
2017-04-01T00:00:00-06:00,6276 kWh
2017-04-02T00:00:00-06:00,6140 kWh
2017-04-03T00:00:00-06:00,7896 kWh
2017-04-04T00:00:00-06:00,7938 kWh
2017-04-05T00:00:00-06:00,7916 kWh
2017-04-06T00:00:00-06:00,7902 kWh
2017-04-07T00:00:00-06:00,366186 kWh
2017-05-25T00:00:00-06:00,7420 kWh
2017-05-26T00:00:00-06:00,9414 kWh
2017-05-27T00:00:00-06:00,8808 kWh
2017-05-28T00:00:00-06:00,7964 kWh
2017-05-29T00:00:00-06:00,8460 kWh
2017-05-30T00:00:00-06:00,11692 kWh
2017-05-31T00:00:00-06:00,11978 kWh
2017-06-01T00:00:00-06:00,11568 kWh
2017-06-02T00:00:00-06:00,10526 kWh
2017-06-03T00:00:00-06:00,10044 kWh
2017-06-04T00:00:00-06:00,9392 kWh
