Timestamp,['1cdbb5eb-842c4b19 0087-THATCHER BLDG Power Meter (301205) Current A']
2017-06-14T00:00:00-06:00,330.15103019552026 A
2017-06-15T00:00:00-06:00,336.7696294369905 A
2017-06-16T00:00:00-06:00,341.45298369034475 A
2017-06-17T00:00:00-06:00,321.2608461380005 A
2017-06-18T00:00:00-06:00,312.6036965052287 A
2017-06-19T00:00:00-06:00,322.0604076385498 A
2017-06-20T00:00:00-06:00,322.32629267374676 A
2017-06-21T00:00:00-06:00,319.9645274480184 A
2017-06-22T00:00:00-06:00,313.5967976252238 A
2017-06-23T00:00:00-06:00,316.05283228556317 A
2017-06-24T00:00:00-06:00,283.3078737258911 A
2017-06-25T00:00:00-06:00,279.23547585805255 A
2017-06-26T00:00:00-06:00,292.98529465993244 A
2017-06-27T00:00:00-06:00,290.60778999328613 A
2017-06-28T00:00:00-06:00,291.7904984156291 A
2017-06-29T00:00:00-06:00,283.53151655197144 A
2017-06-30T00:00:00-06:00,273.6447863127056 A
2017-07-01T00:00:00-06:00,277.1471296946208 A
2017-07-02T00:00:00-06:00,279.32894770304364 A
2017-07-03T00:00:00-06:00,292.524850209554 A
2017-07-04T00:00:00-06:00,286.1563768386841 A
2017-07-05T00:00:00-06:00,292.4248577753703 A
2017-07-06T00:00:00-06:00,293.74715995788574 A
2017-07-07T00:00:00-06:00,294.2011884053548 A
2017-07-08T00:00:00-06:00,285.7485710779826 A
2017-07-09T00:00:00-06:00,284.4374529520671 A
2017-07-10T00:00:00-06:00,295.5260051091512 A
2017-07-11T00:00:00-06:00,299.3396873474121 A
2017-07-12T00:00:00-06:00,297.47776317596436 A
2017-07-13T00:00:00-06:00,295.2022330544212 A
2017-07-14T00:00:00-06:00,292.54168212890625 A
2017-07-15T00:00:00-06:00,288.2235529651381 A
2017-07-16T00:00:00-06:00,286.29407941791374 A
2017-07-17T00:00:00-06:00,295.2748125861673 A
2017-07-18T00:00:00-06:00,300.31430435180664 A
2017-07-19T00:00:00-06:00,299.3564853668213 A
2017-07-20T00:00:00-06:00,297.86390557346573 A
2017-07-21T00:00:00-06:00,293.94160522460936 A
2017-07-22T00:00:00-06:00,284.53434457351915 A
2017-07-23T00:00:00-06:00,280.8487750067227 A
2017-07-24T00:00:00-06:00,288.11982404682 A
2017-07-25T00:00:00-06:00,294.4019152323405 A
2017-07-26T00:00:00-06:00,293.4791326108186 A
2017-07-27T00:00:00-06:00,295.3545328776042 A
2017-07-28T00:00:00-06:00,295.3838539123535 A
2017-07-29T00:00:00-06:00,280.8796548282399 A
2017-07-30T00:00:00-06:00,281.584863635077 A
2017-07-31T00:00:00-06:00,291.54376771714954 A
2017-08-01T00:00:00-06:00,290.9680000753964 A
2017-08-02T00:00:00-06:00,292.83097345688765 A
2017-08-03T00:00:00-06:00,294.35417605669073 A
2017-08-04T00:00:00-06:00,290.8092392547221 A
2017-08-05T00:00:00-06:00,285.5129861831665 A
2017-08-06T00:00:00-06:00,281.7523587544759 A
2017-08-07T00:00:00-06:00,292.9694603609752 A
2017-08-08T00:00:00-06:00,292.6664759318034 A
2017-08-09T00:00:00-06:00,291.89941628774005 A
2017-08-10T00:00:00-06:00,286.43503391041475 A
2017-08-11T00:00:00-06:00,299.3391637262308 A
2017-08-12T00:00:00-06:00,286.57906373341876 A
2017-08-13T00:00:00-06:00,286.310333887736 A
2017-08-14T00:00:00-06:00,301.13869857788086 A
2017-08-15T00:00:00-06:00,317.28058020273846 A
2017-08-16T00:00:00-06:00,314.02941195170087 A
2017-08-17T00:00:00-06:00,312.39107577006024 A
2017-08-18T00:00:00-06:00,315.9498634338379 A
2017-08-19T00:00:00-06:00,309.316411336263 A
2017-08-20T00:00:00-06:00,306.02338186899823 A
2017-08-21T00:00:00-06:00,316.82123406728107 A
2017-08-22T00:00:00-06:00,314.47645409901935 A
2017-08-23T00:00:00-06:00,315.7049462000529 A
2017-08-24T00:00:00-06:00,312.2856569290161 A
2017-08-25T00:00:00-06:00,313.0078179041545 A
2017-08-26T00:00:00-06:00,307.28361256917316 A
2017-08-27T00:00:00-06:00,301.90693855285645 A
2017-08-28T00:00:00-06:00,285.7008124457465 A
2017-08-29T00:00:00-06:00,285.52572296477933 A
