Timestamp,['1cdbb639-405a7d4d 0087-THATCHER BLDG Power Meter (301205) Volts A-B']
2017-06-14T00:00:00-06:00,478.3213462017952 V
2017-06-15T00:00:00-06:00,477.97993104354197 V
2017-06-16T00:00:00-06:00,478.1342793340268 V
2017-06-17T00:00:00-06:00,478.4202947616577 V
2017-06-18T00:00:00-06:00,478.5292148590088 V
2017-06-19T00:00:00-06:00,478.31751982371014 V
2017-06-20T00:00:00-06:00,477.86395740509033 V
2017-06-21T00:00:00-06:00,478.01786708831787 V
2017-06-22T00:00:00-06:00,478.59574794769287 V
2017-06-23T00:00:00-06:00,478.2848183314006 V
2017-06-24T00:00:00-06:00,478.8388611475627 V
2017-06-25T00:00:00-06:00,479.0880641937256 V
2017-06-26T00:00:00-06:00,478.38498878479004 V
2017-06-27T00:00:00-06:00,478.938632329305 V
2017-06-28T00:00:00-06:00,478.672571182251 V
2017-06-29T00:00:00-06:00,479.06795533498126 V
2017-06-30T00:00:00-06:00,479.0221972013775 V
2017-07-01T00:00:00-06:00,478.7841806411743 V
2017-07-02T00:00:00-06:00,479.0206225713094 V
2017-07-03T00:00:00-06:00,478.4280659357707 V
2017-07-04T00:00:00-06:00,479.04221121470135 V
2017-07-05T00:00:00-06:00,478.62310886383057 V
2017-07-06T00:00:00-06:00,478.72568766276044 V
2017-07-07T00:00:00-06:00,478.4291623433431 V
2017-07-08T00:00:00-06:00,478.52958488464355 V
2017-07-09T00:00:00-06:00,478.6707417170207 V
2017-07-10T00:00:00-06:00,478.4479055404663 V
2017-07-11T00:00:00-06:00,478.5777479807536 V
2017-07-12T00:00:00-06:00,478.6432189941406 V
2017-07-13T00:00:00-06:00,478.89368404041636 V
2017-07-14T00:00:00-06:00,478.9146223958333 V
2017-07-15T00:00:00-06:00,478.53928322988014 V
2017-07-16T00:00:00-06:00,478.49907673580543 V
2017-07-17T00:00:00-06:00,478.3168325985179 V
2017-07-18T00:00:00-06:00,478.0888837178548 V
2017-07-19T00:00:00-06:00,478.177565574646 V
2017-07-20T00:00:00-06:00,478.45133953783886 V
2017-07-21T00:00:00-06:00,478.1172420247396 V
2017-07-22T00:00:00-06:00,478.5571457592409 V
2017-07-23T00:00:00-06:00,478.8689270019531 V
2017-07-24T00:00:00-06:00,479.0124498823999 V
2017-07-25T00:00:00-06:00,478.4492369757758 V
2017-07-26T00:00:00-06:00,478.2531698475713 V
2017-07-27T00:00:00-06:00,478.67563883463544 V
2017-07-28T00:00:00-06:00,478.46294021606445 V
2017-07-29T00:00:00-06:00,478.49143398509307 V
2017-07-30T00:00:00-06:00,478.5453694661458 V
2017-07-31T00:00:00-06:00,478.82873874240454 V
2017-08-01T00:00:00-06:00,478.7377458460191 V
2017-08-02T00:00:00-06:00,478.42264512005977 V
2017-08-03T00:00:00-06:00,478.3515961475861 V
2017-08-04T00:00:00-06:00,478.3592583378659 V
2017-08-05T00:00:00-06:00,478.6822916666667 V
2017-08-06T00:00:00-06:00,478.5898764928182 V
2017-08-07T00:00:00-06:00,478.28293912956514 V
2017-08-08T00:00:00-06:00,478.4767430623372 V
2017-08-09T00:00:00-06:00,478.31028747558594 V
2017-08-10T00:00:00-06:00,478.5423049926758 V
2017-08-11T00:00:00-06:00,478.5542919230911 V
2017-08-12T00:00:00-06:00,478.5350694656372 V
2017-08-13T00:00:00-06:00,478.96650950113934 V
2017-08-14T00:00:00-06:00,478.68676058451337 V
2017-08-15T00:00:00-06:00,478.6460266113281 V
2017-08-16T00:00:00-06:00,477.8820962905884 V
2017-08-17T00:00:00-06:00,478.19965744018555 V
2017-08-18T00:00:00-06:00,478.32491397857666 V
2017-08-19T00:00:00-06:00,478.5007568995158 V
2017-08-20T00:00:00-06:00,478.7443564732869 V
2017-08-21T00:00:00-06:00,478.47823429107666 V
2017-08-22T00:00:00-06:00,478.15655549367267 V
2017-08-23T00:00:00-06:00,478.45225207010907 V
2017-08-24T00:00:00-06:00,478.30734729766846 V
2017-08-25T00:00:00-06:00,478.1378215154012 V
2017-08-26T00:00:00-06:00,477.7981923421224 V
2017-08-27T00:00:00-06:00,478.07017771402997 V
2017-08-28T00:00:00-06:00,478.72496250697543 V
2017-08-29T00:00:00-06:00,478.6285953731327 V
2017-08-30T00:00:00-06:00,478.5479431152344 V
2017-08-31T00:00:00-06:00,478.96987279256183 V
2017-09-01T00:00:00-06:00,478.5932671229045 V
2017-09-02T00:00:00-06:00,478.50119654337567 V
2017-09-03T00:00:00-06:00,478.8110164006551 V
2017-09-04T00:00:00-06:00,478.2865489323934 V
2017-09-05T00:00:00-06:00,478.26264985402423 V
2017-09-06T00:00:00-06:00,478.59456894818476 V
2017-09-07T00:00:00-06:00,478.4035208565848 V
2017-09-08T00:00:00-06:00,478.3288808969351 V
2017-09-09T00:00:00-06:00,478.24771722157794 V
2017-09-10T00:00:00-06:00,478.6029862297906 V
2017-09-11T00:00:00-06:00,477.741708489913 V
2017-09-12T00:00:00-06:00,478.5685047573513 V
2017-09-13T00:00:00-06:00,478.1163257007868 V
2017-09-14T00:00:00-06:00,478.4986314649706 V
