Timestamp,['1cdbb63d-c397d0bb 0087-THATCHER BLDG Power Meter (301205) Volts A-N']
2017-06-14T00:00:00-06:00,276.2455028777427 V
2017-06-15T00:00:00-06:00,276.0001111237899 V
2017-06-16T00:00:00-06:00,276.1280912316364 V
2017-06-17T00:00:00-06:00,276.26055908203125 V
2017-06-18T00:00:00-06:00,276.34440358479816 V
2017-06-19T00:00:00-06:00,276.26721382141113 V
2017-06-20T00:00:00-06:00,275.9760449727376 V
2017-06-21T00:00:00-06:00,276.014032681783 V
2017-06-22T00:00:00-06:00,276.371135075887 V
2017-06-23T00:00:00-06:00,276.1980622609456 V
2017-06-24T00:00:00-06:00,276.4854844411214 V
2017-06-25T00:00:00-06:00,276.60290908813477 V
2017-06-26T00:00:00-06:00,276.2715524037679 V
2017-06-27T00:00:00-06:00,276.6228914260864 V
2017-06-28T00:00:00-06:00,276.452312151591 V
2017-06-29T00:00:00-06:00,276.69029871622723 V
2017-06-30T00:00:00-06:00,276.65453876696137 V
2017-07-01T00:00:00-06:00,276.4657869338989 V
2017-07-02T00:00:00-06:00,276.59531021118164 V
2017-07-03T00:00:00-06:00,276.29768466949463 V
2017-07-04T00:00:00-06:00,276.61090755462646 V
2017-07-05T00:00:00-06:00,276.4152717590332 V
2017-07-06T00:00:00-06:00,276.482351620992 V
2017-07-07T00:00:00-06:00,276.3045581181844 V
2017-07-08T00:00:00-06:00,276.3404089609782 V
2017-07-09T00:00:00-06:00,276.39745171864826 V
2017-07-10T00:00:00-06:00,276.30599880218506 V
2017-07-11T00:00:00-06:00,276.39606920878094 V
2017-07-12T00:00:00-06:00,276.4294548034668 V
2017-07-13T00:00:00-06:00,276.5492987199263 V
2017-07-14T00:00:00-06:00,276.59022420247396 V
2017-07-15T00:00:00-06:00,276.33475233104133 V
2017-07-16T00:00:00-06:00,276.30216055856624 V
2017-07-17T00:00:00-06:00,276.23060204001035 V
2017-07-18T00:00:00-06:00,276.1184851328532 V
2017-07-19T00:00:00-06:00,276.15897210439044 V
2017-07-20T00:00:00-06:00,276.31037222620955 V
2017-07-21T00:00:00-06:00,276.1350622558594 V
2017-07-22T00:00:00-06:00,276.36296969741136 V
2017-07-23T00:00:00-06:00,276.5202711906986 V
2017-07-24T00:00:00-06:00,276.63347786916813 V
2017-07-25T00:00:00-06:00,276.31534534030493 V
2017-07-26T00:00:00-06:00,276.20566017040306 V
2017-07-27T00:00:00-06:00,276.43314014781606 V
2017-07-28T00:00:00-06:00,276.30455610487195 V
2017-07-29T00:00:00-06:00,276.30627890194165 V
2017-07-30T00:00:00-06:00,276.35528652909875 V
2017-07-31T00:00:00-06:00,276.54256439208984 V
2017-08-01T00:00:00-06:00,276.5123156379251 V
2017-08-02T00:00:00-06:00,276.3248789170209 V
2017-08-03T00:00:00-06:00,276.2828549116086 V
2017-08-04T00:00:00-06:00,276.28703095641316 V
2017-08-05T00:00:00-06:00,276.45298194885254 V
2017-08-06T00:00:00-06:00,276.3780355453491 V
2017-08-07T00:00:00-06:00,276.22761480492284 V
2017-08-08T00:00:00-06:00,276.320782661438 V
2017-08-09T00:00:00-06:00,276.2351722717285 V
2017-08-10T00:00:00-06:00,276.359338648179 V
2017-08-11T00:00:00-06:00,276.40330649321936 V
2017-08-12T00:00:00-06:00,276.36907227834064 V
2017-08-13T00:00:00-06:00,276.59778881073 V
2017-08-14T00:00:00-06:00,276.5164394378662 V
2017-08-15T00:00:00-06:00,276.44644196828204 V
2017-08-16T00:00:00-06:00,275.99738597869873 V
2017-08-17T00:00:00-06:00,276.16314156850177 V
2017-08-18T00:00:00-06:00,276.25352986653644 V
2017-08-19T00:00:00-06:00,276.3489710489909 V
2017-08-20T00:00:00-06:00,276.48022588094074 V
2017-08-21T00:00:00-06:00,276.39522075653076 V
2017-08-22T00:00:00-06:00,276.2037658691406 V
2017-08-23T00:00:00-06:00,276.3660389582316 V
2017-08-24T00:00:00-06:00,276.2751045227051 V
2017-08-25T00:00:00-06:00,276.1711098353068 V
2017-08-26T00:00:00-06:00,275.96705595652264 V
2017-08-27T00:00:00-06:00,276.1048940022786 V
2017-08-28T00:00:00-06:00,276.5516672770182 V
2017-08-29T00:00:00-06:00,276.48995468642687 V
2017-08-30T00:00:00-06:00,276.41905784606934 V
2017-08-31T00:00:00-06:00,276.6676918665568 V
2017-09-01T00:00:00-06:00,276.4181486765544 V
2017-09-02T00:00:00-06:00,276.3472779591878 V
2017-09-03T00:00:00-06:00,276.5124855041504 V
2017-09-04T00:00:00-06:00,276.2160898844401 V
2017-09-05T00:00:00-06:00,276.24682362874347 V
2017-09-06T00:00:00-06:00,276.465974336512 V
2017-09-07T00:00:00-06:00,276.3328203473772 V
2017-09-08T00:00:00-06:00,276.2574565758866 V
2017-09-09T00:00:00-06:00,276.1809600194295 V
2017-09-10T00:00:00-06:00,276.3760804070367 V
2017-09-11T00:00:00-06:00,275.9143031639389 V
2017-09-12T00:00:00-06:00,276.39918518066406 V
2017-09-13T00:00:00-06:00,276.1537565849197 V
2017-09-14T00:00:00-06:00,276.3756852583452 V
2017-09-15T00:00:00-06:00,276.33564980824787 V
2017-09-16T00:00:00-06:00,276.7248538335164 V
2017-09-17T00:00:00-06:00,276.03470039367676 V
2017-09-18T00:00:00-06:00,276.40108521779376 V
2017-09-19T00:00:00-06:00,276.1592031378495 V
2017-09-20T00:00:00-06:00,276.2497784296672 V
2017-09-21T00:00:00-06:00,276.61501026153564 V
2017-09-22T00:00:00-06:00,276.47244294484454 V
2017-09-23T00:00:00-06:00,276.5554504394531 V
2017-09-24T00:00:00-06:00,276.25582949320477 V
2017-09-25T00:00:00-06:00,276.64431031545 V
2017-09-26T00:00:00-06:00,276.5256932576497 V
2017-09-27T00:00:00-06:00,276.53822135925293 V
2017-09-28T00:00:00-06:00,276.29363950093585 V
2017-09-29T00:00:00-06:00,276.28230508168537 V
2017-09-30T00:00:00-06:00,276.544828414917 V
2017-10-01T00:00:00-06:00,275.9488166173299 V
2017-10-02T00:00:00-06:00,276.46623675028485 V
2017-10-03T00:00:00-06:00,276.62841574350995 V
2017-10-04T00:00:00-06:00,276.2312202453613 V
2017-10-05T00:00:00-06:00,276.4838813145955 V
2017-10-06T00:00:00-06:00,276.50593916575116 V
2017-10-07T00:00:00-06:00,276.37163003285724 V
2017-10-08T00:00:00-06:00,276.65108426411945 V
2017-10-09T00:00:00-06:00,276.4932985305786 V
2017-10-10T00:00:00-06:00,276.63252544403076 V
2017-10-11T00:00:00-06:00,276.1207837943571 V
2017-10-12T00:00:00-06:00,276.6850488999311 V
2017-10-13T00:00:00-06:00,276.68144338507403 V
2017-10-14T00:00:00-06:00,276.93289216359454 V
2017-10-15T00:00:00-06:00,276.82560634613037 V
2017-10-16T00:00:00-06:00,276.86700534820557 V
2017-10-17T00:00:00-06:00,276.5246289571126 V
2017-10-18T00:00:00-06:00,276.16642157236737 V
2017-10-19T00:00:00-06:00,276.40059693654376 V
2017-10-20T00:00:00-06:00,276.3950777053833 V
2017-10-21T00:00:00-06:00,276.39982986450195 V
2017-10-22T00:00:00-06:00,276.5689169565837 V
2017-10-23T00:00:00-06:00,276.3047691980998 V
2017-10-24T00:00:00-06:00,276.1701243718465 V
2017-10-25T00:00:00-06:00,276.24210770924884 V
2017-10-26T00:00:00-06:00,276.4466139475505 V
2017-10-27T00:00:00-06:00,276.5324764251709 V
2017-10-28T00:00:00-06:00,276.12877623240155 V
2017-10-29T00:00:00-06:00,276.4165376027425 V
2017-10-30T00:00:00-06:00,276.6891107559204 V
