Timestamp,['1cdbb6ce-598bdcd0 0087-THATCHER BLDG Power Meter (301204) Current A']
2017-06-14T00:00:00-06:00,405.5729237432065 A
2017-06-15T00:00:00-06:00,385.1908810933431 A
2017-06-16T00:00:00-06:00,389.28250217437744 A
2017-06-17T00:00:00-06:00,333.31965732574463 A
2017-06-18T00:00:00-06:00,323.25585556030273 A
2017-06-19T00:00:00-06:00,382.3704891204834 A
2017-06-20T00:00:00-06:00,372.7631587982178 A
2017-06-21T00:00:00-06:00,354.7326024373372 A
2017-06-22T00:00:00-06:00,345.420228322347 A
2017-06-23T00:00:00-06:00,350.93219661712646 A
2017-06-24T00:00:00-06:00,283.16494099299115 A
2017-06-25T00:00:00-06:00,273.26195732752484 A
2017-06-26T00:00:00-06:00,338.78111537297565 A
2017-06-27T00:00:00-06:00,354.5131200154622 A
2017-06-28T00:00:00-06:00,358.224108060201 A
2017-06-29T00:00:00-06:00,329.0668796078189 A
2017-06-30T00:00:00-06:00,272.31901389674135 A
2017-07-01T00:00:00-06:00,290.04259406195746 A
2017-07-02T00:00:00-06:00,285.0931544150076 A
2017-07-03T00:00:00-06:00,344.41513601938885 A
2017-07-04T00:00:00-06:00,311.59147421518963 A
2017-07-05T00:00:00-06:00,354.7495406468709 A
2017-07-06T00:00:00-06:00,364.5245138804118 A
2017-07-07T00:00:00-06:00,362.2695957819621 A
2017-07-08T00:00:00-06:00,313.50907432154605 A
2017-07-09T00:00:00-06:00,310.0047295888265 A
2017-07-10T00:00:00-06:00,366.66171137491864 A
2017-07-11T00:00:00-06:00,366.29571501413983 A
2017-07-12T00:00:00-06:00,368.5611966451009 A
2017-07-13T00:00:00-06:00,380.2952145225123 A
2017-07-14T00:00:00-06:00,362.1567554473877 A
2017-07-15T00:00:00-06:00,308.6675208409627 A
2017-07-16T00:00:00-06:00,304.51870822906494 A
2017-07-17T00:00:00-06:00,361.9336036046346 A
2017-07-18T00:00:00-06:00,364.1445248921712 A
2017-07-19T00:00:00-06:00,378.88665294647217 A
2017-07-20T00:00:00-06:00,369.4631741841634 A
2017-07-21T00:00:00-06:00,336.65343424479164 A
2017-07-22T00:00:00-06:00,291.590760251309 A
2017-07-23T00:00:00-06:00,292.08513991038006 A
2017-07-24T00:00:00-06:00,299.7860584259033 A
2017-07-25T00:00:00-06:00,348.0824775695801 A
2017-07-26T00:00:00-06:00,357.62226486206055 A
2017-07-27T00:00:00-06:00,360.96120897928876 A
2017-07-28T00:00:00-06:00,354.82730865478516 A
2017-07-29T00:00:00-06:00,316.4572579065959 A
2017-07-30T00:00:00-06:00,306.52351156870526 A
2017-07-31T00:00:00-06:00,363.3132902781169 A
2017-08-01T00:00:00-06:00,359.51101875305176 A
2017-08-02T00:00:00-06:00,361.2728713353475 A
2017-08-03T00:00:00-06:00,366.59800243377686 A
2017-08-04T00:00:00-06:00,358.31148606203914 A
2017-08-05T00:00:00-06:00,324.62917200724286 A
