Timestamp,['1cdbb6d2-36e24adc 0087-THATCHER BLDG Power Meter (301204) Current B']
2017-06-14T00:00:00-06:00,298.6014185366423 A
2017-06-15T00:00:00-06:00,272.5076804161072 A
2017-06-16T00:00:00-06:00,275.6036450068156 A
2017-06-17T00:00:00-06:00,240.4859301249186 A
2017-06-18T00:00:00-06:00,233.88501501083374 A
2017-06-19T00:00:00-06:00,270.30758778254193 A
2017-06-20T00:00:00-06:00,280.2154779434204 A
2017-06-21T00:00:00-06:00,264.9458219210307 A
2017-06-22T00:00:00-06:00,260.4581410090129 A
2017-06-23T00:00:00-06:00,267.67636187871295 A
2017-06-24T00:00:00-06:00,224.53006760279337 A
2017-06-25T00:00:00-06:00,217.879687945048 A
2017-06-26T00:00:00-06:00,258.65205399195355 A
2017-06-27T00:00:00-06:00,272.48818429311115 A
2017-06-28T00:00:00-06:00,274.1030128796895 A
2017-06-29T00:00:00-06:00,245.94414780166122 A
2017-06-30T00:00:00-06:00,219.2395970394737 A
2017-07-01T00:00:00-06:00,227.8647416856554 A
2017-07-02T00:00:00-06:00,224.46894098097277 A
2017-07-03T00:00:00-06:00,269.4914056460063 A
2017-07-04T00:00:00-06:00,240.8830679257711 A
2017-07-05T00:00:00-06:00,265.36295080184937 A
2017-07-06T00:00:00-06:00,277.5891963640849 A
2017-07-07T00:00:00-06:00,280.8997116088867 A
2017-07-08T00:00:00-06:00,236.71584938450863 A
2017-07-09T00:00:00-06:00,237.2236803372701 A
2017-07-10T00:00:00-06:00,284.391921043396 A
2017-07-11T00:00:00-06:00,272.0888352394104 A
2017-07-12T00:00:00-06:00,265.58180061976117 A
2017-07-13T00:00:00-06:00,273.71287536621094 A
2017-07-14T00:00:00-06:00,274.39961258570355 A
2017-07-15T00:00:00-06:00,241.62032016118368 A
2017-07-16T00:00:00-06:00,237.73742230733237 A
2017-07-17T00:00:00-06:00,283.96974515914917 A
2017-07-18T00:00:00-06:00,282.8194001515706 A
2017-07-19T00:00:00-06:00,293.7172179222107 A
2017-07-20T00:00:00-06:00,300.0119982825385 A
2017-07-21T00:00:00-06:00,284.7716815524631 A
2017-07-22T00:00:00-06:00,243.38656145461061 A
2017-07-23T00:00:00-06:00,240.34116331736246 A
2017-07-24T00:00:00-06:00,241.19302336374918 A
2017-07-25T00:00:00-06:00,269.11704476674396 A
2017-07-26T00:00:00-06:00,272.113738377889 A
2017-07-27T00:00:00-06:00,278.6392437616984 A
2017-07-28T00:00:00-06:00,282.2069894472758 A
2017-07-29T00:00:00-06:00,268.0256814956665 A
2017-07-30T00:00:00-06:00,255.8429298400879 A
2017-07-31T00:00:00-06:00,284.87755330403644 A
2017-08-01T00:00:00-06:00,276.7628361384074 A
2017-08-02T00:00:00-06:00,282.4642945925395 A
2017-08-03T00:00:00-06:00,272.57302014033 A
2017-08-04T00:00:00-06:00,268.27593994140625 A
2017-08-05T00:00:00-06:00,244.31904967625937 A
2017-08-06T00:00:00-06:00,238.45139344533285 A
2017-08-07T00:00:00-06:00,269.96639998415685 A
2017-08-08T00:00:00-06:00,261.42811187108356 A
2017-08-09T00:00:00-06:00,271.6878873507182 A
2017-08-10T00:00:00-06:00,262.39271193284253 A
2017-08-11T00:00:00-06:00,256.85244703292847 A
2017-08-12T00:00:00-06:00,228.37166452407837 A
2017-08-13T00:00:00-06:00,227.22766876220703 A
2017-08-14T00:00:00-06:00,256.4017211596171 A
2017-08-15T00:00:00-06:00,251.24775489171347 A
2017-08-16T00:00:00-06:00,254.95167048772177 A
2017-08-17T00:00:00-06:00,261.41776847839355 A
2017-08-18T00:00:00-06:00,254.8084659576416 A
2017-08-19T00:00:00-06:00,235.3809281984965 A
2017-08-20T00:00:00-06:00,229.64579486846924 A
2017-08-21T00:00:00-06:00,247.5964511235555 A
2017-08-22T00:00:00-06:00,250.50808121530633 A
2017-08-23T00:00:00-06:00,251.8053331375122 A
2017-08-24T00:00:00-06:00,257.75333229700726 A
2017-08-25T00:00:00-06:00,265.41657098134357 A
2017-08-26T00:00:00-06:00,238.83927885691324 A
2017-08-27T00:00:00-06:00,230.13700803120932 A
2017-08-28T00:00:00-06:00,258.86822230641434 A
2017-08-29T00:00:00-06:00,255.11754574983016 A
2017-08-30T00:00:00-06:00,254.8203647931417 A
2017-08-31T00:00:00-06:00,262.91040817896527 A
2017-09-01T00:00:00-06:00,255.7383828163147 A
2017-09-02T00:00:00-06:00,218.2715524037679 A
2017-09-03T00:00:00-06:00,220.4607865182977 A
2017-09-04T00:00:00-06:00,222.53163194656372 A
2017-09-05T00:00:00-06:00,259.59084208806354 A
2017-09-06T00:00:00-06:00,248.9049423426798 A
2017-09-07T00:00:00-06:00,247.1239409013228 A
2017-09-08T00:00:00-06:00,252.15856798957375 A
2017-09-09T00:00:00-06:00,236.6296615600586 A
2017-09-10T00:00:00-06:00,240.91225131352743 A
2017-09-11T00:00:00-06:00,269.3037904103597 A
2017-09-12T00:00:00-06:00,266.91315237681073 A
2017-09-13T00:00:00-06:00,264.5831292470296 A
2017-09-14T00:00:00-06:00,262.7470931149601 A
2017-09-15T00:00:00-06:00,259.37696774800617 A
2017-09-16T00:00:00-06:00,229.37409003575644 A
2017-09-17T00:00:00-06:00,229.29015456573873 A
2017-09-18T00:00:00-06:00,259.77679748535155 A
2017-09-19T00:00:00-06:00,261.5405263398823 A
2017-09-20T00:00:00-06:00,271.32420671489876 A
2017-09-21T00:00:00-06:00,270.4175283432007 A
2017-09-22T00:00:00-06:00,268.9738186730279 A
2017-09-23T00:00:00-06:00,246.76121435031084 A
2017-09-24T00:00:00-06:00,238.5540596516927 A
2017-09-25T00:00:00-06:00,267.8440987141927 A
2017-09-26T00:00:00-06:00,286.995219444161 A
2017-09-27T00:00:00-06:00,272.3565452262147 A
2017-09-28T00:00:00-06:00,254.54680881730044 A
2017-09-29T00:00:00-06:00,246.7849847594304 A
2017-09-30T00:00:00-06:00,232.82312188632247 A
2017-10-01T00:00:00-06:00,233.15554267481753 A
2017-10-02T00:00:00-06:00,267.69135812612683 A
2017-10-03T00:00:00-06:00,272.05803145223587 A
2017-10-04T00:00:00-06:00,263.65402458083463 A
2017-10-05T00:00:00-06:00,257.22476346727825 A
2017-10-06T00:00:00-06:00,262.711183578249 A
2017-10-07T00:00:00-06:00,227.40177001953126 A
2017-10-08T00:00:00-06:00,226.57224695306076 A
2017-10-09T00:00:00-06:00,267.61296104662347 A
2017-10-10T00:00:00-06:00,263.67442796037005 A
2017-10-11T00:00:00-06:00,264.51910734176636 A
2017-10-12T00:00:00-06:00,259.50455061594647 A
2017-10-13T00:00:00-06:00,253.6279192472759 A
2017-10-14T00:00:00-06:00,228.4718378384908 A
2017-10-15T00:00:00-06:00,221.35125096638998 A
2017-10-16T00:00:00-06:00,248.92664051055908 A
2017-10-17T00:00:00-06:00,252.74322986602783 A
2017-10-18T00:00:00-06:00,253.13758007685342 A
2017-10-19T00:00:00-06:00,251.19986041386923 A
2017-10-20T00:00:00-06:00,248.71961879730225 A
2017-10-21T00:00:00-06:00,232.5576335589091 A
2017-10-22T00:00:00-06:00,233.9045092264811 A
2017-10-23T00:00:00-06:00,259.7664674123128 A
2017-10-24T00:00:00-06:00,264.0263910293579 A
2017-10-25T00:00:00-06:00,265.14612738291424 A
2017-10-26T00:00:00-06:00,264.14546489715576 A
2017-10-27T00:00:00-06:00,258.7824673652649 A
2017-10-28T00:00:00-06:00,235.85304594039917 A
2017-10-29T00:00:00-06:00,229.9661259651184 A
2017-10-30T00:00:00-06:00,254.25149281819662 A
2017-10-31T00:00:00-06:00,257.46918201446533 A
2017-11-01T00:00:00-06:00,268.42234722773236 A
2017-11-02T00:00:00-06:00,263.5448513031006 A
2017-11-03T00:00:00-06:00,259.4366328462641 A
2017-11-04T00:00:00-06:00,233.09128538767496 A
2017-11-05T00:00:00-06:00,237.02149978637695 A
2017-11-06T00:00:00-07:00,263.837011496226 A
2017-11-07T00:00:00-07:00,265.44095309575397 A
2017-11-08T00:00:00-07:00,272.41207059224445 A
2017-11-09T00:00:00-07:00,268.75022681554157 A
2017-11-10T00:00:00-07:00,260.6852240562439 A
2017-11-11T00:00:00-07:00,235.97330538431802 A
2017-11-12T00:00:00-07:00,228.548615137736 A
2017-11-13T00:00:00-07:00,257.3391046524048 A
2017-11-14T00:00:00-07:00,260.3976149559021 A
2017-11-15T00:00:00-07:00,256.20607805252075 A
2017-11-16T00:00:00-07:00,256.29432678222656 A
2017-11-17T00:00:00-07:00,252.09061749776205 A
2017-11-18T00:00:00-07:00,195.1411550839742 A
2017-11-19T00:00:00-07:00,170.802347501119 A
2017-11-20T00:00:00-07:00,199.01522858937582 A
2017-11-21T00:00:00-07:00,199.80559412638345 A
2017-11-22T00:00:00-07:00,196.10434293746948 A
2017-11-23T00:00:00-07:00,202.08112796147665 A
2017-11-24T00:00:00-07:00,199.36900091171265 A
2017-11-25T00:00:00-07:00,193.4676308631897 A
2017-11-26T00:00:00-07:00,192.9370263417562 A
2017-11-27T00:00:00-07:00,227.20319112141928 A
2017-11-28T00:00:00-07:00,238.37407986323038 A
2017-11-29T00:00:00-07:00,244.8362046877543 A
2017-11-30T00:00:00-07:00,241.659614721934 A
2017-12-01T00:00:00-07:00,238.31979672114053 A
2017-12-02T00:00:00-07:00,203.0729562441508 A
2017-12-03T00:00:00-07:00,201.67179346084595 A
2017-12-04T00:00:00-07:00,238.62863127390543 A
2017-12-05T00:00:00-07:00,243.0091813405355 A
2017-12-06T00:00:00-07:00,235.85521825154623 A
2017-12-07T00:00:00-07:00,229.8520951271057 A
2017-12-08T00:00:00-07:00,230.26147492726645 A
2017-12-09T00:00:00-07:00,204.97455851236978 A
2017-12-10T00:00:00-07:00,207.25693337122598 A
2017-12-11T00:00:00-07:00,236.24096727371216 A
2017-12-12T00:00:00-07:00,238.87077363332114 A
2017-12-13T00:00:00-07:00,241.58799505233765 A
2017-12-14T00:00:00-07:00,238.14183648427328 A
2017-12-15T00:00:00-07:00,235.4820564587911 A
2017-12-16T00:00:00-07:00,209.86302932103476 A
2017-12-17T00:00:00-07:00,212.20819807052612 A
2017-12-18T00:00:00-07:00,244.78617439689216 A
2017-12-19T00:00:00-07:00,223.10616890589395 A
2017-12-20T00:00:00-07:00,216.71566740671793 A
2017-12-21T00:00:00-07:00,230.77172311147055 A
2017-12-22T00:00:00-07:00,225.79243882497153 A
2017-12-23T00:00:00-07:00,199.4814591407776 A
2017-12-24T00:00:00-07:00,196.71412658691406 A
2017-12-25T00:00:00-07:00,197.7070837020874 A
2017-12-26T00:00:00-07:00,198.96442206700644 A
2017-12-27T00:00:00-07:00,211.9615454673767 A
2017-12-28T00:00:00-07:00,209.78667879104614 A
2017-12-29T00:00:00-07:00,206.9329717954 A
2017-12-30T00:00:00-07:00,206.15850512186685 A
2017-12-31T00:00:00-07:00,205.41744899749756 A
